year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,7452,-16325,clim_down,max,2030,2.6,lagos bat
clim_down;max;2030;4.5,11128,-14011,clim_down,max,2030,4.5,lagos bat
clim_down;max;2030;6,14022,-18088,clim_down,max,2030,6,lagos bat
clim_down;max;2030;8.5,11650,-19424,clim_down,max,2030,8.5,lagos bat
clim_down;max;2050;2.6,2405,-21074,clim_down,max,2050,2.6,lagos bat
clim_down;max;2050;4.5,8689,-24153,clim_down,max,2050,4.5,lagos bat
clim_down;max;2050;6,10793,-20112,clim_down,max,2050,6,lagos bat
clim_down;max;2050;8.5,3880,-34491,clim_down,max,2050,8.5,lagos bat
clim_down;max;2070;2.6,2313,-27723,clim_down,max,2070,2.6,lagos bat
clim_down;max;2070;4.5,7026,-29281,clim_down,max,2070,4.5,lagos bat
clim_down;max;2070;6,7057,-31083,clim_down,max,2070,6,lagos bat
clim_down;max;2070;8.5,1218,-39674,clim_down,max,2070,8.5,lagos bat
clim_down;max;2080;2.6,1595,-29200,clim_down,max,2080,2.6,lagos bat
clim_down;max;2080;4.5,5982,-30611,clim_down,max,2080,4.5,lagos bat
clim_down;max;2080;6,4091,-31981,clim_down,max,2080,6,lagos bat
clim_down;max;2080;8.5,833,-40066,clim_down,max,2080,8.5,lagos bat
clim_down;mean;2030;2.6,53479,-49666,clim_down,mean,2030,2.6,lagos bat
clim_down;mean;2030;4.5,57395,-36004,clim_down,mean,2030,4.5,lagos bat
clim_down;mean;2030;6,62612,-52079,clim_down,mean,2030,6,lagos bat
clim_down;mean;2030;8.5,66859,-44369,clim_down,mean,2030,8.5,lagos bat
clim_down;mean;2050;2.6,39743,-47895,clim_down,mean,2050,2.6,lagos bat
clim_down;mean;2050;4.5,62285,-54008,clim_down,mean,2050,4.5,lagos bat
clim_down;mean;2050;6,54413,-61313,clim_down,mean,2050,6,lagos bat
clim_down;mean;2050;8.5,57869,-77666,clim_down,mean,2050,8.5,lagos bat
clim_down;mean;2070;2.6,34386,-65548,clim_down,mean,2070,2.6,lagos bat
clim_down;mean;2070;4.5,54085,-73584,clim_down,mean,2070,4.5,lagos bat
clim_down;mean;2070;6,54146,-83860,clim_down,mean,2070,6,lagos bat
clim_down;mean;2070;8.5,41771,-109900,clim_down,mean,2070,8.5,lagos bat
clim_down;mean;2080;2.6,28843,-76400,clim_down,mean,2080,2.6,lagos bat
clim_down;mean;2080;4.5,48500,-81089,clim_down,mean,2080,4.5,lagos bat
clim_down;mean;2080;6,46822,-77767,clim_down,mean,2080,6,lagos bat
clim_down;mean;2080;8.5,35638,-121459,clim_down,mean,2080,8.5,lagos bat
clim_down;min;2030;2.6,231640,-173,clim_down,min,2030,2.6,lagos bat
clim_down;min;2030;4.5,171556,-3,clim_down,min,2030,4.5,lagos bat
clim_down;min;2030;6,186906,0,clim_down,min,2030,6,lagos bat
clim_down;min;2030;8.5,194237,-17,clim_down,min,2030,8.5,lagos bat
clim_down;min;2050;2.6,162552,-3,clim_down,min,2050,2.6,lagos bat
clim_down;min;2050;4.5,204299,-116,clim_down,min,2050,4.5,lagos bat
clim_down;min;2050;6,217497,-12,clim_down,min,2050,6,lagos bat
clim_down;min;2050;8.5,229589,-40,clim_down,min,2050,8.5,lagos bat
clim_down;min;2070;2.6,178054,-51,clim_down,min,2070,2.6,lagos bat
clim_down;min;2070;4.5,220777,-8,clim_down,min,2070,4.5,lagos bat
clim_down;min;2070;6,227153,0,clim_down,min,2070,6,lagos bat
clim_down;min;2070;8.5,269115,-56,clim_down,min,2070,8.5,lagos bat
clim_down;min;2080;2.6,180927,0,clim_down,min,2080,2.6,lagos bat
clim_down;min;2080;4.5,224069,-3,clim_down,min,2080,4.5,lagos bat
clim_down;min;2080;6,190095,-1,clim_down,min,2080,6,lagos bat
clim_down;min;2080;8.5,284701,-6,clim_down,min,2080,8.5,lagos bat
clim_up;max;2030;2.6,3110,-162,clim_up,max,2030,2.6,lagos bat
clim_up;max;2030;4.5,1986,-97,clim_up,max,2030,4.5,lagos bat
clim_up;max;2030;6,1994,3,clim_up,max,2030,6,lagos bat
