year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,25847,-17787,clim_down,max,2030,2.6,laguna negra
clim_down;max;2030;4.5,38062,-12785,clim_down,max,2030,4.5,laguna negra
clim_down;max;2030;6,45724,-20434,clim_down,max,2030,6,laguna negra
clim_down;max;2030;8.5,34594,-29915,clim_down,max,2030,8.5,laguna negra
clim_down;max;2050;2.6,43959,-13800,clim_down,max,2050,2.6,laguna negra
clim_down;max;2050;4.5,35818,-14331,clim_down,max,2050,4.5,laguna negra
clim_down;max;2050;8.5,42313,-34620,clim_down,max,2050,8.5,laguna negra
clim_down;max;2070;2.6,48442,-12913,clim_down,max,2070,2.6,laguna negra
clim_down;max;2070;4.5,40386,-19983,clim_down,max,2070,4.5,laguna negra
clim_down;max;2070;6,36824,-31103,clim_down,max,2070,6,laguna negra
clim_down;max;2070;8.5,44068,-39610,clim_down,max,2070,8.5,laguna negra
clim_down;max;2080;2.6,36227,-15542,clim_down,max,2080,2.6,laguna negra
clim_down;max;2080;4.5,36672,-19812,clim_down,max,2080,4.5,laguna negra
clim_down;max;2080;6,35859,-16400,clim_down,max,2080,6,laguna negra
clim_down;max;2080;8.5,35668,-46154,clim_down,max,2080,8.5,laguna negra
clim_down;mean;2030;2.6,64269,-29721,clim_down,mean,2030,2.6,laguna negra
clim_down;mean;2030;4.5,65779,-41556,clim_down,mean,2030,4.5,laguna negra
clim_down;mean;2030;6,78823,-56954,clim_down,mean,2030,6,laguna negra
clim_down;mean;2030;8.5,80725,-47310,clim_down,mean,2030,8.5,laguna negra
clim_down;mean;2050;2.6,87966,-32479,clim_down,mean,2050,2.6,laguna negra
clim_down;mean;2050;4.5,62963,-42926,clim_down,mean,2050,4.5,laguna negra
clim_down;mean;2050;8.5,85140,-62759,clim_down,mean,2050,8.5,laguna negra
clim_down;mean;2070;2.6,87464,-32393,clim_down,mean,2070,2.6,laguna negra
clim_down;mean;2070;4.5,69866,-57218,clim_down,mean,2070,4.5,laguna negra
clim_down;mean;2070;6,70747,-70794,clim_down,mean,2070,6,laguna negra
clim_down;mean;2070;8.5,81838,-78899,clim_down,mean,2070,8.5,laguna negra
