year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,34085,-56,clim_down,max,2030,2.6,lassa
clim_down;max;2030;4.5,35684,-4,clim_down,max,2030,4.5,lassa
clim_down;max;2030;8.5,33884,-1,clim_down,max,2030,8.5,lassa
clim_down;max;2050;2.6,35057,-68,clim_down,max,2050,2.6,lassa
clim_down;max;2050;4.5,39547,-74,clim_down,max,2050,4.5,lassa
clim_down;max;2050;6,34325,-4,clim_down,max,2050,6,lassa
clim_down;max;2050;8.5,32281,-7,clim_down,max,2050,8.5,lassa
clim_down;max;2070;2.6,35646,-75,clim_down,max,2070,2.6,lassa
clim_down;max;2070;4.5,32223,-37,clim_down,max,2070,4.5,lassa
clim_down;max;2070;6,35074,-19,clim_down,max,2070,6,lassa
clim_down;max;2070;8.5,31302,0,clim_down,max,2070,8.5,lassa
clim_down;max;2080;2.6,36664,-22,clim_down,max,2080,2.6,lassa
clim_down;max;2080;4.5,37530,-162,clim_down,max,2080,4.5,lassa
clim_down;max;2080;6,34597,-69,clim_down,max,2080,6,lassa
clim_down;max;2080;8.5,31783,-25,clim_down,max,2080,8.5,lassa
clim_down;mean;2030;2.6,34110,-31,clim_down,mean,2030,2.6,lassa
clim_down;mean;2030;4.5,35688,0,clim_down,mean,2030,4.5,lassa
clim_down;mean;2030;8.5,33885,0,clim_down,mean,2030,8.5,lassa
clim_down;mean;2050;2.6,35118,-7,clim_down,mean,2050,2.6,lassa
clim_down;mean;2050;4.5,39621,0,clim_down,mean,2050,4.5,lassa
clim_down;mean;2050;6,34329,0,clim_down,mean,2050,6,lassa
clim_down;mean;2050;8.5,32288,0,clim_down,mean,2050,8.5,lassa
clim_down;mean;2070;2.6,35704,-17,clim_down,mean,2070,2.6,lassa
clim_down;mean;2070;4.5,32251,-9,clim_down,mean,2070,4.5,lassa
clim_down;mean;2070;6,35093,0,clim_down,mean,2070,6,lassa
clim_down;mean;2070;8.5,31302,0,clim_down,mean,2070,8.5,lassa
clim_down;mean;2080;2.6,36686,0,clim_down,mean,2080,2.6,lassa
clim_down;mean;2080;4.5,37687,-5,clim_down,mean,2080,4.5,lassa
clim_down;mean;2080;6,34666,0,clim_down,mean,2080,6,lassa
clim_down;mean;2080;8.5,31808,0,clim_down,mean,2080,8.5,lassa
clim_down;min;2030;2.6,34134,-7,clim_down,min,2030,2.6,lassa
clim_down;min;2030;4.5,35688,0,clim_down,min,2030,4.5,lassa
clim_down;min;2030;8.5,33885,0,clim_down,min,2030,8.5,lassa
clim_down;min;2050;2.6,35125,0,clim_down,min,2050,2.6,lassa
clim_down;min;2050;4.5,39621,0,clim_down,min,2050,4.5,lassa
clim_down;min;2050;6,34329,0,clim_down,min,2050,6,lassa
clim_down;min;2050;8.5,32288,0,clim_down,min,2050,8.5,lassa
clim_down;min;2070;2.6,35719,-2,clim_down,min,2070,2.6,lassa
clim_down;min;2070;4.5,32260,0,clim_down,min,2070,4.5,lassa
clim_down;min;2070;6,35093,0,clim_down,min,2070,6,lassa
clim_down;min;2070;8.5,31302,0,clim_down,min,2070,8.5,lassa
clim_down;min;2080;2.6,36686,0,clim_down,min,2080,2.6,lassa
clim_down;min;2080;4.5,37692,0,clim_down,min,2080,4.5,lassa
clim_down;min;2080;6,34666,0,clim_down,min,2080,6,lassa
clim_down;min;2080;8.5,31808,0,clim_down,min,2080,8.5,lassa
clim_up;max;2030;2.6,66006,3486,clim_up,max,2030,2.6,lassa
clim_up;max;2030;4.5,60922,3488,clim_up,max,2030,4.5,lassa
clim_up;max;2030;8.5,63358,3492,clim_up,max,2030,8.5,lassa
clim_up;max;2050;2.6,60985,3484,clim_up,max,2050,2.6,lassa
clim_up;max;2050;4.5,58322,3477,clim_up,max,2050,4.5,lassa
clim_up;max;2050;6,61427,3477,clim_up,max,2050,6,lassa
clim_up;max;2050;8.5,67855,3488,clim_up,max,2050,8.5,lassa
clim_up;max;2070;2.6,62353,3489,clim_up,max,2070,2.6,lassa
clim_up;max;2070;4.5,66613,3485,clim_up,max,2070,4.5,lassa
clim_up;max;2070;6,65208,3493,clim_up,max,2070,6,lassa
clim_up;max;2070;8.5,66587,3488,clim_up,max,2070,8.5,lassa
clim_up;max;2080;2.6,57704,3485,clim_up,max,2080,2.6,lassa
clim_up;max;2080;4.5,67291,3484,clim_up,max,2080,4.5,lassa
clim_up;max;2080;6,65986,3480,clim_up,max,2080,6,lassa
clim_up;max;2080;8.5,71793,3491,clim_up,max,2080,8.5,lassa
clim_up;mean;2030;2.6,73833,3632,clim_up,mean,2030,2.6,lassa
clim_up;mean;2030;4.5,68219,3628,clim_up,mean,2030,4.5,lassa
clim_up;mean;2030;8.5,70817,3622,clim_up,mean,2030,8.5,lassa
