year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,10,-128,clim_down,max,2030,2.6,lechiguanas
clim_down;max;2050;4.5,4,-14,clim_down,max,2050,4.5,lechiguanas
clim_down;mean;2030;2.6,5019,-1031,clim_down,mean,2030,2.6,lechiguanas
clim_down;mean;2030;4.5,5683,-506,clim_down,mean,2030,4.5,lechiguanas
clim_down;mean;2050;2.6,4067,-2106,clim_down,mean,2050,2.6,lechiguanas
clim_down;mean;2050;4.5,3812,-294,clim_down,mean,2050,4.5,lechiguanas
clim_down;mean;2050;8.5,2210,-2785,clim_down,mean,2050,8.5,lechiguanas
clim_down;mean;2070;2.6,2306,-925,clim_down,mean,2070,2.6,lechiguanas
clim_down;mean;2070;4.5,6372,-635,clim_down,mean,2070,4.5,lechiguanas
clim_down;mean;2070;6,2766,-3914,clim_down,mean,2070,6,lechiguanas
clim_down;mean;2070;8.5,3360,-3814,clim_down,mean,2070,8.5,lechiguanas
clim_down;mean;2080;2.6,3845,-2916,clim_down,mean,2080,2.6,lechiguanas
clim_down;mean;2080;4.5,5604,-921,clim_down,mean,2080,4.5,lechiguanas
clim_down;mean;2080;6,2044,-2589,clim_down,mean,2080,6,lechiguanas
clim_down;mean;2080;8.5,2791,-4256,clim_down,mean,2080,8.5,lechiguanas
clim_down;min;2030;2.6,27572,-18892,clim_down,min,2030,2.6,lechiguanas
clim_down;min;2030;4.5,32637,-7507,clim_down,min,2030,4.5,lechiguanas
clim_down;min;2050;2.6,24181,-24890,clim_down,min,2050,2.6,lechiguanas
clim_down;min;2050;4.5,34410,-12176,clim_down,min,2050,4.5,lechiguanas
clim_down;min;2050;8.5,12627,-36392,clim_down,min,2050,8.5,lechiguanas
clim_down;min;2070;2.6,10715,-9381,clim_down,min,2070,2.6,lechiguanas
clim_down;min;2070;4.5,38495,-10827,clim_down,min,2070,4.5,lechiguanas
clim_down;min;2070;6,16030,-33716,clim_down,min,2070,6,lechiguanas
clim_down;min;2070;8.5,13273,-35331,clim_down,min,2070,8.5,lechiguanas
clim_down;min;2080;2.6,20597,-26995,clim_down,min,2080,2.6,lechiguanas
