year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,818,-286,clim_down,max,2030,2.6,lee
clim_down;max;2030;4.5,611,-177,clim_down,max,2030,4.5,lee
clim_down;max;2030;6,1968,-903,clim_down,max,2030,6,lee
clim_down;max;2030;8.5,2001,-482,clim_down,max,2030,8.5,lee
clim_down;max;2050;2.6,1472,-641,clim_down,max,2050,2.6,lee
clim_down;max;2050;4.5,1332,-554,clim_down,max,2050,4.5,lee
clim_down;max;2050;6,1406,-241,clim_down,max,2050,6,lee
clim_down;max;2050;8.5,1629,-326,clim_down,max,2050,8.5,lee
clim_down;max;2070;2.6,1728,-555,clim_down,max,2070,2.6,lee
clim_down;max;2070;4.5,1632,-682,clim_down,max,2070,4.5,lee
clim_down;max;2070;6,702,-159,clim_down,max,2070,6,lee
clim_down;max;2070;8.5,2142,-586,clim_down,max,2070,8.5,lee
clim_down;max;2080;2.6,1374,-487,clim_down,max,2080,2.6,lee
clim_down;max;2080;4.5,1356,-722,clim_down,max,2080,4.5,lee
clim_down;max;2080;6,612,-263,clim_down,max,2080,6,lee
clim_down;max;2080;8.5,1337,-951,clim_down,max,2080,8.5,lee
clim_down;mean;2030;2.6,1086,-195,clim_down,mean,2030,2.6,lee
clim_down;mean;2030;4.5,812,-135,clim_down,mean,2030,4.5,lee
clim_down;mean;2030;6,2453,-925,clim_down,mean,2030,6,lee
clim_down;mean;2030;8.5,2423,-424,clim_down,mean,2030,8.5,lee
clim_down;mean;2050;2.6,1916,-554,clim_down,mean,2050,2.6,lee
clim_down;mean;2050;4.5,1771,-497,clim_down,mean,2050,4.5,lee
clim_down;mean;2050;6,1673,-175,clim_down,mean,2050,6,lee
clim_down;mean;2050;8.5,1941,-228,clim_down,mean,2050,8.5,lee
clim_down;mean;2070;2.6,2140,-393,clim_down,mean,2070,2.6,lee
clim_down;mean;2070;4.5,2137,-600,clim_down,mean,2070,4.5,lee
clim_down;mean;2070;6,866,-106,clim_down,mean,2070,6,lee
clim_down;mean;2070;8.5,2600,-462,clim_down,mean,2070,8.5,lee
clim_down;mean;2080;2.6,1766,-399,clim_down,mean,2080,2.6,lee
clim_down;mean;2080;4.5,1792,-647,clim_down,mean,2080,4.5,lee
clim_down;mean;2080;6,840,-189,clim_down,mean,2080,6,lee
clim_down;mean;2080;8.5,1714,-937,clim_down,mean,2080,8.5,lee
clim_down;min;2030;2.6,1283,-7,clim_down,min,2030,2.6,lee
clim_down;min;2030;4.5,949,-12,clim_down,min,2030,4.5,lee
clim_down;min;2030;6,3249,-378,clim_down,min,2030,6,lee
clim_down;min;2030;8.5,2850,-65,clim_down,min,2030,8.5,lee
clim_down;min;2050;2.6,2442,-98,clim_down,min,2050,2.6,lee
clim_down;min;2050;4.5,2263,-147,clim_down,min,2050,4.5,lee
clim_down;min;2050;6,1854,-39,clim_down,min,2050,6,lee
clim_down;min;2050;8.5,2171,-67,clim_down,min,2050,8.5,lee
clim_down;min;2070;2.6,2506,-83,clim_down,min,2070,2.6,lee
clim_down;min;2070;4.5,2712,-168,clim_down,min,2070,4.5,lee
clim_down;min;2070;6,974,-11,clim_down,min,2070,6,lee
clim_down;min;2070;8.5,3048,-154,clim_down,min,2070,8.5,lee
clim_down;min;2080;2.6,2149,-60,clim_down,min,2080,2.6,lee
clim_down;min;2080;4.5,2391,-170,clim_down,min,2080,4.5,lee
clim_down;min;2080;6,1028,-63,clim_down,min,2080,6,lee
clim_down;min;2080;8.5,2391,-458,clim_down,min,2080,8.5,lee
clim_up;max;2030;2.6,3629,32,clim_up,max,2030,2.6,lee
clim_up;max;2030;4.5,3986,36,clim_up,max,2030,4.5,lee
clim_up;max;2030;6,2497,35,clim_up,max,2030,6,lee
clim_up;max;2030;8.5,2549,36,clim_up,max,2030,8.5,lee
clim_up;max;2050;2.6,2845,37,clim_up,max,2050,2.6,lee
clim_up;max;2050;4.5,3657,38,clim_up,max,2050,4.5,lee
clim_up;max;2050;6,2718,38,clim_up,max,2050,6,lee
clim_up;max;2050;8.5,2979,38,clim_up,max,2050,8.5,lee
clim_up;max;2070;2.6,2604,38,clim_up,max,2070,2.6,lee
clim_up;max;2070;4.5,3420,38,clim_up,max,2070,4.5,lee
clim_up;max;2070;6,4054,38,clim_up,max,2070,6,lee
clim_up;max;2070;8.5,2989,38,clim_up,max,2070,8.5,lee
clim_up;max;2080;2.6,2279,31,clim_up,max,2080,2.6,lee
clim_up;max;2080;4.5,4026,38,clim_up,max,2080,4.5,lee
clim_up;max;2080;6,4941,38,clim_up,max,2080,6,lee
clim_up;max;2080;8.5,3859,38,clim_up,max,2080,8.5,lee
clim_up;mean;2030;2.6,4059,30,clim_up,mean,2030,2.6,lee
clim_up;mean;2030;4.5,4400,34,clim_up,mean,2030,4.5,lee
clim_up;mean;2030;6,2855,33,clim_up,mean,2030,6,lee
clim_up;mean;2030;8.5,2886,34,clim_up,mean,2030,8.5,lee
clim_up;mean;2050;2.6,3243,33,clim_up,mean,2050,2.6,lee
clim_up;mean;2050;4.5,4107,35,clim_up,mean,2050,4.5,lee
clim_up;mean;2050;6,3095,34,clim_up,mean,2050,6,lee
clim_up;mean;2050;8.5,3374,35,clim_up,mean,2050,8.5,lee
clim_up;mean;2070;2.6,3050,33,clim_up,mean,2070,2.6,lee
clim_up;mean;2070;4.5,3813,35,clim_up,mean,2070,4.5,lee
clim_up;mean;2070;6,4539,35,clim_up,mean,2070,6,lee
clim_up;mean;2070;8.5,3466,36,clim_up,mean,2070,8.5,lee
clim_up;mean;2080;2.6,2619,25,clim_up,mean,2080,2.6,lee
clim_up;mean;2080;4.5,4499,35,clim_up,mean,2080,4.5,lee
clim_up;mean;2080;6,5457,34,clim_up,mean,2080,6,lee
clim_up;mean;2080;8.5,4345,36,clim_up,mean,2080,8.5,lee
clim_up;min;2030;2.6,4432,36,clim_up,min,2030,2.6,lee
clim_up;min;2030;4.5,4786,53,clim_up,min,2030,4.5,lee
clim_up;min;2030;6,3221,59,clim_up,min,2030,6,lee
clim_up;min;2030;8.5,3291,69,clim_up,min,2030,8.5,lee
clim_up;min;2050;2.6,3634,36,clim_up,min,2050,2.6,lee
clim_up;min;2050;4.5,4617,78,clim_up,min,2050,4.5,lee
clim_up;min;2050;6,3524,74,clim_up,min,2050,6,lee
clim_up;min;2050;8.5,3850,78,clim_up,min,2050,8.5,lee
clim_up;min;2070;2.6,3536,48,clim_up,min,2070,2.6,lee
clim_up;min;2070;4.5,4257,77,clim_up,min,2070,4.5,lee
clim_up;min;2070;6,5045,78,clim_up,min,2070,6,lee
clim_up;min;2070;8.5,3972,76,clim_up,min,2070,8.5,lee
clim_up;min;2080;2.6,2967,17,clim_up,min,2080,2.6,lee
clim_up;min;2080;4.5,5015,78,clim_up,min,2080,4.5,lee
clim_up;min;2080;6,6010,78,clim_up,min,2080,6,lee
clim_up;min;2080;8.5,4892,78,clim_up,min,2080,8.5,lee
dummy;max;2030;2.6,6784,-345,dummy,max,2030,2.6,lee
dummy;max;2030;4.5,6922,-207,dummy,max,2030,4.5,lee
dummy;max;2030;6,6247,-882,dummy,max,2030,6,lee
dummy;max;2030;8.5,6611,-518,dummy,max,2030,8.5,lee
dummy;max;2050;2.6,6458,-671,dummy,max,2050,2.6,lee
dummy;max;2050;4.5,6563,-566,dummy,max,2050,4.5,lee
dummy;max;2050;6,6806,-323,dummy,max,2050,6,lee
dummy;max;2050;8.5,6733,-396,dummy,max,2050,8.5,lee
dummy;max;2070;2.6,6499,-630,dummy,max,2070,2.6,lee
dummy;max;2070;4.5,6432,-697,dummy,max,2070,4.5,lee
dummy;max;2070;6,6935,-194,dummy,max,2070,6,lee
dummy;max;2070;8.5,6514,-615,dummy,max,2070,8.5,lee
dummy;max;2080;2.6,6519,-610,dummy,max,2080,2.6,lee
dummy;max;2080;4.5,6417,-712,dummy,max,2080,4.5,lee
dummy;max;2080;6,6850,-279,dummy,max,2080,6,lee
dummy;max;2080;8.5,6174,-955,dummy,max,2080,8.5,lee
dummy;mean;2030;2.6,7949,-213,dummy,mean,2030,2.6,lee
dummy;mean;2030;4.5,8029,-133,dummy,mean,2030,4.5,lee
dummy;mean;2030;6,7250,-912,dummy,mean,2030,6,lee
dummy;mean;2030;8.5,7715,-447,dummy,mean,2030,8.5,lee
dummy;mean;2050;2.6,7547,-615,dummy,mean,2050,2.6,lee
dummy;mean;2050;4.5,7671,-491,dummy,mean,2050,4.5,lee
dummy;mean;2050;6,7965,-197,dummy,mean,2050,6,lee
dummy;mean;2050;8.5,7901,-261,dummy,mean,2050,8.5,lee
dummy;mean;2070;2.6,7621,-541,dummy,mean,2070,2.6,lee
dummy;mean;2070;4.5,7563,-599,dummy,mean,2070,4.5,lee
dummy;mean;2070;6,8042,-120,dummy,mean,2070,6,lee
dummy;mean;2070;8.5,7665,-497,dummy,mean,2070,8.5,lee
dummy;mean;2080;2.6,7598,-564,dummy,mean,2080,2.6,lee
dummy;mean;2080;4.5,7526,-636,dummy,mean,2080,4.5,lee
dummy;mean;2080;6,7966,-196,dummy,mean,2080,6,lee
dummy;mean;2080;8.5,7192,-970,dummy,mean,2080,8.5,lee
dummy;min;2030;2.6,9075,1,dummy,min,2030,2.6,lee
dummy;min;2030;4.5,9085,11,dummy,min,2030,4.5,lee
dummy;min;2030;6,8696,-378,dummy,min,2030,6,lee
dummy;min;2030;8.5,8971,-103,dummy,min,2030,8.5,lee
dummy;min;2050;2.6,8817,-257,dummy,min,2050,2.6,lee
dummy;min;2050;4.5,8958,-116,dummy,min,2050,4.5,lee
dummy;min;2050;6,9024,-50,dummy,min,2050,6,lee
dummy;min;2050;8.5,8991,-83,dummy,min,2050,8.5,lee
dummy;min;2070;2.6,8878,-196,dummy,min,2070,2.6,lee
dummy;min;2070;4.5,8889,-185,dummy,min,2070,4.5,lee
dummy;min;2070;6,9058,-16,dummy,min,2070,6,lee
dummy;min;2070;8.5,8884,-190,dummy,min,2070,8.5,lee
dummy;min;2080;2.6,8822,-252,dummy,min,2080,2.6,lee
dummy;min;2080;4.5,8918,-156,dummy,min,2080,4.5,lee
dummy;min;2080;6,8989,-85,dummy,min,2080,6,lee
dummy;min;2080;8.5,8614,-460,dummy,min,2080,8.5,lee
lu_down;max;2030;2.6,6405,-295,lu_down,max,2030,2.6,lee
lu_down;max;2030;4.5,19,0,lu_down,max,2030,4.5,lee
lu_down;max;2030;6,5,-46,lu_down,max,2030,6,lee
lu_down;max;2030;8.5,1461,-39,lu_down,max,2030,8.5,lee
lu_down;max;2050;2.6,6447,-671,lu_down,max,2050,2.6,lee
lu_down;max;2050;4.5,507,1,lu_down,max,2050,4.5,lee
lu_down;max;2050;6,208,-88,lu_down,max,2050,6,lee
lu_down;max;2050;8.5,3873,-103,lu_down,max,2050,8.5,lee
lu_down;max;2070;2.6,6485,-630,lu_down,max,2070,2.6,lee
lu_down;max;2070;4.5,3196,-21,lu_down,max,2070,4.5,lee
lu_down;max;2070;6,1385,-110,lu_down,max,2070,6,lee
lu_down;max;2070;8.5,4731,-297,lu_down,max,2070,8.5,lee
lu_down;max;2080;2.6,6513,-610,lu_down,max,2080,2.6,lee
lu_down;max;2080;4.5,3842,-41,lu_down,max,2080,4.5,lee
lu_down;max;2080;6,2740,-152,lu_down,max,2080,6,lee
lu_down;max;2080;8.5,4804,-589,lu_down,max,2080,8.5,lee
lu_down;mean;2030;2.6,7425,-160,lu_down,mean,2030,2.6,lee
lu_down;mean;2030;4.5,19,0,lu_down,mean,2030,4.5,lee
lu_down;mean;2030;6,16,-100,lu_down,mean,2030,6,lee
lu_down;mean;2030;8.5,1575,-119,lu_down,mean,2030,8.5,lee
lu_down;mean;2050;2.6,7490,-598,lu_down,mean,2050,2.6,lee
