year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,15223,-10661,clim_down,max,2030,2.6,leishmania amazonensis
clim_down;max;2030;4.5,20840,-15981,clim_down,max,2030,4.5,leishmania amazonensis
clim_down;max;2030;6,18313,-18816,clim_down,max,2030,6,leishmania amazonensis
clim_down;max;2030;8.5,22791,-14669,clim_down,max,2030,8.5,leishmania amazonensis
clim_down;max;2050;2.6,25955,-13436,clim_down,max,2050,2.6,leishmania amazonensis
clim_down;max;2050;4.5,27174,-15779,clim_down,max,2050,4.5,leishmania amazonensis
clim_down;max;2050;6,24073,-18457,clim_down,max,2050,6,leishmania amazonensis
clim_down;max;2050;8.5,21946,-13355,clim_down,max,2050,8.5,leishmania amazonensis
clim_down;max;2070;2.6,24604,-7389,clim_down,max,2070,2.6,leishmania amazonensis
clim_down;max;2070;4.5,27109,-15738,clim_down,max,2070,4.5,leishmania amazonensis
clim_down;max;2070;6,40365,-38686,clim_down,max,2070,6,leishmania amazonensis
clim_down;max;2070;8.5,13752,-1731,clim_down,max,2070,8.5,leishmania amazonensis
clim_down;max;2080;2.6,33484,-12116,clim_down,max,2080,2.6,leishmania amazonensis
clim_down;max;2080;4.5,23475,-17745,clim_down,max,2080,4.5,leishmania amazonensis
clim_down;max;2080;6,22882,-25356,clim_down,max,2080,6,leishmania amazonensis
clim_down;max;2080;8.5,23109,-23619,clim_down,max,2080,8.5,leishmania amazonensis
clim_down;mean;2030;2.6,51697,-658,clim_down,mean,2030,2.6,leishmania amazonensis
clim_down;mean;2030;4.5,72941,-472,clim_down,mean,2030,4.5,leishmania amazonensis
clim_down;mean;2030;6,84782,-3017,clim_down,mean,2030,6,leishmania amazonensis
clim_down;mean;2030;8.5,71772,-1041,clim_down,mean,2030,8.5,leishmania amazonensis
clim_down;mean;2050;2.6,68307,-283,clim_down,mean,2050,2.6,leishmania amazonensis
clim_down;mean;2050;4.5,73684,-472,clim_down,mean,2050,4.5,leishmania amazonensis
clim_down;mean;2050;6,79552,-613,clim_down,mean,2050,6,leishmania amazonensis
clim_down;mean;2050;8.5,64616,-426,clim_down,mean,2050,8.5,leishmania amazonensis
clim_down;mean;2070;2.6,61054,-730,clim_down,mean,2070,2.6,leishmania amazonensis
