year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP
clim_down;max;2030;8.5,1837,-64,clim_down,max,2030,8.5
clim_down;max;2050;2.6,8824,-466,clim_down,max,2050,2.6
clim_down;max;2050;4.5,1182,-130,clim_down,max,2050,4.5
clim_down;max;2050;6,2843,-336,clim_down,max,2050,6
clim_down;max;2070;4.5,662,-84,clim_down,max,2070,4.5
clim_down;max;2070;6,556,-200,clim_down,max,2070,6
clim_down;max;2070;8.5,1486,-138,clim_down,max,2070,8.5
clim_down;max;2080;2.6,6173,-44,clim_down,max,2080,2.6
clim_down;max;2080;4.5,670,-31,clim_down,max,2080,4.5
clim_down;max;2080;6,2193,-166,clim_down,max,2080,6
clim_down;max;2080;8.5,3022,-70,clim_down,max,2080,8.5
clim_down;mean;2030;8.5,3317,-34,clim_down,mean,2030,8.5
clim_down;mean;2050;2.6,20385,1660,clim_down,mean,2050,2.6
clim_down;mean;2050;4.5,2012,-317,clim_down,mean,2050,4.5
clim_down;mean;2050;6,3839,-660,clim_down,mean,2050,6
clim_down;mean;2070;4.5,1194,-334,clim_down,mean,2070,4.5
clim_down;mean;2070;6,1062,-410,clim_down,mean,2070,6
clim_down;mean;2070;8.5,4868,263,clim_down,mean,2070,8.5
clim_down;mean;2080;2.6,11157,232,clim_down,mean,2080,2.6
clim_down;mean;2080;4.5,1076,-243,clim_down,mean,2080,4.5
clim_down;mean;2080;6,3161,-895,clim_down,mean,2080,6
clim_down;mean;2080;8.5,8984,457,clim_down,mean,2080,8.5
clim_down;min;2030;8.5,9301,-58,clim_down,min,2030,8.5
clim_down;min;2050;2.6,35797,72,clim_down,min,2050,2.6
clim_down;min;2050;4.5,7885,-335,clim_down,min,2050,4.5
clim_down;min;2050;6,8408,-183,clim_down,min,2050,6
clim_down;min;2070;4.5,7357,-358,clim_down,min,2070,4.5
clim_down;min;2070;6,4037,-62,clim_down,min,2070,6
clim_down;min;2070;8.5,6714,-81,clim_down,min,2070,8.5
clim_down;min;2080;2.6,20408,167,clim_down,min,2080,2.6
clim_down;min;2080;4.5,6813,-334,clim_down,min,2080,4.5
clim_down;min;2080;6,8688,-347,clim_down,min,2080,6
clim_down;min;2080;8.5,15623,-34,clim_down,min,2080,8.5
clim_up;max;2030;8.5,163645,-12124,clim_up,max,2030,8.5
clim_up;max;2050;2.6,136692,-3360,clim_up,max,2050,2.6
clim_up;max;2050;4.5,153182,-26850,clim_up,max,2050,4.5
clim_up;max;2050;6,135789,-25211,clim_up,max,2050,6
clim_up;max;2070;4.5,172256,-39605,clim_up,max,2070,4.5
clim_up;max;2070;6,167375,-30232,clim_up,max,2070,6
clim_up;max;2070;8.5,210356,-34446,clim_up,max,2070,8.5
clim_up;max;2080;2.6,168213,-5581,clim_up,max,2080,2.6
clim_up;max;2080;4.5,158880,-45320,clim_up,max,2080,4.5
clim_up;max;2080;6,169745,-32016,clim_up,max,2080,6
clim_up;max;2080;8.5,184707,-32667,clim_up,max,2080,8.5
clim_up;mean;2030;8.5,336251,-9159,clim_up,mean,2030,8.5
clim_up;mean;2050;2.6,279800,1791,clim_up,mean,2050,2.6
clim_up;mean;2050;4.5,293680,-65898,clim_up,mean,2050,4.5
clim_up;mean;2050;6,241483,-83263,clim_up,mean,2050,6
clim_up;mean;2070;4.5,346704,-91828,clim_up,mean,2070,4.5
clim_up;mean;2070;6,304411,-101680,clim_up,mean,2070,6
clim_up;mean;2070;8.5,468136,-28216,clim_up,mean,2070,8.5
clim_up;mean;2080;2.6,349118,347,clim_up,mean,2080,2.6
clim_up;mean;2080;4.5,333240,-89253,clim_up,mean,2080,4.5
clim_up;mean;2080;6,319918,-106954,clim_up,mean,2080,6
clim_up;mean;2080;8.5,417533,-26716,clim_up,mean,2080,8.5
clim_up;min;2030;8.5,1155018,-26501,clim_up,min,2030,8.5
clim_up;min;2050;2.6,936626,5067,clim_up,min,2050,2.6
clim_up;min;2050;4.5,1257107,-33758,clim_up,min,2050,4.5
clim_up;min;2050;6,1144669,-28080,clim_up,min,2050,6
clim_up;min;2070;4.5,1506168,-50085,clim_up,min,2070,4.5
clim_up;min;2070;6,1345455,-41380,clim_up,min,2070,6
clim_up;min;2070;8.5,1663286,-51776,clim_up,min,2070,8.5
clim_up;min;2080;2.6,1232345,6218,clim_up,min,2080,2.6
clim_up;min;2080;4.5,1434804,-45546,clim_up,min,2080,4.5
clim_up;min;2080;6,1451138,-49923,clim_up,min,2080,6
clim_up;min;2080;8.5,1544234,-52367,clim_up,min,2080,8.5
dummy;max;2030;8.5,280923,-22286,dummy,max,2030,8.5
dummy;max;2050;2.6,292302,-10904,dummy,max,2050,2.6
dummy;max;2050;4.5,262143,-41066,dummy,max,2050,4.5
dummy;max;2050;6,252924,-50285,dummy,max,2050,6
dummy;max;2070;4.5,253069,-50140,dummy,max,2070,4.5
dummy;max;2070;6,252155,-51054,dummy,max,2070,6
dummy;max;2070;8.5,262338,-40871,dummy,max,2070,8.5
dummy;max;2080;2.6,289581,-13628,dummy,max,2080,2.6
dummy;max;2080;4.5,242812,-60397,dummy,max,2080,4.5
dummy;max;2080;6,252724,-50485,dummy,max,2080,6
dummy;max;2080;8.5,257720,-45489,dummy,max,2080,8.5
dummy;mean;2030;8.5,639248,-21319,dummy,mean,2030,8.5
dummy;mean;2050;2.6,658756,-1718,dummy,mean,2050,2.6
dummy;mean;2050;4.5,559649,-100923,dummy,mean,2050,4.5
dummy;mean;2050;6,514351,-146215,dummy,mean,2050,6
dummy;mean;2070;4.5,547876,-112699,dummy,mean,2070,4.5
dummy;mean;2070;6,514449,-146125,dummy,mean,2070,6
dummy;mean;2070;8.5,623188,-37387,dummy,mean,2070,8.5
dummy;mean;2080;2.6,661618,1046,dummy,mean,2080,2.6
dummy;mean;2080;4.5,538465,-122110,dummy,mean,2080,4.5
dummy;mean;2080;6,517136,-143439,dummy,mean,2080,6
dummy;mean;2080;8.5,618532,-42043,dummy,mean,2080,8.5
dummy;min;2030;8.5,2187572,-43639,dummy,min,2030,8.5
dummy;min;2050;2.6,2239266,8366,dummy,min,2050,2.6
dummy;min;2050;4.5,2177563,-53694,dummy,min,2050,4.5
dummy;min;2050;6,2184411,-46784,dummy,min,2050,6
dummy;min;2070;4.5,2171382,-59929,dummy,min,2070,4.5
dummy;min;2070;6,2172648,-58642,dummy,min,2070,6
dummy;min;2070;8.5,2176058,-55252,dummy,min,2070,8.5
dummy;min;2080;2.6,2243128,11869,dummy,min,2080,2.6
dummy;min;2080;4.5,2169496,-61809,dummy,min,2080,4.5
dummy;min;2080;6,2166739,-64571,dummy,min,2080,6
dummy;min;2080;8.5,2174728,-56584,dummy,min,2080,8.5
lu_down;max;2030;8.5,7168,-49,lu_down,max,2030,8.5
lu_down;max;2050;2.6,2342,0,lu_down,max,2050,2.6
lu_down;max;2050;4.5,6158,-2685,lu_down,max,2050,4.5
lu_down;max;2050;6,7813,-66,lu_down,max,2050,6
lu_down;max;2070;4.5,11509,-2806,lu_down,max,2070,4.5
lu_down;max;2070;6,11256,-106,lu_down,max,2070,6
lu_down;max;2070;8.5,12345,-90,lu_down,max,2070,8.5
lu_down;max;2080;2.6,2591,0,lu_down,max,2080,2.6
lu_down;max;2080;4.5,13978,-2858,lu_down,max,2080,4.5
lu_down;max;2080;6,12922,-138,lu_down,max,2080,6
lu_down;max;2080;8.5,13136,-93,lu_down,max,2080,8.5
lu_down;mean;2030;8.5,7201,0,lu_down,mean,2030,8.5
lu_down;mean;2050;2.6,2342,0,lu_down,mean,2050,2.6
lu_down;mean;2050;4.5,6724,-2166,lu_down,mean,2050,4.5
lu_down;mean;2050;6,7859,-4,lu_down,mean,2050,6
lu_down;mean;2070;4.5,12108,-2273,lu_down,mean,2070,4.5
lu_down;mean;2070;6,11314,-32,lu_down,mean,2070,6
lu_down;mean;2070;8.5,12403,-16,lu_down,mean,2070,8.5
lu_down;mean;2080;2.6,2591,0,lu_down,mean,2080,2.6
lu_down;mean;2080;4.5,14595,-2307,lu_down,mean,2080,4.5
lu_down;mean;2080;6,12994,-50,lu_down,mean,2080,6
lu_down;mean;2080;8.5,13196,-17,lu_down,mean,2080,8.5
lu_down;min;2030;8.5,7217,0,lu_down,min,2030,8.5
lu_down;min;2050;2.6,2342,0,lu_down,min,2050,2.6
lu_down;min;2050;4.5,8456,-654,lu_down,min,2050,4.5
lu_down;min;2050;6,7879,0,lu_down,min,2050,6
lu_down;min;2070;4.5,13323,-1278,lu_down,min,2070,4.5
lu_down;min;2070;6,11362,0,lu_down,min,2070,6
lu_down;min;2070;8.5,12435,0,lu_down,min,2070,8.5
lu_down;min;2080;2.6,2591,0,lu_down,min,2080,2.6
lu_down;min;2080;4.5,15828,-1294,lu_down,min,2080,4.5
lu_down;min;2080;6,13060,-45,lu_down,min,2080,6
lu_down;min;2080;8.5,13229,0,lu_down,min,2080,8.5
lu_up;max;2030;8.5,568,0,lu_up,max,2030,8.5
lu_up;max;2050;2.6,9067,54,lu_up,max,2050,2.6
lu_up;max;2050;4.5,758,0,lu_up,max,2050,4.5
lu_up;max;2050;6,2788,0,lu_up,max,2050,6
lu_up;max;2070;4.5,343,0,lu_up,max,2070,4.5
lu_up;max;2070;6,5362,0,lu_up,max,2070,6
lu_up;max;2070;8.5,827,0,lu_up,max,2070,8.5
lu_up;max;2080;2.6,9910,78,lu_up,max,2080,2.6
lu_up;max;2080;4.5,138,0,lu_up,max,2080,4.5
lu_up;max;2080;6,6834,0,lu_up,max,2080,6
lu_up;max;2080;8.5,890,0,lu_up,max,2080,8.5
lu_up;mean;2030;8.5,568,0,lu_up,mean,2030,8.5
lu_up;mean;2050;2.6,9052,0,lu_up,mean,2050,2.6
lu_up;mean;2050;4.5,758,0,lu_up,mean,2050,4.5
