year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,6684,-99,clim_down,max,2030,2.6,ljungan
clim_down;max;2030;4.5,5792,-68,clim_down,max,2030,4.5,ljungan
clim_down;max;2030;6,10974,-3319,clim_down,max,2030,6,ljungan
clim_down;max;2030;8.5,6351,-16,clim_down,max,2030,8.5,ljungan
clim_down;max;2050;2.6,3762,-1,clim_down,max,2050,2.6,ljungan
clim_down;max;2050;4.5,2504,-1,clim_down,max,2050,4.5,ljungan
clim_down;max;2050;6,10365,-56,clim_down,max,2050,6,ljungan
clim_down;max;2050;8.5,11204,-52,clim_down,max,2050,8.5,ljungan
clim_down;max;2070;2.6,11709,-149,clim_down,max,2070,2.6,ljungan
clim_down;max;2070;4.5,11299,-200,clim_down,max,2070,4.5,ljungan
clim_down;max;2070;6,8090,-33,clim_down,max,2070,6,ljungan
clim_down;max;2070;8.5,16081,-470,clim_down,max,2070,8.5,ljungan
clim_down;max;2080;2.6,10025,-47,clim_down,max,2080,2.6,ljungan
clim_down;max;2080;4.5,9261,-19,clim_down,max,2080,4.5,ljungan
clim_down;max;2080;6,20322,-6087,clim_down,max,2080,6,ljungan
clim_down;max;2080;8.5,21067,-2535,clim_down,max,2080,8.5,ljungan
clim_down;mean;2030;2.6,6734,-67,clim_down,mean,2030,2.6,ljungan
clim_down;mean;2030;4.5,5860,-8,clim_down,mean,2030,4.5,ljungan
clim_down;mean;2030;6,12088,-2306,clim_down,mean,2030,6,ljungan
clim_down;mean;2030;8.5,6356,-11,clim_down,mean,2030,8.5,ljungan
clim_down;mean;2050;2.6,3766,-1,clim_down,mean,2050,2.6,ljungan
clim_down;mean;2050;4.5,2505,0,clim_down,mean,2050,4.5,ljungan
clim_down;mean;2050;6,10393,-33,clim_down,mean,2050,6,ljungan
clim_down;mean;2050;8.5,11220,-41,clim_down,mean,2050,8.5,ljungan
clim_down;mean;2070;2.6,11775,-86,clim_down,mean,2070,2.6,ljungan
clim_down;mean;2070;4.5,11453,-46,clim_down,mean,2070,4.5,ljungan
clim_down;mean;2070;6,8103,-25,clim_down,mean,2070,6,ljungan
clim_down;mean;2070;8.5,16257,-297,clim_down,mean,2070,8.5,ljungan
clim_down;mean;2080;2.6,10052,-23,clim_down,mean,2080,2.6,ljungan
clim_down;mean;2080;4.5,9270,-15,clim_down,mean,2080,4.5,ljungan
clim_down;mean;2080;6,22160,-4443,clim_down,mean,2080,6,ljungan
clim_down;mean;2080;8.5,22192,-1582,clim_down,mean,2080,8.5,ljungan
clim_down;min;2030;2.6,6796,-67,clim_down,min,2030,2.6,ljungan
clim_down;min;2030;4.5,5903,-29,clim_down,min,2030,4.5,ljungan
clim_down;min;2030;6,13834,-921,clim_down,min,2030,6,ljungan
clim_down;min;2030;8.5,6477,-5,clim_down,min,2030,8.5,ljungan
clim_down;min;2050;2.6,3786,-1,clim_down,min,2050,2.6,ljungan
clim_down;min;2050;4.5,2571,0,clim_down,min,2050,4.5,ljungan
clim_down;min;2050;6,10484,-24,clim_down,min,2050,6,ljungan
clim_down;min;2050;8.5,11275,-28,clim_down,min,2050,8.5,ljungan
clim_down;min;2070;2.6,11851,-47,clim_down,min,2070,2.6,ljungan
clim_down;min;2070;4.5,11530,-12,clim_down,min,2070,4.5,ljungan
clim_down;min;2070;6,8154,-18,clim_down,min,2070,6,ljungan
clim_down;min;2070;8.5,16664,-167,clim_down,min,2070,8.5,ljungan
clim_down;min;2080;2.6,10090,-16,clim_down,min,2080,2.6,ljungan
clim_down;min;2080;4.5,9338,-5,clim_down,min,2080,4.5,ljungan
clim_down;min;2080;6,23913,-2914,clim_down,min,2080,6,ljungan
clim_down;min;2080;8.5,23049,-1013,clim_down,min,2080,8.5,ljungan
clim_up;max;2030;2.6,7214,376,clim_up,max,2030,2.6,ljungan
clim_up;max;2030;4.5,9472,1485,clim_up,max,2030,4.5,ljungan
clim_up;max;2030;6,9972,1104,clim_up,max,2030,6,ljungan
clim_up;max;2030;8.5,19042,2096,clim_up,max,2030,8.5,ljungan
clim_up;max;2050;2.6,13443,1954,clim_up,max,2050,2.6,ljungan
clim_up;max;2050;4.5,30655,2246,clim_up,max,2050,4.5,ljungan
clim_up;max;2050;6,9850,1379,clim_up,max,2050,6,ljungan
clim_up;max;2050;8.5,16023,2245,clim_up,max,2050,8.5,ljungan
clim_up;max;2070;2.6,10839,1509,clim_up,max,2070,2.6,ljungan
clim_up;max;2070;4.5,12041,2142,clim_up,max,2070,4.5,ljungan
clim_up;max;2070;6,10198,1553,clim_up,max,2070,6,ljungan
clim_up;max;2070;8.5,12936,2234,clim_up,max,2070,8.5,ljungan
clim_up;max;2080;2.6,7563,1042,clim_up,max,2080,2.6,ljungan
clim_up;max;2080;4.5,13363,2159,clim_up,max,2080,4.5,ljungan
clim_up;max;2080;6,7025,999,clim_up,max,2080,6,ljungan
clim_up;max;2080;8.5,9262,2206,clim_up,max,2080,8.5,ljungan
clim_up;mean;2030;2.6,7899,240,clim_up,mean,2030,2.6,ljungan
clim_up;mean;2030;4.5,9959,994,clim_up,mean,2030,4.5,ljungan
clim_up;mean;2030;6,10361,805,clim_up,mean,2030,6,ljungan
clim_up;mean;2030;8.5,19602,1627,clim_up,mean,2030,8.5,ljungan
clim_up;mean;2050;2.6,14226,1413,clim_up,mean,2050,2.6,ljungan
clim_up;mean;2050;4.5,31606,1759,clim_up,mean,2050,4.5,ljungan
clim_up;mean;2050;6,10425,1034,clim_up,mean,2050,6,ljungan
clim_up;mean;2050;8.5,16786,1757,clim_up,mean,2050,8.5,ljungan
clim_up;mean;2070;2.6,11461,1154,clim_up,mean,2070,2.6,ljungan
clim_up;mean;2070;4.5,12590,1637,clim_up,mean,2070,4.5,ljungan
clim_up;mean;2070;6,10878,1238,clim_up,mean,2070,6,ljungan
clim_up;mean;2070;8.5,13548,1771,clim_up,mean,2070,8.5,ljungan
clim_up;mean;2080;2.6,8000,679,clim_up,mean,2080,2.6,ljungan
clim_up;mean;2080;4.5,14060,1675,clim_up,mean,2080,4.5,ljungan
clim_up;mean;2080;6,7534,864,clim_up,mean,2080,6,ljungan
clim_up;mean;2080;8.5,9834,1739,clim_up,mean,2080,8.5,ljungan
clim_up;min;2030;2.6,9025,253,clim_up,min,2030,2.6,ljungan
clim_up;min;2030;4.5,10968,866,clim_up,min,2030,4.5,ljungan
clim_up;min;2030;6,11361,794,clim_up,min,2030,6,ljungan
clim_up;min;2030;8.5,20902,1488,clim_up,min,2030,8.5,ljungan
clim_up;min;2050;2.6,15431,1170,clim_up,min,2050,2.6,ljungan
clim_up;min;2050;4.5,33295,1603,clim_up,min,2050,4.5,ljungan
clim_up;min;2050;6,11564,969,clim_up,min,2050,6,ljungan
clim_up;min;2050;8.5,18180,1629,clim_up,min,2050,8.5,ljungan
clim_up;min;2070;2.6,12795,1165,clim_up,min,2070,2.6,ljungan
clim_up;min;2070;4.5,13824,1481,clim_up,min,2070,4.5,ljungan
clim_up;min;2070;6,12112,1212,clim_up,min,2070,6,ljungan
clim_up;min;2070;8.5,14878,1726,clim_up,min,2070,8.5,ljungan
clim_up;min;2080;2.6,8966,730,clim_up,min,2080,2.6,ljungan
clim_up;min;2080;4.5,15321,1541,clim_up,min,2080,4.5,ljungan
clim_up;min;2080;6,8703,1047,clim_up,min,2080,6,ljungan
clim_up;min;2080;8.5,11125,1640,clim_up,min,2080,8.5,ljungan
dummy;max;2030;2.6,46764,665,dummy,max,2030,2.6,ljungan
dummy;max;2030;4.5,47413,1314,dummy,max,2030,4.5,ljungan
dummy;max;2030;6,42870,-3229,dummy,max,2030,6,ljungan
dummy;max;2030;8.5,48310,2211,dummy,max,2030,8.5,ljungan
dummy;max;2050;2.6,48211,2112,dummy,max,2050,2.6,ljungan
dummy;max;2050;4.5,48345,2246,dummy,max,2050,4.5,ljungan
dummy;max;2050;6,47655,1556,dummy,max,2050,6,ljungan
dummy;max;2050;8.5,48298,2199,dummy,max,2050,8.5,ljungan
dummy;max;2070;2.6,47730,1631,dummy,max,2070,2.6,ljungan
dummy;max;2070;4.5,47489,1390,dummy,max,2070,4.5,ljungan
dummy;max;2070;6,48170,2071,dummy,max,2070,6,ljungan
dummy;max;2070;8.5,47091,992,dummy,max,2070,8.5,ljungan
dummy;max;2080;2.6,47844,1745,dummy,max,2080,2.6,ljungan
dummy;max;2080;4.5,48279,2180,dummy,max,2080,4.5,ljungan
dummy;max;2080;6,40255,-5844,dummy,max,2080,6,ljungan
dummy;max;2080;8.5,45291,-808,dummy,max,2080,8.5,ljungan
dummy;mean;2030;2.6,48111,521,dummy,mean,2030,2.6,ljungan
dummy;mean;2030;4.5,48545,955,dummy,mean,2030,4.5,ljungan
dummy;mean;2030;6,44968,-2622,dummy,mean,2030,6,ljungan
dummy;mean;2030;8.5,49339,1749,dummy,mean,2030,8.5,ljungan
dummy;mean;2050;2.6,49220,1630,dummy,mean,2050,2.6,ljungan
dummy;mean;2050;4.5,49359,1769,dummy,mean,2050,4.5,ljungan
dummy;mean;2050;6,48998,1408,dummy,mean,2050,6,ljungan
dummy;mean;2050;8.5,49321,1731,dummy,mean,2050,8.5,ljungan
dummy;mean;2070;2.6,48988,1398,dummy,mean,2070,2.6,ljungan
dummy;mean;2070;4.5,48724,1134,dummy,mean,2070,4.5,ljungan
dummy;mean;2070;6,49286,1696,dummy,mean,2070,6,ljungan
dummy;mean;2070;8.5,47975,385,dummy,mean,2070,8.5,ljungan
dummy;mean;2080;2.6,49046,1456,dummy,mean,2080,2.6,ljungan
dummy;mean;2080;4.5,49313,1723,dummy,mean,2080,4.5,ljungan
dummy;mean;2080;6,43216,-4374,dummy,mean,2080,6,ljungan
dummy;mean;2080;8.5,47271,-319,dummy,mean,2080,8.5,ljungan
dummy;min;2030;2.6,50570,493,dummy,min,2030,2.6,ljungan
dummy;min;2030;4.5,50867,790,dummy,min,2030,4.5,ljungan
dummy;min;2030;6,49062,-1015,dummy,min,2030,6,ljungan
dummy;min;2030;8.5,51706,1629,dummy,min,2030,8.5,ljungan
dummy;min;2050;2.6,51558,1481,dummy,min,2050,2.6,ljungan
dummy;min;2050;4.5,51717,1640,dummy,min,2050,4.5,ljungan
dummy;min;2050;6,51453,1376,dummy,min,2050,6,ljungan
dummy;min;2050;8.5,51702,1625,dummy,min,2050,8.5,ljungan
dummy;min;2070;2.6,51583,1506,dummy,min,2070,2.6,ljungan
dummy;min;2070;4.5,51318,1241,dummy,min,2070,4.5,ljungan
dummy;min;2070;6,51676,1599,dummy,min,2070,6,ljungan
dummy;min;2070;8.5,50343,266,dummy,min,2070,8.5,ljungan
dummy;min;2080;2.6,51428,1351,dummy,min,2080,2.6,ljungan
dummy;min;2080;4.5,51714,1637,dummy,min,2080,4.5,ljungan
dummy;min;2080;6,47522,-2555,dummy,min,2080,6,ljungan
dummy;min;2080;8.5,50197,120,dummy,min,2080,8.5,ljungan
lu_down;max;2030;2.6,10240,443,lu_down,max,2030,2.6,ljungan
lu_down;max;2030;4.5,5688,768,lu_down,max,2030,4.5,ljungan
lu_down;max;2030;6,10262,-525,lu_down,max,2030,6,ljungan
lu_down;max;2030;8.5,14646,662,lu_down,max,2030,8.5,ljungan
lu_down;max;2050;2.6,10862,1104,lu_down,max,2050,2.6,ljungan
lu_down;max;2050;4.5,9118,1019,lu_down,max,2050,4.5,ljungan
lu_down;max;2050;6,15877,258,lu_down,max,2050,6,ljungan
lu_down;max;2050;8.5,19777,851,lu_down,max,2050,8.5,ljungan
lu_down;max;2070;2.6,13504,932,lu_down,max,2070,2.6,ljungan
lu_down;max;2070;4.5,12689,1224,lu_down,max,2070,4.5,ljungan
lu_down;max;2070;6,18625,750,lu_down,max,2070,6,ljungan
lu_down;max;2070;8.5,22206,694,lu_down,max,2070,8.5,ljungan
lu_down;max;2080;2.6,15662,1257,lu_down,max,2080,2.6,ljungan
lu_down;max;2080;4.5,15147,1298,lu_down,max,2080,4.5,ljungan
lu_down;max;2080;6,16009,-2661,lu_down,max,2080,6,ljungan
lu_down;max;2080;8.5,22897,390,lu_down,max,2080,8.5,ljungan
lu_down;mean;2030;2.6,10507,350,lu_down,mean,2030,2.6,ljungan
lu_down;mean;2030;4.5,5805,598,lu_down,mean,2030,4.5,ljungan
lu_down;mean;2030;6,10642,-263,lu_down,mean,2030,6,ljungan
lu_down;mean;2030;8.5,14734,458,lu_down,mean,2030,8.5,ljungan
lu_down;mean;2050;2.6,11071,862,lu_down,mean,2050,2.6,ljungan
lu_down;mean;2050;4.5,9279,788,lu_down,mean,2050,4.5,ljungan
lu_down;mean;2050;6,16036,212,lu_down,mean,2050,6,ljungan
lu_down;mean;2050;8.5,19883,573,lu_down,mean,2050,8.5,ljungan
lu_down;mean;2070;2.6,14008,847,lu_down,mean,2070,2.6,ljungan
lu_down;mean;2070;4.5,12937,978,lu_down,mean,2070,4.5,ljungan
lu_down;mean;2070;6,18771,540,lu_down,mean,2070,6,ljungan
lu_down;mean;2070;8.5,22328,352,lu_down,mean,2070,8.5,ljungan
lu_down;mean;2080;2.6,16127,1089,lu_down,mean,2080,2.6,ljungan
lu_down;mean;2080;4.5,15456,1045,lu_down,mean,2080,4.5,ljungan
lu_down;mean;2080;6,16761,-2318,lu_down,mean,2080,6,ljungan
lu_down;mean;2080;8.5,23208,201,lu_down,mean,2080,8.5,ljungan
lu_down;min;2030;2.6,10920,282,lu_down,min,2030,2.6,ljungan
lu_down;min;2030;4.5,5970,463,lu_down,min,2030,4.5,ljungan
