year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,136210,-402,clim_down,max,2030,2.6,loa loa
clim_down;max;2030;4.5,165586,1238,clim_down,max,2030,4.5,loa loa
clim_down;max;2030;8.5,215501,3068,clim_down,max,2030,8.5,loa loa
clim_down;max;2050;2.6,168174,4597,clim_down,max,2050,2.6,loa loa
clim_down;max;2050;4.5,167988,2163,clim_down,max,2050,4.5,loa loa
clim_down;max;2050;6,190532,-1378,clim_down,max,2050,6,loa loa
clim_down;max;2050;8.5,255048,8527,clim_down,max,2050,8.5,loa loa
clim_down;max;2070;2.6,154724,6192,clim_down,max,2070,2.6,loa loa
clim_down;max;2070;4.5,231830,6846,clim_down,max,2070,4.5,loa loa
clim_down;max;2070;6,217868,-2596,clim_down,max,2070,6,loa loa
clim_down;max;2080;2.6,155099,8192,clim_down,max,2080,2.6,loa loa
clim_down;max;2080;4.5,247538,10568,clim_down,max,2080,4.5,loa loa
clim_down;max;2080;6,234759,-1600,clim_down,max,2080,6,loa loa
clim_down;max;2080;8.5,215434,22219,clim_down,max,2080,8.5,loa loa
clim_down;mean;2030;2.6,142138,1027,clim_down,mean,2030,2.6,loa loa
clim_down;mean;2030;4.5,171779,1163,clim_down,mean,2030,4.5,loa loa
clim_down;mean;2030;8.5,223418,2623,clim_down,mean,2030,8.5,loa loa
clim_down;mean;2050;2.6,176816,7193,clim_down,mean,2050,2.6,loa loa
clim_down;mean;2050;4.5,173187,2183,clim_down,mean,2050,4.5,loa loa
clim_down;mean;2050;6,201055,2027,clim_down,mean,2050,6,loa loa
clim_down;mean;2050;8.5,267658,10944,clim_down,mean,2050,8.5,loa loa
clim_down;mean;2070;2.6,163633,9610,clim_down,mean,2070,2.6,loa loa
clim_down;mean;2070;4.5,243724,9999,clim_down,mean,2070,4.5,loa loa
clim_down;mean;2070;6,232680,3669,clim_down,mean,2070,6,loa loa
clim_down;mean;2080;2.6,162607,10162,clim_down,mean,2080,2.6,loa loa
clim_down;mean;2080;4.5,259656,13396,clim_down,mean,2080,4.5,loa loa
clim_down;mean;2080;6,252525,6506,clim_down,mean,2080,6,loa loa
clim_down;mean;2080;8.5,224823,21454,clim_down,mean,2080,8.5,loa loa
clim_down;min;2030;2.6,152476,859,clim_down,min,2030,2.6,loa loa
clim_down;min;2030;4.5,186061,1621,clim_down,min,2030,4.5,loa loa
clim_down;min;2030;8.5,239861,865,clim_down,min,2030,8.5,loa loa
clim_down;min;2050;2.6,186363,3435,clim_down,min,2050,2.6,loa loa
clim_down;min;2050;4.5,184307,1709,clim_down,min,2050,4.5,loa loa
clim_down;min;2050;6,215418,926,clim_down,min,2050,6,loa loa
clim_down;min;2050;8.5,285711,6587,clim_down,min,2050,8.5,loa loa
clim_down;min;2070;2.6,169858,3300,clim_down,min,2070,2.6,loa loa
clim_down;min;2070;4.5,255393,2730,clim_down,min,2070,4.5,loa loa
clim_down;min;2070;6,247849,1683,clim_down,min,2070,6,loa loa
clim_down;min;2080;2.6,168810,3327,clim_down,min,2080,2.6,loa loa
