year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,1041,-3583,clim_down,max,2030,2.6,luxi
clim_down;max;2030;4.5,545,-2996,clim_down,max,2030,4.5,luxi
clim_down;max;2030;6,2624,-1832,clim_down,max,2030,6,luxi
clim_down;max;2030;8.5,2567,-2019,clim_down,max,2030,8.5,luxi
clim_down;max;2050;2.6,43,-4086,clim_down,max,2050,2.6,luxi
clim_down;max;2050;4.5,35,-3797,clim_down,max,2050,4.5,luxi
clim_down;max;2050;6,1223,-2630,clim_down,max,2050,6,luxi
clim_down;max;2050;8.5,3053,-4954,clim_down,max,2050,8.5,luxi
clim_down;max;2070;2.6,4,-3951,clim_down,max,2070,2.6,luxi
clim_down;max;2070;4.5,22,-9227,clim_down,max,2070,4.5,luxi
clim_down;max;2070;6,548,-4022,clim_down,max,2070,6,luxi
clim_down;max;2070;8.5,2047,-6544,clim_down,max,2070,8.5,luxi
clim_down;max;2080;2.6,3,-1102,clim_down,max,2080,2.6,luxi
clim_down;max;2080;4.5,13,-7265,clim_down,max,2080,4.5,luxi
clim_down;max;2080;6,498,-5174,clim_down,max,2080,6,luxi
clim_down;max;2080;8.5,2043,-7819,clim_down,max,2080,8.5,luxi
clim_down;mean;2030;2.6,4626,-6922,clim_down,mean,2030,2.6,luxi
clim_down;mean;2030;4.5,2735,-4986,clim_down,mean,2030,4.5,luxi
clim_down;mean;2030;6,5854,-3320,clim_down,mean,2030,6,luxi
clim_down;mean;2030;8.5,8013,-3172,clim_down,mean,2030,8.5,luxi
clim_down;mean;2050;2.6,1649,-8675,clim_down,mean,2050,2.6,luxi
clim_down;mean;2050;4.5,219,-9706,clim_down,mean,2050,4.5,luxi
clim_down;mean;2050;6,2953,-6939,clim_down,mean,2050,6,luxi
clim_down;mean;2050;8.5,9139,-8707,clim_down,mean,2050,8.5,luxi
clim_down;mean;2070;2.6,148,-9600,clim_down,mean,2070,2.6,luxi
clim_down;mean;2070;4.5,298,-19167,clim_down,mean,2070,4.5,luxi
clim_down;mean;2070;6,1419,-9321,clim_down,mean,2070,6,luxi
clim_down;mean;2070;8.5,7019,-12002,clim_down,mean,2070,8.5,luxi
clim_down;mean;2080;2.6,81,-3955,clim_down,mean,2080,2.6,luxi
