year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,48507,-19670,clim_down,max,2030,2.6,machupo
clim_down;max;2030;4.5,50350,-19355,clim_down,max,2030,4.5,machupo
clim_down;max;2030;6,43281,-9257,clim_down,max,2030,6,machupo
clim_down;max;2030;8.5,44625,-35924,clim_down,max,2030,8.5,machupo
clim_down;max;2050;2.6,48385,-24277,clim_down,max,2050,2.6,machupo
clim_down;max;2050;4.5,53566,-34791,clim_down,max,2050,4.5,machupo
clim_down;max;2050;6,48342,-14100,clim_down,max,2050,6,machupo
clim_down;max;2050;8.5,16240,-106837,clim_down,max,2050,8.5,machupo
clim_down;max;2070;2.6,37993,-79026,clim_down,max,2070,2.6,machupo
clim_down;max;2070;4.5,53440,-25638,clim_down,max,2070,4.5,machupo
clim_down;max;2070;6,50335,-38126,clim_down,max,2070,6,machupo
clim_down;max;2070;8.5,51123,-44951,clim_down,max,2070,8.5,machupo
clim_down;max;2080;2.6,49817,-11736,clim_down,max,2080,2.6,machupo
clim_down;max;2080;4.5,14493,-106516,clim_down,max,2080,4.5,machupo
clim_down;max;2080;6,9238,-6523,clim_down,max,2080,6,machupo
clim_down;max;2080;8.5,52493,-44000,clim_down,max,2080,8.5,machupo
clim_down;mean;2030;2.6,68387,-17102,clim_down,mean,2030,2.6,machupo
clim_down;mean;2030;4.5,64960,-22850,clim_down,mean,2030,4.5,machupo
clim_down;mean;2030;6,54156,-15360,clim_down,mean,2030,6,machupo
clim_down;mean;2030;8.5,72805,-27324,clim_down,mean,2030,8.5,machupo
clim_down;mean;2050;2.6,72005,-24056,clim_down,mean,2050,2.6,machupo
clim_down;mean;2050;4.5,75057,-38858,clim_down,mean,2050,4.5,machupo
clim_down;mean;2050;6,60219,-16982,clim_down,mean,2050,6,machupo
clim_down;mean;2050;8.5,38643,-121633,clim_down,mean,2050,8.5,machupo
clim_down;mean;2070;2.6,65904,-81329,clim_down,mean,2070,2.6,machupo
clim_down;mean;2070;4.5,72370,-29200,clim_down,mean,2070,4.5,machupo
clim_down;mean;2070;6,69078,-45529,clim_down,mean,2070,6,machupo
clim_down;mean;2070;8.5,81573,-44531,clim_down,mean,2070,8.5,machupo
clim_down;mean;2080;2.6,63788,-12709,clim_down,mean,2080,2.6,machupo
clim_down;mean;2080;4.5,36855,-122698,clim_down,mean,2080,4.5,machupo
clim_down;mean;2080;6,15306,-17067,clim_down,mean,2080,6,machupo
clim_down;mean;2080;8.5,85996,-40794,clim_down,mean,2080,8.5,machupo
clim_down;min;2030;2.6,93750,-10226,clim_down,min,2030,2.6,machupo
clim_down;min;2030;4.5,94633,-5210,clim_down,min,2030,4.5,machupo
clim_down;min;2030;6,71824,-13941,clim_down,min,2030,6,machupo
clim_down;min;2030;8.5,104837,-7917,clim_down,min,2030,8.5,machupo
clim_down;min;2050;2.6,100516,-22098,clim_down,min,2050,2.6,machupo
clim_down;min;2050;4.5,121120,-12927,clim_down,min,2050,4.5,machupo
clim_down;min;2050;6,78402,-9680,clim_down,min,2050,6,machupo
clim_down;min;2050;8.5,106851,-110901,clim_down,min,2050,8.5,machupo
clim_down;min;2070;2.6,127977,-68056,clim_down,min,2070,2.6,machupo
clim_down;min;2070;4.5,106386,-16745,clim_down,min,2070,4.5,machupo
clim_down;min;2070;6,106500,-41903,clim_down,min,2070,6,machupo
clim_down;min;2070;8.5,128830,-18791,clim_down,min,2070,8.5,machupo
clim_down;min;2080;2.6,80956,-9957,clim_down,min,2080,2.6,machupo
clim_down;min;2080;4.5,93342,-120395,clim_down,min,2080,4.5,machupo
clim_down;min;2080;6,30534,-11788,clim_down,min,2080,6,machupo
clim_down;min;2080;8.5,123688,-31973,clim_down,min,2080,8.5,machupo
clim_up;max;2030;2.6,1534,41,clim_up,max,2030,2.6,machupo
clim_up;max;2030;4.5,1700,19,clim_up,max,2030,4.5,machupo
clim_up;max;2030;6,4085,32,clim_up,max,2030,6,machupo
clim_up;max;2030;8.5,5750,87,clim_up,max,2030,8.5,machupo
clim_up;max;2050;2.6,2604,60,clim_up,max,2050,2.6,machupo
clim_up;max;2050;4.5,2222,31,clim_up,max,2050,4.5,machupo
clim_up;max;2050;6,3683,79,clim_up,max,2050,6,machupo
clim_up;max;2050;8.5,66,0,clim_up,max,2050,8.5,machupo
clim_up;max;2070;2.6,259,0,clim_up,max,2070,2.6,machupo
clim_up;max;2070;4.5,997,78,clim_up,max,2070,4.5,machupo
clim_up;max;2070;6,1584,139,clim_up,max,2070,6,machupo
clim_up;max;2070;8.5,1832,240,clim_up,max,2070,8.5,machupo
clim_up;max;2080;2.6,9781,418,clim_up,max,2080,2.6,machupo
clim_up;max;2080;4.5,29,0,clim_up,max,2080,4.5,machupo
clim_up;max;2080;6,77867,2325,clim_up,max,2080,6,machupo
clim_up;max;2080;8.5,2172,337,clim_up,max,2080,8.5,machupo
clim_up;mean;2030;2.6,4579,271,clim_up,mean,2030,2.6,machupo
clim_up;mean;2030;4.5,4946,55,clim_up,mean,2030,4.5,machupo
clim_up;mean;2030;6,7610,298,clim_up,mean,2030,6,machupo
clim_up;mean;2030;8.5,10426,499,clim_up,mean,2030,8.5,machupo
clim_up;mean;2050;2.6,4479,130,clim_up,mean,2050,2.6,machupo
clim_up;mean;2050;4.5,3768,-5,clim_up,mean,2050,4.5,machupo
clim_up;mean;2050;6,10149,234,clim_up,mean,2050,6,machupo
clim_up;mean;2050;8.5,1153,3,clim_up,mean,2050,8.5,machupo
clim_up;mean;2070;2.6,4752,11,clim_up,mean,2070,2.6,machupo
clim_up;mean;2070;4.5,3157,16,clim_up,mean,2070,4.5,machupo
clim_up;mean;2070;6,4602,113,clim_up,mean,2070,6,machupo
clim_up;mean;2070;8.5,4494,414,clim_up,mean,2070,8.5,machupo
clim_up;mean;2080;2.6,19276,1188,clim_up,mean,2080,2.6,machupo
clim_up;mean;2080;4.5,2812,-8,clim_up,mean,2080,4.5,machupo
clim_up;mean;2080;6,95603,1608,clim_up,mean,2080,6,machupo
clim_up;mean;2080;8.5,4201,124,clim_up,mean,2080,8.5,machupo
clim_up;min;2030;2.6,8494,539,clim_up,min,2030,2.6,machupo
clim_up;min;2030;4.5,9439,373,clim_up,min,2030,4.5,machupo
clim_up;min;2030;6,11780,139,clim_up,min,2030,6,machupo
clim_up;min;2030;8.5,21798,1041,clim_up,min,2030,8.5,machupo
clim_up;min;2050;2.6,9664,563,clim_up,min,2050,2.6,machupo
clim_up;min;2050;4.5,8036,354,clim_up,min,2050,4.5,machupo
clim_up;min;2050;6,22355,1876,clim_up,min,2050,6,machupo
clim_up;min;2050;8.5,1386,46,clim_up,min,2050,8.5,machupo
clim_up;min;2070;2.6,5768,93,clim_up,min,2070,2.6,machupo
clim_up;min;2070;4.5,8575,930,clim_up,min,2070,4.5,machupo
clim_up;min;2070;6,12153,1505,clim_up,min,2070,6,machupo
clim_up;min;2070;8.5,15611,2047,clim_up,min,2070,8.5,machupo
clim_up;min;2080;2.6,31749,1005,clim_up,min,2080,2.6,machupo
clim_up;min;2080;4.5,3420,47,clim_up,min,2080,4.5,machupo
clim_up;min;2080;6,128505,2257,clim_up,min,2080,6,machupo
clim_up;min;2080;8.5,10642,1220,clim_up,min,2080,8.5,machupo
dummy;max;2030;2.6,97517,-27089,dummy,max,2030,2.6,machupo
dummy;max;2030;4.5,91874,-32732,dummy,max,2030,4.5,machupo
dummy;max;2030;6,101580,-23026,dummy,max,2030,6,machupo
dummy;max;2030;8.5,80688,-43918,dummy,max,2030,8.5,machupo
dummy;max;2050;2.6,92135,-32471,dummy,max,2050,2.6,machupo
dummy;max;2050;4.5,76876,-47730,dummy,max,2050,4.5,machupo
dummy;max;2050;6,98768,-25838,dummy,max,2050,6,machupo
dummy;max;2050;8.5,16814,-107192,dummy,max,2050,8.5,machupo
dummy;max;2070;2.6,43052,-81505,dummy,max,2070,2.6,machupo
dummy;max;2070;4.5,83262,-41344,dummy,max,2070,4.5,machupo
dummy;max;2070;6,78285,-46321,dummy,max,2070,6,machupo
dummy;max;2070;8.5,73211,-51395,dummy,max,2070,8.5,machupo
dummy;max;2080;2.6,106373,-18233,dummy,max,2080,2.6,machupo
dummy;max;2080;4.5,15814,-107968,dummy,max,2080,4.5,machupo
dummy;max;2080;6,119481,-5101,dummy,max,2080,6,machupo
dummy;max;2080;8.5,74647,-49959,dummy,max,2080,8.5,machupo
dummy;mean;2030;2.6,152671,-23166,dummy,mean,2030,2.6,machupo
dummy;mean;2030;4.5,142808,-33029,dummy,mean,2030,4.5,machupo
dummy;mean;2030;6,151412,-24425,dummy,mean,2030,6,machupo
dummy;mean;2030;8.5,143016,-32821,dummy,mean,2030,8.5,machupo
dummy;mean;2050;2.6,144843,-30994,dummy,mean,2050,2.6,machupo
dummy;mean;2050;4.5,124782,-51055,dummy,mean,2050,4.5,machupo
dummy;mean;2050;6,153140,-22697,dummy,mean,2050,6,machupo
dummy;mean;2050;8.5,48299,-125598,dummy,mean,2050,8.5,machupo
dummy;mean;2070;2.6,88524,-87064,dummy,mean,2070,2.6,machupo
dummy;mean;2070;4.5,132447,-43390,dummy,mean,2070,4.5,machupo
dummy;mean;2070;6,122407,-53342,dummy,mean,2070,6,machupo
dummy;mean;2070;8.5,124511,-51325,dummy,mean,2070,8.5,machupo
dummy;mean;2080;2.6,160757,-15080,dummy,mean,2080,2.6,machupo
dummy;mean;2080;4.5,47114,-126896,dummy,mean,2080,4.5,machupo
dummy;mean;2080;6,155468,-20285,dummy,mean,2080,6,machupo
dummy;mean;2080;8.5,129262,-46575,dummy,mean,2080,8.5,machupo
dummy;min;2030;2.6,232164,-22148,dummy,min,2030,2.6,machupo
dummy;min;2030;4.5,232105,-22237,dummy,min,2030,4.5,machupo
dummy;min;2030;6,227506,-26830,dummy,min,2030,6,machupo
dummy;min;2030;8.5,239862,-14480,dummy,min,2030,8.5,machupo
dummy;min;2050;2.6,221066,-33269,dummy,min,2050,2.6,machupo
dummy;min;2050;4.5,220242,-34098,dummy,min,2050,4.5,machupo
dummy;min;2050;6,235718,-18620,dummy,min,2050,6,machupo
dummy;min;2050;8.5,125763,-115241,dummy,min,2050,8.5,machupo
dummy;min;2070;2.6,174854,-74884,dummy,min,2070,2.6,machupo
dummy;min;2070;4.5,220714,-33628,dummy,min,2070,4.5,machupo
dummy;min;2070;6,196675,-57216,dummy,min,2070,6,machupo
dummy;min;2070;8.5,223624,-30694,dummy,min,2070,8.5,machupo
dummy;min;2080;2.6,236406,-17927,dummy,min,2080,2.6,machupo
dummy;min;2080;4.5,114663,-126954,dummy,min,2080,4.5,machupo
dummy;min;2080;6,237945,-15203,dummy,min,2080,6,machupo
dummy;min;2080;8.5,208268,-45728,dummy,min,2080,8.5,machupo
lu_down;max;2030;2.6,2198,-576,lu_down,max,2030,2.6,machupo
lu_down;max;2030;4.5,46146,-23125,lu_down,max,2030,4.5,machupo
