year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,3186,-4502,clim_down,max,2030,2.6,maciel
clim_down;max;2030;4.5,1569,-10801,clim_down,max,2030,4.5,maciel
clim_down;max;2030;6,3300,-4693,clim_down,max,2030,6,maciel
clim_down;max;2030;8.5,3982,-6449,clim_down,max,2030,8.5,maciel
clim_down;max;2050;2.6,2233,-9439,clim_down,max,2050,2.6,maciel
clim_down;max;2050;4.5,273,-11976,clim_down,max,2050,4.5,maciel
clim_down;max;2050;6,1824,-7496,clim_down,max,2050,6,maciel
clim_down;max;2050;8.5,585,-11804,clim_down,max,2050,8.5,maciel
clim_down;max;2070;2.6,1087,-2655,clim_down,max,2070,2.6,maciel
clim_down;max;2070;4.5,545,-11811,clim_down,max,2070,4.5,maciel
clim_down;max;2070;8.5,37,-12377,clim_down,max,2070,8.5,maciel
clim_down;max;2080;2.6,3003,-3371,clim_down,max,2080,2.6,maciel
clim_down;max;2080;6,2,-11629,clim_down,max,2080,6,maciel
clim_down;max;2080;8.5,298,-12123,clim_down,max,2080,8.5,maciel
clim_down;mean;2030;2.6,13004,-8425,clim_down,mean,2030,2.6,maciel
clim_down;mean;2030;4.5,14580,-22984,clim_down,mean,2030,4.5,maciel
clim_down;mean;2030;6,11879,-12501,clim_down,mean,2030,6,maciel
clim_down;mean;2030;8.5,16637,-17971,clim_down,mean,2030,8.5,maciel
clim_down;mean;2050;2.6,12365,-23888,clim_down,mean,2050,2.6,maciel
clim_down;mean;2050;4.5,10353,-25655,clim_down,mean,2050,4.5,maciel
clim_down;mean;2050;6,11537,-16683,clim_down,mean,2050,6,maciel
clim_down;mean;2050;8.5,12735,-24957,clim_down,mean,2050,8.5,maciel
clim_down;mean;2070;2.6,7448,-17336,clim_down,mean,2070,2.6,maciel
clim_down;mean;2070;4.5,10607,-26564,clim_down,mean,2070,4.5,maciel
clim_down;mean;2070;8.5,9649,-28182,clim_down,mean,2070,8.5,maciel
clim_down;mean;2080;2.6,11460,-12519,clim_down,mean,2080,2.6,maciel
clim_down;mean;2080;6,8188,-28558,clim_down,mean,2080,6,maciel
clim_down;mean;2080;8.5,9703,-28091,clim_down,mean,2080,8.5,maciel
clim_down;min;2030;2.6,21383,-7199,clim_down,min,2030,2.6,maciel
clim_down;min;2030;4.5,29890,-22043,clim_down,min,2030,4.5,maciel
clim_down;min;2030;6,22992,-8438,clim_down,min,2030,6,maciel
clim_down;min;2030;8.5,32675,-15842,clim_down,min,2030,8.5,maciel
clim_down;min;2050;2.6,23563,-26932,clim_down,min,2050,2.6,maciel
clim_down;min;2050;4.5,22142,-26632,clim_down,min,2050,4.5,maciel
clim_down;min;2050;6,23202,-16259,clim_down,min,2050,6,maciel
clim_down;min;2050;8.5,29014,-23368,clim_down,min,2050,8.5,maciel
clim_down;min;2070;2.6,19175,-18698,clim_down,min,2070,2.6,maciel
clim_down;min;2070;4.5,19539,-31866,clim_down,min,2070,4.5,maciel
clim_down;min;2070;8.5,19795,-32825,clim_down,min,2070,8.5,maciel
clim_down;min;2080;2.6,23564,-9744,clim_down,min,2080,2.6,maciel
clim_down;min;2080;6,15627,-35549,clim_down,min,2080,6,maciel
clim_down;min;2080;8.5,20553,-31971,clim_down,min,2080,8.5,maciel
clim_up;max;2030;2.6,75,16,clim_up,max,2030,2.6,maciel
clim_up;max;2070;2.6,61,3,clim_up,max,2070,2.6,maciel
clim_up;max;2080;2.6,1,-2,clim_up,max,2080,2.6,maciel
clim_up;mean;2030;2.6,1742,264,clim_up,mean,2030,2.6,maciel
clim_up;mean;2030;6,509,12,clim_up,mean,2030,6,maciel
clim_up;mean;2030;8.5,9,0,clim_up,mean,2030,8.5,maciel
clim_up;mean;2050;2.6,7,0,clim_up,mean,2050,2.6,maciel
clim_up;mean;2050;4.5,10,0,clim_up,mean,2050,4.5,maciel
clim_up;mean;2050;6,442,-21,clim_up,mean,2050,6,maciel
clim_up;mean;2070;2.6,371,0,clim_up,mean,2070,2.6,maciel
clim_up;mean;2080;2.6,296,3,clim_up,mean,2080,2.6,maciel
clim_up;mean;2080;6,15,-4,clim_up,mean,2080,6,maciel
clim_up;min;2030;2.6,3544,68,clim_up,min,2030,2.6,maciel
clim_up;min;2030;6,2221,29,clim_up,min,2030,6,maciel
clim_up;min;2030;8.5,16,0,clim_up,min,2030,8.5,maciel
clim_up;min;2050;2.6,23,0,clim_up,min,2050,2.6,maciel
clim_up;min;2050;4.5,15,0,clim_up,min,2050,4.5,maciel
clim_up;min;2050;6,1108,-1,clim_up,min,2050,6,maciel
clim_up;min;2070;2.6,451,9,clim_up,min,2070,2.6,maciel
clim_up;min;2080;2.6,624,1,clim_up,min,2080,2.6,maciel
clim_up;min;2080;6,74,0,clim_up,min,2080,6,maciel
dummy;max;2030;2.6,6617,-5809,dummy,max,2030,2.6,maciel
dummy;max;2030;4.5,1579,-10847,dummy,max,2030,4.5,maciel
dummy;max;2030;6,4943,-7483,dummy,max,2030,6,maciel
dummy;max;2030;8.5,5134,-7292,dummy,max,2030,8.5,maciel
dummy;max;2050;2.6,2448,-9978,dummy,max,2050,2.6,maciel
dummy;max;2050;4.5,386,-12040,dummy,max,2050,4.5,maciel
dummy;max;2050;6,1980,-10446,dummy,max,2050,6,maciel
dummy;max;2050;8.5,585,-11841,dummy,max,2050,8.5,maciel
dummy;max;2070;2.6,8077,-4349,dummy,max,2070,2.6,maciel
dummy;max;2070;4.5,545,-11881,dummy,max,2070,4.5,maciel
dummy;max;2070;8.5,37,-12389,dummy,max,2070,8.5,maciel
dummy;max;2080;2.6,6827,-5599,dummy,max,2080,2.6,maciel
dummy;max;2080;6,5,-12421,dummy,max,2080,6,maciel
dummy;max;2080;8.5,298,-12128,dummy,max,2080,8.5,maciel
dummy;mean;2030;2.6,28368,-9766,dummy,mean,2030,2.6,maciel
dummy;mean;2030;4.5,14907,-23227,dummy,mean,2030,4.5,maciel
dummy;mean;2030;6,22763,-15371,dummy,mean,2030,6,maciel
dummy;mean;2030;8.5,19473,-18661,dummy,mean,2030,8.5,maciel
dummy;mean;2050;2.6,13695,-24439,dummy,mean,2050,2.6,maciel
dummy;mean;2050;4.5,11718,-26416,dummy,mean,2050,4.5,maciel
dummy;mean;2050;6,18839,-19295,dummy,mean,2050,6,maciel
