year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,830,-59,clim_down,max,2030,2.6,magboi
clim_down;max;2030;4.5,644,0,clim_down,max,2030,4.5,magboi
clim_down;max;2030;6,687,-3,clim_down,max,2030,6,magboi
clim_down;max;2050;2.6,919,-11,clim_down,max,2050,2.6,magboi
clim_down;max;2050;4.5,583,-1,clim_down,max,2050,4.5,magboi
clim_down;max;2050;6,797,-12,clim_down,max,2050,6,magboi
clim_down;max;2050;8.5,1022,-24,clim_down,max,2050,8.5,magboi
clim_down;max;2070;2.6,862,-34,clim_down,max,2070,2.6,magboi
clim_down;max;2070;4.5,618,-2,clim_down,max,2070,4.5,magboi
clim_down;max;2070;6,790,-8,clim_down,max,2070,6,magboi
clim_down;max;2070;8.5,273,0,clim_down,max,2070,8.5,magboi
clim_down;max;2080;2.6,775,-9,clim_down,max,2080,2.6,magboi
clim_down;max;2080;4.5,351,0,clim_down,max,2080,4.5,magboi
clim_down;mean;2030;2.6,1264,0,clim_down,mean,2030,2.6,magboi
clim_down;mean;2030;4.5,920,0,clim_down,mean,2030,4.5,magboi
clim_down;mean;2030;6,960,0,clim_down,mean,2030,6,magboi
clim_down;mean;2050;2.6,1094,0,clim_down,mean,2050,2.6,magboi
clim_down;mean;2050;4.5,804,0,clim_down,mean,2050,4.5,magboi
clim_down;mean;2050;6,1053,0,clim_down,mean,2050,6,magboi
clim_down;mean;2050;8.5,1397,0,clim_down,mean,2050,8.5,magboi
clim_down;mean;2070;2.6,1248,0,clim_down,mean,2070,2.6,magboi
clim_down;mean;2070;4.5,957,0,clim_down,mean,2070,4.5,magboi
clim_down;mean;2070;6,1043,0,clim_down,mean,2070,6,magboi
clim_down;mean;2070;8.5,447,0,clim_down,mean,2070,8.5,magboi
clim_down;mean;2080;2.6,1102,0,clim_down,mean,2080,2.6,magboi
clim_down;mean;2080;4.5,525,0,clim_down,mean,2080,4.5,magboi
clim_down;min;2030;2.6,1264,0,clim_down,min,2030,2.6,magboi
clim_down;min;2030;4.5,920,0,clim_down,min,2030,4.5,magboi
clim_down;min;2030;6,960,0,clim_down,min,2030,6,magboi
clim_down;min;2050;2.6,1094,0,clim_down,min,2050,2.6,magboi
