year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP
clim_down;max;2030;2.6,45853,-40717,clim_down,max,2030,2.6
clim_down;max;2030;4.5,53280,-49108,clim_down,max,2030,4.5
clim_down;max;2030;6,45604,-40128,clim_down,max,2030,6
clim_down;max;2030;8.5,51427,-43332,clim_down,max,2030,8.5
clim_down;max;2050;2.6,49645,-48656,clim_down,max,2050,2.6
clim_down;max;2050;4.5,49582,-69050,clim_down,max,2050,4.5
clim_down;max;2050;6,45802,-92850,clim_down,max,2050,6
clim_down;max;2050;8.5,49390,-47642,clim_down,max,2050,8.5
clim_down;max;2070;2.6,47627,-42474,clim_down,max,2070,2.6
clim_down;max;2070;4.5,52039,-99750,clim_down,max,2070,4.5
clim_down;max;2070;6,50517,-71750,clim_down,max,2070,6
clim_down;max;2070;8.5,55599,-128943,clim_down,max,2070,8.5
clim_down;max;2080;2.6,45287,-44509,clim_down,max,2080,2.6
clim_down;max;2080;4.5,47924,-39401,clim_down,max,2080,4.5
clim_down;max;2080;6,47378,-60158,clim_down,max,2080,6
clim_down;max;2080;8.5,50726,-125340,clim_down,max,2080,8.5
clim_down;mean;2030;2.6,50232,-52384,clim_down,mean,2030,2.6
clim_down;mean;2030;4.5,58819,-62143,clim_down,mean,2030,4.5
clim_down;mean;2030;6,49918,-51556,clim_down,mean,2030,6
clim_down;mean;2030;8.5,57244,-51133,clim_down,mean,2030,8.5
clim_down;mean;2050;2.6,54817,-61612,clim_down,mean,2050,2.6
clim_down;mean;2050;4.5,57651,-79419,clim_down,mean,2050,4.5
clim_down;mean;2050;6,52156,-111177,clim_down,mean,2050,6
clim_down;mean;2050;8.5,56284,-54879,clim_down,mean,2050,8.5
clim_down;mean;2070;2.6,52172,-52749,clim_down,mean,2070,2.6
clim_down;mean;2070;4.5,62870,-113826,clim_down,mean,2070,4.5
clim_down;mean;2070;6,58474,-83957,clim_down,mean,2070,6
clim_down;mean;2070;8.5,66070,-146178,clim_down,mean,2070,8.5
clim_down;mean;2080;2.6,49362,-54942,clim_down,mean,2080,2.6
clim_down;mean;2080;4.5,51375,-50823,clim_down,mean,2080,4.5
clim_down;mean;2080;6,54712,-69734,clim_down,mean,2080,6
clim_down;mean;2080;8.5,59575,-140624,clim_down,mean,2080,8.5
clim_down;min;2030;2.6,75158,-33584,clim_down,min,2030,2.6
clim_down;min;2030;4.5,90746,-36934,clim_down,min,2030,4.5
clim_down;min;2030;6,74290,-33114,clim_down,min,2030,6
clim_down;min;2030;8.5,81862,-33162,clim_down,min,2030,8.5
clim_down;min;2050;2.6,85875,-37391,clim_down,min,2050,2.6
clim_down;min;2050;4.5,88127,-56039,clim_down,min,2050,4.5
clim_down;min;2050;6,81823,-89965,clim_down,min,2050,6
clim_down;min;2050;8.5,82121,-35457,clim_down,min,2050,8.5
clim_down;min;2070;2.6,78063,-32891,clim_down,min,2070,2.6
clim_down;min;2070;4.5,102445,-82591,clim_down,min,2070,4.5
clim_down;min;2070;6,91546,-58128,clim_down,min,2070,6
clim_down;min;2070;8.5,109206,-112952,clim_down,min,2070,8.5
clim_down;min;2080;2.6,73072,-38165,clim_down,min,2080,2.6
clim_down;min;2080;4.5,73803,-35035,clim_down,min,2080,4.5
clim_down;min;2080;6,84895,-47155,clim_down,min,2080,6
clim_down;min;2080;8.5,96916,-114429,clim_down,min,2080,8.5
clim_up;max;2030;2.6,100379,5415,clim_up,max,2030,2.6
clim_up;max;2030;4.5,84412,4270,clim_up,max,2030,4.5
clim_up;max;2030;6,114092,8322,clim_up,max,2030,6
clim_up;max;2030;8.5,96067,6008,clim_up,max,2030,8.5
clim_up;max;2050;2.6,94338,4924,clim_up,max,2050,2.6
clim_up;max;2050;4.5,81472,3643,clim_up,max,2050,4.5
clim_up;max;2050;6,74720,3044,clim_up,max,2050,6
clim_up;max;2050;8.5,96946,5640,clim_up,max,2050,8.5
clim_up;max;2070;2.6,97670,5973,clim_up,max,2070,2.6
clim_up;max;2070;4.5,59165,2356,clim_up,max,2070,4.5
clim_up;max;2070;6,77670,3874,clim_up,max,2070,6
clim_up;max;2070;8.5,41210,1002,clim_up,max,2070,8.5
clim_up;max;2080;2.6,100754,5597,clim_up,max,2080,2.6
clim_up;max;2080;4.5,97776,5687,clim_up,max,2080,4.5
clim_up;max;2080;6,92324,4561,clim_up,max,2080,6
clim_up;max;2080;8.5,53183,1842,clim_up,max,2080,8.5
clim_up;mean;2030;2.6,105367,7672,clim_up,mean,2030,2.6
clim_up;mean;2030;4.5,88333,6367,clim_up,mean,2030,4.5
clim_up;mean;2030;6,120120,8964,clim_up,mean,2030,6
clim_up;mean;2030;8.5,102053,8604,clim_up,mean,2030,8.5
clim_up;mean;2050;2.6,98713,6902,clim_up,mean,2050,2.6
clim_up;mean;2050;4.5,85721,5772,clim_up,mean,2050,4.5
clim_up;mean;2050;6,77126,3991,clim_up,mean,2050,6
clim_up;mean;2050;8.5,104283,8379,clim_up,mean,2050,8.5
clim_up;mean;2070;2.6,103071,8333,clim_up,mean,2070,2.6
clim_up;mean;2070;4.5,61691,3850,clim_up,mean,2070,4.5
clim_up;mean;2070;6,81763,5876,clim_up,mean,2070,6
clim_up;mean;2070;8.5,43669,2941,clim_up,mean,2070,8.5
clim_up;mean;2080;2.6,106783,8446,clim_up,mean,2080,2.6
clim_up;mean;2080;4.5,103705,8054,clim_up,mean,2080,4.5
clim_up;mean;2080;6,98678,7031,clim_up,mean,2080,6
clim_up;mean;2080;8.5,56152,3541,clim_up,mean,2080,8.5
clim_up;min;2030;2.6,118186,4217,clim_up,min,2030,2.6
clim_up;min;2030;4.5,99526,3797,clim_up,min,2030,4.5
clim_up;min;2030;6,133678,5249,clim_up,min,2030,6
clim_up;min;2030;8.5,118019,5385,clim_up,min,2030,8.5
clim_up;min;2050;2.6,110680,3661,clim_up,min,2050,2.6
clim_up;min;2050;4.5,98302,4040,clim_up,min,2050,4.5
clim_up;min;2050;6,83383,1309,clim_up,min,2050,6
clim_up;min;2050;8.5,120896,6745,clim_up,min,2050,8.5
clim_up;min;2070;2.6,117473,4754,clim_up,min,2070,2.6
clim_up;min;2070;4.5,66670,1548,clim_up,min,2070,4.5
clim_up;min;2070;6,93468,3884,clim_up,min,2070,6
clim_up;min;2070;8.5,47106,1082,clim_up,min,2070,8.5
clim_up;min;2080;2.6,120925,4589,clim_up,min,2080,2.6
clim_up;min;2080;4.5,119705,5456,clim_up,min,2080,4.5
clim_up;min;2080;6,113675,5920,clim_up,min,2080,6
clim_up;min;2080;8.5,62578,2338,clim_up,min,2080,8.5
dummy;max;2030;2.6,252280,-44726,dummy,max,2030,2.6
dummy;max;2030;4.5,239444,-57562,dummy,max,2030,4.5
dummy;max;2030;6,258000,-39006,dummy,max,2030,6
dummy;max;2030;8.5,249506,-47500,dummy,max,2030,8.5
dummy;max;2050;2.6,243246,-53760,dummy,max,2050,2.6
dummy;max;2050;4.5,223415,-73637,dummy,max,2050,4.5
dummy;max;2050;6,198772,-98231,dummy,max,2050,6
dummy;max;2050;8.5,244811,-52195,dummy,max,2050,8.5
dummy;max;2070;2.6,251015,-45991,dummy,max,2070,2.6
dummy;max;2070;4.5,187825,-109181,dummy,max,2070,4.5
dummy;max;2070;6,218525,-78481,dummy,max,2070,6
dummy;max;2070;8.5,159952,-137054,dummy,max,2070,8.5
dummy;max;2080;2.6,249873,-47133,dummy,max,2080,2.6
dummy;max;2080;4.5,256074,-40932,dummy,max,2080,4.5
dummy;max;2080;6,233415,-63591,dummy,max,2080,6
dummy;max;2080;8.5,166251,-132367,dummy,max,2080,8.5
dummy;mean;2030;2.6,285974,-45242,dummy,mean,2030,2.6
dummy;mean;2030;4.5,274700,-56516,dummy,mean,2030,4.5
dummy;mean;2030;6,288111,-43105,dummy,mean,2030,6
dummy;mean;2030;8.5,288122,-43094,dummy,mean,2030,8.5
dummy;mean;2050;2.6,275870,-55346,dummy,mean,2050,2.6
dummy;mean;2050;4.5,257083,-74179,dummy,mean,2050,4.5
dummy;mean;2050;6,223481,-107732,dummy,mean,2050,6
dummy;mean;2050;8.5,284182,-47034,dummy,mean,2050,8.5
dummy;mean;2070;2.6,286303,-44913,dummy,mean,2070,2.6
dummy;mean;2070;4.5,220488,-110728,dummy,mean,2070,4.5
dummy;mean;2070;6,252579,-78637,dummy,mean,2070,6
dummy;mean;2070;8.5,187326,-143890,dummy,mean,2070,8.5
dummy;mean;2080;2.6,284226,-46990,dummy,mean,2080,2.6
dummy;mean;2080;4.5,288063,-43153,dummy,mean,2080,4.5
dummy;mean;2080;6,267956,-63260,dummy,mean,2080,6
dummy;mean;2080;8.5,194479,-137599,dummy,mean,2080,8.5
dummy;min;2030;2.6,339631,-39284,dummy,min,2030,2.6
dummy;min;2030;4.5,332771,-46144,dummy,min,2030,4.5
dummy;min;2030;6,338996,-39920,dummy,min,2030,6
dummy;min;2030;8.5,343863,-35052,dummy,min,2030,8.5
dummy;min;2050;2.6,334902,-44013,dummy,min,2050,2.6
dummy;min;2050;4.5,312524,-66437,dummy,min,2050,4.5
dummy;min;2050;6,271034,-107763,dummy,min,2050,6
dummy;min;2050;8.5,340836,-38079,dummy,min,2050,8.5
dummy;min;2070;2.6,342583,-36332,dummy,min,2070,2.6
dummy;min;2070;4.5,276417,-102498,dummy,min,2070,4.5
dummy;min;2070;6,310313,-68603,dummy,min,2070,6
dummy;min;2070;8.5,241422,-137493,dummy,min,2070,8.5
dummy;min;2080;2.6,336473,-42442,dummy,min,2080,2.6
dummy;min;2080;4.5,340220,-38695,dummy,min,2080,4.5
dummy;min;2080;6,324141,-54774,dummy,min,2080,6
dummy;min;2080;8.5,247070,-132577,dummy,min,2080,8.5
lu_down;max;2030;2.6,32478,-19061,lu_down,max,2030,2.6
lu_down;max;2030;4.5,125988,-32049,lu_down,max,2030,4.5
lu_down;max;2030;6,222907,-23550,lu_down,max,2030,6
lu_down;max;2030;8.5,63359,-15888,lu_down,max,2030,8.5
lu_down;max;2050;2.6,44117,-31249,lu_down,max,2050,2.6
lu_down;max;2050;4.5,122345,-55386,lu_down,max,2050,4.5
lu_down;max;2050;6,187593,-82359,lu_down,max,2050,6
lu_down;max;2050;8.5,71479,-29983,lu_down,max,2050,8.5
lu_down;max;2070;2.6,71439,-28989,lu_down,max,2070,2.6
lu_down;max;2070;4.5,104468,-79787,lu_down,max,2070,4.5
lu_down;max;2070;6,205236,-69026,lu_down,max,2070,6
lu_down;max;2070;8.5,37016,-63621,lu_down,max,2070,8.5
lu_down;max;2080;2.6,71899,-28462,lu_down,max,2080,2.6
lu_down;max;2080;4.5,156776,-30629,lu_down,max,2080,4.5
lu_down;max;2080;6,218024,-55734,lu_down,max,2080,6
lu_down;max;2080;8.5,37416,-65260,lu_down,max,2080,8.5
lu_down;mean;2030;2.6,41938,-17491,lu_down,mean,2030,2.6
lu_down;mean;2030;4.5,144384,-28261,lu_down,mean,2030,4.5
lu_down;mean;2030;6,247254,-25703,lu_down,mean,2030,6
lu_down;mean;2030;8.5,73175,-13971,lu_down,mean,2030,8.5
lu_down;mean;2050;2.6,55077,-31175,lu_down,mean,2050,2.6
lu_down;mean;2050;4.5,143208,-52152,lu_down,mean,2050,4.5
lu_down;mean;2050;6,210661,-88797,lu_down,mean,2050,6
lu_down;mean;2050;8.5,86692,-27828,lu_down,mean,2050,8.5
lu_down;mean;2070;2.6,87887,-27018,lu_down,mean,2070,2.6
lu_down;mean;2070;4.5,125614,-77816,lu_down,mean,2070,4.5
lu_down;mean;2070;6,236715,-67927,lu_down,mean,2070,6
lu_down;mean;2070;8.5,45722,-68339,lu_down,mean,2070,8.5
lu_down;mean;2080;2.6,88294,-27102,lu_down,mean,2080,2.6
lu_down;mean;2080;4.5,177234,-30255,lu_down,mean,2080,4.5
lu_down;mean;2080;6,249211,-55134,lu_down,mean,2080,6
lu_down;mean;2080;8.5,45312,-70388,lu_down,mean,2080,8.5
lu_down;min;2030;2.6,54542,-13661,lu_down,min,2030,2.6
lu_down;min;2030;4.5,168694,-20329,lu_down,min,2030,4.5
lu_down;min;2030;6,288911,-23559,lu_down,min,2030,6
lu_down;min;2030;8.5,86069,-10883,lu_down,min,2030,8.5
lu_down;min;2050;2.6,73206,-24794,lu_down,min,2050,2.6
lu_down;min;2050;4.5,172352,-43528,lu_down,min,2050,4.5
lu_down;min;2050;6,255009,-87078,lu_down,min,2050,6
lu_down;min;2050;8.5,105502,-22889,lu_down,min,2050,8.5
lu_down;min;2070;2.6,109134,-20937,lu_down,min,2070,2.6
lu_down;min;2070;4.5,159562,-66899,lu_down,min,2070,4.5
lu_down;min;2070;6,289541,-59206,lu_down,min,2070,6
lu_down;min;2070;8.5,63524,-64660,lu_down,min,2070,8.5
lu_down;min;2080;2.6,106903,-23865,lu_down,min,2080,2.6
lu_down;min;2080;4.5,206107,-25882,lu_down,min,2080,4.5
lu_down;min;2080;6,299506,-49357,lu_down,min,2080,6
lu_down;min;2080;8.5,61455,-68272,lu_down,min,2080,8.5
lu_up;max;2030;2.6,65278,-3125,lu_up,max,2030,2.6
lu_up;max;2030;6,70,-17,lu_up,max,2030,6
lu_up;max;2030;8.5,36645,-3273,lu_up,max,2030,8.5
lu_up;max;2050;2.6,74275,-4311,lu_up,max,2050,2.6
lu_up;max;2050;6,13,-10,lu_up,max,2050,6
lu_up;max;2050;8.5,63719,-6669,lu_up,max,2050,8.5
lu_up;max;2070;2.6,95722,-5067,lu_up,max,2070,2.6
lu_up;max;2070;6,15,-9,lu_up,max,2070,6
lu_up;max;2070;8.5,57676,-28189,lu_up,max,2070,8.5
lu_up;max;2080;2.6,98162,-6406,lu_up,max,2080,2.6
lu_up;max;2080;6,24,-1,lu_up,max,2080,6
lu_up;max;2080;8.5,59672,-29531,lu_up,max,2080,8.5
lu_up;mean;2030;2.6,70328,-2126,lu_up,mean,2030,2.6
lu_up;mean;2030;6,74,-22,lu_up,mean,2030,6
lu_up;mean;2030;8.5,40387,-3252,lu_up,mean,2030,8.5
lu_up;mean;2050;2.6,80879,-3953,lu_up,mean,2050,2.6
lu_up;mean;2050;6,15,-12,lu_up,mean,2050,6
lu_up;mean;2050;8.5,70063,-6604,lu_up,mean,2050,8.5
lu_up;mean;2070;2.6,105266,-4185,lu_up,mean,2070,2.6
lu_up;mean;2070;6,21,-7,lu_up,mean,2070,6
lu_up;mean;2070;8.5,63856,-29582,lu_up,mean,2070,8.5
lu_up;mean;2080;2.6,107734,-5585,lu_up,mean,2080,2.6
lu_up;mean;2080;6,26,-3,lu_up,mean,2080,6
lu_up;mean;2080;8.5,67043,-30015,lu_up,mean,2080,8.5
lu_up;min;2030;2.6,78599,-3278,lu_up,min,2030,2.6
lu_up;min;2030;6,75,-26,lu_up,min,2030,6
lu_up;min;2030;8.5,48887,-4662,lu_up,min,2030,8.5
lu_up;min;2050;2.6,91849,-4855,lu_up,min,2050,2.6
lu_up;min;2050;6,19,-10,lu_up,min,2050,6
lu_up;min;2050;8.5,84203,-8348,lu_up,min,2050,8.5
lu_up;min;2070;2.6,119776,-5076,lu_up,min,2070,2.6
lu_up;min;2070;6,24,-6,lu_up,min,2070,6
lu_up;min;2070;8.5,77023,-34415,lu_up,min,2070,8.5
lu_up;min;2080;2.6,123636,-5446,lu_up,min,2080,2.6
lu_up;min;2080;6,27,-4,lu_up,min,2080,6
lu_up;min;2080;8.5,80941,-34516,lu_up,min,2080,8.5
people_in_povertySSP1;max;2030;2.6,728692.989986536,-84967.0409472736,people_in_povertySSP1,max,2030,2.6
people_in_povertySSP1;max;2030;4.5,697587.901858745,-116072.129075065,people_in_povertySSP1,max,2030,4.5
people_in_povertySSP1;max;2030;6,749810.08039607,-63849.9505377397,people_in_povertySSP1,max,2030,6
people_in_povertySSP1;max;2030;8.5,743354.524182721,-70305.5067510894,people_in_povertySSP1,max,2030,8.5
people_in_povertySSP1;max;2050;2.6,1209486.52206063,-183358.901007313,people_in_povertySSP1,max,2050,2.6
people_in_povertySSP1;max;2050;4.5,1217517.73872195,-175286.248264202,people_in_povertySSP1,max,2050,4.5
people_in_povertySSP1;max;2050;6,1107206.48364924,-285645.813806003,people_in_povertySSP1,max,2050,6
people_in_povertySSP1;max;2050;8.5,1309307.4872821,-83537.9357858403,people_in_povertySSP1,max,2050,8.5
people_in_povertySSP1;max;2070;2.6,1474579.55052186,-193657.572080777,people_in_povertySSP1,max,2070,2.6
people_in_povertySSP1;max;2070;4.5,1297074.79643517,-371162.326167464,people_in_povertySSP1,max,2070,4.5
people_in_povertySSP1;max;2070;6,1449303.57400523,-218933.548597401,people_in_povertySSP1,max,2070,6
people_in_povertySSP1;max;2070;8.5,1201916.03525441,-466321.087348221,people_in_povertySSP1,max,2070,8.5
people_in_povertySSP1;max;2080;2.6,1434064.50096654,-284346.127513158,people_in_povertySSP1,max,2080,2.6
people_in_povertySSP1;max;2080;4.5,1498646.85312736,-219763.775352337,people_in_povertySSP1,max,2080,4.5
people_in_povertySSP1;max;2080;6,1618826.58560906,-99584.0428706345,people_in_povertySSP1,max,2080,6
people_in_povertySSP1;max;2080;8.5,1258565.14278383,-456947.995113899,people_in_povertySSP1,max,2080,8.5
people_in_povertySSP1;mean;2030;2.6,788317.13424369,-81988.3373334213,people_in_povertySSP1,mean,2030,2.6
people_in_povertySSP1;mean;2030;4.5,763208.84338903,-107096.628188082,people_in_povertySSP1,mean,2030,4.5
people_in_povertySSP1;mean;2030;6,810013.551044427,-60291.9205326846,people_in_povertySSP1,mean,2030,6
people_in_povertySSP1;mean;2030;8.5,799846.225571234,-70459.2460058782,people_in_povertySSP1,mean,2030,8.5
people_in_povertySSP1;mean;2050;2.6,1313205.95904273,-182547.823297327,people_in_povertySSP1,mean,2050,2.6
people_in_povertySSP1;mean;2050;4.5,1310642.53593089,-185069.810327372,people_in_povertySSP1,mean,2050,4.5
people_in_povertySSP1;mean;2050;6,1176511.90992919,-319248.746798172,people_in_povertySSP1,mean,2050,6
people_in_povertySSP1;mean;2050;8.5,1403135.22468925,-92618.5576508031,people_in_povertySSP1,mean,2050,8.5
people_in_povertySSP1;mean;2070;2.6,1596931.83000612,-204490.002573106,people_in_povertySSP1,mean,2070,2.6
people_in_povertySSP1;mean;2070;4.5,1409157.45992753,-392264.372651703,people_in_povertySSP1,mean,2070,4.5
people_in_povertySSP1;mean;2070;6,1535129.28106502,-266292.551514212,people_in_povertySSP1,mean,2070,6
people_in_povertySSP1;mean;2070;8.5,1395890.96296352,-405530.869615707,people_in_povertySSP1,mean,2070,8.5
people_in_povertySSP1;mean;2080;2.6,1591434.49211848,-270220.692600003,people_in_povertySSP1,mean,2080,2.6
people_in_povertySSP1;mean;2080;4.5,1604012.09854226,-257643.086176228,people_in_povertySSP1,mean,2080,4.5
people_in_povertySSP1;mean;2080;6,1710078.78638472,-151576.39833376,people_in_povertySSP1,mean,2080,6
people_in_povertySSP1;mean;2080;8.5,1402305.46478117,-457966.085139884,people_in_povertySSP1,mean,2080,8.5
people_in_povertySSP1;min;2030;2.6,889156.450485804,-71078.5085958878,people_in_povertySSP1,min,2030,2.6
people_in_povertySSP1;min;2030;4.5,894836.062476214,-65398.8966054785,people_in_povertySSP1,min,2030,4.5
people_in_povertySSP1;min;2030;6,934290.508687725,-25944.3975878053,people_in_povertySSP1,min,2030,6
people_in_povertySSP1;min;2030;8.5,954681.380930411,-5553.57815128111,people_in_povertySSP1,min,2030,8.5
people_in_povertySSP1;min;2050;2.6,1557814.1404051,-92676.4035561488,people_in_povertySSP1,min,2050,2.6
people_in_povertySSP1;min;2050;4.5,1581467.56106803,-68981.5468114261,people_in_povertySSP1,min,2050,4.5
people_in_povertySSP1;min;2050;6,1326587.86951752,-323820.240573122,people_in_povertySSP1,min,2050,6
people_in_povertySSP1;min;2050;8.5,1751779.99117598,101289.447214733,people_in_povertySSP1,min,2050,8.5
people_in_povertySSP1;min;2070;2.6,1871932.27740234,-118104.308260606,people_in_povertySSP1,min,2070,2.6
people_in_povertySSP1;min;2070;4.5,1620160.03131273,-369876.554350218,people_in_povertySSP1,min,2070,4.5
people_in_povertySSP1;min;2070;6,1827251.99736933,-162784.866406464,people_in_povertySSP1,min,2070,6
people_in_povertySSP1;min;2070;8.5,1623295.67801608,-366740.907646862,people_in_povertySSP1,min,2070,8.5
people_in_povertySSP1;min;2080;2.6,1952392.85726831,-105422.21892074,people_in_povertySSP1,min,2080,2.6
people_in_povertySSP1;min;2080;4.5,2074279.48709899,16464.4109099349,people_in_povertySSP1,min,2080,4.5
people_in_povertySSP1;min;2080;6,2184145.30950722,126330.233318173,people_in_povertySSP1,min,2080,6
people_in_povertySSP1;min;2080;8.5,1692350.63398241,-364248.140346648,people_in_povertySSP1,min,2080,8.5
people_in_povertySSP2;max;2030;2.6,1643426.48425917,-175266.929133492,people_in_povertySSP2,max,2030,2.6
people_in_povertySSP2;max;2030;4.5,1574489.07403222,-244204.339360442,people_in_povertySSP2,max,2030,4.5
people_in_povertySSP2;max;2030;6,1680758.060921,-137935.352471664,people_in_povertySSP2,max,2030,6
people_in_povertySSP2;max;2030;8.5,1653256.0240899,-165437.389302759,people_in_povertySSP2,max,2030,8.5
people_in_povertySSP2;max;2050;2.6,3512839.630447,-500140.145703834,people_in_povertySSP2,max,2050,2.6
people_in_povertySSP2;max;2050;4.5,3453978.56872043,-559032.987718907,people_in_povertySSP2,max,2050,4.5
people_in_povertySSP2;max;2050;6,3189158.29478431,-823828.464308424,people_in_povertySSP2,max,2050,6
people_in_povertySSP2;max;2050;8.5,3689195.36171,-323784.414440832,people_in_povertySSP2,max,2050,8.5
people_in_povertySSP2;max;2070;2.6,5535590.19934431,-664813.849013507,people_in_povertySSP2,max,2070,2.6
people_in_povertySSP2;max;2070;4.5,4792399.23922805,-1408004.80912976,people_in_povertySSP2,max,2070,4.5
people_in_povertySSP2;max;2070;6,5275422.78356051,-924981.264797307,people_in_povertySSP2,max,2070,6
people_in_povertySSP2;max;2070;8.5,4441252.85068001,-1759151.19767781,people_in_povertySSP2,max,2070,8.5
people_in_povertySSP2;max;2080;2.6,6293845.26890435,-963465.725589912,people_in_povertySSP2,max,2080,2.6
people_in_povertySSP2;max;2080;4.5,6497949.68952013,-759361.304974132,people_in_povertySSP2,max,2080,4.5
people_in_povertySSP2;max;2080;6,6556103.63047173,-701207.364022526,people_in_povertySSP2,max,2080,6
