year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,137146,-21395,clim_down,max,2030,2.6,mayaro
clim_down;max;2030;4.5,87961,-4888,clim_down,max,2030,4.5,mayaro
clim_down;max;2030;6,95647,-8584,clim_down,max,2030,6,mayaro
clim_down;max;2030;8.5,113367,-10683,clim_down,max,2030,8.5,mayaro
clim_down;max;2050;2.6,50626,-16967,clim_down,max,2050,2.6,mayaro
clim_down;max;2050;4.5,110153,-15108,clim_down,max,2050,4.5,mayaro
clim_down;max;2050;6,101534,-13912,clim_down,max,2050,6,mayaro
clim_down;max;2050;8.5,122607,-30890,clim_down,max,2050,8.5,mayaro
clim_down;max;2070;2.6,93306,-45058,clim_down,max,2070,2.6,mayaro
clim_down;max;2070;4.5,126355,-24758,clim_down,max,2070,4.5,mayaro
clim_down;max;2070;6,80979,-21241,clim_down,max,2070,6,mayaro
clim_down;max;2070;8.5,76803,-37542,clim_down,max,2070,8.5,mayaro
clim_down;max;2080;2.6,85259,-38294,clim_down,max,2080,2.6,mayaro
clim_down;max;2080;4.5,85780,-20159,clim_down,max,2080,4.5,mayaro
clim_down;max;2080;6,98719,-28326,clim_down,max,2080,6,mayaro
clim_down;max;2080;8.5,141366,-67711,clim_down,max,2080,8.5,mayaro
clim_down;mean;2030;2.6,286337,5337,clim_down,mean,2030,2.6,mayaro
clim_down;mean;2030;4.5,207464,-8945,clim_down,mean,2030,4.5,mayaro
clim_down;mean;2030;6,223604,-7611,clim_down,mean,2030,6,mayaro
clim_down;mean;2030;8.5,261993,2751,clim_down,mean,2030,8.5,mayaro
clim_down;mean;2050;2.6,172605,-17666,clim_down,mean,2050,2.6,mayaro
clim_down;mean;2050;4.5,283848,-19643,clim_down,mean,2050,4.5,mayaro
clim_down;mean;2050;6,205042,-48430,clim_down,mean,2050,6,mayaro
clim_down;mean;2050;8.5,274383,-64163,clim_down,mean,2050,8.5,mayaro
clim_down;mean;2070;2.6,283582,-40652,clim_down,mean,2070,2.6,mayaro
clim_down;mean;2070;4.5,309590,-23760,clim_down,mean,2070,4.5,mayaro
clim_down;mean;2070;6,186002,-65255,clim_down,mean,2070,6,mayaro
clim_down;mean;2070;8.5,161142,-106810,clim_down,mean,2070,8.5,mayaro
clim_down;mean;2080;2.6,242293,-35584,clim_down,mean,2080,2.6,mayaro
clim_down;mean;2080;4.5,241928,-19753,clim_down,mean,2080,4.5,mayaro
clim_down;mean;2080;6,256725,-40268,clim_down,mean,2080,6,mayaro
clim_down;mean;2080;8.5,380977,-43327,clim_down,mean,2080,8.5,mayaro
clim_down;min;2030;2.6,309738,8662,clim_down,min,2030,2.6,mayaro
clim_down;min;2030;4.5,221417,-13979,clim_down,min,2030,4.5,mayaro
clim_down;min;2030;6,243278,-7781,clim_down,min,2030,6,mayaro
clim_down;min;2030;8.5,286948,7120,clim_down,min,2030,8.5,mayaro
clim_down;min;2050;2.6,193246,-16959,clim_down,min,2050,2.6,mayaro
clim_down;min;2050;4.5,304557,-26396,clim_down,min,2050,4.5,mayaro
clim_down;min;2050;6,241280,-34235,clim_down,min,2050,6,mayaro
clim_down;min;2050;8.5,324694,-42153,clim_down,min,2050,8.5,mayaro
clim_down;min;2070;2.6,318405,-34835,clim_down,min,2070,2.6,mayaro
clim_down;min;2070;4.5,329961,-29906,clim_down,min,2070,4.5,mayaro
clim_down;min;2070;6,225714,-47636,clim_down,min,2070,6,mayaro
clim_down;min;2070;8.5,178859,-112830,clim_down,min,2070,8.5,mayaro
clim_down;min;2080;2.6,272228,-30064,clim_down,min,2080,2.6,mayaro
clim_down;min;2080;4.5,259682,-24923,clim_down,min,2080,4.5,mayaro
clim_down;min;2080;6,280725,-43293,clim_down,min,2080,6,mayaro
clim_down;min;2080;8.5,436865,-20600,clim_down,min,2080,8.5,mayaro
clim_up;max;2030;2.6,1028,-216,clim_up,max,2030,2.6,mayaro
clim_up;max;2030;4.5,7900,-541,clim_up,max,2030,4.5,mayaro
clim_up;max;2030;6,5293,-720,clim_up,max,2030,6,mayaro
clim_up;max;2030;8.5,5365,-513,clim_up,max,2030,8.5,mayaro
clim_up;max;2050;2.6,11530,-3289,clim_up,max,2050,2.6,mayaro
clim_up;max;2050;4.5,7615,-741,clim_up,max,2050,4.5,mayaro
clim_up;max;2050;6,6552,-1414,clim_up,max,2050,6,mayaro
clim_up;max;2050;8.5,1262,-561,clim_up,max,2050,8.5,mayaro
clim_up;max;2070;2.6,1296,-935,clim_up,max,2070,2.6,mayaro
clim_up;max;2070;4.5,3381,-603,clim_up,max,2070,4.5,mayaro
clim_up;max;2070;6,15978,-2695,clim_up,max,2070,6,mayaro
clim_up;max;2070;8.5,12935,-6115,clim_up,max,2070,8.5,mayaro
clim_up;max;2080;2.6,1793,-1562,clim_up,max,2080,2.6,mayaro
clim_up;max;2080;4.5,8920,-1671,clim_up,max,2080,4.5,mayaro
clim_up;max;2080;6,5690,-1440,clim_up,max,2080,6,mayaro
clim_up;max;2080;8.5,188,-112,clim_up,max,2080,8.5,mayaro
clim_up;mean;2030;2.6,25008,2043,clim_up,mean,2030,2.6,mayaro
clim_up;mean;2030;4.5,18929,-1203,clim_up,mean,2030,4.5,mayaro
clim_up;mean;2030;6,20887,-1059,clim_up,mean,2030,6,mayaro
clim_up;mean;2030;8.5,20768,-154,clim_up,mean,2030,8.5,mayaro
clim_up;mean;2050;2.6,25042,-1219,clim_up,mean,2050,2.6,mayaro
clim_up;mean;2050;4.5,14746,-1582,clim_up,mean,2050,4.5,mayaro
clim_up;mean;2050;6,18674,-3921,clim_up,mean,2050,6,mayaro
clim_up;mean;2050;8.5,7326,-528,clim_up,mean,2050,8.5,mayaro
clim_up;mean;2070;2.6,8564,-570,clim_up,mean,2070,2.6,mayaro
clim_up;mean;2070;4.5,10262,-1952,clim_up,mean,2070,4.5,mayaro
clim_up;mean;2070;6,37106,-5072,clim_up,mean,2070,6,mayaro
clim_up;mean;2070;8.5,33369,-7993,clim_up,mean,2070,8.5,mayaro
clim_up;mean;2080;2.6,13171,-687,clim_up,mean,2080,2.6,mayaro
clim_up;mean;2080;4.5,18945,-1699,clim_up,mean,2080,4.5,mayaro
clim_up;mean;2080;6,16258,-4294,clim_up,mean,2080,6,mayaro
clim_up;mean;2080;8.5,6144,-146,clim_up,mean,2080,8.5,mayaro
clim_up;min;2030;2.6,27649,1823,clim_up,min,2030,2.6,mayaro
clim_up;min;2030;4.5,20968,-996,clim_up,min,2030,4.5,mayaro
clim_up;min;2030;6,23454,-216,clim_up,min,2030,6,mayaro
clim_up;min;2030;8.5,23729,326,clim_up,min,2030,8.5,mayaro
clim_up;min;2050;2.6,26881,-1053,clim_up,min,2050,2.6,mayaro
clim_up;min;2050;4.5,16228,-936,clim_up,min,2050,4.5,mayaro
clim_up;min;2050;6,21284,-3025,clim_up,min,2050,6,mayaro
clim_up;min;2050;8.5,8532,-306,clim_up,min,2050,8.5,mayaro
