year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;mean;2030;2.6,502,-64,clim_down,mean,2030,2.6,menangle
clim_down;mean;2030;4.5,220,-348,clim_down,mean,2030,4.5,menangle
clim_down;mean;2050;2.6,446,-107,clim_down,mean,2050,2.6,menangle
clim_down;mean;2050;4.5,142,-415,clim_down,mean,2050,4.5,menangle
clim_down;mean;2050;6,144,-402,clim_down,mean,2050,6,menangle
clim_down;mean;2050;8.5,255,-295,clim_down,mean,2050,8.5,menangle
clim_down;mean;2070;4.5,114,-434,clim_down,mean,2070,4.5,menangle
clim_down;mean;2070;6,140,-403,clim_down,mean,2070,6,menangle
clim_down;mean;2070;8.5,223,-329,clim_down,mean,2070,8.5,menangle
clim_down;mean;2080;2.6,425,-112,clim_down,mean,2080,2.6,menangle
clim_down;mean;2080;4.5,117,-446,clim_down,mean,2080,4.5,menangle
clim_down;mean;2080;6,144,-407,clim_down,mean,2080,6,menangle
clim_down;min;2030;2.6,679,-40,clim_down,min,2030,2.6,menangle
clim_down;min;2030;4.5,643,-83,clim_down,min,2030,4.5,menangle
clim_down;min;2050;2.6,654,-67,clim_down,min,2050,2.6,menangle
clim_down;min;2050;4.5,560,-156,clim_down,min,2050,4.5,menangle
clim_down;min;2050;6,426,-288,clim_down,min,2050,6,menangle
clim_down;min;2050;8.5,461,-265,clim_down,min,2050,8.5,menangle
clim_down;min;2070;4.5,511,-203,clim_down,min,2070,4.5,menangle
clim_down;min;2070;6,392,-303,clim_down,min,2070,6,menangle
clim_down;min;2070;8.5,389,-331,clim_down,min,2070,8.5,menangle
clim_down;min;2080;2.6,621,-62,clim_down,min,2080,2.6,menangle
clim_down;min;2080;4.5,493,-235,clim_down,min,2080,4.5,menangle
clim_down;min;2080;6,418,-306,clim_down,min,2080,6,menangle
clim_down;min;2080;8.5,40,-307,clim_down,min,2080,8.5,menangle
clim_up;mean;2030;2.6,1,-1,clim_up,mean,2030,2.6,menangle
clim_up;mean;2080;2.6,1,-4,clim_up,mean,2080,2.6,menangle
clim_up;min;2030;2.6,5,-1,clim_up,min,2030,2.6,menangle
clim_up;min;2030;4.5,5,0,clim_up,min,2030,4.5,menangle
clim_up;min;2050;2.6,4,-1,clim_up,min,2050,2.6,menangle
clim_up;min;2050;4.5,5,-1,clim_up,min,2050,4.5,menangle
clim_up;min;2050;6,2,-3,clim_up,min,2050,6,menangle
clim_up;min;2070;4.5,4,0,clim_up,min,2070,4.5,menangle
clim_up;min;2070;6,5,-1,clim_up,min,2070,6,menangle
clim_up;min;2070;8.5,1,-4,clim_up,min,2070,8.5,menangle
clim_up;min;2080;2.6,6,-3,clim_up,min,2080,2.6,menangle
clim_up;min;2080;4.5,4,-1,clim_up,min,2080,4.5,menangle
dummy;max;2050;6,40,-56,dummy,max,2050,6,menangle
dummy;max;2050;8.5,70,0,dummy,max,2050,8.5,menangle
dummy;max;2070;6,33,-87,dummy,max,2070,6,menangle
dummy;max;2080;6,15,-108,dummy,max,2080,6,menangle
dummy;mean;2030;2.6,4172,-1933,dummy,mean,2030,2.6,menangle
dummy;mean;2030;4.5,2827,-3102,dummy,mean,2030,4.5,menangle
dummy;mean;2050;2.6,3376,-1986,dummy,mean,2050,2.6,menangle
dummy;mean;2050;4.5,1492,-4134,dummy,mean,2050,4.5,menangle
dummy;mean;2050;6,2514,-2416,dummy,mean,2050,6,menangle
dummy;mean;2050;8.5,3217,-1782,dummy,mean,2050,8.5,menangle
dummy;mean;2070;4.5,1159,-3939,dummy,mean,2070,4.5,menangle
dummy;mean;2070;6,2402,-2806,dummy,mean,2070,6,menangle
dummy;mean;2070;8.5,2454,-2476,dummy,mean,2070,8.5,menangle
dummy;mean;2080;2.6,3349,-2246,dummy,mean,2080,2.6,menangle
dummy;mean;2080;4.5,1103,-4374,dummy,mean,2080,4.5,menangle
dummy;mean;2080;6,1842,-2600,dummy,mean,2080,6,menangle
dummy;mean;2080;8.5,73,-1490,dummy,mean,2080,8.5,menangle
dummy;min;2030;2.6,5159,-1506,dummy,min,2030,2.6,menangle
dummy;min;2030;4.5,6129,-359,dummy,min,2030,4.5,menangle
dummy;min;2050;2.6,4239,-1669,dummy,min,2050,2.6,menangle
dummy;min;2050;4.5,3844,-2338,dummy,min,2050,4.5,menangle
dummy;min;2050;6,4216,-1264,dummy,min,2050,6,menangle
