year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,3858,-344,clim_down,max,2030,2.6,mers coronavirus
clim_down;max;2030;4.5,32899,-27667,clim_down,max,2030,4.5,mers coronavirus
clim_down;max;2030;6,2781,-2689,clim_down,max,2030,6,mers coronavirus
clim_down;max;2030;8.5,31392,-28917,clim_down,max,2030,8.5,mers coronavirus
clim_down;max;2050;2.6,13717,-2103,clim_down,max,2050,2.6,mers coronavirus
clim_down;max;2050;4.5,7095,-1228,clim_down,max,2050,4.5,mers coronavirus
clim_down;max;2050;8.5,3999,-516,clim_down,max,2050,8.5,mers coronavirus
clim_down;max;2070;2.6,8625,-1365,clim_down,max,2070,2.6,mers coronavirus
clim_down;max;2070;4.5,5439,-468,clim_down,max,2070,4.5,mers coronavirus
clim_down;max;2070;6,16047,-12985,clim_down,max,2070,6,mers coronavirus
clim_down;max;2070;8.5,9356,-1386,clim_down,max,2070,8.5,mers coronavirus
clim_down;max;2080;2.6,8121,-783,clim_down,max,2080,2.6,mers coronavirus
clim_down;max;2080;4.5,9925,-2926,clim_down,max,2080,4.5,mers coronavirus
clim_down;max;2080;6,7468,-7752,clim_down,max,2080,6,mers coronavirus
clim_down;max;2080;8.5,7029,-2664,clim_down,max,2080,8.5,mers coronavirus
clim_down;mean;2030;2.6,20006,-599,clim_down,mean,2030,2.6,mers coronavirus
clim_down;mean;2030;4.5,163205,-82360,clim_down,mean,2030,4.5,mers coronavirus
clim_down;mean;2030;6,21842,-1939,clim_down,mean,2030,6,mers coronavirus
clim_down;mean;2030;8.5,160245,-69849,clim_down,mean,2030,8.5,mers coronavirus
clim_down;mean;2050;2.6,49584,-4281,clim_down,mean,2050,2.6,mers coronavirus
clim_down;mean;2050;4.5,36042,-1468,clim_down,mean,2050,4.5,mers coronavirus
clim_down;mean;2050;8.5,20997,-971,clim_down,mean,2050,8.5,mers coronavirus
clim_down;mean;2070;2.6,38956,-3778,clim_down,mean,2070,2.6,mers coronavirus
clim_down;mean;2070;4.5,20731,-833,clim_down,mean,2070,4.5,mers coronavirus
clim_down;mean;2070;6,76949,-12179,clim_down,mean,2070,6,mers coronavirus
clim_down;mean;2070;8.5,25645,-102,clim_down,mean,2070,8.5,mers coronavirus
clim_down;mean;2080;2.6,35183,-3779,clim_down,mean,2080,2.6,mers coronavirus
clim_down;mean;2080;4.5,53375,-1725,clim_down,mean,2080,4.5,mers coronavirus
clim_down;mean;2080;6,45411,-11042,clim_down,mean,2080,6,mers coronavirus
clim_down;mean;2080;8.5,41491,-681,clim_down,mean,2080,8.5,mers coronavirus
clim_down;min;2030;2.6,24960,-213,clim_down,min,2030,2.6,mers coronavirus
clim_down;min;2030;4.5,263004,-47580,clim_down,min,2030,4.5,mers coronavirus
clim_down;min;2030;6,28751,-1693,clim_down,min,2030,6,mers coronavirus
clim_down;min;2030;8.5,261303,-39590,clim_down,min,2030,8.5,mers coronavirus
clim_down;min;2050;2.6,59902,-419,clim_down,min,2050,2.6,mers coronavirus
clim_down;min;2050;4.5,42727,-476,clim_down,min,2050,4.5,mers coronavirus
clim_down;min;2050;8.5,26531,-154,clim_down,min,2050,8.5,mers coronavirus
clim_down;min;2070;2.6,52146,-445,clim_down,min,2070,2.6,mers coronavirus
clim_down;min;2070;4.5,26322,-441,clim_down,min,2070,4.5,mers coronavirus
clim_down;min;2070;6,101012,-3103,clim_down,min,2070,6,mers coronavirus
clim_down;min;2070;8.5,31806,-735,clim_down,min,2070,8.5,mers coronavirus
clim_down;min;2080;2.6,43267,-290,clim_down,min,2080,2.6,mers coronavirus
clim_down;min;2080;4.5,61497,-124,clim_down,min,2080,4.5,mers coronavirus
clim_down;min;2080;6,59452,-1402,clim_down,min,2080,6,mers coronavirus
clim_down;min;2080;8.5,48516,-559,clim_down,min,2080,8.5,mers coronavirus
clim_up;max;2030;2.6,8196,177,clim_up,max,2030,2.6,mers coronavirus
clim_up;max;2030;4.5,1261,17,clim_up,max,2030,4.5,mers coronavirus
clim_up;max;2030;6,9179,-1239,clim_up,max,2030,6,mers coronavirus
clim_up;max;2030;8.5,2020,42,clim_up,max,2030,8.5,mers coronavirus
clim_up;max;2050;2.6,4780,40,clim_up,max,2050,2.6,mers coronavirus
clim_up;max;2050;4.5,6054,117,clim_up,max,2050,4.5,mers coronavirus
clim_up;max;2050;8.5,14460,93,clim_up,max,2050,8.5,mers coronavirus
clim_up;max;2070;2.6,14534,82,clim_up,max,2070,2.6,mers coronavirus
clim_up;max;2070;4.5,8697,195,clim_up,max,2070,4.5,mers coronavirus
clim_up;max;2070;6,3086,-1371,clim_up,max,2070,6,mers coronavirus
clim_up;max;2070;8.5,12090,178,clim_up,max,2070,8.5,mers coronavirus
clim_up;max;2080;2.6,5732,57,clim_up,max,2080,2.6,mers coronavirus
clim_up;max;2080;4.5,9548,291,clim_up,max,2080,4.5,mers coronavirus
clim_up;max;2080;6,4654,-1496,clim_up,max,2080,6,mers coronavirus
clim_up;max;2080;8.5,14330,105,clim_up,max,2080,8.5,mers coronavirus
clim_up;mean;2030;2.6,37037,227,clim_up,mean,2030,2.6,mers coronavirus
clim_up;mean;2030;4.5,2545,4,clim_up,mean,2030,4.5,mers coronavirus
clim_up;mean;2030;6,38417,-98,clim_up,mean,2030,6,mers coronavirus
clim_up;mean;2030;8.5,5673,1,clim_up,mean,2030,8.5,mers coronavirus
clim_up;mean;2050;2.6,22408,-72,clim_up,mean,2050,2.6,mers coronavirus
clim_up;mean;2050;4.5,25498,84,clim_up,mean,2050,4.5,mers coronavirus
clim_up;mean;2050;8.5,56821,439,clim_up,mean,2050,8.5,mers coronavirus
clim_up;mean;2070;2.6,36877,-39,clim_up,mean,2070,2.6,mers coronavirus
clim_up;mean;2070;4.5,48893,289,clim_up,mean,2070,4.5,mers coronavirus
clim_up;mean;2070;6,18893,-875,clim_up,mean,2070,6,mers coronavirus
