year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,748,-1295,clim_down,max,2030,2.6,mobala
clim_down;max;2030;4.5,1888,-703,clim_down,max,2030,4.5,mobala
clim_down;max;2030;6,2305,-664,clim_down,max,2030,6,mobala
clim_down;max;2030;8.5,654,-436,clim_down,max,2030,8.5,mobala
clim_down;max;2050;2.6,12,-1150,clim_down,max,2050,2.6,mobala
clim_down;max;2050;4.5,2724,-1518,clim_down,max,2050,4.5,mobala
clim_down;max;2050;6,4483,-1766,clim_down,max,2050,6,mobala
clim_down;max;2050;8.5,1235,-2569,clim_down,max,2050,8.5,mobala
clim_down;max;2070;2.6,335,-8281,clim_down,max,2070,2.6,mobala
clim_down;max;2070;4.5,2991,-2258,clim_down,max,2070,4.5,mobala
clim_down;max;2070;6,2597,-1614,clim_down,max,2070,6,mobala
clim_down;max;2070;8.5,154,-6322,clim_down,max,2070,8.5,mobala
clim_down;max;2080;2.6,168,-2564,clim_down,max,2080,2.6,mobala
clim_down;max;2080;4.5,2670,-2473,clim_down,max,2080,4.5,mobala
clim_down;max;2080;6,2585,-2138,clim_down,max,2080,6,mobala
clim_down;mean;2030;2.6,13081,-3866,clim_down,mean,2030,2.6,mobala
clim_down;mean;2030;4.5,17544,-5114,clim_down,mean,2030,4.5,mobala
clim_down;mean;2030;6,15228,-2898,clim_down,mean,2030,6,mobala
clim_down;mean;2030;8.5,16587,-3151,clim_down,mean,2030,8.5,mobala
clim_down;mean;2050;2.6,3646,-8437,clim_down,mean,2050,2.6,mobala
clim_down;mean;2050;4.5,16589,-10560,clim_down,mean,2050,4.5,mobala
clim_down;mean;2050;6,22654,-8690,clim_down,mean,2050,6,mobala
clim_down;mean;2050;8.5,10383,-11230,clim_down,mean,2050,8.5,mobala
clim_down;mean;2070;2.6,5437,-31874,clim_down,mean,2070,2.6,mobala
clim_down;mean;2070;4.5,9603,-18930,clim_down,mean,2070,4.5,mobala
clim_down;mean;2070;6,20716,-13398,clim_down,mean,2070,6,mobala
clim_down;mean;2070;8.5,9018,-33436,clim_down,mean,2070,8.5,mobala
clim_down;mean;2080;2.6,1400,-18439,clim_down,mean,2080,2.6,mobala
clim_down;mean;2080;4.5,9187,-23455,clim_down,mean,2080,4.5,mobala
clim_down;mean;2080;6,21395,-19140,clim_down,mean,2080,6,mobala
clim_down;mean;2080;8.5,5718,-41115,clim_down,mean,2080,8.5,mobala
clim_down;min;2030;2.6,37001,-1175,clim_down,min,2030,2.6,mobala
clim_down;min;2030;4.5,38163,-9664,clim_down,min,2030,4.5,mobala
clim_down;min;2030;6,27140,-12424,clim_down,min,2030,6,mobala
clim_down;min;2030;8.5,38234,-12356,clim_down,min,2030,8.5,mobala
clim_down;min;2050;2.6,30689,-15490,clim_down,min,2050,2.6,mobala
clim_down;min;2050;4.5,40616,-15501,clim_down,min,2050,4.5,mobala
clim_down;min;2050;6,39104,-28904,clim_down,min,2050,6,mobala
clim_down;min;2050;8.5,47432,-11192,clim_down,min,2050,8.5,mobala
clim_down;min;2070;2.6,41067,-30255,clim_down,min,2070,2.6,mobala
clim_down;min;2070;4.5,37866,-26596,clim_down,min,2070,4.5,mobala
clim_down;min;2070;6,38547,-36691,clim_down,min,2070,6,mobala
clim_down;min;2070;8.5,54972,-35830,clim_down,min,2070,8.5,mobala
clim_down;min;2080;2.6,23447,-22300,clim_down,min,2080,2.6,mobala
clim_down;min;2080;4.5,31320,-30815,clim_down,min,2080,4.5,mobala
clim_down;min;2080;6,41241,-37494,clim_down,min,2080,6,mobala
clim_down;min;2080;8.5,58917,-43905,clim_down,min,2080,8.5,mobala
clim_up;max;2030;2.6,1361,-226,clim_up,max,2030,2.6,mobala
clim_up;max;2030;4.5,630,-13,clim_up,max,2030,4.5,mobala
clim_up;max;2030;6,431,-4,clim_up,max,2030,6,mobala
clim_up;max;2030;8.5,6409,-231,clim_up,max,2030,8.5,mobala
clim_up;max;2050;2.6,4282,-3025,clim_up,max,2050,2.6,mobala
clim_up;max;2050;4.5,392,-19,clim_up,max,2050,4.5,mobala
clim_up;max;2050;6,1,-1,clim_up,max,2050,6,mobala
clim_up;max;2050;8.5,233,-1956,clim_up,max,2050,8.5,mobala
clim_up;max;2070;4.5,128,-11,clim_up,max,2070,4.5,mobala
