year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,251925,-21195,clim_down,max,2030,2.6,mokola
clim_down;max;2030;4.5,245499,-19386,clim_down,max,2030,4.5,mokola
clim_down;max;2030;8.5,315074,-33685,clim_down,max,2030,8.5,mokola
clim_down;max;2050;2.6,298492,-36425,clim_down,max,2050,2.6,mokola
clim_down;max;2050;4.5,294927,-38277,clim_down,max,2050,4.5,mokola
clim_down;max;2050;6,70298,-369549,clim_down,max,2050,6,mokola
clim_down;max;2050;8.5,341515,-97236,clim_down,max,2050,8.5,mokola
clim_down;max;2070;2.6,289881,-33608,clim_down,max,2070,2.6,mokola
clim_down;max;2070;4.5,304360,-58270,clim_down,max,2070,4.5,mokola
clim_down;max;2070;6,327056,-79725,clim_down,max,2070,6,mokola
clim_down;max;2070;8.5,285901,-224373,clim_down,max,2070,8.5,mokola
clim_down;max;2080;2.6,251916,-23447,clim_down,max,2080,2.6,mokola
clim_down;max;2080;4.5,319139,-78648,clim_down,max,2080,4.5,mokola
clim_down;max;2080;6,316343,-85898,clim_down,max,2080,6,mokola
clim_down;max;2080;8.5,59810,-358785,clim_down,max,2080,8.5,mokola
clim_down;mean;2030;2.6,275310,-39771,clim_down,mean,2030,2.6,mokola
clim_down;mean;2030;4.5,264754,-40932,clim_down,mean,2030,4.5,mokola
clim_down;mean;2030;8.5,341553,-44767,clim_down,mean,2030,8.5,mokola
clim_down;mean;2050;2.6,327651,-51634,clim_down,mean,2050,2.6,mokola
clim_down;mean;2050;4.5,318756,-57379,clim_down,mean,2050,4.5,mokola
clim_down;mean;2050;6,92814,-360592,clim_down,mean,2050,6,mokola
clim_down;mean;2050;8.5,392605,-88603,clim_down,mean,2050,8.5,mokola
clim_down;mean;2070;2.6,318184,-50529,clim_down,mean,2070,2.6,mokola
clim_down;mean;2070;4.5,332715,-69322,clim_down,mean,2070,4.5,mokola
clim_down;mean;2070;6,363880,-86048,clim_down,mean,2070,6,mokola
