year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,2810,-7301,clim_down,max,2030,2.6,monkeypox
clim_down;max;2030;4.5,2402,-7859,clim_down,max,2030,4.5,monkeypox
clim_down;max;2030;6,3191,-8362,clim_down,max,2030,6,monkeypox
clim_down;max;2030;8.5,2731,-13051,clim_down,max,2030,8.5,monkeypox
clim_down;max;2050;2.6,1257,-17066,clim_down,max,2050,2.6,monkeypox
clim_down;max;2050;4.5,1647,-15845,clim_down,max,2050,4.5,monkeypox
clim_down;max;2050;6,1499,-15431,clim_down,max,2050,6,monkeypox
clim_down;max;2050;8.5,899,-19256,clim_down,max,2050,8.5,monkeypox
clim_down;max;2070;2.6,834,-18186,clim_down,max,2070,2.6,monkeypox
clim_down;max;2070;4.5,1430,-16555,clim_down,max,2070,4.5,monkeypox
clim_down;max;2070;6,4687,-14883,clim_down,max,2070,6,monkeypox
clim_down;max;2070;8.5,979,-20495,clim_down,max,2070,8.5,monkeypox
clim_down;max;2080;2.6,461,-1012,clim_down,max,2080,2.6,monkeypox
clim_down;max;2080;4.5,198,-20502,clim_down,max,2080,4.5,monkeypox
clim_down;max;2080;6,4365,-16528,clim_down,max,2080,6,monkeypox
clim_down;max;2080;8.5,608,-19985,clim_down,max,2080,8.5,monkeypox
clim_down;mean;2030;2.6,208948,-12524,clim_down,mean,2030,2.6,monkeypox
clim_down;mean;2030;4.5,178026,-40011,clim_down,mean,2030,4.5,monkeypox
clim_down;mean;2030;6,158240,-38341,clim_down,mean,2030,6,monkeypox
clim_down;mean;2030;8.5,257006,-23638,clim_down,mean,2030,8.5,monkeypox
clim_down;mean;2050;2.6,246758,-30507,clim_down,mean,2050,2.6,monkeypox
clim_down;mean;2050;4.5,231847,-73767,clim_down,mean,2050,4.5,monkeypox
clim_down;mean;2050;6,183373,-105119,clim_down,mean,2050,6,monkeypox
clim_down;mean;2050;8.5,305333,-46112,clim_down,mean,2050,8.5,monkeypox
clim_down;mean;2070;2.6,298582,-91005,clim_down,mean,2070,2.6,monkeypox
clim_down;mean;2070;4.5,239073,-106107,clim_down,mean,2070,4.5,monkeypox
clim_down;mean;2070;6,189874,-176597,clim_down,mean,2070,6,monkeypox
clim_down;mean;2070;8.5,362449,-79839,clim_down,mean,2070,8.5,monkeypox
clim_down;mean;2080;2.6,50154,-83757,clim_down,mean,2080,2.6,monkeypox
clim_down;mean;2080;4.5,243507,-208820,clim_down,mean,2080,4.5,monkeypox
clim_down;mean;2080;6,203579,-168322,clim_down,mean,2080,6,monkeypox
clim_down;mean;2080;8.5,332454,-69510,clim_down,mean,2080,8.5,monkeypox
clim_down;min;2030;2.6,270904,-18758,clim_down,min,2030,2.6,monkeypox
clim_down;min;2030;4.5,262452,-38285,clim_down,min,2030,4.5,monkeypox
clim_down;min;2030;6,235543,-44267,clim_down,min,2030,6,monkeypox
clim_down;min;2030;8.5,344672,-24442,clim_down,min,2030,8.5,monkeypox
clim_down;min;2050;2.6,315185,-52607,clim_down,min,2050,2.6,monkeypox
clim_down;min;2050;4.5,358325,-47570,clim_down,min,2050,4.5,monkeypox
clim_down;min;2050;6,338096,-28101,clim_down,min,2050,6,monkeypox
clim_down;min;2050;8.5,411818,-34182,clim_down,min,2050,8.5,monkeypox
clim_down;min;2070;2.6,436248,-51867,clim_down,min,2070,2.6,monkeypox
clim_down;min;2070;4.5,391786,-47666,clim_down,min,2070,4.5,monkeypox
clim_down;min;2070;6,380376,-90750,clim_down,min,2070,6,monkeypox
clim_down;min;2070;8.5,534756,-40794,clim_down,min,2070,8.5,monkeypox
clim_down;min;2080;2.6,136373,-82485,clim_down,min,2080,2.6,monkeypox
clim_down;min;2080;4.5,484197,-75827,clim_down,min,2080,4.5,monkeypox
clim_down;min;2080;6,390917,-87789,clim_down,min,2080,6,monkeypox
clim_down;min;2080;8.5,471993,-36892,clim_down,min,2080,8.5,monkeypox
clim_up;max;2030;2.6,463,-24,clim_up,max,2030,2.6,monkeypox
clim_up;max;2030;4.5,380,-303,clim_up,max,2030,4.5,monkeypox
clim_up;max;2030;6,538,-96,clim_up,max,2030,6,monkeypox
clim_up;max;2030;8.5,503,-1,clim_up,max,2030,8.5,monkeypox
clim_up;max;2050;2.6,431,3,clim_up,max,2050,2.6,monkeypox
clim_up;max;2050;4.5,439,-489,clim_up,max,2050,4.5,monkeypox
clim_up;max;2050;6,636,-153,clim_up,max,2050,6,monkeypox
clim_up;max;2050;8.5,576,-23,clim_up,max,2050,8.5,monkeypox
clim_up;max;2070;2.6,227,2,clim_up,max,2070,2.6,monkeypox
clim_up;max;2070;4.5,350,-351,clim_up,max,2070,4.5,monkeypox
clim_up;max;2070;6,118,-36,clim_up,max,2070,6,monkeypox
clim_up;max;2070;8.5,495,2,clim_up,max,2070,8.5,monkeypox
clim_up;max;2080;2.6,1373,-3405,clim_up,max,2080,2.6,monkeypox
clim_up;max;2080;4.5,214,-265,clim_up,max,2080,4.5,monkeypox
clim_up;max;2080;6,345,-63,clim_up,max,2080,6,monkeypox
clim_up;max;2080;8.5,724,-16,clim_up,max,2080,8.5,monkeypox
clim_up;mean;2030;2.6,21973,-352,clim_up,mean,2030,2.6,monkeypox
clim_up;mean;2030;4.5,28492,-799,clim_up,mean,2030,4.5,monkeypox
clim_up;mean;2030;6,33462,-3762,clim_up,mean,2030,6,monkeypox
clim_up;mean;2030;8.5,22383,174,clim_up,mean,2030,8.5,monkeypox
clim_up;mean;2050;2.6,17114,929,clim_up,mean,2050,2.6,monkeypox
clim_up;mean;2050;4.5,24271,-662,clim_up,mean,2050,4.5,monkeypox
clim_up;mean;2050;6,21520,-5973,clim_up,mean,2050,6,monkeypox
clim_up;mean;2050;8.5,23274,633,clim_up,mean,2050,8.5,monkeypox
clim_up;mean;2070;2.6,16000,-1403,clim_up,mean,2070,2.6,monkeypox
clim_up;mean;2070;4.5,9141,-696,clim_up,mean,2070,4.5,monkeypox
clim_up;mean;2070;6,12228,-13288,clim_up,mean,2070,6,monkeypox
clim_up;mean;2070;8.5,19848,197,clim_up,mean,2070,8.5,monkeypox
clim_up;mean;2080;2.6,143214,-1086,clim_up,mean,2080,2.6,monkeypox
clim_up;mean;2080;4.5,11152,-4417,clim_up,mean,2080,4.5,monkeypox
clim_up;mean;2080;6,10374,-17121,clim_up,mean,2080,6,monkeypox
clim_up;mean;2080;8.5,18288,461,clim_up,mean,2080,8.5,monkeypox
clim_up;min;2030;2.6,36086,293,clim_up,min,2030,2.6,monkeypox
clim_up;min;2030;4.5,47348,-1637,clim_up,min,2030,4.5,monkeypox
clim_up;min;2030;6,57400,2623,clim_up,min,2030,6,monkeypox
clim_up;min;2030;8.5,35428,1522,clim_up,min,2030,8.5,monkeypox
clim_up;min;2050;2.6,25627,-227,clim_up,min,2050,2.6,monkeypox
clim_up;min;2050;4.5,32325,-1374,clim_up,min,2050,4.5,monkeypox
clim_up;min;2050;6,43769,-2240,clim_up,min,2050,6,monkeypox
clim_up;min;2050;8.5,34756,754,clim_up,min,2050,8.5,monkeypox
clim_up;min;2070;2.6,39983,-4388,clim_up,min,2070,2.6,monkeypox
clim_up;min;2070;4.5,18509,-3322,clim_up,min,2070,4.5,monkeypox
clim_up;min;2070;6,56351,4822,clim_up,min,2070,6,monkeypox
clim_up;min;2070;8.5,25171,233,clim_up,min,2070,8.5,monkeypox
clim_up;min;2080;2.6,192932,1248,clim_up,min,2080,2.6,monkeypox
clim_up;min;2080;4.5,37517,-10888,clim_up,min,2080,4.5,monkeypox
clim_up;min;2080;6,51069,-5223,clim_up,min,2080,6,monkeypox
clim_up;min;2080;8.5,30494,1091,clim_up,min,2080,8.5,monkeypox
dummy;max;2030;2.6,10376,-13759,dummy,max,2030,2.6,monkeypox
dummy;max;2030;4.5,10246,-13889,dummy,max,2030,4.5,monkeypox
dummy;max;2030;6,11404,-12731,dummy,max,2030,6,monkeypox
dummy;max;2030;8.5,8525,-15610,dummy,max,2030,8.5,monkeypox
dummy;max;2050;2.6,5152,-18983,dummy,max,2050,2.6,monkeypox
dummy;max;2050;4.5,4724,-19411,dummy,max,2050,4.5,monkeypox
dummy;max;2050;6,5050,-19085,dummy,max,2050,6,monkeypox
dummy;max;2050;8.5,4354,-19781,dummy,max,2050,8.5,monkeypox
dummy;max;2070;2.6,3776,-20359,dummy,max,2070,2.6,monkeypox
dummy;max;2070;4.5,3767,-20368,dummy,max,2070,4.5,monkeypox
dummy;max;2070;6,6528,-17607,dummy,max,2070,6,monkeypox
dummy;max;2070;8.5,3502,-20633,dummy,max,2070,8.5,monkeypox
dummy;max;2080;2.6,7965,-16170,dummy,max,2080,2.6,monkeypox
dummy;max;2080;4.5,1518,-22617,dummy,max,2080,4.5,monkeypox
dummy;max;2080;6,5603,-18532,dummy,max,2080,6,monkeypox
dummy;max;2080;8.5,3906,-20229,dummy,max,2080,8.5,monkeypox
dummy;mean;2030;2.6,564870,-20657,dummy,mean,2030,2.6,monkeypox
dummy;mean;2030;4.5,514145,-71382,dummy,mean,2030,4.5,monkeypox
dummy;mean;2030;6,457788,-127739,dummy,mean,2030,6,monkeypox
dummy;mean;2030;8.5,556117,-29410,dummy,mean,2030,8.5,monkeypox
dummy;mean;2050;2.6,547398,-38129,dummy,mean,2050,2.6,monkeypox
dummy;mean;2050;4.5,473984,-111543,dummy,mean,2050,4.5,monkeypox
dummy;mean;2050;6,374382,-211145,dummy,mean,2050,6,monkeypox
dummy;mean;2050;8.5,536764,-48763,dummy,mean,2050,8.5,monkeypox
dummy;mean;2070;2.6,472368,-113159,dummy,mean,2070,2.6,monkeypox
dummy;mean;2070;4.5,436897,-148630,dummy,mean,2070,4.5,monkeypox
dummy;mean;2070;6,278139,-306218,dummy,mean,2070,6,monkeypox
dummy;mean;2070;8.5,501039,-84488,dummy,mean,2070,8.5,monkeypox
dummy;mean;2080;2.6,484458,-101069,dummy,mean,2080,2.6,monkeypox
dummy;mean;2080;4.5,336911,-248616,dummy,mean,2080,4.5,monkeypox
dummy;mean;2080;6,281249,-301015,dummy,mean,2080,6,monkeypox
dummy;mean;2080;8.5,513377,-72150,dummy,mean,2080,8.5,monkeypox
dummy;min;2030;2.6,754059,-39736,dummy,min,2030,2.6,monkeypox
dummy;min;2030;4.5,722449,-71346,dummy,min,2030,4.5,monkeypox
dummy;min;2030;6,735511,-58284,dummy,min,2030,6,monkeypox
dummy;min;2030;8.5,759785,-34010,dummy,min,2030,8.5,monkeypox
dummy;min;2050;2.6,709759,-84036,dummy,min,2050,2.6,monkeypox
dummy;min;2050;4.5,707175,-86620,dummy,min,2050,4.5,monkeypox
dummy;min;2050;6,737076,-56719,dummy,min,2050,6,monkeypox
dummy;min;2050;8.5,752637,-41158,dummy,min,2050,8.5,monkeypox
dummy;min;2070;2.6,706874,-86921,dummy,min,2070,2.6,monkeypox
dummy;min;2070;4.5,702546,-91249,dummy,min,2070,4.5,monkeypox
dummy;min;2070;6,688473,-100816,dummy,min,2070,6,monkeypox
dummy;min;2070;8.5,749337,-44458,dummy,min,2070,8.5,monkeypox
dummy;min;2080;2.6,685314,-107017,dummy,min,2080,2.6,monkeypox
dummy;min;2080;4.5,677961,-115834,dummy,min,2080,4.5,monkeypox
dummy;min;2080;6,684136,-105690,dummy,min,2080,6,monkeypox
dummy;min;2080;8.5,751020,-42775,dummy,min,2080,8.5,monkeypox
lu_down;max;2030;2.6,2376,-8098,lu_down,max,2030,2.6,monkeypox
lu_down;max;2030;4.5,3752,-7883,lu_down,max,2030,4.5,monkeypox
lu_down;max;2030;6,3854,-6083,lu_down,max,2030,6,monkeypox
lu_down;max;2030;8.5,1674,-5361,lu_down,max,2030,8.5,monkeypox
lu_down;max;2050;2.6,1053,-15760,lu_down,max,2050,2.6,monkeypox
lu_down;max;2050;4.5,2710,-12845,lu_down,max,2050,4.5,monkeypox
lu_down;max;2050;6,2619,-11524,lu_down,max,2050,6,monkeypox
lu_down;max;2050;8.5,640,-14637,lu_down,max,2050,8.5,monkeypox
lu_down;max;2070;2.6,890,-17768,lu_down,max,2070,2.6,monkeypox
lu_down;max;2070;4.5,2122,-14944,lu_down,max,2070,4.5,monkeypox
lu_down;max;2070;6,667,-11620,lu_down,max,2070,6,monkeypox
lu_down;max;2070;8.5,420,-16407,lu_down,max,2070,8.5,monkeypox
lu_down;max;2080;2.6,3292,-15651,lu_down,max,2080,2.6,monkeypox
lu_down;max;2080;4.5,1030,-16855,lu_down,max,2080,4.5,monkeypox
lu_down;max;2080;6,710,-12890,lu_down,max,2080,6,monkeypox
lu_down;max;2080;8.5,519,-16486,lu_down,max,2080,8.5,monkeypox
lu_down;mean;2030;2.6,75857,-3103,lu_down,mean,2030,2.6,monkeypox
lu_down;mean;2030;4.5,141621,-36888,lu_down,mean,2030,4.5,monkeypox
lu_down;mean;2030;6,235054,-106332,lu_down,mean,2030,6,monkeypox
lu_down;mean;2030;8.5,54582,-5611,lu_down,mean,2030,8.5,monkeypox
lu_down;mean;2050;2.6,103193,-17503,lu_down,mean,2050,2.6,monkeypox
lu_down;mean;2050;4.5,169991,-55592,lu_down,mean,2050,4.5,monkeypox
lu_down;mean;2050;6,211037,-194767,lu_down,mean,2050,6,monkeypox
lu_down;mean;2050;8.5,76555,-21326,lu_down,mean,2050,8.5,monkeypox
lu_down;mean;2070;2.6,117483,-45683,lu_down,mean,2070,2.6,monkeypox
lu_down;mean;2070;4.5,212828,-91861,lu_down,mean,2070,4.5,monkeypox
lu_down;mean;2070;6,176577,-241900,lu_down,mean,2070,6,monkeypox
lu_down;mean;2070;8.5,61126,-43876,lu_down,mean,2070,8.5,monkeypox
lu_down;mean;2080;2.6,163129,-32047,lu_down,mean,2080,2.6,monkeypox
lu_down;mean;2080;4.5,202926,-159948,lu_down,mean,2080,4.5,monkeypox
lu_down;mean;2080;6,184323,-240842,lu_down,mean,2080,6,monkeypox
lu_down;mean;2080;8.5,62887,-43292,lu_down,mean,2080,8.5,monkeypox
lu_down;min;2030;2.6,135937,-34308,lu_down,min,2030,2.6,monkeypox
lu_down;min;2030;4.5,219352,-66072,lu_down,min,2030,4.5,monkeypox
lu_down;min;2030;6,401649,-41559,lu_down,min,2030,6,monkeypox
lu_down;min;2030;8.5,88071,-28243,lu_down,min,2030,8.5,monkeypox
lu_down;min;2050;2.6,142327,-75465,lu_down,min,2050,2.6,monkeypox
lu_down;min;2050;4.5,260194,-77141,lu_down,min,2050,4.5,monkeypox
lu_down;min;2050;6,484956,-48010,lu_down,min,2050,6,monkeypox
lu_down;min;2050;8.5,119955,-33728,lu_down,min,2050,8.5,monkeypox
lu_down;min;2070;2.6,182434,-81239,lu_down,min,2070,2.6,monkeypox
lu_down;min;2070;4.5,336324,-82090,lu_down,min,2070,4.5,monkeypox
lu_down;min;2070;6,473253,-80602,lu_down,min,2070,6,monkeypox
lu_down;min;2070;8.5,122647,-38097,lu_down,min,2070,8.5,monkeypox
lu_down;min;2080;2.6,220073,-88857,lu_down,min,2080,2.6,monkeypox
lu_down;min;2080;4.5,381913,-103035,lu_down,min,2080,4.5,monkeypox
lu_down;min;2080;6,484377,-77565,lu_down,min,2080,6,monkeypox
lu_down;min;2080;8.5,122748,-38827,lu_down,min,2080,8.5,monkeypox
lu_up;max;2030;2.6,1118,-85,lu_up,max,2030,2.6,monkeypox
lu_up;max;2030;4.5,2,0,lu_up,max,2030,4.5,monkeypox
lu_up;max;2030;6,3,-5,lu_up,max,2030,6,monkeypox
lu_up;max;2030;8.5,1131,-396,lu_up,max,2030,8.5,monkeypox
lu_up;max;2050;2.6,1230,-44,lu_up,max,2050,2.6,monkeypox
lu_up;max;2050;4.5,1,0,lu_up,max,2050,4.5,monkeypox
lu_up;max;2050;8.5,1613,-807,lu_up,max,2050,8.5,monkeypox
