year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP
clim_down;max;2030;4.5,6100,-9042,clim_down,max,2030,4.5
clim_down;max;2030;8.5,2819,-7633,clim_down,max,2030,8.5
clim_down;max;2050;4.5,7050,-22814,clim_down,max,2050,4.5
clim_down;max;2050;6,8059,-11188,clim_down,max,2050,6
clim_down;max;2070;4.5,4548,-25045,clim_down,max,2070,4.5
clim_down;max;2070;6,5503,-14012,clim_down,max,2070,6
clim_down;max;2070;8.5,7257,-42632,clim_down,max,2070,8.5
clim_down;max;2080;2.6,9766,-12717,clim_down,max,2080,2.6
clim_down;max;2080;4.5,3376,-7687,clim_down,max,2080,4.5
clim_down;max;2080;6,4677,-10169,clim_down,max,2080,6
clim_down;mean;2030;4.5,15379,-6772,clim_down,mean,2030,4.5
clim_down;mean;2030;8.5,8690,-7215,clim_down,mean,2030,8.5
clim_down;mean;2050;4.5,18817,-23513,clim_down,mean,2050,4.5
clim_down;mean;2050;6,22449,-6482,clim_down,mean,2050,6
clim_down;mean;2070;4.5,14442,-27497,clim_down,mean,2070,4.5
clim_down;mean;2070;6,15400,-13571,clim_down,mean,2070,6
clim_down;mean;2070;8.5,22112,-44966,clim_down,mean,2070,8.5
clim_down;mean;2080;2.6,26782,-7669,clim_down,mean,2080,2.6
clim_down;mean;2080;4.5,9212,-8421,clim_down,mean,2080,4.5
clim_down;mean;2080;6,13667,-10629,clim_down,mean,2080,6
clim_down;min;2030;4.5,20769,-15686,clim_down,min,2030,4.5
clim_down;min;2030;8.5,12021,-14325,clim_down,min,2030,8.5
clim_down;min;2050;4.5,28308,-33881,clim_down,min,2050,4.5
clim_down;min;2050;6,29423,-16197,clim_down,min,2050,6
clim_down;min;2070;4.5,24431,-37819,clim_down,min,2070,4.5
clim_down;min;2070;6,22677,-23181,clim_down,min,2070,6
clim_down;min;2070;8.5,38238,-54007,clim_down,min,2070,8.5
clim_down;min;2080;2.6,34344,-16942,clim_down,min,2080,2.6
clim_down;min;2080;4.5,14886,-15456,clim_down,min,2080,4.5
clim_down;min;2080;6,21605,-20317,clim_down,min,2080,6
clim_up;max;2030;4.5,32685,3207,clim_up,max,2030,4.5
clim_up;max;2030;8.5,68154,8784,clim_up,max,2030,8.5
clim_up;max;2050;4.5,24948,4573,clim_up,max,2050,4.5
clim_up;max;2050;6,21645,3892,clim_up,max,2050,6
clim_up;max;2070;4.5,59420,7787,clim_up,max,2070,4.5
clim_up;max;2070;6,31976,5104,clim_up,max,2070,6
clim_up;max;2070;8.5,27613,4609,clim_up,max,2070,8.5
clim_up;max;2080;2.6,17209,2623,clim_up,max,2080,2.6
clim_up;max;2080;4.5,67233,8971,clim_up,max,2080,4.5
clim_up;max;2080;6,45779,7338,clim_up,max,2080,6
clim_up;mean;2030;4.5,61440,4620,clim_up,mean,2030,4.5
clim_up;mean;2030;8.5,113804,7656,clim_up,mean,2030,8.5
clim_up;mean;2050;4.5,54511,3361,clim_up,mean,2050,4.5
clim_up;mean;2050;6,39201,3330,clim_up,mean,2050,6
clim_up;mean;2070;4.5,97170,5803,clim_up,mean,2070,4.5
clim_up;mean;2070;6,57396,3777,clim_up,mean,2070,6
clim_up;mean;2070;8.5,58625,4803,clim_up,mean,2070,8.5
clim_up;mean;2080;2.6,32857,3272,clim_up,mean,2080,2.6
clim_up;mean;2080;4.5,103711,6428,clim_up,mean,2080,4.5
clim_up;mean;2080;6,82199,8314,clim_up,mean,2080,6
clim_up;min;2030;4.5,81503,6323,clim_up,min,2030,4.5
clim_up;min;2030;8.5,143174,9054,clim_up,min,2030,8.5
clim_up;min;2050;4.5,76561,6662,clim_up,min,2050,4.5
clim_up;min;2050;6,54930,4650,clim_up,min,2050,6
clim_up;min;2070;4.5,125076,6016,clim_up,min,2070,4.5
clim_up;min;2070;6,73622,4766,clim_up,min,2070,6
clim_up;min;2070;8.5,83324,6296,clim_up,min,2070,8.5
clim_up;min;2080;2.6,45227,4945,clim_up,min,2080,2.6
clim_up;min;2080;4.5,125802,7080,clim_up,min,2080,4.5
clim_up;min;2080;6,98508,7358,clim_up,min,2080,6
dummy;max;2030;4.5,161951,-9299,dummy,max,2030,4.5
dummy;max;2030;8.5,172254,1004,dummy,max,2030,8.5
dummy;max;2050;4.5,149583,-21667,dummy,max,2050,4.5
dummy;max;2050;6,161000,-10250,dummy,max,2050,6
dummy;max;2070;4.5,152887,-18363,dummy,max,2070,4.5
dummy;max;2070;6,160674,-10576,dummy,max,2070,6
dummy;max;2070;8.5,130215,-41035,dummy,max,2070,8.5
dummy;max;2080;2.6,154369,-16881,dummy,max,2080,2.6
dummy;max;2080;4.5,171219,-31,dummy,max,2080,4.5
dummy;max;2080;6,166700,-4550,dummy,max,2080,6
dummy;mean;2030;4.5,252757,-9952,dummy,mean,2030,4.5
dummy;mean;2030;8.5,262907,198,dummy,mean,2030,8.5
dummy;mean;2050;4.5,236553,-26156,dummy,mean,2050,4.5
dummy;mean;2050;6,248361,-14348,dummy,mean,2050,6
dummy;mean;2070;4.5,236838,-25871,dummy,mean,2070,4.5
dummy;mean;2070;6,247050,-15659,dummy,mean,2070,6
dummy;mean;2070;8.5,216094,-46615,dummy,mean,2070,8.5
dummy;mean;2080;2.6,243726,-18983,dummy,mean,2080,2.6
dummy;mean;2080;4.5,257644,-5065,dummy,mean,2080,4.5
dummy;mean;2080;6,253060,-9649,dummy,mean,2080,6
dummy;min;2030;4.5,351436,-10981,dummy,min,2030,4.5
dummy;min;2030;8.5,356416,-6001,dummy,min,2030,8.5
dummy;min;2050;4.5,332789,-29628,dummy,min,2050,4.5
dummy;min;2050;6,348628,-13789,dummy,min,2050,6
dummy;min;2070;4.5,329071,-33346,dummy,min,2070,4.5
dummy;min;2070;6,342210,-20207,dummy,min,2070,6
dummy;min;2070;8.5,312909,-49508,dummy,min,2070,8.5
dummy;min;2080;2.6,347462,-14955,dummy,min,2080,2.6
dummy;min;2080;4.5,352150,-10267,dummy,min,2080,4.5
dummy;min;2080;6,346090,-16327,dummy,min,2080,6
lu_down;max;2030;4.5,52751,-571,lu_down,max,2030,4.5
lu_down;max;2030;8.5,14757,92,lu_down,max,2030,8.5
lu_down;max;2050;4.5,64689,-3518,lu_down,max,2050,4.5
lu_down;max;2050;6,9368,-1190,lu_down,max,2050,6
lu_down;max;2070;4.5,72635,41,lu_down,max,2070,4.5
lu_down;max;2070;6,14732,-2382,lu_down,max,2070,6
lu_down;max;2070;8.5,30661,-10656,lu_down,max,2070,8.5
lu_down;max;2080;2.6,16379,-1504,lu_down,max,2080,2.6
