year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;4.5,135827,-14862,clim_down,max,2030,4.5,mopeia
clim_down;max;2030;6,151108,-27859,clim_down,max,2030,6,mopeia
clim_down;max;2030;8.5,152041,-17669,clim_down,max,2030,8.5,mopeia
clim_down;max;2050;2.6,124339,-4616,clim_down,max,2050,2.6,mopeia
clim_down;max;2050;4.5,214587,-25027,clim_down,max,2050,4.5,mopeia
clim_down;max;2050;6,151289,-21814,clim_down,max,2050,6,mopeia
clim_down;max;2050;8.5,202168,-27873,clim_down,max,2050,8.5,mopeia
clim_down;max;2070;2.6,167208,-14406,clim_down,max,2070,2.6,mopeia
clim_down;max;2070;4.5,184371,-27125,clim_down,max,2070,4.5,mopeia
clim_down;max;2070;6,164545,-41602,clim_down,max,2070,6,mopeia
clim_down;max;2070;8.5,300089,-47127,clim_down,max,2070,8.5,mopeia
clim_down;max;2080;2.6,83141,-2539,clim_down,max,2080,2.6,mopeia
clim_down;max;2080;4.5,150074,-15128,clim_down,max,2080,4.5,mopeia
clim_down;max;2080;6,158995,-42084,clim_down,max,2080,6,mopeia
clim_down;max;2080;8.5,263224,-51135,clim_down,max,2080,8.5,mopeia
clim_down;mean;2030;4.5,171272,-698,clim_down,mean,2030,4.5,mopeia
clim_down;mean;2030;6,194504,-9641,clim_down,mean,2030,6,mopeia
clim_down;mean;2030;8.5,192955,-1294,clim_down,mean,2030,8.5,mopeia
clim_down;mean;2050;2.6,137074,-2526,clim_down,mean,2050,2.6,mopeia
clim_down;mean;2050;4.5,260656,-2773,clim_down,mean,2050,4.5,mopeia
clim_down;mean;2050;6,187022,-8919,clim_down,mean,2050,6,mopeia
clim_down;mean;2050;8.5,260424,-3810,clim_down,mean,2050,8.5,mopeia
clim_down;mean;2070;2.6,195344,-237,clim_down,mean,2070,2.6,mopeia
clim_down;mean;2070;4.5,237041,-2002,clim_down,mean,2070,4.5,mopeia
clim_down;mean;2070;6,234582,-7083,clim_down,mean,2070,6,mopeia
clim_down;mean;2070;8.5,372175,-3559,clim_down,mean,2070,8.5,mopeia
clim_down;mean;2080;2.6,96876,-1304,clim_down,mean,2080,2.6,mopeia
clim_down;mean;2080;4.5,184969,-6763,clim_down,mean,2080,4.5,mopeia
clim_down;mean;2080;6,229491,-4432,clim_down,mean,2080,6,mopeia
clim_down;mean;2080;8.5,346317,-10123,clim_down,mean,2080,8.5,mopeia
clim_down;min;2030;4.5,181171,-6356,clim_down,min,2030,4.5,mopeia
clim_down;min;2030;6,208150,-27075,clim_down,min,2030,6,mopeia
clim_down;min;2030;8.5,204558,-2515,clim_down,min,2030,8.5,mopeia
clim_down;min;2050;2.6,148050,-8146,clim_down,min,2050,2.6,mopeia
clim_down;min;2050;4.5,275106,-15850,clim_down,min,2050,4.5,mopeia
clim_down;min;2050;6,202958,-21551,clim_down,min,2050,6,mopeia
clim_down;min;2050;8.5,275669,-14824,clim_down,min,2050,8.5,mopeia
clim_down;min;2070;2.6,199577,-300,clim_down,min,2070,2.6,mopeia
clim_down;min;2070;4.5,248900,-13216,clim_down,min,2070,4.5,mopeia
clim_down;min;2070;6,252099,-18638,clim_down,min,2070,6,mopeia
clim_down;min;2070;8.5,384338,-17709,clim_down,min,2070,8.5,mopeia
clim_down;min;2080;2.6,105996,-4796,clim_down,min,2080,2.6,mopeia
clim_down;min;2080;4.5,200399,-19384,clim_down,min,2080,4.5,mopeia
clim_down;min;2080;6,239909,-1275,clim_down,min,2080,6,mopeia
clim_down;min;2080;8.5,368462,-27223,clim_down,min,2080,8.5,mopeia
clim_up;max;2030;4.5,19725,862,clim_up,max,2030,4.5,mopeia
clim_up;max;2030;6,47724,125,clim_up,max,2030,6,mopeia
clim_up;max;2030;8.5,15020,139,clim_up,max,2030,8.5,mopeia
clim_up;max;2050;2.6,39712,1490,clim_up,max,2050,2.6,mopeia
clim_up;max;2050;4.5,19273,853,clim_up,max,2050,4.5,mopeia
clim_up;max;2050;6,38815,398,clim_up,max,2050,6,mopeia
clim_up;max;2050;8.5,19473,406,clim_up,max,2050,8.5,mopeia
clim_up;max;2070;2.6,14953,778,clim_up,max,2070,2.6,mopeia
