year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,2109,-920,clim_down,max,2030,2.6,muju
clim_down;max;2030;4.5,1627,-526,clim_down,max,2030,4.5,muju
clim_down;max;2030;6,1077,-283,clim_down,max,2030,6,muju
clim_down;max;2030;8.5,1785,-639,clim_down,max,2030,8.5,muju
clim_down;max;2050;2.6,1711,-3436,clim_down,max,2050,2.6,muju
clim_down;max;2050;4.5,22,-2,clim_down,max,2050,4.5,muju
clim_down;max;2050;6,2367,-1238,clim_down,max,2050,6,muju
clim_down;max;2050;8.5,2638,-1065,clim_down,max,2050,8.5,muju
clim_down;max;2070;2.6,2024,-2081,clim_down,max,2070,2.6,muju
clim_down;max;2070;4.5,2656,-1583,clim_down,max,2070,4.5,muju
clim_down;max;2070;6,2958,-1772,clim_down,max,2070,6,muju
clim_down;max;2070;8.5,2790,-2772,clim_down,max,2070,8.5,muju
clim_down;max;2080;2.6,1609,-823,clim_down,max,2080,2.6,muju
clim_down;max;2080;4.5,2010,-961,clim_down,max,2080,4.5,muju
clim_down;max;2080;6,2530,-1977,clim_down,max,2080,6,muju
clim_down;max;2080;8.5,3876,-757,clim_down,max,2080,8.5,muju
clim_down;mean;2030;2.6,3317,-293,clim_down,mean,2030,2.6,muju
clim_down;mean;2030;4.5,2460,-203,clim_down,mean,2030,4.5,muju
clim_down;mean;2030;6,1712,-95,clim_down,mean,2030,6,muju
clim_down;mean;2030;8.5,2657,-287,clim_down,mean,2030,8.5,muju
clim_down;mean;2050;2.6,2863,-3678,clim_down,mean,2050,2.6,muju
clim_down;mean;2050;4.5,30,0,clim_down,mean,2050,4.5,muju
clim_down;mean;2050;6,3831,-637,clim_down,mean,2050,6,muju
clim_down;mean;2050;8.5,3957,-492,clim_down,mean,2050,8.5,muju
clim_down;mean;2070;2.6,3563,-1577,clim_down,mean,2070,2.6,muju
clim_down;mean;2070;4.5,4129,-929,clim_down,mean,2070,4.5,muju
clim_down;mean;2070;6,4593,-1192,clim_down,mean,2070,6,muju
clim_down;mean;2070;8.5,4407,-2672,clim_down,mean,2070,8.5,muju
clim_down;mean;2080;2.6,2594,-304,clim_down,mean,2080,2.6,muju
clim_down;mean;2080;4.5,2787,-1272,clim_down,mean,2080,4.5,muju
clim_down;mean;2080;6,4082,-1699,clim_down,mean,2080,6,muju
clim_down;mean;2080;8.5,4670,-291,clim_down,mean,2080,8.5,muju
clim_down;min;2030;2.6,3917,-67,clim_down,min,2030,2.6,muju
