year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,12036,-3022,clim_down,max,2030,2.6,muleshoe
clim_down;max;2030;4.5,4657,-2572,clim_down,max,2030,4.5,muleshoe
clim_down;max;2030;6,1945,-1460,clim_down,max,2030,6,muleshoe
clim_down;max;2030;8.5,897,-1755,clim_down,max,2030,8.5,muleshoe
clim_down;max;2050;2.6,6706,-2124,clim_down,max,2050,2.6,muleshoe
clim_down;max;2050;4.5,528,-868,clim_down,max,2050,4.5,muleshoe
clim_down;max;2050;6,2652,-1569,clim_down,max,2050,6,muleshoe
clim_down;max;2050;8.5,2047,-3573,clim_down,max,2050,8.5,muleshoe
clim_down;max;2070;2.6,1299,-1751,clim_down,max,2070,2.6,muleshoe
clim_down;max;2070;4.5,998,-1794,clim_down,max,2070,4.5,muleshoe
clim_down;max;2070;6,2217,-2249,clim_down,max,2070,6,muleshoe
clim_down;max;2070;8.5,1088,-1719,clim_down,max,2070,8.5,muleshoe
clim_down;max;2080;2.6,6817,-3267,clim_down,max,2080,2.6,muleshoe
clim_down;max;2080;4.5,1282,-1729,clim_down,max,2080,4.5,muleshoe
clim_down;max;2080;6,755,-1844,clim_down,max,2080,6,muleshoe
clim_down;max;2080;8.5,1189,-2710,clim_down,max,2080,8.5,muleshoe
clim_down;mean;2030;2.6,14091,-2314,clim_down,mean,2030,2.6,muleshoe
clim_down;mean;2030;4.5,5616,-2060,clim_down,mean,2030,4.5,muleshoe
clim_down;mean;2030;6,2811,-1102,clim_down,mean,2030,6,muleshoe
clim_down;mean;2030;8.5,1318,-1595,clim_down,mean,2030,8.5,muleshoe
clim_down;mean;2050;2.6,7487,-1715,clim_down,mean,2050,2.6,muleshoe
clim_down;mean;2050;4.5,854,-768,clim_down,mean,2050,4.5,muleshoe
clim_down;mean;2050;6,3432,-1172,clim_down,mean,2050,6,muleshoe
clim_down;mean;2050;8.5,3743,-2450,clim_down,mean,2050,8.5,muleshoe
clim_down;mean;2070;2.6,1961,-1443,clim_down,mean,2070,2.6,muleshoe
clim_down;mean;2070;4.5,1463,-1606,clim_down,mean,2070,4.5,muleshoe
clim_down;mean;2070;6,3115,-1885,clim_down,mean,2070,6,muleshoe
clim_down;mean;2070;8.5,1583,-1508,clim_down,mean,2070,8.5,muleshoe
clim_down;mean;2080;2.6,9719,-3424,clim_down,mean,2080,2.6,muleshoe
clim_down;mean;2080;4.5,1783,-1535,clim_down,mean,2080,4.5,muleshoe
clim_down;mean;2080;6,1182,-1830,clim_down,mean,2080,6,muleshoe
clim_down;mean;2080;8.5,2075,-2218,clim_down,mean,2080,8.5,muleshoe
clim_down;min;2030;2.6,15200,-1626,clim_down,min,2030,2.6,muleshoe
clim_down;min;2030;4.5,6279,-1698,clim_down,min,2030,4.5,muleshoe
clim_down;min;2030;6,3299,-838,clim_down,min,2030,6,muleshoe
clim_down;min;2030;8.5,1722,-1319,clim_down,min,2030,8.5,muleshoe
clim_down;min;2050;2.6,7978,-1411,clim_down,min,2050,2.6,muleshoe
clim_down;min;2050;4.5,1024,-685,clim_down,min,2050,4.5,muleshoe
clim_down;min;2050;6,3871,-832,clim_down,min,2050,6,muleshoe
clim_down;min;2050;8.5,4473,-1962,clim_down,min,2050,8.5,muleshoe
clim_down;min;2070;2.6,2493,-1160,clim_down,min,2070,2.6,muleshoe
clim_down;min;2070;4.5,1897,-1321,clim_down,min,2070,4.5,muleshoe
clim_down;min;2070;6,3708,-1584,clim_down,min,2070,6,muleshoe
clim_down;min;2070;8.5,2057,-1206,clim_down,min,2070,8.5,muleshoe
clim_down;min;2080;2.6,11551,-2724,clim_down,min,2080,2.6,muleshoe
clim_down;min;2080;4.5,2232,-1252,clim_down,min,2080,4.5,muleshoe
clim_down;min;2080;6,1628,-1618,clim_down,min,2080,6,muleshoe
clim_down;min;2080;8.5,2781,-1672,clim_down,min,2080,8.5,muleshoe
clim_up;max;2030;2.6,21551,703,clim_up,max,2030,2.6,muleshoe
clim_up;max;2030;4.5,35247,909,clim_up,max,2030,4.5,muleshoe
clim_up;max;2030;6,51345,939,clim_up,max,2030,6,muleshoe
clim_up;max;2030;8.5,54744,1379,clim_up,max,2030,8.5,muleshoe
clim_up;max;2050;2.6,30673,683,clim_up,max,2050,2.6,muleshoe
clim_up;max;2050;4.5,59314,1567,clim_up,max,2050,4.5,muleshoe
clim_up;max;2050;6,48460,1417,clim_up,max,2050,6,muleshoe
clim_up;max;2050;8.5,49388,1464,clim_up,max,2050,8.5,muleshoe
clim_up;max;2070;2.6,52284,1309,clim_up,max,2070,2.6,muleshoe
clim_up;max;2070;4.5,59102,1857,clim_up,max,2070,4.5,muleshoe
clim_up;max;2070;6,52346,1140,clim_up,max,2070,6,muleshoe
clim_up;max;2070;8.5,57096,1544,clim_up,max,2070,8.5,muleshoe
clim_up;max;2080;2.6,21892,505,clim_up,max,2080,2.6,muleshoe
clim_up;max;2080;4.5,57375,1707,clim_up,max,2080,4.5,muleshoe
clim_up;max;2080;6,58849,1531,clim_up,max,2080,6,muleshoe
clim_up;max;2080;8.5,56197,1569,clim_up,max,2080,8.5,muleshoe
clim_up;mean;2030;2.6,36572,1794,clim_up,mean,2030,2.6,muleshoe
clim_up;mean;2030;4.5,59414,2524,clim_up,mean,2030,4.5,muleshoe
clim_up;mean;2030;6,75646,2440,clim_up,mean,2030,6,muleshoe
clim_up;mean;2030;8.5,80599,2970,clim_up,mean,2030,8.5,muleshoe
clim_up;mean;2050;2.6,55281,2420,clim_up,mean,2050,2.6,muleshoe
clim_up;mean;2050;4.5,85354,3081,clim_up,mean,2050,4.5,muleshoe
clim_up;mean;2050;6,73231,2810,clim_up,mean,2050,6,muleshoe
clim_up;mean;2050;8.5,74498,3046,clim_up,mean,2050,8.5,muleshoe
clim_up;mean;2070;2.6,77941,2883,clim_up,mean,2070,2.6,muleshoe
clim_up;mean;2070;4.5,85164,3330,clim_up,mean,2070,4.5,muleshoe
clim_up;mean;2070;6,77693,2816,clim_up,mean,2070,6,muleshoe
clim_up;mean;2070;8.5,82965,3083,clim_up,mean,2070,8.5,muleshoe
clim_up;mean;2080;2.6,32835,1293,clim_up,mean,2080,2.6,muleshoe
clim_up;mean;2080;4.5,83225,3182,clim_up,mean,2080,4.5,muleshoe
clim_up;mean;2080;6,84544,3019,clim_up,mean,2080,6,muleshoe
clim_up;mean;2080;8.5,82004,3060,clim_up,mean,2080,8.5,muleshoe
clim_up;min;2030;2.6,54832,5339,clim_up,min,2030,2.6,muleshoe
clim_up;min;2030;4.5,82903,7519,clim_up,min,2030,4.5,muleshoe
clim_up;min;2030;6,99969,7732,clim_up,min,2030,6,muleshoe
clim_up;min;2030;8.5,104884,7918,clim_up,min,2030,8.5,muleshoe
clim_up;min;2050;2.6,78842,7382,clim_up,min,2050,2.6,muleshoe
clim_up;min;2050;4.5,110495,8213,clim_up,min,2050,4.5,muleshoe
clim_up;min;2050;6,96956,7719,clim_up,min,2050,6,muleshoe
clim_up;min;2050;8.5,98496,8210,clim_up,min,2050,8.5,muleshoe
clim_up;min;2070;2.6,101670,7910,clim_up,min,2070,2.6,muleshoe
clim_up;min;2070;4.5,110236,8299,clim_up,min,2070,4.5,muleshoe
clim_up;min;2070;6,102712,8250,clim_up,min,2070,6,muleshoe
clim_up;min;2070;8.5,108087,8324,clim_up,min,2070,8.5,muleshoe
clim_up;min;2080;2.6,49462,5097,clim_up,min,2080,2.6,muleshoe
clim_up;min;2080;4.5,108082,8200,clim_up,min,2080,4.5,muleshoe
clim_up;min;2080;6,109677,8355,clim_up,min,2080,6,muleshoe
clim_up;min;2080;8.5,107174,8260,clim_up,min,2080,8.5,muleshoe
dummy;max;2030;2.6,60089,-2755,dummy,max,2030,2.6,muleshoe
dummy;max;2030;4.5,61132,-1712,dummy,max,2030,4.5,muleshoe
dummy;max;2030;6,62255,-589,dummy,max,2030,6,muleshoe
dummy;max;2030;8.5,62426,-418,dummy,max,2030,8.5,muleshoe
dummy;max;2050;2.6,61194,-1650,dummy,max,2050,2.6,muleshoe
dummy;max;2050;4.5,63469,625,dummy,max,2050,4.5,muleshoe
dummy;max;2050;6,62627,-217,dummy,max,2050,6,muleshoe
dummy;max;2050;8.5,60517,-2327,dummy,max,2050,8.5,muleshoe
dummy;max;2070;2.6,62315,-529,dummy,max,2070,2.6,muleshoe
dummy;max;2070;4.5,62893,49,dummy,max,2070,4.5,muleshoe
dummy;max;2070;6,61359,-1485,dummy,max,2070,6,muleshoe
dummy;max;2070;8.5,62563,-281,dummy,max,2070,8.5,muleshoe
dummy;max;2080;2.6,59813,-3031,dummy,max,2080,2.6,muleshoe
dummy;max;2080;4.5,62810,-34,dummy,max,2080,4.5,muleshoe
dummy;max;2080;6,62232,-612,dummy,max,2080,6,muleshoe
dummy;max;2080;8.5,61436,-1408,dummy,max,2080,8.5,muleshoe
dummy;mean;2030;2.6,87259,-802,dummy,mean,2030,2.6,muleshoe
dummy;mean;2030;4.5,88565,504,dummy,mean,2030,4.5,muleshoe
dummy;mean;2030;6,89375,1314,dummy,mean,2030,6,muleshoe
dummy;mean;2030;8.5,89395,1334,dummy,mean,2030,8.5,muleshoe
dummy;mean;2050;2.6,88670,609,dummy,mean,2050,2.6,muleshoe
dummy;mean;2050;4.5,90343,2282,dummy,mean,2050,4.5,muleshoe
dummy;mean;2050;6,89687,1626,dummy,mean,2050,6,muleshoe
