year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,106386,-4435,clim_down,max,2030,2.6,murray valley
clim_down;max;2030;4.5,138569,508,clim_down,max,2030,4.5,murray valley
clim_down;max;2030;8.5,159333,943,clim_down,max,2030,8.5,murray valley
clim_down;max;2050;2.6,75511,-6980,clim_down,max,2050,2.6,murray valley
clim_down;max;2050;4.5,159124,5,clim_down,max,2050,4.5,murray valley
clim_down;max;2050;8.5,147130,-7345,clim_down,max,2050,8.5,murray valley
clim_down;max;2070;2.6,154893,-9611,clim_down,max,2070,2.6,murray valley
clim_down;max;2070;4.5,197861,-14897,clim_down,max,2070,4.5,murray valley
clim_down;max;2070;8.5,150778,2572,clim_down,max,2070,8.5,murray valley
clim_down;max;2080;4.5,152547,-9150,clim_down,max,2080,4.5,murray valley
clim_down;max;2080;8.5,152427,3406,clim_down,max,2080,8.5,murray valley
clim_down;mean;2030;2.6,125384,-1363,clim_down,mean,2030,2.6,murray valley
clim_down;mean;2030;4.5,159031,-1027,clim_down,mean,2030,4.5,murray valley
clim_down;mean;2030;8.5,179250,-37,clim_down,mean,2030,8.5,murray valley
clim_down;mean;2050;2.6,97723,-3106,clim_down,mean,2050,2.6,murray valley
clim_down;mean;2050;4.5,180264,-1340,clim_down,mean,2050,4.5,murray valley
clim_down;mean;2050;8.5,174146,-4423,clim_down,mean,2050,8.5,murray valley
clim_down;mean;2070;2.6,182005,-3999,clim_down,mean,2070,2.6,murray valley
clim_down;mean;2070;4.5,239759,-6373,clim_down,mean,2070,4.5,murray valley
clim_down;mean;2070;8.5,172453,-6,clim_down,mean,2070,8.5,murray valley
clim_down;mean;2080;4.5,180499,-4412,clim_down,mean,2080,4.5,murray valley
clim_down;mean;2080;8.5,176982,-283,clim_down,mean,2080,8.5,murray valley
clim_down;min;2030;2.6,136239,-442,clim_down,min,2030,2.6,murray valley
clim_down;min;2030;4.5,169840,-3373,clim_down,min,2030,4.5,murray valley
clim_down;min;2030;6,55202,-63082,clim_down,min,2030,6,murray valley
clim_down;min;2030;8.5,191855,-1566,clim_down,min,2030,8.5,murray valley
clim_down;min;2050;2.6,110727,-996,clim_down,min,2050,2.6,murray valley
clim_down;min;2050;4.5,192112,-3387,clim_down,min,2050,4.5,murray valley
clim_down;min;2050;6,76364,-86841,clim_down,min,2050,6,murray valley
clim_down;min;2050;8.5,191909,-3318,clim_down,min,2050,8.5,murray valley
clim_down;min;2070;2.6,199876,-1027,clim_down,min,2070,2.6,murray valley
clim_down;min;2070;4.5,257846,-7443,clim_down,min,2070,4.5,murray valley
clim_down;min;2070;6,69479,-126494,clim_down,min,2070,6,murray valley
clim_down;min;2070;8.5,187219,-1314,clim_down,min,2070,8.5,murray valley
clim_down;min;2080;4.5,193119,-5705,clim_down,min,2080,4.5,murray valley
clim_down;min;2080;6,355,-216628,clim_down,min,2080,6,murray valley
clim_down;min;2080;8.5,195299,-2273,clim_down,min,2080,8.5,murray valley
clim_up;max;2030;2.6,15831,636,clim_up,max,2030,2.6,murray valley
clim_up;max;2030;4.5,16291,883,clim_up,max,2030,4.5,murray valley
clim_up;max;2030;8.5,7108,169,clim_up,max,2030,8.5,murray valley
clim_up;max;2050;2.6,19428,707,clim_up,max,2050,2.6,murray valley
