year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,5748,-5455,clim_down,max,2030,2.6,mycobacterium leprae
clim_down;max;2030;4.5,4318,-6144,clim_down,max,2030,4.5,mycobacterium leprae
clim_down;max;2030;6,297,-10052,clim_down,max,2030,6,mycobacterium leprae
clim_down;max;2030;8.5,5697,-4314,clim_down,max,2030,8.5,mycobacterium leprae
clim_down;max;2050;2.6,7338,-6030,clim_down,max,2050,2.6,mycobacterium leprae
clim_down;max;2050;4.5,3926,-12230,clim_down,max,2050,4.5,mycobacterium leprae
clim_down;max;2050;6,347,-13857,clim_down,max,2050,6,mycobacterium leprae
clim_down;max;2050;8.5,2838,-13214,clim_down,max,2050,8.5,mycobacterium leprae
clim_down;max;2070;2.6,6440,-4676,clim_down,max,2070,2.6,mycobacterium leprae
clim_down;max;2070;4.5,3642,-13034,clim_down,max,2070,4.5,mycobacterium leprae
clim_down;max;2070;6,201,-17138,clim_down,max,2070,6,mycobacterium leprae
clim_down;max;2070;8.5,926,-13526,clim_down,max,2070,8.5,mycobacterium leprae
clim_down;max;2080;2.6,5171,-5861,clim_down,max,2080,2.6,mycobacterium leprae
clim_down;max;2080;4.5,3200,-10796,clim_down,max,2080,4.5,mycobacterium leprae
clim_down;max;2080;6,111,-13853,clim_down,max,2080,6,mycobacterium leprae
clim_down;max;2080;8.5,770,-14710,clim_down,max,2080,8.5,mycobacterium leprae
clim_down;mean;2030;2.6,89395,-6784,clim_down,mean,2030,2.6,mycobacterium leprae
clim_down;mean;2030;4.5,80134,-23365,clim_down,mean,2030,4.5,mycobacterium leprae
clim_down;mean;2030;6,49631,-39728,clim_down,mean,2030,6,mycobacterium leprae
clim_down;mean;2030;8.5,73022,-12861,clim_down,mean,2030,8.5,mycobacterium leprae
clim_down;mean;2050;2.6,87805,-12596,clim_down,mean,2050,2.6,mycobacterium leprae
clim_down;mean;2050;4.5,71192,-45924,clim_down,mean,2050,4.5,mycobacterium leprae
clim_down;mean;2050;6,42533,-58767,clim_down,mean,2050,6,mycobacterium leprae
clim_down;mean;2050;8.5,92246,-27331,clim_down,mean,2050,8.5,mycobacterium leprae
clim_down;mean;2070;2.6,66088,-15746,clim_down,mean,2070,2.6,mycobacterium leprae
clim_down;mean;2070;4.5,54615,-57410,clim_down,mean,2070,4.5,mycobacterium leprae
clim_down;mean;2070;6,39670,-87115,clim_down,mean,2070,6,mycobacterium leprae
clim_down;mean;2070;8.5,82280,-37519,clim_down,mean,2070,8.5,mycobacterium leprae
clim_down;mean;2080;2.6,76159,-23183,clim_down,mean,2080,2.6,mycobacterium leprae
clim_down;mean;2080;4.5,67324,-55395,clim_down,mean,2080,4.5,mycobacterium leprae
clim_down;mean;2080;6,31210,-76843,clim_down,mean,2080,6,mycobacterium leprae
clim_down;mean;2080;8.5,80237,-36271,clim_down,mean,2080,8.5,mycobacterium leprae
clim_down;min;2030;2.6,136811,-1573,clim_down,min,2030,2.6,mycobacterium leprae
clim_down;min;2030;4.5,134462,-21047,clim_down,min,2030,4.5,mycobacterium leprae
clim_down;min;2030;6,114047,-18026,clim_down,min,2030,6,mycobacterium leprae
clim_down;min;2030;8.5,128627,-3773,clim_down,min,2030,8.5,mycobacterium leprae
clim_down;min;2050;2.6,136740,-5208,clim_down,min,2050,2.6,mycobacterium leprae
clim_down;min;2050;4.5,136342,-28768,clim_down,min,2050,4.5,mycobacterium leprae
clim_down;min;2050;6,121438,-24879,clim_down,min,2050,6,mycobacterium leprae
clim_down;min;2050;8.5,159443,-5202,clim_down,min,2050,8.5,mycobacterium leprae
