year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,48946,-72116,clim_down,max,2030,2.6,new york
clim_down;max;2030;4.5,18947,-14531,clim_down,max,2030,4.5,new york
clim_down;max;2030;6,42175,-54434,clim_down,max,2030,6,new york
clim_down;max;2030;8.5,21542,-15429,clim_down,max,2030,8.5,new york
clim_down;max;2050;2.6,40951,-50127,clim_down,max,2050,2.6,new york
clim_down;max;2050;4.5,18797,-27455,clim_down,max,2050,4.5,new york
clim_down;max;2050;6,30875,-14842,clim_down,max,2050,6,new york
clim_down;max;2050;8.5,63086,-80461,clim_down,max,2050,8.5,new york
clim_down;max;2070;2.6,66969,-87691,clim_down,max,2070,2.6,new york
clim_down;max;2070;4.5,36643,-37278,clim_down,max,2070,4.5,new york
clim_down;max;2070;6,28784,-30091,clim_down,max,2070,6,new york
clim_down;max;2070;8.5,58446,-71228,clim_down,max,2070,8.5,new york
clim_down;max;2080;2.6,28280,-16318,clim_down,max,2080,2.6,new york
clim_down;max;2080;4.5,13138,-11602,clim_down,max,2080,4.5,new york
clim_down;max;2080;6,13956,-15681,clim_down,max,2080,6,new york
clim_down;max;2080;8.5,49606,-128827,clim_down,max,2080,8.5,new york
clim_down;mean;2030;2.6,100386,-52783,clim_down,mean,2030,2.6,new york
clim_down;mean;2030;4.5,35004,-7545,clim_down,mean,2030,4.5,new york
clim_down;mean;2030;6,80188,-45597,clim_down,mean,2030,6,new york
clim_down;mean;2030;8.5,36134,-10575,clim_down,mean,2030,8.5,new york
clim_down;mean;2050;2.6,80454,-45917,clim_down,mean,2050,2.6,new york
clim_down;mean;2050;4.5,36679,-17626,clim_down,mean,2050,4.5,new york
clim_down;mean;2050;6,46951,-6916,clim_down,mean,2050,6,new york
clim_down;mean;2050;8.5,117041,-63176,clim_down,mean,2050,8.5,new york
clim_down;mean;2070;2.6,137071,-62431,clim_down,mean,2070,2.6,new york
clim_down;mean;2070;4.5,66095,-27824,clim_down,mean,2070,4.5,new york
clim_down;mean;2070;6,54467,-27067,clim_down,mean,2070,6,new york
clim_down;mean;2070;8.5,102379,-60278,clim_down,mean,2070,8.5,new york
clim_down;mean;2080;2.6,44429,-7725,clim_down,mean,2080,2.6,new york
clim_down;mean;2080;4.5,25354,-4860,clim_down,mean,2080,4.5,new york
clim_down;mean;2080;6,27609,-11080,clim_down,mean,2080,6,new york
clim_down;mean;2080;8.5,106940,-110857,clim_down,mean,2080,8.5,new york
clim_down;min;2030;2.6,142762,-30359,clim_down,min,2030,2.6,new york
clim_down;min;2030;4.5,48103,-8030,clim_down,min,2030,4.5,new york
clim_down;min;2030;6,112949,-34821,clim_down,min,2030,6,new york
clim_down;min;2030;8.5,51051,-6018,clim_down,min,2030,8.5,new york
clim_down;min;2050;2.6,112805,-34004,clim_down,min,2050,2.6,new york
clim_down;min;2050;4.5,53299,-10813,clim_down,min,2050,4.5,new york
clim_down;min;2050;6,60883,-4515,clim_down,min,2050,6,new york
clim_down;min;2050;8.5,157756,-51907,clim_down,min,2050,8.5,new york
clim_down;min;2070;2.6,186339,-39682,clim_down,min,2070,2.6,new york
clim_down;min;2070;4.5,97318,-17177,clim_down,min,2070,4.5,new york
clim_down;min;2070;6,83985,-12625,clim_down,min,2070,6,new york
clim_down;min;2070;8.5,143258,-47369,clim_down,min,2070,8.5,new york
clim_down;min;2080;2.6,59699,-3767,clim_down,min,2080,2.6,new york
clim_down;min;2080;4.5,34561,-3221,clim_down,min,2080,4.5,new york
clim_down;min;2080;6,41767,-11710,clim_down,min,2080,6,new york
clim_down;min;2080;8.5,151275,-91177,clim_down,min,2080,8.5,new york
clim_up;max;2030;2.6,34654,4569,clim_up,max,2030,2.6,new york
clim_up;max;2030;4.5,48772,5317,clim_up,max,2030,4.5,new york
clim_up;max;2030;6,40398,5742,clim_up,max,2030,6,new york
clim_up;max;2030;8.5,51556,4269,clim_up,max,2030,8.5,new york
clim_up;max;2050;2.6,48770,5876,clim_up,max,2050,2.6,new york
clim_up;max;2050;4.5,131573,5744,clim_up,max,2050,4.5,new york
clim_up;max;2050;6,48283,5128,clim_up,max,2050,6,new york
clim_up;max;2050;8.5,33020,4399,clim_up,max,2050,8.5,new york
clim_up;max;2070;2.6,13635,3400,clim_up,max,2070,2.6,new york
clim_up;max;2070;4.5,42192,4676,clim_up,max,2070,4.5,new york
