year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,201,0,clim_down,max,2030,2.6,omsk
clim_down;max;2030;4.5,3,0,clim_down,max,2030,4.5,omsk
clim_down;max;2050;2.6,3,0,clim_down,max,2050,2.6,omsk
clim_down;max;2070;2.6,3,0,clim_down,max,2070,2.6,omsk
clim_down;max;2070;6,378,-3,clim_down,max,2070,6,omsk
clim_down;max;2070;8.5,2798,-211,clim_down,max,2070,8.5,omsk
clim_down;max;2080;4.5,12,-6,clim_down,max,2080,4.5,omsk
clim_down;max;2080;8.5,985,-85070,clim_down,max,2080,8.5,omsk
clim_down;mean;2030;2.6,201,0,clim_down,mean,2030,2.6,omsk
clim_down;mean;2030;4.5,3,0,clim_down,mean,2030,4.5,omsk
clim_down;mean;2050;2.6,3,0,clim_down,mean,2050,2.6,omsk
clim_down;mean;2050;4.5,12,0,clim_down,mean,2050,4.5,omsk
clim_down;mean;2070;2.6,3,0,clim_down,mean,2070,2.6,omsk
clim_down;mean;2070;6,381,0,clim_down,mean,2070,6,omsk
clim_down;mean;2070;8.5,2976,-48,clim_down,mean,2070,8.5,omsk
clim_down;mean;2080;4.5,18,0,clim_down,mean,2080,4.5,omsk
clim_down;mean;2080;8.5,1976,-148267,clim_down,mean,2080,8.5,omsk
clim_down;min;2030;2.6,201,0,clim_down,min,2030,2.6,omsk
clim_down;min;2030;4.5,118,-33,clim_down,min,2030,4.5,omsk
clim_down;min;2050;2.6,69,0,clim_down,min,2050,2.6,omsk
clim_down;min;2050;4.5,12,-4,clim_down,min,2050,4.5,omsk
clim_down;min;2070;2.6,3,0,clim_down,min,2070,2.6,omsk
clim_down;min;2070;6,466,-4,clim_down,min,2070,6,omsk
clim_down;min;2070;8.5,3101,0,clim_down,min,2070,8.5,omsk
clim_down;min;2080;4.5,20,-65,clim_down,min,2080,4.5,omsk
clim_down;min;2080;8.5,7702,-157181,clim_down,min,2080,8.5,omsk
clim_up;max;2030;2.6,88072,9051,clim_up,max,2030,2.6,omsk
clim_up;max;2030;4.5,88332,9045,clim_up,max,2030,4.5,omsk
clim_up;max;2030;6,96272,9051,clim_up,max,2030,6,omsk
clim_up;max;2030;8.5,95812,9051,clim_up,max,2030,8.5,omsk
clim_up;max;2050;2.6,94900,9050,clim_up,max,2050,2.6,omsk
clim_up;max;2050;4.5,88694,8976,clim_up,max,2050,4.5,omsk
clim_up;max;2050;6,96587,9051,clim_up,max,2050,6,omsk
clim_up;max;2050;8.5,95687,9051,clim_up,max,2050,8.5,omsk
clim_up;max;2070;2.6,90575,9050,clim_up,max,2070,2.6,omsk
clim_up;max;2070;4.5,95554,9051,clim_up,max,2070,4.5,omsk
clim_up;max;2070;6,82507,8989,clim_up,max,2070,6,omsk
clim_up;max;2070;8.5,72760,8633,clim_up,max,2070,8.5,omsk
clim_up;max;2080;2.6,99960,9051,clim_up,max,2080,2.6,omsk
clim_up;max;2080;4.5,94600,9047,clim_up,max,2080,4.5,omsk
clim_up;max;2080;6,94521,9051,clim_up,max,2080,6,omsk
clim_up;max;2080;8.5,891,78,clim_up,max,2080,8.5,omsk
clim_up;mean;2030;2.6,152615,6658,clim_up,mean,2030,2.6,omsk
clim_up;mean;2030;4.5,156708,6568,clim_up,mean,2030,4.5,omsk
clim_up;mean;2030;6,168306,6693,clim_up,mean,2030,6,omsk
clim_up;mean;2030;8.5,167925,6693,clim_up,mean,2030,8.5,omsk
clim_up;mean;2050;2.6,166298,6596,clim_up,mean,2050,2.6,omsk
clim_up;mean;2050;4.5,154463,6619,clim_up,mean,2050,4.5,omsk
clim_up;mean;2050;6,168783,6693,clim_up,mean,2050,6,omsk
clim_up;mean;2050;8.5,168093,6693,clim_up,mean,2050,8.5,omsk
clim_up;mean;2070;2.6,161073,6623,clim_up,mean,2070,2.6,omsk
clim_up;mean;2070;4.5,167978,6693,clim_up,mean,2070,4.5,omsk
clim_up;mean;2070;6,143971,6602,clim_up,mean,2070,6,omsk
clim_up;mean;2070;8.5,125241,6583,clim_up,mean,2070,8.5,omsk
clim_up;mean;2080;2.6,172140,6693,clim_up,mean,2080,2.6,omsk
clim_up;mean;2080;4.5,166160,6578,clim_up,mean,2080,4.5,omsk
clim_up;mean;2080;6,166855,6693,clim_up,mean,2080,6,omsk
clim_up;mean;2080;8.5,6214,330,clim_up,mean,2080,8.5,omsk
clim_up;min;2030;2.6,175585,2385,clim_up,min,2030,2.6,omsk
clim_up;min;2030;4.5,176585,2185,clim_up,min,2030,4.5,omsk
clim_up;min;2030;6,192486,2478,clim_up,min,2030,6,omsk
clim_up;min;2030;8.5,191938,2478,clim_up,min,2030,8.5,omsk
clim_up;min;2050;2.6,186097,2232,clim_up,min,2050,2.6,omsk
clim_up;min;2050;4.5,176143,2200,clim_up,min,2050,4.5,omsk
clim_up;min;2050;6,192800,2478,clim_up,min,2050,6,omsk
clim_up;min;2050;8.5,191937,2478,clim_up,min,2050,8.5,omsk
clim_up;min;2070;2.6,182832,2228,clim_up,min,2070,2.6,omsk
clim_up;min;2070;4.5,191807,2477,clim_up,min,2070,4.5,omsk
clim_up;min;2070;6,165389,2331,clim_up,min,2070,6,omsk
clim_up;min;2070;8.5,145757,2401,clim_up,min,2070,8.5,omsk
clim_up;min;2080;2.6,196186,2478,clim_up,min,2080,2.6,omsk
clim_up;min;2080;4.5,186245,2159,clim_up,min,2080,4.5,omsk
clim_up;min;2080;6,190886,2478,clim_up,min,2080,6,omsk
clim_up;min;2080;8.5,14799,375,clim_up,min,2080,8.5,omsk
dummy;max;2030;2.6,101732,9051,dummy,max,2030,2.6,omsk
dummy;max;2030;4.5,101728,9047,dummy,max,2030,4.5,omsk
dummy;max;2030;6,101732,9051,dummy,max,2030,6,omsk
dummy;max;2030;8.5,101732,9051,dummy,max,2030,8.5,omsk
dummy;max;2050;2.6,101732,9051,dummy,max,2050,2.6,omsk
dummy;max;2050;4.5,101617,8936,dummy,max,2050,4.5,omsk
dummy;max;2050;6,101732,9051,dummy,max,2050,6,omsk
dummy;max;2050;8.5,101732,9051,dummy,max,2050,8.5,omsk
dummy;max;2070;2.6,101732,9051,dummy,max,2070,2.6,omsk
dummy;max;2070;4.5,101732,9051,dummy,max,2070,4.5,omsk
dummy;max;2070;6,101702,9021,dummy,max,2070,6,omsk
dummy;max;2070;8.5,101394,8713,dummy,max,2070,8.5,omsk
dummy;max;2080;2.6,101732,9051,dummy,max,2080,2.6,omsk
dummy;max;2080;4.5,101678,8997,dummy,max,2080,4.5,omsk
dummy;max;2080;6,101732,9051,dummy,max,2080,6,omsk
dummy;max;2080;8.5,5365,-87316,dummy,max,2080,8.5,omsk
dummy;mean;2030;2.6,174226,6693,dummy,mean,2030,2.6,omsk
dummy;mean;2030;4.5,174099,6566,dummy,mean,2030,4.5,omsk
dummy;mean;2030;6,174226,6693,dummy,mean,2030,6,omsk
dummy;mean;2030;8.5,174226,6693,dummy,mean,2030,8.5,omsk
dummy;mean;2050;2.6,174226,6693,dummy,mean,2050,2.6,omsk
dummy;mean;2050;4.5,174158,6625,dummy,mean,2050,4.5,omsk
dummy;mean;2050;6,174226,6693,dummy,mean,2050,6,omsk
dummy;mean;2050;8.5,174226,6693,dummy,mean,2050,8.5,omsk
dummy;mean;2070;2.6,174226,6693,dummy,mean,2070,2.6,omsk
dummy;mean;2070;4.5,174226,6693,dummy,mean,2070,4.5,omsk
dummy;mean;2070;6,174218,6685,dummy,mean,2070,6,omsk
dummy;mean;2070;8.5,174178,6645,dummy,mean,2070,8.5,omsk
dummy;mean;2080;2.6,174226,6693,dummy,mean,2080,2.6,omsk
