year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,11641,-2211,clim_down,max,2030,2.6,opisthorchis felineus
clim_down;max;2030;4.5,15693,-2485,clim_down,max,2030,4.5,opisthorchis felineus
clim_down;max;2030;6,2702,-99,clim_down,max,2030,6,opisthorchis felineus
clim_down;max;2050;2.6,7148,-1399,clim_down,max,2050,2.6,opisthorchis felineus
clim_down;max;2050;4.5,6970,-2477,clim_down,max,2050,4.5,opisthorchis felineus
clim_down;max;2050;6,9606,-967,clim_down,max,2050,6,opisthorchis felineus
clim_down;max;2050;8.5,8782,-396,clim_down,max,2050,8.5,opisthorchis felineus
clim_down;max;2070;2.6,7471,-1635,clim_down,max,2070,2.6,opisthorchis felineus
clim_down;max;2070;4.5,7705,-4148,clim_down,max,2070,4.5,opisthorchis felineus
clim_down;max;2070;8.5,17315,-824,clim_down,max,2070,8.5,opisthorchis felineus
clim_down;max;2080;2.6,13892,-2316,clim_down,max,2080,2.6,opisthorchis felineus
clim_down;max;2080;4.5,10246,-4868,clim_down,max,2080,4.5,opisthorchis felineus
clim_down;max;2080;6,16412,-911,clim_down,max,2080,6,opisthorchis felineus
clim_down;max;2080;8.5,17362,-687,clim_down,max,2080,8.5,opisthorchis felineus
clim_down;mean;2030;2.6,157447,-3,clim_down,mean,2030,2.6,opisthorchis felineus
clim_down;mean;2030;4.5,189974,0,clim_down,mean,2030,4.5,opisthorchis felineus
clim_down;mean;2030;6,107813,0,clim_down,mean,2030,6,opisthorchis felineus
clim_down;mean;2050;2.6,101135,-2,clim_down,mean,2050,2.6,opisthorchis felineus
clim_down;mean;2050;4.5,126283,-2,clim_down,mean,2050,4.5,opisthorchis felineus
clim_down;mean;2050;6,125475,0,clim_down,mean,2050,6,opisthorchis felineus
clim_down;mean;2050;8.5,182127,58,clim_down,mean,2050,8.5,opisthorchis felineus
clim_down;mean;2070;2.6,151771,-3,clim_down,mean,2070,2.6,opisthorchis felineus
clim_down;mean;2070;4.5,149022,-2,clim_down,mean,2070,4.5,opisthorchis felineus
clim_down;mean;2070;8.5,184419,0,clim_down,mean,2070,8.5,opisthorchis felineus
clim_down;mean;2080;2.6,160476,-1,clim_down,mean,2080,2.6,opisthorchis felineus
clim_down;mean;2080;4.5,153233,-1,clim_down,mean,2080,4.5,opisthorchis felineus
clim_down;mean;2080;6,173646,0,clim_down,mean,2080,6,opisthorchis felineus
clim_down;mean;2080;8.5,187365,0,clim_down,mean,2080,8.5,opisthorchis felineus
clim_down;min;2030;2.6,151945,-18,clim_down,min,2030,2.6,opisthorchis felineus
clim_down;min;2030;4.5,184425,10,clim_down,min,2030,4.5,opisthorchis felineus
clim_down;min;2030;6,101500,0,clim_down,min,2030,6,opisthorchis felineus
clim_down;min;2050;2.6,96277,-32,clim_down,min,2050,2.6,opisthorchis felineus
clim_down;min;2050;4.5,120962,-8,clim_down,min,2050,4.5,opisthorchis felineus
clim_down;min;2050;6,120078,-7,clim_down,min,2050,6,opisthorchis felineus
clim_down;min;2050;8.5,174238,142,clim_down,min,2050,8.5,opisthorchis felineus
clim_down;min;2070;2.6,146324,-29,clim_down,min,2070,2.6,opisthorchis felineus
clim_down;min;2070;4.5,143316,-4,clim_down,min,2070,4.5,opisthorchis felineus
clim_down;min;2070;8.5,178528,40,clim_down,min,2070,8.5,opisthorchis felineus
clim_down;min;2080;2.6,155041,-32,clim_down,min,2080,2.6,opisthorchis felineus
clim_down;min;2080;4.5,147553,0,clim_down,min,2080,4.5,opisthorchis felineus
clim_down;min;2080;6,167905,-1,clim_down,min,2080,6,opisthorchis felineus
clim_down;min;2080;8.5,181356,21,clim_down,min,2080,8.5,opisthorchis felineus
clim_up;max;2030;2.6,564,-9,clim_up,max,2030,2.6,opisthorchis felineus
clim_up;max;2030;4.5,220,0,clim_up,max,2030,4.5,opisthorchis felineus
clim_up;max;2030;6,5990,-239,clim_up,max,2030,6,opisthorchis felineus
clim_up;max;2050;2.6,729,-35,clim_up,max,2050,2.6,opisthorchis felineus
clim_up;max;2050;4.5,359,-52,clim_up,max,2050,4.5,opisthorchis felineus
clim_up;max;2050;6,857,-11,clim_up,max,2050,6,opisthorchis felineus
clim_up;max;2050;8.5,1595,-41,clim_up,max,2050,8.5,opisthorchis felineus
clim_up;max;2070;2.6,480,-45,clim_up,max,2070,2.6,opisthorchis felineus
clim_up;max;2070;4.5,489,-39,clim_up,max,2070,4.5,opisthorchis felineus
clim_up;max;2070;8.5,268,-1,clim_up,max,2070,8.5,opisthorchis felineus
clim_up;max;2080;2.6,201,-12,clim_up,max,2080,2.6,opisthorchis felineus
clim_up;max;2080;4.5,333,-51,clim_up,max,2080,4.5,opisthorchis felineus
clim_up;max;2080;6,319,-8,clim_up,max,2080,6,opisthorchis felineus
clim_up;max;2080;8.5,248,0,clim_up,max,2080,8.5,opisthorchis felineus
clim_up;mean;2030;2.6,93973,9,clim_up,mean,2030,2.6,opisthorchis felineus
clim_up;mean;2030;4.5,60814,17,clim_up,mean,2030,4.5,opisthorchis felineus
clim_up;mean;2030;6,59424,18,clim_up,mean,2030,6,opisthorchis felineus
