year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,26658,-18480,clim_down,max,2030,2.6,opisthorchis viverrini
clim_down;max;2030;4.5,34438,-25292,clim_down,max,2030,4.5,opisthorchis viverrini
clim_down;max;2030;6,30623,-26799,clim_down,max,2030,6,opisthorchis viverrini
clim_down;max;2030;8.5,23004,-17017,clim_down,max,2030,8.5,opisthorchis viverrini
clim_down;max;2050;2.6,28121,-15479,clim_down,max,2050,2.6,opisthorchis viverrini
clim_down;max;2050;4.5,23323,-10539,clim_down,max,2050,4.5,opisthorchis viverrini
clim_down;max;2050;6,19632,-8293,clim_down,max,2050,6,opisthorchis viverrini
clim_down;max;2050;8.5,11977,-6183,clim_down,max,2050,8.5,opisthorchis viverrini
clim_down;max;2070;2.6,27740,-15960,clim_down,max,2070,2.6,opisthorchis viverrini
clim_down;max;2070;4.5,11276,-8536,clim_down,max,2070,4.5,opisthorchis viverrini
clim_down;max;2070;6,22974,-21014,clim_down,max,2070,6,opisthorchis viverrini
clim_down;max;2070;8.5,4414,-2243,clim_down,max,2070,8.5,opisthorchis viverrini
clim_down;max;2080;4.5,15847,-12689,clim_down,max,2080,4.5,opisthorchis viverrini
clim_down;max;2080;6,20583,-21681,clim_down,max,2080,6,opisthorchis viverrini
clim_down;max;2080;8.5,6186,-4693,clim_down,max,2080,8.5,opisthorchis viverrini
clim_down;mean;2030;2.6,78340,-22367,clim_down,mean,2030,2.6,opisthorchis viverrini
clim_down;mean;2030;4.5,101966,-36425,clim_down,mean,2030,4.5,opisthorchis viverrini
clim_down;mean;2030;6,94019,-42936,clim_down,mean,2030,6,opisthorchis viverrini
clim_down;mean;2030;8.5,73516,-33974,clim_down,mean,2030,8.5,opisthorchis viverrini
clim_down;mean;2050;2.6,76307,-23713,clim_down,mean,2050,2.6,opisthorchis viverrini
clim_down;mean;2050;4.5,55835,-18316,clim_down,mean,2050,4.5,opisthorchis viverrini
clim_down;mean;2050;6,50894,-19158,clim_down,mean,2050,6,opisthorchis viverrini
clim_down;mean;2050;8.5,35066,-15754,clim_down,mean,2050,8.5,opisthorchis viverrini
clim_down;mean;2070;2.6,79491,-27726,clim_down,mean,2070,2.6,opisthorchis viverrini
clim_down;mean;2070;4.5,32939,-12205,clim_down,mean,2070,4.5,opisthorchis viverrini
clim_down;mean;2070;6,67262,-21363,clim_down,mean,2070,6,opisthorchis viverrini
clim_down;mean;2070;8.5,14021,-8076,clim_down,mean,2070,8.5,opisthorchis viverrini
clim_down;mean;2080;4.5,55054,-22545,clim_down,mean,2080,4.5,opisthorchis viverrini
clim_down;mean;2080;6,70675,-22363,clim_down,mean,2080,6,opisthorchis viverrini
clim_down;mean;2080;8.5,19817,-9994,clim_down,mean,2080,8.5,opisthorchis viverrini
clim_down;min;2030;2.6,117179,-21390,clim_down,min,2030,2.6,opisthorchis viverrini
clim_down;min;2030;4.5,162337,-18508,clim_down,min,2030,4.5,opisthorchis viverrini
clim_down;min;2030;6,164827,-17315,clim_down,min,2030,6,opisthorchis viverrini
clim_down;min;2030;8.5,131252,-28496,clim_down,min,2030,8.5,opisthorchis viverrini
clim_down;min;2050;2.6,117573,-14229,clim_down,min,2050,2.6,opisthorchis viverrini
clim_down;min;2050;4.5,79627,-3351,clim_down,min,2050,4.5,opisthorchis viverrini
clim_down;min;2050;6,94457,-21941,clim_down,min,2050,6,opisthorchis viverrini
clim_down;min;2050;8.5,56356,-5715,clim_down,min,2050,8.5,opisthorchis viverrini
clim_down;min;2070;2.6,125359,-18367,clim_down,min,2070,2.6,opisthorchis viverrini
clim_down;min;2070;4.5,47584,-2793,clim_down,min,2070,4.5,opisthorchis viverrini
clim_down;min;2070;6,93017,-3179,clim_down,min,2070,6,opisthorchis viverrini
clim_down;min;2070;8.5,23912,-2345,clim_down,min,2070,8.5,opisthorchis viverrini
clim_down;min;2080;4.5,82675,-3792,clim_down,min,2080,4.5,opisthorchis viverrini
clim_down;min;2080;6,97060,-3613,clim_down,min,2080,6,opisthorchis viverrini
clim_down;min;2080;8.5,30686,-2515,clim_down,min,2080,8.5,opisthorchis viverrini
clim_up;max;2030;2.6,38980,952,clim_up,max,2030,2.6,opisthorchis viverrini
clim_up;max;2030;4.5,31989,522,clim_up,max,2030,4.5,opisthorchis viverrini
clim_up;max;2030;6,33807,620,clim_up,max,2030,6,opisthorchis viverrini
clim_up;max;2030;8.5,36773,527,clim_up,max,2030,8.5,opisthorchis viverrini
clim_up;max;2050;2.6,36265,598,clim_up,max,2050,2.6,opisthorchis viverrini
clim_up;max;2050;4.5,45576,1130,clim_up,max,2050,4.5,opisthorchis viverrini
clim_up;max;2050;6,47220,822,clim_up,max,2050,6,opisthorchis viverrini
clim_up;max;2050;8.5,56466,1329,clim_up,max,2050,8.5,opisthorchis viverrini
clim_up;max;2070;2.6,38019,518,clim_up,max,2070,2.6,opisthorchis viverrini
clim_up;max;2070;4.5,73765,1769,clim_up,max,2070,4.5,opisthorchis viverrini
clim_up;max;2070;6,45551,856,clim_up,max,2070,6,opisthorchis viverrini
clim_up;max;2070;8.5,113217,4324,clim_up,max,2070,8.5,opisthorchis viverrini
clim_up;max;2080;4.5,48479,1247,clim_up,max,2080,4.5,opisthorchis viverrini
clim_up;max;2080;6,44876,819,clim_up,max,2080,6,opisthorchis viverrini
clim_up;max;2080;8.5,92339,3721,clim_up,max,2080,8.5,opisthorchis viverrini
clim_up;mean;2030;2.6,62651,155,clim_up,mean,2030,2.6,opisthorchis viverrini
clim_up;mean;2030;4.5,42873,83,clim_up,mean,2030,4.5,opisthorchis viverrini
clim_up;mean;2030;6,49716,155,clim_up,mean,2030,6,opisthorchis viverrini
clim_up;mean;2030;8.5,55203,56,clim_up,mean,2030,8.5,opisthorchis viverrini
