year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP
clim_down;max;2030;2.6,1199,-4035,clim_down,max,2030,2.6
clim_down;max;2030;4.5,2217,-5282,clim_down,max,2030,4.5
clim_down;max;2030;6,2336,-7628,clim_down,max,2030,6
clim_down;max;2030;8.5,2462,-6068,clim_down,max,2030,8.5
clim_down;max;2050;2.6,3042,-8515,clim_down,max,2050,2.6
clim_down;max;2050;4.5,1264,-5307,clim_down,max,2050,4.5
clim_down;max;2050;6,2991,-9775,clim_down,max,2050,6
clim_down;max;2050;8.5,8125,-12662,clim_down,max,2050,8.5
clim_down;max;2070;2.6,1809,-7014,clim_down,max,2070,2.6
clim_down;max;2070;4.5,2399,-7832,clim_down,max,2070,4.5
clim_down;max;2070;6,2452,-9792,clim_down,max,2070,6
clim_down;max;2070;8.5,3466,-7341,clim_down,max,2070,8.5
clim_down;max;2080;4.5,2237,-6870,clim_down,max,2080,4.5
clim_down;max;2080;6,1175,-8796,clim_down,max,2080,6
clim_down;max;2080;8.5,9759,-15507,clim_down,max,2080,8.5
clim_down;mean;2030;2.6,2067,-8246,clim_down,mean,2030,2.6
clim_down;mean;2030;4.5,3749,-8524,clim_down,mean,2030,4.5
clim_down;mean;2030;6,5089,-10406,clim_down,mean,2030,6
clim_down;mean;2030;8.5,5199,-8988,clim_down,mean,2030,8.5
clim_down;mean;2050;2.6,7217,-10265,clim_down,mean,2050,2.6
clim_down;mean;2050;4.5,2213,-8513,clim_down,mean,2050,4.5
clim_down;mean;2050;6,6057,-13768,clim_down,mean,2050,6
clim_down;mean;2050;8.5,14602,-14269,clim_down,mean,2050,8.5
clim_down;mean;2070;2.6,3538,-10542,clim_down,mean,2070,2.6
clim_down;mean;2070;4.5,4402,-11410,clim_down,mean,2070,4.5
clim_down;mean;2070;6,4923,-12758,clim_down,mean,2070,6
clim_down;mean;2070;8.5,6346,-9265,clim_down,mean,2070,8.5
clim_down;mean;2080;4.5,4129,-11811,clim_down,mean,2080,4.5
clim_down;mean;2080;6,2664,-14409,clim_down,mean,2080,6
clim_down;mean;2080;8.5,16098,-17922,clim_down,mean,2080,8.5
clim_down;min;2030;2.6,9089,-28277,clim_down,min,2030,2.6
clim_down;min;2030;4.5,12738,-24946,clim_down,min,2030,4.5
clim_down;min;2030;6,11907,-27572,clim_down,min,2030,6
clim_down;min;2030;8.5,11437,-29114,clim_down,min,2030,8.5
clim_down;min;2050;2.6,15798,-26409,clim_down,min,2050,2.6
clim_down;min;2050;4.5,9877,-26457,clim_down,min,2050,4.5
clim_down;min;2050;6,15475,-26413,clim_down,min,2050,6
clim_down;min;2050;8.5,26290,-29933,clim_down,min,2050,8.5
clim_down;min;2070;2.6,10124,-28174,clim_down,min,2070,2.6
clim_down;min;2070;4.5,11898,-31785,clim_down,min,2070,4.5
clim_down;min;2070;6,10939,-33082,clim_down,min,2070,6
clim_down;min;2070;8.5,13738,-23789,clim_down,min,2070,8.5
clim_down;min;2080;4.5,13512,-29399,clim_down,min,2080,4.5
clim_down;min;2080;6,9289,-30882,clim_down,min,2080,6
clim_down;min;2080;8.5,26474,-31743,clim_down,min,2080,8.5
clim_up;max;2030;2.6,21690,104,clim_up,max,2030,2.6
clim_up;max;2030;4.5,19359,53,clim_up,max,2030,4.5
clim_up;max;2030;6,13882,95,clim_up,max,2030,6
clim_up;max;2030;8.5,18184,208,clim_up,max,2030,8.5
clim_up;max;2050;2.6,11610,-1226,clim_up,max,2050,2.6
clim_up;max;2050;4.5,20579,-1793,clim_up,max,2050,4.5
clim_up;max;2050;6,9761,-158,clim_up,max,2050,6
clim_up;max;2050;8.5,4874,68,clim_up,max,2050,8.5
clim_up;max;2070;2.6,18691,-1615,clim_up,max,2070,2.6
clim_up;max;2070;4.5,13060,-2137,clim_up,max,2070,4.5
clim_up;max;2070;6,10321,-534,clim_up,max,2070,6
clim_up;max;2070;8.5,12876,-94,clim_up,max,2070,8.5
clim_up;max;2080;4.5,11822,-2827,clim_up,max,2080,4.5
clim_up;max;2080;6,16500,-1852,clim_up,max,2080,6
clim_up;max;2080;8.5,2504,-72,clim_up,max,2080,8.5
clim_up;mean;2030;2.6,36271,499,clim_up,mean,2030,2.6
clim_up;mean;2030;4.5,33244,518,clim_up,mean,2030,4.5
clim_up;mean;2030;6,23130,-617,clim_up,mean,2030,6
clim_up;mean;2030;8.5,31649,652,clim_up,mean,2030,8.5
clim_up;mean;2050;2.6,22707,-242,clim_up,mean,2050,2.6
clim_up;mean;2050;4.5,37381,-804,clim_up,mean,2050,4.5
clim_up;mean;2050;6,17846,-866,clim_up,mean,2050,6
clim_up;mean;2050;8.5,15068,589,clim_up,mean,2050,8.5
clim_up;mean;2070;2.6,33891,-480,clim_up,mean,2070,2.6
clim_up;mean;2070;4.5,26093,-1601,clim_up,mean,2070,4.5
clim_up;mean;2070;6,22645,-929,clim_up,mean,2070,6
clim_up;mean;2070;8.5,26662,431,clim_up,mean,2070,8.5
clim_up;mean;2080;4.5,23300,-1797,clim_up,mean,2080,4.5
clim_up;mean;2080;6,23181,-5125,clim_up,mean,2080,6
clim_up;mean;2080;8.5,13515,446,clim_up,mean,2080,8.5
clim_up;min;2030;2.6,44578,381,clim_up,min,2030,2.6
clim_up;min;2030;4.5,41691,472,clim_up,min,2030,4.5
clim_up;min;2030;6,34209,670,clim_up,min,2030,6
clim_up;min;2030;8.5,41737,433,clim_up,min,2030,8.5
clim_up;min;2050;2.6,34103,638,clim_up,min,2050,2.6
clim_up;min;2050;4.5,49030,295,clim_up,min,2050,4.5
clim_up;min;2050;6,25747,-320,clim_up,min,2050,6
clim_up;min;2050;8.5,21213,378,clim_up,min,2050,8.5
clim_up;min;2070;2.6,40910,-357,clim_up,min,2070,2.6
clim_up;min;2070;4.5,34435,-262,clim_up,min,2070,4.5
clim_up;min;2070;6,31920,-351,clim_up,min,2070,6
clim_up;min;2070;8.5,36088,93,clim_up,min,2070,8.5
clim_up;min;2080;4.5,31429,200,clim_up,min,2080,4.5
clim_up;min;2080;6,33431,-522,clim_up,min,2080,6
clim_up;min;2080;8.5,18631,228,clim_up,min,2080,8.5
dummy;max;2030;2.6,30735,-5014,dummy,max,2030,2.6
dummy;max;2030;4.5,29018,-6731,dummy,max,2030,4.5
dummy;max;2030;6,25264,-10485,dummy,max,2030,6
dummy;max;2030;8.5,28773,-6976,dummy,max,2030,8.5
dummy;max;2050;2.6,22723,-13026,dummy,max,2050,2.6
dummy;max;2050;4.5,26837,-8912,dummy,max,2050,4.5
dummy;max;2050;6,21387,-14362,dummy,max,2050,6
dummy;max;2050;8.5,21555,-14185,dummy,max,2050,8.5
dummy;max;2070;2.6,25099,-10650,dummy,max,2070,2.6
dummy;max;2070;4.5,22664,-13085,dummy,max,2070,4.5
dummy;max;2070;6,20904,-14845,dummy,max,2070,6
dummy;max;2070;8.5,26848,-8901,dummy,max,2070,8.5
dummy;max;2080;4.5,22134,-13615,dummy,max,2080,4.5
dummy;max;2080;6,21641,-14108,dummy,max,2080,6
dummy;max;2080;8.5,18665,-16823,dummy,max,2080,8.5
dummy;mean;2030;2.6,51378,-8746,dummy,mean,2030,2.6
dummy;mean;2030;4.5,50908,-9216,dummy,mean,2030,4.5
dummy;mean;2030;6,42914,-17209,dummy,mean,2030,6
dummy;mean;2030;8.5,50990,-9042,dummy,mean,2030,8.5
dummy;mean;2050;2.6,45100,-15024,dummy,mean,2050,2.6
dummy;mean;2050;4.5,48819,-11305,dummy,mean,2050,4.5
dummy;mean;2050;6,37725,-22145,dummy,mean,2050,6
dummy;mean;2050;8.5,45325,-14683,dummy,mean,2050,8.5
dummy;mean;2070;2.6,46176,-13870,dummy,mean,2070,2.6
dummy;mean;2070;4.5,43572,-16533,dummy,mean,2070,4.5
dummy;mean;2070;6,40804,-19299,dummy,mean,2070,6
dummy;mean;2070;8.5,49797,-10014,dummy,mean,2070,8.5
dummy;mean;2080;4.5,42958,-17120,dummy,mean,2080,4.5
dummy;mean;2080;6,33022,-26940,dummy,mean,2080,6
dummy;mean;2080;8.5,40418,-18230,dummy,mean,2080,8.5
dummy;min;2030;2.6,74419,-29850,dummy,min,2030,2.6
dummy;min;2030;4.5,78689,-25845,dummy,min,2030,4.5
dummy;min;2030;6,71604,-32574,dummy,min,2030,6
dummy;min;2030;8.5,72351,-29977,dummy,min,2030,8.5
dummy;min;2050;2.6,76420,-28057,dummy,min,2050,2.6
dummy;min;2050;4.5,76451,-27494,dummy,min,2050,4.5
dummy;min;2050;6,66126,-34309,dummy,min,2050,6
dummy;min;2050;8.5,70624,-31315,dummy,min,2050,8.5
dummy;min;2070;2.6,67953,-31863,dummy,min,2070,2.6
dummy;min;2070;4.5,68160,-34872,dummy,min,2070,4.5
dummy;min;2070;6,63469,-39807,dummy,min,2070,6
dummy;min;2070;8.5,72921,-25552,dummy,min,2070,8.5
dummy;min;2080;4.5,71960,-31254,dummy,min,2080,4.5
dummy;min;2080;6,58505,-38896,dummy,min,2080,6
dummy;min;2080;8.5,61775,-33820,dummy,min,2080,8.5
lu_down;max;2030;2.6,8015,-2014,lu_down,max,2030,2.6
lu_down;max;2030;4.5,10356,-1981,lu_down,max,2030,4.5
lu_down;max;2030;6,8567,-5327,lu_down,max,2030,6
lu_down;max;2030;8.5,1993,-2233,lu_down,max,2030,8.5
lu_down;max;2050;2.6,7746,-5875,lu_down,max,2050,2.6
lu_down;max;2050;4.5,8997,-4934,lu_down,max,2050,4.5
lu_down;max;2050;6,9981,-10764,lu_down,max,2050,6
