year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,4348,-1795,clim_down,max,2030,2.6,oropouche
clim_down;max;2030;4.5,5431,-953,clim_down,max,2030,4.5,oropouche
clim_down;max;2030;6,4357,-838,clim_down,max,2030,6,oropouche
clim_down;max;2030;8.5,5411,-791,clim_down,max,2030,8.5,oropouche
clim_down;max;2050;2.6,9497,-4297,clim_down,max,2050,2.6,oropouche
clim_down;max;2050;4.5,8179,-4925,clim_down,max,2050,4.5,oropouche
clim_down;max;2050;6,40252,-14949,clim_down,max,2050,6,oropouche
clim_down;max;2050;8.5,3047,-1265,clim_down,max,2050,8.5,oropouche
clim_down;max;2070;2.6,7264,-3753,clim_down,max,2070,2.6,oropouche
clim_down;max;2070;4.5,6133,-7286,clim_down,max,2070,4.5,oropouche
clim_down;max;2070;6,21283,-14181,clim_down,max,2070,6,oropouche
clim_down;max;2070;8.5,2968,-2773,clim_down,max,2070,8.5,oropouche
clim_down;max;2080;2.6,12754,-9968,clim_down,max,2080,2.6,oropouche
clim_down;max;2080;4.5,20761,-13738,clim_down,max,2080,4.5,oropouche
clim_down;max;2080;6,5344,-6375,clim_down,max,2080,6,oropouche
clim_down;max;2080;8.5,13785,-20907,clim_down,max,2080,8.5,oropouche
clim_down;mean;2030;2.6,8807,-3038,clim_down,mean,2030,2.6,oropouche
clim_down;mean;2030;4.5,10129,-1333,clim_down,mean,2030,4.5,oropouche
clim_down;mean;2030;6,6571,-1097,clim_down,mean,2030,6,oropouche
clim_down;mean;2030;8.5,9289,-1284,clim_down,mean,2030,8.5,oropouche
clim_down;mean;2050;2.6,15688,-6332,clim_down,mean,2050,2.6,oropouche
clim_down;mean;2050;4.5,15547,-4730,clim_down,mean,2050,4.5,oropouche
clim_down;mean;2050;6,60765,-12251,clim_down,mean,2050,6,oropouche
clim_down;mean;2050;8.5,5558,-2786,clim_down,mean,2050,8.5,oropouche
clim_down;mean;2070;2.6,10841,-5880,clim_down,mean,2070,2.6,oropouche
clim_down;mean;2070;4.5,14831,-6676,clim_down,mean,2070,4.5,oropouche
clim_down;mean;2070;6,36284,-9502,clim_down,mean,2070,6,oropouche
clim_down;mean;2070;8.5,7031,-4179,clim_down,mean,2070,8.5,oropouche
clim_down;mean;2080;2.6,20762,-10943,clim_down,mean,2080,2.6,oropouche
clim_down;mean;2080;4.5,35550,-12034,clim_down,mean,2080,4.5,oropouche
clim_down;mean;2080;6,12680,-6294,clim_down,mean,2080,6,oropouche
clim_down;mean;2080;8.5,28358,-16182,clim_down,mean,2080,8.5,oropouche
clim_down;min;2030;2.6,57029,-1959,clim_down,min,2030,2.6,oropouche
clim_down;min;2030;4.5,49743,-7284,clim_down,min,2030,4.5,oropouche
clim_down;min;2030;6,20420,-2012,clim_down,min,2030,6,oropouche
clim_down;min;2030;8.5,43947,-7355,clim_down,min,2030,8.5,oropouche
clim_down;min;2050;2.6,70330,-7011,clim_down,min,2050,2.6,oropouche
clim_down;min;2050;4.5,43639,-4679,clim_down,min,2050,4.5,oropouche
clim_down;min;2050;6,166997,-18328,clim_down,min,2050,6,oropouche
clim_down;min;2050;8.5,24347,-4532,clim_down,min,2050,8.5,oropouche
clim_down;min;2070;2.6,59380,-5390,clim_down,min,2070,2.6,oropouche
clim_down;min;2070;4.5,73965,-13386,clim_down,min,2070,4.5,oropouche
clim_down;min;2070;6,114103,-11628,clim_down,min,2070,6,oropouche
clim_down;min;2070;8.5,61013,-13601,clim_down,min,2070,8.5,oropouche
clim_down;min;2080;2.6,84144,-10440,clim_down,min,2080,2.6,oropouche
clim_down;min;2080;4.5,127507,-27450,clim_down,min,2080,4.5,oropouche
clim_down;min;2080;6,71500,-10408,clim_down,min,2080,6,oropouche
clim_down;min;2080;8.5,103701,-28676,clim_down,min,2080,8.5,oropouche
clim_up;max;2030;2.6,93516,-19859,clim_up,max,2030,2.6,oropouche
clim_up;max;2030;4.5,104168,-7222,clim_up,max,2030,4.5,oropouche
clim_up;max;2030;6,104396,-20738,clim_up,max,2030,6,oropouche
clim_up;max;2030;8.5,107031,-8147,clim_up,max,2030,8.5,oropouche
clim_up;max;2050;2.6,71158,-27357,clim_up,max,2050,2.6,oropouche
clim_up;max;2050;4.5,74856,-24395,clim_up,max,2050,4.5,oropouche
clim_up;max;2050;6,54824,-6380,clim_up,max,2050,6,oropouche
clim_up;max;2050;8.5,92073,-24389,clim_up,max,2050,8.5,oropouche
clim_up;max;2070;2.6,57220,-39929,clim_up,max,2070,2.6,oropouche
clim_up;max;2070;4.5,60832,-34300,clim_up,max,2070,4.5,oropouche
clim_up;max;2070;6,49473,-25285,clim_up,max,2070,6,oropouche
clim_up;max;2070;8.5,81438,-41444,clim_up,max,2070,8.5,oropouche
clim_up;max;2080;2.6,48443,-31137,clim_up,max,2080,2.6,oropouche
clim_up;max;2080;4.5,54917,-26122,clim_up,max,2080,4.5,oropouche
clim_up;max;2080;6,62971,-37358,clim_up,max,2080,6,oropouche
clim_up;max;2080;8.5,44045,-30409,clim_up,max,2080,8.5,oropouche
clim_up;mean;2030;2.6,123787,-11470,clim_up,mean,2030,2.6,oropouche
clim_up;mean;2030;4.5,128185,-4834,clim_up,mean,2030,4.5,oropouche
clim_up;mean;2030;6,141586,-9834,clim_up,mean,2030,6,oropouche
clim_up;mean;2030;8.5,131191,-7979,clim_up,mean,2030,8.5,oropouche
clim_up;mean;2050;2.6,94833,-22525,clim_up,mean,2050,2.6,oropouche
