year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,109844,-73158,clim_down,max,2030,2.6,paracoccidiodes brasiliensis
clim_down;max;2030;4.5,101466,-35299,clim_down,max,2030,4.5,paracoccidiodes brasiliensis
clim_down;max;2030;6,115731,-67175,clim_down,max,2030,6,paracoccidiodes brasiliensis
clim_down;max;2030;8.5,128073,-45362,clim_down,max,2030,8.5,paracoccidiodes brasiliensis
clim_down;max;2050;2.6,123097,-47643,clim_down,max,2050,2.6,paracoccidiodes brasiliensis
clim_down;max;2050;4.5,128115,-81050,clim_down,max,2050,4.5,paracoccidiodes brasiliensis
clim_down;max;2050;6,113199,-62188,clim_down,max,2050,6,paracoccidiodes brasiliensis
clim_down;max;2050;8.5,150844,-42540,clim_down,max,2050,8.5,paracoccidiodes brasiliensis
clim_down;max;2070;2.6,117352,-47225,clim_down,max,2070,2.6,paracoccidiodes brasiliensis
clim_down;max;2070;4.5,123506,-59344,clim_down,max,2070,4.5,paracoccidiodes brasiliensis
clim_down;max;2070;6,93769,-109589,clim_down,max,2070,6,paracoccidiodes brasiliensis
clim_down;max;2070;8.5,130234,-91044,clim_down,max,2070,8.5,paracoccidiodes brasiliensis
clim_down;max;2080;2.6,143164,-76154,clim_down,max,2080,2.6,paracoccidiodes brasiliensis
clim_down;mean;2030;2.6,228721,-28172,clim_down,mean,2030,2.6,paracoccidiodes brasiliensis
clim_down;mean;2030;4.5,167386,-17819,clim_down,mean,2030,4.5,paracoccidiodes brasiliensis
clim_down;mean;2030;6,222273,-34767,clim_down,mean,2030,6,paracoccidiodes brasiliensis
clim_down;mean;2030;8.5,201306,-18171,clim_down,mean,2030,8.5,paracoccidiodes brasiliensis
clim_down;mean;2050;2.6,208392,-7671,clim_down,mean,2050,2.6,paracoccidiodes brasiliensis
clim_down;mean;2050;4.5,240465,-21267,clim_down,mean,2050,4.5,paracoccidiodes brasiliensis
clim_down;mean;2050;6,205039,-25155,clim_down,mean,2050,6,paracoccidiodes brasiliensis
clim_down;mean;2050;8.5,219461,-7333,clim_down,mean,2050,8.5,paracoccidiodes brasiliensis
clim_down;mean;2070;2.6,208185,-18751,clim_down,mean,2070,2.6,paracoccidiodes brasiliensis
