year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,418,-25,clim_down,max,2030,2.6,paragonimus miyazakii
clim_down;max;2030;4.5,1191,-185,clim_down,max,2030,4.5,paragonimus miyazakii
clim_down;max;2030;6,910,-15,clim_down,max,2030,6,paragonimus miyazakii
clim_down;max;2030;8.5,881,-61,clim_down,max,2030,8.5,paragonimus miyazakii
clim_down;max;2050;2.6,3,0,clim_down,max,2050,2.6,paragonimus miyazakii
clim_down;max;2050;6,94,-7,clim_down,max,2050,6,paragonimus miyazakii
clim_down;max;2050;8.5,163,-11,clim_down,max,2050,8.5,paragonimus miyazakii
clim_down;max;2070;2.6,898,-1035,clim_down,max,2070,2.6,paragonimus miyazakii
clim_down;max;2070;4.5,154,-27,clim_down,max,2070,4.5,paragonimus miyazakii
clim_down;max;2070;6,210,-35,clim_down,max,2070,6,paragonimus miyazakii
clim_down;max;2070;8.5,541,-53,clim_down,max,2070,8.5,paragonimus miyazakii
clim_down;max;2080;2.6,802,-1133,clim_down,max,2080,2.6,paragonimus miyazakii
clim_down;max;2080;4.5,45,-1,clim_down,max,2080,4.5,paragonimus miyazakii
clim_down;max;2080;6,458,-21,clim_down,max,2080,6,paragonimus miyazakii
clim_down;max;2080;8.5,467,-100,clim_down,max,2080,8.5,paragonimus miyazakii
clim_down;mean;2030;2.6,368,-46,clim_down,mean,2030,2.6,paragonimus miyazakii
clim_down;mean;2030;4.5,872,-309,clim_down,mean,2030,4.5,paragonimus miyazakii
clim_down;mean;2030;6,718,-162,clim_down,mean,2030,6,paragonimus miyazakii
clim_down;mean;2030;8.5,650,-185,clim_down,mean,2030,8.5,paragonimus miyazakii
clim_down;mean;2050;2.6,3,0,clim_down,mean,2050,2.6,paragonimus miyazakii
clim_down;mean;2050;6,41,-41,clim_down,mean,2050,6,paragonimus miyazakii
clim_down;mean;2050;8.5,122,-29,clim_down,mean,2050,8.5,paragonimus miyazakii
clim_down;mean;2070;2.6,457,-1219,clim_down,mean,2070,2.6,paragonimus miyazakii
