year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,27893,-8961,clim_down,max,2030,2.6,penicillium marneffi
clim_down;max;2030;4.5,22891,-6843,clim_down,max,2030,4.5,penicillium marneffi
clim_down;max;2030;6,28472,-4735,clim_down,max,2030,6,penicillium marneffi
clim_down;max;2030;8.5,8430,-27,clim_down,max,2030,8.5,penicillium marneffi
clim_down;max;2050;2.6,9945,-149,clim_down,max,2050,2.6,penicillium marneffi
clim_down;max;2050;4.5,8510,-36,clim_down,max,2050,4.5,penicillium marneffi
clim_down;max;2050;6,8053,-91,clim_down,max,2050,6,penicillium marneffi
clim_down;max;2050;8.5,4768,-15,clim_down,max,2050,8.5,penicillium marneffi
clim_down;max;2070;2.6,4784,-8,clim_down,max,2070,2.6,penicillium marneffi
clim_down;max;2070;4.5,4946,-5,clim_down,max,2070,4.5,penicillium marneffi
clim_down;max;2070;6,10833,-1092,clim_down,max,2070,6,penicillium marneffi
clim_down;max;2070;8.5,2350,-1,clim_down,max,2070,8.5,penicillium marneffi
clim_down;max;2080;2.6,13049,-4332,clim_down,max,2080,2.6,penicillium marneffi
clim_down;max;2080;4.5,6047,-103,clim_down,max,2080,4.5,penicillium marneffi
clim_down;max;2080;6,9608,-154,clim_down,max,2080,6,penicillium marneffi
clim_down;max;2080;8.5,3708,-2,clim_down,max,2080,8.5,penicillium marneffi
clim_down;mean;2030;2.6,36783,-1392,clim_down,mean,2030,2.6,penicillium marneffi
clim_down;mean;2030;4.5,29928,-913,clim_down,mean,2030,4.5,penicillium marneffi
clim_down;mean;2030;6,34143,-883,clim_down,mean,2030,6,penicillium marneffi
clim_down;mean;2030;8.5,8519,-18,clim_down,mean,2030,8.5,penicillium marneffi
clim_down;mean;2050;2.6,10321,-71,clim_down,mean,2050,2.6,penicillium marneffi
clim_down;mean;2050;4.5,8628,-7,clim_down,mean,2050,4.5,penicillium marneffi
clim_down;mean;2050;6,8263,-42,clim_down,mean,2050,6,penicillium marneffi
clim_down;mean;2050;8.5,4793,-11,clim_down,mean,2050,8.5,penicillium marneffi
clim_down;mean;2070;2.6,4836,-15,clim_down,mean,2070,2.6,penicillium marneffi
clim_down;mean;2070;4.5,4960,-6,clim_down,mean,2070,4.5,penicillium marneffi
clim_down;mean;2070;6,12532,-84,clim_down,mean,2070,6,penicillium marneffi
