year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,17470,-6023,clim_down,max,2030,2.6,pergamino
clim_down;max;2030;4.5,21004,-16130,clim_down,max,2030,4.5,pergamino
clim_down;max;2030;6,18485,-7575,clim_down,max,2030,6,pergamino
clim_down;max;2030;8.5,17600,-9416,clim_down,max,2030,8.5,pergamino
clim_down;max;2050;2.6,17305,-7508,clim_down,max,2050,2.6,pergamino
clim_down;max;2050;4.5,23939,-14578,clim_down,max,2050,4.5,pergamino
clim_down;max;2050;6,15776,-17185,clim_down,max,2050,6,pergamino
clim_down;max;2050;8.5,17228,-15537,clim_down,max,2050,8.5,pergamino
clim_down;max;2070;2.6,14140,-8823,clim_down,max,2070,2.6,pergamino
clim_down;max;2070;4.5,20505,-15964,clim_down,max,2070,4.5,pergamino
clim_down;max;2070;6,17490,-16883,clim_down,max,2070,6,pergamino
clim_down;max;2070;8.5,13510,-26804,clim_down,max,2070,8.5,pergamino
clim_down;max;2080;2.6,18911,-14825,clim_down,max,2080,2.6,pergamino
clim_down;max;2080;4.5,17726,-8016,clim_down,max,2080,4.5,pergamino
clim_down;max;2080;6,17739,-12391,clim_down,max,2080,6,pergamino
clim_down;max;2080;8.5,12327,-27377,clim_down,max,2080,8.5,pergamino
clim_down;mean;2030;2.6,25825,-4033,clim_down,mean,2030,2.6,pergamino
clim_down;mean;2030;4.5,41325,-9296,clim_down,mean,2030,4.5,pergamino
clim_down;mean;2030;6,28821,-4413,clim_down,mean,2030,6,pergamino
clim_down;mean;2030;8.5,30736,-4505,clim_down,mean,2030,8.5,pergamino
clim_down;mean;2050;2.6,27374,-6742,clim_down,mean,2050,2.6,pergamino
clim_down;mean;2050;4.5,43597,-8020,clim_down,mean,2050,4.5,pergamino
clim_down;mean;2050;6,33173,-8011,clim_down,mean,2050,6,pergamino
clim_down;mean;2050;8.5,33198,-10227,clim_down,mean,2050,8.5,pergamino
clim_down;mean;2070;2.6,23970,-7610,clim_down,mean,2070,2.6,pergamino
clim_down;mean;2070;4.5,38851,-9064,clim_down,mean,2070,4.5,pergamino
clim_down;mean;2070;6,34987,-8957,clim_down,mean,2070,6,pergamino
clim_down;mean;2070;8.5,34684,-18184,clim_down,mean,2070,8.5,pergamino
clim_down;mean;2080;2.6,35197,-8627,clim_down,mean,2080,2.6,pergamino
clim_down;mean;2080;4.5,27505,-4029,clim_down,mean,2080,4.5,pergamino
