year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;8.5,9,-14,clim_down,max,2030,8.5,pirital
clim_down;mean;2030;2.6,696,-412,clim_down,mean,2030,2.6,pirital
clim_down;mean;2030;4.5,354,-111,clim_down,mean,2030,4.5,pirital
clim_down;mean;2030;6,424,-415,clim_down,mean,2030,6,pirital
clim_down;mean;2030;8.5,134,-32,clim_down,mean,2030,8.5,pirital
clim_down;mean;2050;2.6,891,-93,clim_down,mean,2050,2.6,pirital
clim_down;mean;2050;6,126,-34,clim_down,mean,2050,6,pirital
clim_down;mean;2050;8.5,36,-1,clim_down,mean,2050,8.5,pirital
clim_down;mean;2070;2.6,774,-235,clim_down,mean,2070,2.6,pirital
clim_down;mean;2070;4.5,244,-120,clim_down,mean,2070,4.5,pirital
clim_down;mean;2070;6,400,-646,clim_down,mean,2070,6,pirital
clim_down;mean;2070;8.5,1404,-29,clim_down,mean,2070,8.5,pirital
clim_down;mean;2080;2.6,227,-2,clim_down,mean,2080,2.6,pirital
clim_down;mean;2080;4.5,30,-67,clim_down,mean,2080,4.5,pirital
clim_down;mean;2080;6,62,-59,clim_down,mean,2080,6,pirital
clim_down;mean;2080;8.5,789,-41,clim_down,mean,2080,8.5,pirital
clim_down;min;2030;2.6,1636,-661,clim_down,min,2030,2.6,pirital
clim_down;min;2030;4.5,812,-127,clim_down,min,2030,4.5,pirital
clim_down;min;2030;6,1092,-673,clim_down,min,2030,6,pirital
clim_down;min;2030;8.5,574,-640,clim_down,min,2030,8.5,pirital
clim_down;min;2050;2.6,1390,-144,clim_down,min,2050,2.6,pirital
clim_down;min;2050;6,383,-18,clim_down,min,2050,6,pirital
clim_down;min;2050;8.5,154,-7,clim_down,min,2050,8.5,pirital
clim_down;min;2070;2.6,1476,-326,clim_down,min,2070,2.6,pirital
clim_down;min;2070;4.5,623,-205,clim_down,min,2070,4.5,pirital
clim_down;min;2070;6,1386,-316,clim_down,min,2070,6,pirital
clim_down;min;2070;8.5,1541,-201,clim_down,min,2070,8.5,pirital
clim_down;min;2080;2.6,396,-25,clim_down,min,2080,2.6,pirital
clim_down;min;2080;4.5,214,-30,clim_down,min,2080,4.5,pirital
clim_down;min;2080;6,202,-98,clim_down,min,2080,6,pirital
clim_down;min;2080;8.5,912,-172,clim_down,min,2080,8.5,pirital
clim_up;max;2030;2.6,423,18,clim_up,max,2030,2.6,pirital
clim_up;max;2030;4.5,577,18,clim_up,max,2030,4.5,pirital
clim_up;max;2030;6,402,18,clim_up,max,2030,6,pirital
clim_up;max;2030;8.5,150,-16,clim_up,max,2030,8.5,pirital
clim_up;max;2050;2.6,579,18,clim_up,max,2050,2.6,pirital
clim_up;max;2050;6,575,18,clim_up,max,2050,6,pirital
clim_up;max;2050;8.5,526,18,clim_up,max,2050,8.5,pirital
clim_up;max;2070;2.6,579,18,clim_up,max,2070,2.6,pirital
clim_up;max;2070;4.5,572,18,clim_up,max,2070,4.5,pirital
clim_up;max;2070;6,579,18,clim_up,max,2070,6,pirital
clim_up;max;2070;8.5,558,18,clim_up,max,2070,8.5,pirital
clim_up;max;2080;2.6,579,18,clim_up,max,2080,2.6,pirital
clim_up;max;2080;4.5,579,18,clim_up,max,2080,4.5,pirital
clim_up;max;2080;6,579,18,clim_up,max,2080,6,pirital
clim_up;max;2080;8.5,571,18,clim_up,max,2080,8.5,pirital
clim_up;mean;2030;2.6,18730,124,clim_up,mean,2030,2.6,pirital
clim_up;mean;2030;4.5,18348,164,clim_up,mean,2030,4.5,pirital
clim_up;mean;2030;6,20451,124,clim_up,mean,2030,6,pirital
clim_up;mean;2030;8.5,20151,-54,clim_up,mean,2030,8.5,pirital
clim_up;mean;2050;2.6,20005,187,clim_up,mean,2050,2.6,pirital
clim_up;mean;2050;6,19496,206,clim_up,mean,2050,6,pirital
clim_up;mean;2050;8.5,19849,220,clim_up,mean,2050,8.5,pirital
clim_up;mean;2070;2.6,19933,191,clim_up,mean,2070,2.6,pirital
clim_up;mean;2070;4.5,19926,180,clim_up,mean,2070,4.5,pirital
clim_up;mean;2070;6,20199,188,clim_up,mean,2070,6,pirital
clim_up;mean;2070;8.5,18117,203,clim_up,mean,2070,8.5,pirital
clim_up;mean;2080;2.6,19218,188,clim_up,mean,2080,2.6,pirital
clim_up;mean;2080;4.5,22496,202,clim_up,mean,2080,4.5,pirital
clim_up;mean;2080;6,22615,200,clim_up,mean,2080,6,pirital
clim_up;mean;2080;8.5,17545,213,clim_up,mean,2080,8.5,pirital
clim_up;min;2030;2.6,23155,49,clim_up,min,2030,2.6,pirital
clim_up;min;2030;4.5,25907,94,clim_up,min,2030,4.5,pirital
clim_up;min;2030;6,26756,44,clim_up,min,2030,6,pirital
clim_up;min;2030;8.5,26395,-36,clim_up,min,2030,8.5,pirital
clim_up;min;2050;2.6,28292,47,clim_up,min,2050,2.6,pirital
clim_up;min;2050;6,29289,46,clim_up,min,2050,6,pirital
clim_up;min;2050;8.5,30101,62,clim_up,min,2050,8.5,pirital
