year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,66,-229,clim_down,max,2030,2.6,plasmodium knowlesi
clim_down;max;2030;4.5,634,-853,clim_down,max,2030,4.5,plasmodium knowlesi
clim_down;max;2030;8.5,504,-717,clim_down,max,2030,8.5,plasmodium knowlesi
clim_down;max;2050;2.6,7,-422,clim_down,max,2050,2.6,plasmodium knowlesi
clim_down;max;2050;4.5,27,-52,clim_down,max,2050,4.5,plasmodium knowlesi
clim_down;max;2050;6,1323,-3357,clim_down,max,2050,6,plasmodium knowlesi
clim_down;max;2070;2.6,9,-144,clim_down,max,2070,2.6,plasmodium knowlesi
clim_down;max;2070;4.5,7,-40,clim_down,max,2070,4.5,plasmodium knowlesi
clim_down;max;2070;6,1,-77,clim_down,max,2070,6,plasmodium knowlesi
clim_down;max;2080;2.6,15,-2672,clim_down,max,2080,2.6,plasmodium knowlesi
clim_down;mean;2030;2.6,106,-310,clim_down,mean,2030,2.6,plasmodium knowlesi
clim_down;mean;2030;4.5,874,-1167,clim_down,mean,2030,4.5,plasmodium knowlesi
clim_down;mean;2030;8.5,749,-777,clim_down,mean,2030,8.5,plasmodium knowlesi
clim_down;mean;2050;2.6,15,-493,clim_down,mean,2050,2.6,plasmodium knowlesi
clim_down;mean;2050;4.5,44,-56,clim_down,mean,2050,4.5,plasmodium knowlesi
clim_down;mean;2050;6,2139,-3411,clim_down,mean,2050,6,plasmodium knowlesi
clim_down;mean;2070;2.6,11,-193,clim_down,mean,2070,2.6,plasmodium knowlesi
clim_down;mean;2070;4.5,9,-134,clim_down,mean,2070,4.5,plasmodium knowlesi
clim_down;mean;2070;6,5,-91,clim_down,mean,2070,6,plasmodium knowlesi
clim_down;mean;2080;2.6,38,-2900,clim_down,mean,2080,2.6,plasmodium knowlesi
clim_down;min;2030;2.6,185,-395,clim_down,min,2030,2.6,plasmodium knowlesi
clim_down;min;2030;4.5,1313,-1228,clim_down,min,2030,4.5,plasmodium knowlesi
clim_down;min;2030;8.5,920,-810,clim_down,min,2030,8.5,plasmodium knowlesi
clim_down;min;2050;2.6,80,-530,clim_down,min,2050,2.6,plasmodium knowlesi
clim_down;min;2050;4.5,62,-72,clim_down,min,2050,4.5,plasmodium knowlesi
clim_down;min;2050;6,3319,-2961,clim_down,min,2050,6,plasmodium knowlesi
clim_down;min;2070;2.6,15,-299,clim_down,min,2070,2.6,plasmodium knowlesi
clim_down;min;2070;4.5,23,-214,clim_down,min,2070,4.5,plasmodium knowlesi
clim_down;min;2070;6,17,-111,clim_down,min,2070,6,plasmodium knowlesi
clim_down;min;2080;2.6,74,-3220,clim_down,min,2080,2.6,plasmodium knowlesi
clim_up;max;2030;2.6,8319,-13762,clim_up,max,2030,2.6,plasmodium knowlesi
clim_up;max;2030;4.5,13047,-2356,clim_up,max,2030,4.5,plasmodium knowlesi
clim_up;max;2030;8.5,10049,-9718,clim_up,max,2030,8.5,plasmodium knowlesi
clim_up;max;2050;2.6,4917,-15496,clim_up,max,2050,2.6,plasmodium knowlesi
clim_up;max;2050;4.5,14205,-9873,clim_up,max,2050,4.5,plasmodium knowlesi
clim_up;max;2050;6,10093,-4223,clim_up,max,2050,6,plasmodium knowlesi
clim_up;max;2050;8.5,4891,-20280,clim_up,max,2050,8.5,plasmodium knowlesi
clim_up;max;2070;2.6,3864,-16994,clim_up,max,2070,2.6,plasmodium knowlesi
clim_up;max;2070;4.5,10413,-13862,clim_up,max,2070,4.5,plasmodium knowlesi
clim_up;max;2070;6,11980,-13201,clim_up,max,2070,6,plasmodium knowlesi
clim_up;max;2070;8.5,1764,-23649,clim_up,max,2070,8.5,plasmodium knowlesi
clim_up;max;2080;2.6,2722,-12319,clim_up,max,2080,2.6,plasmodium knowlesi
clim_up;max;2080;4.5,11275,-14547,clim_up,max,2080,4.5,plasmodium knowlesi
clim_up;max;2080;8.5,369,-25376,clim_up,max,2080,8.5,plasmodium knowlesi
