year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,2783,188,clim_down,max,2030,2.6,plasmodium ovale
clim_down;max;2030;4.5,3800,504,clim_down,max,2030,4.5,plasmodium ovale
clim_down;max;2030;6,7610,67,clim_down,max,2030,6,plasmodium ovale
clim_down;max;2030;8.5,5799,38,clim_down,max,2030,8.5,plasmodium ovale
clim_down;max;2050;2.6,3491,331,clim_down,max,2050,2.6,plasmodium ovale
clim_down;max;2050;4.5,1890,254,clim_down,max,2050,4.5,plasmodium ovale
clim_down;max;2050;6,6654,105,clim_down,max,2050,6,plasmodium ovale
clim_down;max;2050;8.5,639,-5,clim_down,max,2050,8.5,plasmodium ovale
clim_down;max;2070;2.6,1954,86,clim_down,max,2070,2.6,plasmodium ovale
clim_down;max;2070;4.5,1195,149,clim_down,max,2070,4.5,plasmodium ovale
clim_down;max;2070;6,1345,4,clim_down,max,2070,6,plasmodium ovale
clim_down;max;2070;8.5,302,-6,clim_down,max,2070,8.5,plasmodium ovale
clim_down;max;2080;2.6,7180,308,clim_down,max,2080,2.6,plasmodium ovale
clim_down;max;2080;4.5,1691,328,clim_down,max,2080,4.5,plasmodium ovale
clim_down;max;2080;6,397,6,clim_down,max,2080,6,plasmodium ovale
clim_down;max;2080;8.5,552,-9,clim_down,max,2080,8.5,plasmodium ovale
clim_down;mean;2030;2.6,2910,228,clim_down,mean,2030,2.6,plasmodium ovale
clim_down;mean;2030;4.5,4072,618,clim_down,mean,2030,4.5,plasmodium ovale
clim_down;mean;2030;6,7755,45,clim_down,mean,2030,6,plasmodium ovale
clim_down;mean;2030;8.5,5985,45,clim_down,mean,2030,8.5,plasmodium ovale
clim_down;mean;2050;2.6,3619,277,clim_down,mean,2050,2.6,plasmodium ovale
clim_down;mean;2050;4.5,1991,230,clim_down,mean,2050,4.5,plasmodium ovale
clim_down;mean;2050;6,6698,8,clim_down,mean,2050,6,plasmodium ovale
clim_down;mean;2050;8.5,686,-2,clim_down,mean,2050,8.5,plasmodium ovale
clim_down;mean;2070;2.6,2007,101,clim_down,mean,2070,2.6,plasmodium ovale
clim_down;mean;2070;4.5,1248,124,clim_down,mean,2070,4.5,plasmodium ovale
clim_down;mean;2070;6,1364,0,clim_down,mean,2070,6,plasmodium ovale
clim_down;mean;2070;8.5,329,0,clim_down,mean,2070,8.5,plasmodium ovale
clim_down;mean;2080;2.6,7350,294,clim_down,mean,2080,2.6,plasmodium ovale
clim_down;mean;2080;4.5,1795,332,clim_down,mean,2080,4.5,plasmodium ovale
clim_down;mean;2080;6,417,1,clim_down,mean,2080,6,plasmodium ovale
clim_down;mean;2080;8.5,607,0,clim_down,mean,2080,8.5,plasmodium ovale
clim_down;min;2030;2.6,2936,239,clim_down,min,2030,2.6,plasmodium ovale
clim_down;min;2030;4.5,4159,660,clim_down,min,2030,4.5,plasmodium ovale
clim_down;min;2030;6,7789,40,clim_down,min,2030,6,plasmodium ovale
clim_down;min;2030;8.5,6054,47,clim_down,min,2030,8.5,plasmodium ovale
clim_down;min;2050;2.6,3640,264,clim_down,min,2050,2.6,plasmodium ovale
clim_down;min;2050;4.5,2018,226,clim_down,min,2050,4.5,plasmodium ovale
clim_down;min;2050;6,6710,8,clim_down,min,2050,6,plasmodium ovale
clim_down;min;2050;8.5,695,-1,clim_down,min,2050,8.5,plasmodium ovale
clim_down;min;2070;2.6,2015,96,clim_down,min,2070,2.6,plasmodium ovale
clim_down;min;2070;4.5,1261,120,clim_down,min,2070,4.5,plasmodium ovale
clim_down;min;2070;6,1367,0,clim_down,min,2070,6,plasmodium ovale
clim_down;min;2070;8.5,334,0,clim_down,min,2070,8.5,plasmodium ovale
clim_down;min;2080;2.6,7375,288,clim_down,min,2080,2.6,plasmodium ovale
clim_down;min;2080;4.5,1818,333,clim_down,min,2080,4.5,plasmodium ovale
clim_down;min;2080;6,421,1,clim_down,min,2080,6,plasmodium ovale
clim_down;min;2080;8.5,616,0,clim_down,min,2080,8.5,plasmodium ovale
clim_up;max;2030;2.6,126956,2038,clim_up,max,2030,2.6,plasmodium ovale
clim_up;max;2030;4.5,153308,-298,clim_up,max,2030,4.5,plasmodium ovale
clim_up;max;2030;6,100351,1606,clim_up,max,2030,6,plasmodium ovale
clim_up;max;2030;8.5,144984,141,clim_up,max,2030,8.5,plasmodium ovale
clim_up;max;2050;2.6,119515,4621,clim_up,max,2050,2.6,plasmodium ovale
clim_up;max;2050;4.5,168523,-213,clim_up,max,2050,4.5,plasmodium ovale
clim_up;max;2050;6,184604,6876,clim_up,max,2050,6,plasmodium ovale
clim_up;max;2050;8.5,188383,-1736,clim_up,max,2050,8.5,plasmodium ovale
clim_up;max;2070;2.6,158628,5453,clim_up,max,2070,2.6,plasmodium ovale
clim_up;max;2070;4.5,197351,-2191,clim_up,max,2070,4.5,plasmodium ovale
clim_up;max;2070;6,202415,7114,clim_up,max,2070,6,plasmodium ovale
clim_up;max;2070;8.5,238282,-2350,clim_up,max,2070,8.5,plasmodium ovale
clim_up;max;2080;2.6,127871,5476,clim_up,max,2080,2.6,plasmodium ovale
clim_up;max;2080;4.5,175167,-1574,clim_up,max,2080,4.5,plasmodium ovale
clim_up;max;2080;6,222486,7174,clim_up,max,2080,6,plasmodium ovale
clim_up;max;2080;8.5,237025,-3354,clim_up,max,2080,8.5,plasmodium ovale
clim_up;mean;2030;2.6,142138,2336,clim_up,mean,2030,2.6,plasmodium ovale
clim_up;mean;2030;4.5,171468,102,clim_up,mean,2030,4.5,plasmodium ovale
clim_up;mean;2030;6,110650,1184,clim_up,mean,2030,6,plasmodium ovale
clim_up;mean;2030;8.5,159472,462,clim_up,mean,2030,8.5,plasmodium ovale
clim_up;mean;2050;2.6,131902,5106,clim_up,mean,2050,2.6,plasmodium ovale
clim_up;mean;2050;4.5,189606,578,clim_up,mean,2050,4.5,plasmodium ovale
clim_up;mean;2050;6,203463,5945,clim_up,mean,2050,6,plasmodium ovale
clim_up;mean;2050;8.5,212138,-1319,clim_up,mean,2050,8.5,plasmodium ovale
clim_up;mean;2070;2.6,173069,5694,clim_up,mean,2070,2.6,plasmodium ovale
clim_up;mean;2070;4.5,222983,-485,clim_up,mean,2070,4.5,plasmodium ovale
clim_up;mean;2070;6,225893,6850,clim_up,mean,2070,6,plasmodium ovale
clim_up;mean;2070;8.5,265999,-2133,clim_up,mean,2070,8.5,plasmodium ovale
clim_up;mean;2080;2.6,141136,5901,clim_up,mean,2080,2.6,plasmodium ovale
clim_up;mean;2080;4.5,199386,-110,clim_up,mean,2080,4.5,plasmodium ovale
clim_up;mean;2080;6,247810,7176,clim_up,mean,2080,6,plasmodium ovale
clim_up;mean;2080;8.5,264951,-2974,clim_up,mean,2080,8.5,plasmodium ovale
clim_up;min;2030;2.6,144448,2361,clim_up,min,2030,2.6,plasmodium ovale
clim_up;min;2030;4.5,175092,706,clim_up,min,2030,4.5,plasmodium ovale
clim_up;min;2030;6,111749,1090,clim_up,min,2030,6,plasmodium ovale
clim_up;min;2030;8.5,161729,718,clim_up,min,2030,8.5,plasmodium ovale
clim_up;min;2050;2.6,133251,4847,clim_up,min,2050,2.6,plasmodium ovale
clim_up;min;2050;4.5,193591,1084,clim_up,min,2050,4.5,plasmodium ovale
clim_up;min;2050;6,206699,5692,clim_up,min,2050,6,plasmodium ovale
clim_up;min;2050;8.5,217140,-108,clim_up,min,2050,8.5,plasmodium ovale
clim_up;min;2070;2.6,174946,5396,clim_up,min,2070,2.6,plasmodium ovale
clim_up;min;2070;4.5,227778,220,clim_up,min,2070,4.5,plasmodium ovale
clim_up;min;2070;6,229734,6510,clim_up,min,2070,6,plasmodium ovale
clim_up;min;2070;8.5,273086,-350,clim_up,min,2070,8.5,plasmodium ovale
clim_up;min;2080;2.6,142619,5611,clim_up,min,2080,2.6,plasmodium ovale
clim_up;min;2080;4.5,203656,649,clim_up,min,2080,4.5,plasmodium ovale
clim_up;min;2080;6,251835,6757,clim_up,min,2080,6,plasmodium ovale
clim_up;min;2080;8.5,272313,-926,clim_up,min,2080,8.5,plasmodium ovale
dummy;max;2030;2.6,263214,3865,dummy,max,2030,2.6,plasmodium ovale
dummy;max;2030;4.5,250121,-8801,dummy,max,2030,4.5,plasmodium ovale
dummy;max;2030;6,260895,3705,dummy,max,2030,6,plasmodium ovale
dummy;max;2030;8.5,257117,-1872,dummy,max,2030,8.5,plasmodium ovale
dummy;max;2050;2.6,266137,7186,dummy,max,2050,2.6,plasmodium ovale
dummy;max;2050;4.5,252432,-6667,dummy,max,2050,4.5,plasmodium ovale
dummy;max;2050;6,267814,8874,dummy,max,2050,6,plasmodium ovale
dummy;max;2050;8.5,256879,-2487,dummy,max,2050,8.5,plasmodium ovale
dummy;max;2070;2.6,266425,7326,dummy,max,2070,2.6,plasmodium ovale
dummy;max;2070;4.5,250717,-8643,dummy,max,2070,4.5,plasmodium ovale
dummy;max;2070;6,267499,8169,dummy,max,2070,6,plasmodium ovale
dummy;max;2070;8.5,256909,-2455,dummy,max,2070,8.5,plasmodium ovale
dummy;max;2080;2.6,264227,7336,dummy,max,2080,2.6,plasmodium ovale
dummy;max;2080;4.5,249608,-9741,dummy,max,2080,4.5,plasmodium ovale
dummy;max;2080;6,267061,7698,dummy,max,2080,6,plasmodium ovale
dummy;max;2080;8.5,255831,-3513,dummy,max,2080,8.5,plasmodium ovale
dummy;mean;2030;2.6,292853,3891,dummy,mean,2030,2.6,plasmodium ovale
dummy;mean;2030;4.5,284135,-4324,dummy,mean,2030,4.5,plasmodium ovale
dummy;mean;2030;6,289048,2574,dummy,mean,2030,6,plasmodium ovale
dummy;mean;2030;8.5,287280,-1298,dummy,mean,2030,8.5,plasmodium ovale
dummy;mean;2050;2.6,295857,7338,dummy,mean,2050,2.6,plasmodium ovale
dummy;mean;2050;4.5,285116,-3591,dummy,mean,2050,4.5,plasmodium ovale
dummy;mean;2050;6,295766,7305,dummy,mean,2050,6,plasmodium ovale
dummy;mean;2050;8.5,286888,-2093,dummy,mean,2050,8.5,plasmodium ovale
dummy;mean;2070;2.6,295953,7287,dummy,mean,2070,2.6,plasmodium ovale
dummy;mean;2070;4.5,284578,-4397,dummy,mean,2070,4.5,plasmodium ovale
dummy;mean;2070;6,296400,7490,dummy,mean,2070,6,plasmodium ovale
dummy;mean;2070;8.5,286633,-2346,dummy,mean,2070,8.5,plasmodium ovale
dummy;mean;2080;2.6,293485,7241,dummy,mean,2080,2.6,plasmodium ovale
dummy;mean;2080;4.5,283664,-5299,dummy,mean,2080,4.5,plasmodium ovale
dummy;mean;2080;6,296469,7492,dummy,mean,2080,6,plasmodium ovale
dummy;mean;2080;8.5,285723,-3236,dummy,mean,2080,8.5,plasmodium ovale
dummy;min;2030;2.6,298916,3768,dummy,min,2030,2.6,plasmodium ovale
dummy;min;2030;4.5,291180,-3367,dummy,min,2030,4.5,plasmodium ovale
dummy;min;2030;6,294881,2343,dummy,min,2030,6,plasmodium ovale
dummy;min;2030;8.5,294358,-353,dummy,min,2030,8.5,plasmodium ovale
dummy;min;2050;2.6,301521,6844,dummy,min,2050,2.6,plasmodium ovale
dummy;min;2050;4.5,292213,-2625,dummy,min,2050,4.5,plasmodium ovale
dummy;min;2050;6,301387,6885,dummy,min,2050,6,plasmodium ovale
dummy;min;2050;8.5,294410,-756,dummy,min,2050,8.5,plasmodium ovale
dummy;min;2070;2.6,301614,6774,dummy,min,2070,2.6,plasmodium ovale
dummy;min;2070;4.5,291823,-3319,dummy,min,2070,4.5,plasmodium ovale
dummy;min;2070;6,302031,7025,dummy,min,2070,6,plasmodium ovale
dummy;min;2070;8.5,294587,-572,dummy,min,2070,8.5,plasmodium ovale
dummy;min;2080;2.6,299023,6734,dummy,min,2080,2.6,plasmodium ovale
dummy;min;2080;4.5,290992,-4094,dummy,min,2080,4.5,plasmodium ovale
dummy;min;2080;6,302186,7026,dummy,min,2080,6,plasmodium ovale
dummy;min;2080;8.5,293928,-1217,dummy,min,2080,8.5,plasmodium ovale
lu_down;max;2030;2.6,782,0,lu_down,max,2030,2.6,plasmodium ovale
lu_down;max;2030;4.5,13892,-1642,lu_down,max,2030,4.5,plasmodium ovale
lu_down;max;2030;6,1032,0,lu_down,max,2030,6,plasmodium ovale
lu_down;max;2030;8.5,5204,0,lu_down,max,2030,8.5,plasmodium ovale
lu_down;max;2050;2.6,1778,0,lu_down,max,2050,2.6,plasmodium ovale
lu_down;max;2050;4.5,18415,-2600,lu_down,max,2050,4.5,plasmodium ovale
lu_down;max;2050;6,1661,0,lu_down,max,2050,6,plasmodium ovale
lu_down;max;2050;8.5,8402,0,lu_down,max,2050,8.5,plasmodium ovale
lu_down;max;2070;2.6,4356,0,lu_down,max,2070,2.6,plasmodium ovale
lu_down;max;2070;4.5,19922,-3715,lu_down,max,2070,4.5,plasmodium ovale
lu_down;max;2070;6,2923,0,lu_down,max,2070,6,plasmodium ovale
lu_down;max;2070;8.5,10017,0,lu_down,max,2070,8.5,plasmodium ovale
lu_down;max;2080;2.6,5240,0,lu_down,max,2080,2.6,plasmodium ovale
