year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,80322,-61359,clim_down,max,2030,2.6,prospect hill
clim_down;max;2030;4.5,123016,-104863,clim_down,max,2030,4.5,prospect hill
clim_down;max;2030;8.5,133348,-110443,clim_down,max,2030,8.5,prospect hill
clim_down;max;2050;2.6,127627,-108849,clim_down,max,2050,2.6,prospect hill
clim_down;max;2050;4.5,93881,-188013,clim_down,max,2050,4.5,prospect hill
clim_down;max;2050;6,125150,-137382,clim_down,max,2050,6,prospect hill
clim_down;max;2050;8.5,133157,-148638,clim_down,max,2050,8.5,prospect hill
clim_down;max;2070;4.5,118816,-207999,clim_down,max,2070,4.5,prospect hill
clim_down;max;2070;6,120863,-117617,clim_down,max,2070,6,prospect hill
clim_down;max;2070;8.5,25607,-412694,clim_down,max,2070,8.5,prospect hill
clim_down;max;2080;2.6,101611,-144911,clim_down,max,2080,2.6,prospect hill
clim_down;max;2080;4.5,128304,-145134,clim_down,max,2080,4.5,prospect hill
clim_down;max;2080;8.5,65246,-320938,clim_down,max,2080,8.5,prospect hill
clim_down;mean;2030;2.6,107303,-58750,clim_down,mean,2030,2.6,prospect hill
clim_down;mean;2030;4.5,169277,-87923,clim_down,mean,2030,4.5,prospect hill
clim_down;mean;2030;8.5,185338,-88813,clim_down,mean,2030,8.5,prospect hill
clim_down;mean;2050;2.6,179172,-89576,clim_down,mean,2050,2.6,prospect hill
clim_down;mean;2050;4.5,133739,-180876,clim_down,mean,2050,4.5,prospect hill
clim_down;mean;2050;6,175484,-119933,clim_down,mean,2050,6,prospect hill
clim_down;mean;2050;8.5,185786,-130367,clim_down,mean,2050,8.5,prospect hill
clim_down;mean;2070;4.5,172216,-195703,clim_down,mean,2070,4.5,prospect hill
clim_down;mean;2070;6,163594,-108267,clim_down,mean,2070,6,prospect hill
clim_down;mean;2070;8.5,48666,-460063,clim_down,mean,2070,8.5,prospect hill
clim_down;mean;2080;2.6,137586,-138964,clim_down,mean,2080,2.6,prospect hill
clim_down;mean;2080;4.5,183663,-123048,clim_down,mean,2080,4.5,prospect hill
clim_down;mean;2080;8.5,113292,-326261,clim_down,mean,2080,8.5,prospect hill
clim_down;min;2030;2.6,165298,-49072,clim_down,min,2030,2.6,prospect hill
clim_down;min;2030;4.5,247830,-73929,clim_down,min,2030,4.5,prospect hill
clim_down;min;2030;8.5,275669,-61984,clim_down,min,2030,8.5,prospect hill
clim_down;min;2050;2.6,265261,-71115,clim_down,min,2050,2.6,prospect hill
clim_down;min;2050;4.5,207828,-165532,clim_down,min,2050,4.5,prospect hill
clim_down;min;2050;6,258306,-103272,clim_down,min,2050,6,prospect hill
clim_down;min;2050;8.5,288010,-90457,clim_down,min,2050,8.5,prospect hill
clim_down;min;2070;4.5,280414,-158352,clim_down,min,2070,4.5,prospect hill
clim_down;min;2070;6,250830,-80145,clim_down,min,2070,6,prospect hill
clim_down;min;2070;8.5,151267,-478943,clim_down,min,2070,8.5,prospect hill
clim_down;min;2080;2.6,215061,-118907,clim_down,min,2080,2.6,prospect hill
clim_down;min;2080;4.5,277702,-95785,clim_down,min,2080,4.5,prospect hill
clim_down;min;2080;8.5,244471,-294842,clim_down,min,2080,8.5,prospect hill
clim_up;max;2030;2.6,26286,2612,clim_up,max,2030,2.6,prospect hill
clim_up;max;2030;4.5,4075,675,clim_up,max,2030,4.5,prospect hill
clim_up;max;2030;8.5,3296,523,clim_up,max,2030,8.5,prospect hill
clim_up;max;2050;2.6,2942,301,clim_up,max,2050,2.6,prospect hill
clim_up;max;2050;4.5,14357,476,clim_up,max,2050,4.5,prospect hill
clim_up;max;2050;6,8525,816,clim_up,max,2050,6,prospect hill
clim_up;max;2050;8.5,6186,523,clim_up,max,2050,8.5,prospect hill
clim_up;max;2070;4.5,3179,327,clim_up,max,2070,4.5,prospect hill
clim_up;max;2070;6,10937,702,clim_up,max,2070,6,prospect hill
clim_up;max;2080;2.6,27524,2426,clim_up,max,2080,2.6,prospect hill
clim_up;max;2080;4.5,5544,-42,clim_up,max,2080,4.5,prospect hill
clim_up;max;2080;8.5,1328,129,clim_up,max,2080,8.5,prospect hill
clim_up;mean;2030;2.6,32627,1951,clim_up,mean,2030,2.6,prospect hill
clim_up;mean;2030;4.5,4908,199,clim_up,mean,2030,4.5,prospect hill
clim_up;mean;2030;8.5,4916,178,clim_up,mean,2030,8.5,prospect hill
clim_up;mean;2050;2.6,3958,106,clim_up,mean,2050,2.6,prospect hill
clim_up;mean;2050;4.5,19009,273,clim_up,mean,2050,4.5,prospect hill
clim_up;mean;2050;6,11418,342,clim_up,mean,2050,6,prospect hill
clim_up;mean;2050;8.5,11171,1103,clim_up,mean,2050,8.5,prospect hill
clim_up;mean;2070;4.5,4957,300,clim_up,mean,2070,4.5,prospect hill
clim_up;mean;2070;6,15226,1423,clim_up,mean,2070,6,prospect hill
clim_up;mean;2080;2.6,37824,461,clim_up,mean,2080,2.6,prospect hill
clim_up;mean;2080;4.5,7305,476,clim_up,mean,2080,4.5,prospect hill
clim_up;mean;2080;8.5,1610,3,clim_up,mean,2080,8.5,prospect hill
clim_up;min;2030;2.6,42253,589,clim_up,min,2030,2.6,prospect hill
clim_up;min;2030;4.5,8506,100,clim_up,min,2030,4.5,prospect hill
clim_up;min;2030;8.5,8708,122,clim_up,min,2030,8.5,prospect hill
