year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,42003,-94285,clim_down,max,2030,2.6,puumala
clim_down;max;2030;4.5,70219,-60781,clim_down,max,2030,4.5,puumala
clim_down;max;2030;8.5,65496,-55744,clim_down,max,2030,8.5,puumala
clim_down;max;2050;2.6,57503,-34318,clim_down,max,2050,2.6,puumala
clim_down;max;2050;4.5,44824,-68973,clim_down,max,2050,4.5,puumala
clim_down;max;2050;6,67632,-77286,clim_down,max,2050,6,puumala
clim_down;max;2050;8.5,39704,-107764,clim_down,max,2050,8.5,puumala
clim_down;max;2070;2.6,36947,-121993,clim_down,max,2070,2.6,puumala
clim_down;max;2070;4.5,35438,-127204,clim_down,max,2070,4.5,puumala
clim_down;max;2070;6,50036,-69327,clim_down,max,2070,6,puumala
clim_down;max;2070;8.5,49543,-117864,clim_down,max,2070,8.5,puumala
clim_down;max;2080;2.6,56406,-78730,clim_down,max,2080,2.6,puumala
clim_down;max;2080;4.5,69954,-91552,clim_down,max,2080,4.5,puumala
clim_down;max;2080;6,81035,-33893,clim_down,max,2080,6,puumala
clim_down;max;2080;8.5,15345,-148405,clim_down,max,2080,8.5,puumala
clim_down;mean;2030;2.6,69849,-127152,clim_down,mean,2030,2.6,puumala
clim_down;mean;2030;4.5,107537,-78113,clim_down,mean,2030,4.5,puumala
clim_down;mean;2030;8.5,91489,-70239,clim_down,mean,2030,8.5,puumala
clim_down;mean;2050;2.6,78268,-46478,clim_down,mean,2050,2.6,puumala
clim_down;mean;2050;4.5,76317,-77456,clim_down,mean,2050,4.5,puumala
clim_down;mean;2050;6,101667,-94983,clim_down,mean,2050,6,puumala
clim_down;mean;2050;8.5,69233,-128249,clim_down,mean,2050,8.5,puumala
clim_down;mean;2070;2.6,69978,-149628,clim_down,mean,2070,2.6,puumala
clim_down;mean;2070;4.5,62837,-160485,clim_down,mean,2070,4.5,puumala
clim_down;mean;2070;6,70774,-93542,clim_down,mean,2070,6,puumala
clim_down;mean;2070;8.5,90642,-134509,clim_down,mean,2070,8.5,puumala
clim_down;mean;2080;2.6,95278,-87889,clim_down,mean,2080,2.6,puumala
clim_down;mean;2080;4.5,103401,-111073,clim_down,mean,2080,4.5,puumala
clim_down;mean;2080;6,104037,-43481,clim_down,mean,2080,6,puumala
clim_down;mean;2080;8.5,24582,-205376,clim_down,mean,2080,8.5,puumala
clim_down;min;2030;2.6,205868,-105457,clim_down,min,2030,2.6,puumala
clim_down;min;2030;4.5,234434,-68384,clim_down,min,2030,4.5,puumala
clim_down;min;2030;8.5,176744,-54703,clim_down,min,2030,8.5,puumala
clim_down;min;2050;2.6,153803,-34442,clim_down,min,2050,2.6,puumala
clim_down;min;2050;4.5,169091,-62873,clim_down,min,2050,4.5,puumala
clim_down;min;2050;6,236224,-44811,clim_down,min,2050,6,puumala
clim_down;min;2050;8.5,174784,-121500,clim_down,min,2050,8.5,puumala
