year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP
clim_down;max;2030;2.6,31,-205,clim_down,max,2030,2.6
clim_down;max;2030;4.5,9,-98,clim_down,max,2030,4.5
clim_down;max;2050;2.6,185,-142,clim_down,max,2050,2.6
clim_down;max;2050;4.5,18,-345,clim_down,max,2050,4.5
clim_down;max;2050;6,16,-152,clim_down,max,2050,6
clim_down;max;2070;2.6,29,-766,clim_down,max,2070,2.6
clim_down;max;2070;4.5,415,0,clim_down,max,2070,4.5
clim_down;max;2070;6,9,-360,clim_down,max,2070,6
clim_down;max;2080;2.6,1038,0,clim_down,max,2080,2.6
clim_down;max;2080;4.5,20,-466,clim_down,max,2080,4.5
clim_down;max;2080;6,16,-668,clim_down,max,2080,6
clim_down;mean;2030;2.6,7696,-1545,clim_down,mean,2030,2.6
clim_down;mean;2030;4.5,19057,-7031,clim_down,mean,2030,4.5
clim_down;mean;2030;6,14876,-4439,clim_down,mean,2030,6
clim_down;mean;2030;8.5,16736,-3122,clim_down,mean,2030,8.5
clim_down;mean;2050;2.6,31541,-3893,clim_down,mean,2050,2.6
clim_down;mean;2050;4.5,22448,-4581,clim_down,mean,2050,4.5
clim_down;mean;2050;6,22542,-2676,clim_down,mean,2050,6
clim_down;mean;2050;8.5,15422,-1894,clim_down,mean,2050,8.5
clim_down;mean;2070;2.6,19590,-716,clim_down,mean,2070,2.6
clim_down;mean;2070;4.5,9394,-818,clim_down,mean,2070,4.5
clim_down;mean;2070;6,33916,-6320,clim_down,mean,2070,6
clim_down;mean;2070;8.5,13075,-1655,clim_down,mean,2070,8.5
clim_down;mean;2080;2.6,40811,-3202,clim_down,mean,2080,2.6
clim_down;mean;2080;4.5,19483,-1992,clim_down,mean,2080,4.5
clim_down;mean;2080;6,26828,-4031,clim_down,mean,2080,6
clim_down;mean;2080;8.5,33190,-3692,clim_down,mean,2080,8.5
clim_down;min;2030;2.6,174095,-355,clim_down,min,2030,2.6
clim_down;min;2030;4.5,399161,-601,clim_down,min,2030,4.5
clim_down;min;2030;6,236913,-84,clim_down,min,2030,6
clim_down;min;2030;8.5,299826,-258,clim_down,min,2030,8.5
clim_down;min;2050;2.6,340023,-4650,clim_down,min,2050,2.6
clim_down;min;2050;4.5,485384,-961,clim_down,min,2050,4.5
clim_down;min;2050;6,340059,-368,clim_down,min,2050,6
clim_down;min;2050;8.5,415842,-1012,clim_down,min,2050,8.5
clim_down;min;2070;2.6,312272,-302,clim_down,min,2070,2.6
clim_down;min;2070;4.5,365541,-7907,clim_down,min,2070,4.5
clim_down;min;2070;6,499999,-922,clim_down,min,2070,6
clim_down;min;2070;8.5,539333,-1933,clim_down,min,2070,8.5
clim_down;min;2080;2.6,322985,-3418,clim_down,min,2080,2.6
clim_down;min;2080;4.5,411652,-886,clim_down,min,2080,4.5
clim_down;min;2080;6,532411,-1971,clim_down,min,2080,6
clim_down;min;2080;8.5,481417,-1987,clim_down,min,2080,8.5
clim_up;max;2030;2.6,49,21,clim_up,max,2030,2.6
clim_up;max;2030;4.5,46,22,clim_up,max,2030,4.5
clim_up;max;2030;6,53,24,clim_up,max,2030,6
clim_up;max;2030;8.5,39,22,clim_up,max,2030,8.5
clim_up;max;2050;2.6,1053,0,clim_up,max,2050,2.6
clim_up;max;2050;4.5,37,18,clim_up,max,2050,4.5
clim_up;max;2050;6,33,15,clim_up,max,2050,6
clim_up;max;2050;8.5,48,24,clim_up,max,2050,8.5
clim_up;max;2070;2.6,38,15,clim_up,max,2070,2.6
clim_up;max;2070;4.5,927,0,clim_up,max,2070,4.5
clim_up;max;2070;6,38,16,clim_up,max,2070,6
clim_up;max;2070;8.5,47,21,clim_up,max,2070,8.5
clim_up;max;2080;2.6,511,0,clim_up,max,2080,2.6
clim_up;max;2080;4.5,44,23,clim_up,max,2080,4.5
clim_up;max;2080;6,27,15,clim_up,max,2080,6
clim_up;max;2080;8.5,19,16,clim_up,max,2080,8.5
clim_up;mean;2030;2.6,40287,1210,clim_up,mean,2030,2.6
clim_up;mean;2030;4.5,29053,425,clim_up,mean,2030,4.5
clim_up;mean;2030;6,50030,1511,clim_up,mean,2030,6
