year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP
clim_down;max;2030;2.6,173,-1290,clim_down,max,2030,2.6
clim_down;max;2030;4.5,307,-1492,clim_down,max,2030,4.5
clim_down;max;2030;6,204,-1589,clim_down,max,2030,6
clim_down;max;2030;8.5,310,-1886,clim_down,max,2030,8.5
clim_down;max;2050;2.6,135,-1613,clim_down,max,2050,2.6
clim_down;max;2050;4.5,324,-2186,clim_down,max,2050,4.5
clim_down;max;2050;6,321,-2636,clim_down,max,2050,6
clim_down;max;2050;8.5,226,-2962,clim_down,max,2050,8.5
clim_down;max;2070;2.6,292,-2555,clim_down,max,2070,2.6
clim_down;max;2070;4.5,313,-2484,clim_down,max,2070,4.5
clim_down;max;2070;6,214,-3436,clim_down,max,2070,6
clim_down;max;2070;8.5,92,-4460,clim_down,max,2070,8.5
clim_down;max;2080;2.6,208,-2006,clim_down,max,2080,2.6
clim_down;max;2080;4.5,303,-3270,clim_down,max,2080,4.5
clim_down;max;2080;6,337,-3061,clim_down,max,2080,6
clim_down;max;2080;8.5,62,-4452,clim_down,max,2080,8.5
clim_down;mean;2030;2.6,36843,-22284,clim_down,mean,2030,2.6
clim_down;mean;2030;4.5,38141,-35647,clim_down,mean,2030,4.5
clim_down;mean;2030;6,25842,-51950,clim_down,mean,2030,6
clim_down;mean;2030;8.5,36408,-39928,clim_down,mean,2030,8.5
clim_down;mean;2050;2.6,35304,-37553,clim_down,mean,2050,2.6
clim_down;mean;2050;4.5,38004,-38264,clim_down,mean,2050,4.5
clim_down;mean;2050;6,27565,-60365,clim_down,mean,2050,6
clim_down;mean;2050;8.5,36142,-55607,clim_down,mean,2050,8.5
clim_down;mean;2070;2.6,25551,-29325,clim_down,mean,2070,2.6
clim_down;mean;2070;4.5,37360,-51842,clim_down,mean,2070,4.5
clim_down;mean;2070;6,28580,-57040,clim_down,mean,2070,6
clim_down;mean;2070;8.5,25671,-86103,clim_down,mean,2070,8.5
clim_down;mean;2080;2.6,33461,-51249,clim_down,mean,2080,2.6
clim_down;mean;2080;4.5,18105,-38246,clim_down,mean,2080,4.5
clim_down;mean;2080;6,19519,-37192,clim_down,mean,2080,6
clim_down;mean;2080;8.5,26541,-80771,clim_down,mean,2080,8.5
clim_down;min;2030;2.6,189270,-1326,clim_down,min,2030,2.6
clim_down;min;2030;4.5,218143,-1505,clim_down,min,2030,4.5
clim_down;min;2030;6,205511,-1683,clim_down,min,2030,6
clim_down;min;2030;8.5,229453,-1596,clim_down,min,2030,8.5
clim_down;min;2050;2.6,194883,-1474,clim_down,min,2050,2.6
clim_down;min;2050;4.5,213031,-1595,clim_down,min,2050,4.5
clim_down;min;2050;6,225410,-1639,clim_down,min,2050,6
clim_down;min;2050;8.5,249420,-1458,clim_down,min,2050,8.5
clim_down;min;2070;2.6,246871,-9911,clim_down,min,2070,2.6
clim_down;min;2070;4.5,246298,-1650,clim_down,min,2070,4.5
clim_down;min;2070;6,223408,-1928,clim_down,min,2070,6
clim_down;min;2070;8.5,274790,-1660,clim_down,min,2070,8.5
clim_down;min;2080;2.6,235070,-1664,clim_down,min,2080,2.6
clim_down;min;2080;4.5,264445,-10360,clim_down,min,2080,4.5
clim_down;min;2080;6,274481,-15389,clim_down,min,2080,6
clim_down;min;2080;8.5,264204,-1601,clim_down,min,2080,8.5
clim_up;max;2030;2.6,239,5,clim_up,max,2030,2.6
clim_up;max;2030;4.5,224,6,clim_up,max,2030,4.5
clim_up;max;2030;6,208,0,clim_up,max,2030,6
clim_up;max;2030;8.5,119,1,clim_up,max,2030,8.5
clim_up;max;2050;2.6,260,4,clim_up,max,2050,2.6
clim_up;max;2050;4.5,195,3,clim_up,max,2050,4.5
clim_up;max;2050;6,100,1,clim_up,max,2050,6
clim_up;max;2050;8.5,121,-1,clim_up,max,2050,8.5
clim_up;max;2070;2.6,32,0,clim_up,max,2070,2.6
clim_up;max;2070;4.5,171,4,clim_up,max,2070,4.5
clim_up;max;2070;6,117,3,clim_up,max,2070,6
clim_up;max;2070;8.5,5,0,clim_up,max,2070,8.5
clim_up;max;2080;2.6,192,2,clim_up,max,2080,2.6
clim_up;max;2080;4.5,45,-2,clim_up,max,2080,4.5
clim_up;max;2080;6,40,0,clim_up,max,2080,6
clim_up;max;2080;8.5,35,1,clim_up,max,2080,8.5
clim_up;mean;2030;2.6,3112,227,clim_up,mean,2030,2.6
clim_up;mean;2030;4.5,3813,654,clim_up,mean,2030,4.5
clim_up;mean;2030;6,3597,372,clim_up,mean,2030,6
clim_up;mean;2030;8.5,4118,605,clim_up,mean,2030,8.5
clim_up;mean;2050;2.6,4669,572,clim_up,mean,2050,2.6
clim_up;mean;2050;4.5,4994,932,clim_up,mean,2050,4.5
clim_up;mean;2050;6,3192,187,clim_up,mean,2050,6
clim_up;mean;2050;8.5,3207,672,clim_up,mean,2050,8.5
clim_up;mean;2070;2.6,6676,996,clim_up,mean,2070,2.6
clim_up;mean;2070;4.5,3342,520,clim_up,mean,2070,4.5
clim_up;mean;2070;6,4092,671,clim_up,mean,2070,6
clim_up;mean;2070;8.5,1812,338,clim_up,mean,2070,8.5
clim_up;mean;2080;2.6,3309,375,clim_up,mean,2080,2.6
clim_up;mean;2080;4.5,15927,1152,clim_up,mean,2080,4.5
clim_up;mean;2080;6,9782,1134,clim_up,mean,2080,6
clim_up;mean;2080;8.5,1494,340,clim_up,mean,2080,8.5
clim_up;min;2030;2.6,6581,2,clim_up,min,2030,2.6
clim_up;min;2030;4.5,6431,0,clim_up,min,2030,4.5
clim_up;min;2030;6,7348,1,clim_up,min,2030,6
clim_up;min;2030;8.5,6351,1,clim_up,min,2030,8.5
clim_up;min;2050;2.6,8217,0,clim_up,min,2050,2.6
clim_up;min;2050;4.5,9657,0,clim_up,min,2050,4.5
clim_up;min;2050;6,5149,0,clim_up,min,2050,6
clim_up;min;2050;8.5,3839,0,clim_up,min,2050,8.5
clim_up;min;2070;2.6,13116,0,clim_up,min,2070,2.6
clim_up;min;2070;4.5,3974,0,clim_up,min,2070,4.5
clim_up;min;2070;6,6625,0,clim_up,min,2070,6
clim_up;min;2070;8.5,6933,1,clim_up,min,2070,8.5
clim_up;min;2080;2.6,5260,1,clim_up,min,2080,2.6
clim_up;min;2080;4.5,22092,0,clim_up,min,2080,4.5
clim_up;min;2080;6,10880,0,clim_up,min,2080,6
clim_up;min;2080;8.5,2247,0,clim_up,min,2080,8.5
dummy;max;2030;2.6,3086,-1775,dummy,max,2030,2.6
dummy;max;2030;4.5,3074,-1787,dummy,max,2030,4.5
