year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,2028,-1523,clim_down,max,2030,2.6,rickettsia japonica
clim_down;max;2030;4.5,1743,-730,clim_down,max,2030,4.5,rickettsia japonica
clim_down;max;2030;6,2394,-1170,clim_down,max,2030,6,rickettsia japonica
clim_down;max;2030;8.5,1904,-877,clim_down,max,2030,8.5,rickettsia japonica
clim_down;max;2050;2.6,1952,-779,clim_down,max,2050,2.6,rickettsia japonica
clim_down;max;2050;4.5,1674,-497,clim_down,max,2050,4.5,rickettsia japonica
clim_down;max;2050;6,2141,-1070,clim_down,max,2050,6,rickettsia japonica
clim_down;max;2050;8.5,1785,-521,clim_down,max,2050,8.5,rickettsia japonica
clim_down;max;2070;2.6,1980,-830,clim_down,max,2070,2.6,rickettsia japonica
clim_down;max;2070;4.5,2263,-687,clim_down,max,2070,4.5,rickettsia japonica
clim_down;max;2070;6,2423,-1261,clim_down,max,2070,6,rickettsia japonica
clim_down;max;2070;8.5,2771,-2076,clim_down,max,2070,8.5,rickettsia japonica
clim_down;max;2080;2.6,1566,-437,clim_down,max,2080,2.6,rickettsia japonica
clim_down;max;2080;4.5,2427,-940,clim_down,max,2080,4.5,rickettsia japonica
clim_down;max;2080;6,2496,-1058,clim_down,max,2080,6,rickettsia japonica
clim_down;max;2080;8.5,2768,-999,clim_down,max,2080,8.5,rickettsia japonica
clim_down;mean;2030;2.6,3434,-240,clim_down,mean,2030,2.6,rickettsia japonica
clim_down;mean;2030;4.5,2509,-66,clim_down,mean,2030,4.5,rickettsia japonica
clim_down;mean;2030;6,3594,-72,clim_down,mean,2030,6,rickettsia japonica
clim_down;mean;2030;8.5,2833,-31,clim_down,mean,2030,8.5,rickettsia japonica
clim_down;mean;2050;2.6,2779,-33,clim_down,mean,2050,2.6,rickettsia japonica
clim_down;mean;2050;4.5,2169,-97,clim_down,mean,2050,4.5,rickettsia japonica
clim_down;mean;2050;6,3231,-108,clim_down,mean,2050,6,rickettsia japonica
clim_down;mean;2050;8.5,2323,-79,clim_down,mean,2050,8.5,rickettsia japonica
clim_down;mean;2070;2.6,2847,-76,clim_down,mean,2070,2.6,rickettsia japonica
clim_down;mean;2070;4.5,2979,-70,clim_down,mean,2070,4.5,rickettsia japonica
clim_down;mean;2070;6,3724,-63,clim_down,mean,2070,6,rickettsia japonica
clim_down;mean;2070;8.5,4724,-395,clim_down,mean,2070,8.5,rickettsia japonica
clim_down;mean;2080;2.6,2049,-38,clim_down,mean,2080,2.6,rickettsia japonica
clim_down;mean;2080;4.5,3397,-63,clim_down,mean,2080,4.5,rickettsia japonica
clim_down;mean;2080;6,3610,-21,clim_down,mean,2080,6,rickettsia japonica
clim_down;mean;2080;8.5,3777,-96,clim_down,mean,2080,8.5,rickettsia japonica
clim_down;min;2030;2.6,3787,-156,clim_down,min,2030,2.6,rickettsia japonica
clim_down;min;2030;4.5,2647,-1,clim_down,min,2030,4.5,rickettsia japonica
clim_down;min;2030;6,3831,-38,clim_down,min,2030,6,rickettsia japonica
clim_down;min;2030;8.5,2937,-2,clim_down,min,2030,8.5,rickettsia japonica
clim_down;min;2050;2.6,2835,-8,clim_down,min,2050,2.6,rickettsia japonica
clim_down;min;2050;4.5,2319,-29,clim_down,min,2050,4.5,rickettsia japonica
clim_down;min;2050;6,3529,-33,clim_down,min,2050,6,rickettsia japonica
clim_down;min;2050;8.5,2447,-28,clim_down,min,2050,8.5,rickettsia japonica
clim_down;min;2070;2.6,3063,-35,clim_down,min,2070,2.6,rickettsia japonica
clim_down;min;2070;4.5,3169,-17,clim_down,min,2070,4.5,rickettsia japonica
clim_down;min;2070;6,3836,-3,clim_down,min,2070,6,rickettsia japonica
clim_down;min;2070;8.5,5245,-141,clim_down,min,2070,8.5,rickettsia japonica
clim_down;min;2080;2.6,2165,-4,clim_down,min,2080,2.6,rickettsia japonica
clim_down;min;2080;4.5,3512,-8,clim_down,min,2080,4.5,rickettsia japonica
clim_down;min;2080;6,3714,0,clim_down,min,2080,6,rickettsia japonica
clim_down;min;2080;8.5,4052,-13,clim_down,min,2080,8.5,rickettsia japonica
clim_up;max;2030;2.6,1166,19,clim_up,max,2030,2.6,rickettsia japonica
clim_up;max;2030;4.5,1588,6,clim_up,max,2030,4.5,rickettsia japonica
clim_up;max;2030;6,938,6,clim_up,max,2030,6,rickettsia japonica
clim_up;max;2030;8.5,1682,12,clim_up,max,2030,8.5,rickettsia japonica
clim_up;max;2050;2.6,2517,24,clim_up,max,2050,2.6,rickettsia japonica
clim_up;max;2050;4.5,2701,60,clim_up,max,2050,4.5,rickettsia japonica
clim_up;max;2050;6,1554,4,clim_up,max,2050,6,rickettsia japonica
clim_up;max;2050;8.5,3486,46,clim_up,max,2050,8.5,rickettsia japonica
clim_up;max;2070;2.6,2578,8,clim_up,max,2070,2.6,rickettsia japonica
clim_up;max;2070;4.5,2461,20,clim_up,max,2070,4.5,rickettsia japonica
clim_up;max;2070;6,1958,3,clim_up,max,2070,6,rickettsia japonica
clim_up;max;2070;8.5,1633,2,clim_up,max,2070,8.5,rickettsia japonica
clim_up;max;2080;2.6,2122,31,clim_up,max,2080,2.6,rickettsia japonica
clim_up;max;2080;4.5,2510,8,clim_up,max,2080,4.5,rickettsia japonica
clim_up;max;2080;6,2262,40,clim_up,max,2080,6,rickettsia japonica
clim_up;max;2080;8.5,2099,8,clim_up,max,2080,8.5,rickettsia japonica
clim_up;mean;2030;2.6,1419,0,clim_up,mean,2030,2.6,rickettsia japonica
clim_up;mean;2030;4.5,1701,20,clim_up,mean,2030,4.5,rickettsia japonica
clim_up;mean;2030;6,1036,17,clim_up,mean,2030,6,rickettsia japonica
clim_up;mean;2030;8.5,1933,27,clim_up,mean,2030,8.5,rickettsia japonica
clim_up;mean;2050;2.6,2779,28,clim_up,mean,2050,2.6,rickettsia japonica
clim_up;mean;2050;4.5,3042,12,clim_up,mean,2050,4.5,rickettsia japonica
clim_up;mean;2050;6,1662,21,clim_up,mean,2050,6,rickettsia japonica
