year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,237745,-13639,clim_down,max,2030,2.6,rift valley
clim_down;max;2030;4.5,191190,-9447,clim_down,max,2030,4.5,rift valley
clim_down;max;2030;6,260366,-41477,clim_down,max,2030,6,rift valley
clim_down;max;2030;8.5,301258,-39525,clim_down,max,2030,8.5,rift valley
clim_down;max;2050;2.6,277087,-33038,clim_down,max,2050,2.6,rift valley
clim_down;max;2050;4.5,310322,-47779,clim_down,max,2050,4.5,rift valley
clim_down;max;2050;6,292200,-28838,clim_down,max,2050,6,rift valley
clim_down;max;2050;8.5,354984,-47947,clim_down,max,2050,8.5,rift valley
clim_down;max;2070;2.6,312721,-49664,clim_down,max,2070,2.6,rift valley
clim_down;max;2070;4.5,329591,-43539,clim_down,max,2070,4.5,rift valley
clim_down;max;2070;6,356681,-87060,clim_down,max,2070,6,rift valley
clim_down;max;2070;8.5,439881,-116721,clim_down,max,2070,8.5,rift valley
clim_down;max;2080;2.6,284087,-47131,clim_down,max,2080,2.6,rift valley
clim_down;max;2080;4.5,378497,-83851,clim_down,max,2080,4.5,rift valley
clim_down;max;2080;6,250311,-40121,clim_down,max,2080,6,rift valley
clim_down;max;2080;8.5,427654,-144618,clim_down,max,2080,8.5,rift valley
clim_down;mean;2030;2.6,250591,-13710,clim_down,mean,2030,2.6,rift valley
clim_down;mean;2030;4.5,200836,-11803,clim_down,mean,2030,4.5,rift valley
clim_down;mean;2030;6,284812,-39036,clim_down,mean,2030,6,rift valley
clim_down;mean;2030;8.5,326898,-27694,clim_down,mean,2030,8.5,rift valley
clim_down;mean;2050;2.6,300894,-23430,clim_down,mean,2050,2.6,rift valley
clim_down;mean;2050;4.5,343760,-28399,clim_down,mean,2050,4.5,rift valley
clim_down;mean;2050;6,313061,-26570,clim_down,mean,2050,6,rift valley
clim_down;mean;2050;8.5,390949,-32501,clim_down,mean,2050,8.5,rift valley
clim_down;mean;2070;2.6,345590,-34153,clim_down,mean,2070,2.6,rift valley
clim_down;mean;2070;4.5,358405,-32675,clim_down,mean,2070,4.5,rift valley
clim_down;mean;2070;6,406251,-58715,clim_down,mean,2070,6,rift valley
clim_down;mean;2070;8.5,502856,-79442,clim_down,mean,2070,8.5,rift valley
clim_down;mean;2080;2.6,311498,-46187,clim_down,mean,2080,2.6,rift valley
clim_down;mean;2080;4.5,425811,-64409,clim_down,mean,2080,4.5,rift valley
clim_down;mean;2080;6,274879,-29615,clim_down,mean,2080,6,rift valley
clim_down;mean;2080;8.5,503385,-94803,clim_down,mean,2080,8.5,rift valley
clim_down;min;2030;2.6,264332,-4337,clim_down,min,2030,2.6,rift valley
clim_down;min;2030;4.5,212144,-5087,clim_down,min,2030,4.5,rift valley
clim_down;min;2030;6,315365,-20835,clim_down,min,2030,6,rift valley
clim_down;min;2030;8.5,346948,-15885,clim_down,min,2030,8.5,rift valley
clim_down;min;2050;2.6,324223,-4701,clim_down,min,2050,2.6,rift valley
clim_down;min;2050;4.5,369913,-9013,clim_down,min,2050,4.5,rift valley
clim_down;min;2050;6,336265,-13725,clim_down,min,2050,6,rift valley
clim_down;min;2050;8.5,419961,-14101,clim_down,min,2050,8.5,rift valley
clim_down;min;2070;2.6,373641,-15830,clim_down,min,2070,2.6,rift valley
clim_down;min;2070;4.5,384876,-15896,clim_down,min,2070,4.5,rift valley
clim_down;min;2070;6,444563,-37760,clim_down,min,2070,6,rift valley
clim_down;min;2070;8.5,553539,-48472,clim_down,min,2070,8.5,rift valley
clim_down;min;2080;2.6,345831,-27562,clim_down,min,2080,2.6,rift valley
clim_down;min;2080;4.5,470656,-42040,clim_down,min,2080,4.5,rift valley
clim_down;min;2080;6,294550,-17335,clim_down,min,2080,6,rift valley
clim_down;min;2080;8.5,564761,-54318,clim_down,min,2080,8.5,rift valley
clim_up;max;2030;2.6,61842,4524,clim_up,max,2030,2.6,rift valley
clim_up;max;2030;4.5,56273,3077,clim_up,max,2030,4.5,rift valley
clim_up;max;2030;6,61128,3403,clim_up,max,2030,6,rift valley
clim_up;max;2030;8.5,64237,1761,clim_up,max,2030,8.5,rift valley
clim_up;max;2050;2.6,57731,3069,clim_up,max,2050,2.6,rift valley
clim_up;max;2050;4.5,74774,6459,clim_up,max,2050,4.5,rift valley
clim_up;max;2050;6,35285,1798,clim_up,max,2050,6,rift valley
clim_up;max;2050;8.5,45409,2397,clim_up,max,2050,8.5,rift valley
clim_up;max;2070;2.6,58693,3062,clim_up,max,2070,2.6,rift valley
clim_up;max;2070;4.5,58695,5487,clim_up,max,2070,4.5,rift valley
clim_up;max;2070;6,37806,1072,clim_up,max,2070,6,rift valley
clim_up;max;2070;8.5,37352,4789,clim_up,max,2070,8.5,rift valley
clim_up;max;2080;2.6,51388,2951,clim_up,max,2080,2.6,rift valley
clim_up;max;2080;4.5,49858,5318,clim_up,max,2080,4.5,rift valley
clim_up;max;2080;6,102170,3346,clim_up,max,2080,6,rift valley
clim_up;max;2080;8.5,42286,3864,clim_up,max,2080,8.5,rift valley
