year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;4.5,9099,-4943,clim_down,max,2030,4.5,rio mamore
clim_down;max;2030;6,9155,-5360,clim_down,max,2030,6,rio mamore
clim_down;max;2030;8.5,7920,-4855,clim_down,max,2030,8.5,rio mamore
clim_down;max;2050;2.6,14881,-7766,clim_down,max,2050,2.6,rio mamore
clim_down;max;2050;4.5,9022,-5171,clim_down,max,2050,4.5,rio mamore
clim_down;max;2050;6,10890,-4544,clim_down,max,2050,6,rio mamore
clim_down;max;2050;8.5,18682,-9146,clim_down,max,2050,8.5,rio mamore
clim_down;max;2070;2.6,12103,-5231,clim_down,max,2070,2.6,rio mamore
clim_down;max;2070;8.5,15211,-25197,clim_down,max,2070,8.5,rio mamore
clim_down;max;2080;2.6,18155,-9133,clim_down,max,2080,2.6,rio mamore
clim_down;max;2080;4.5,14904,-5891,clim_down,max,2080,4.5,rio mamore
clim_down;max;2080;6,9315,-8533,clim_down,max,2080,6,rio mamore
clim_down;max;2080;8.5,14050,-15473,clim_down,max,2080,8.5,rio mamore
clim_down;mean;2030;4.5,12678,-7906,clim_down,mean,2030,4.5,rio mamore
clim_down;mean;2030;6,13859,-4590,clim_down,mean,2030,6,rio mamore
clim_down;mean;2030;8.5,11486,-5948,clim_down,mean,2030,8.5,rio mamore
clim_down;mean;2050;2.6,18975,-11343,clim_down,mean,2050,2.6,rio mamore
clim_down;mean;2050;4.5,11916,-9016,clim_down,mean,2050,4.5,rio mamore
clim_down;mean;2050;6,14214,-5445,clim_down,mean,2050,6,rio mamore
clim_down;mean;2050;8.5,27382,-10509,clim_down,mean,2050,8.5,rio mamore
clim_down;mean;2070;2.6,14926,-8993,clim_down,mean,2070,2.6,rio mamore
clim_down;mean;2070;8.5,27079,-27350,clim_down,mean,2070,8.5,rio mamore
clim_down;mean;2080;2.6,23840,-9860,clim_down,mean,2080,2.6,rio mamore
clim_down;mean;2080;4.5,20012,-6828,clim_down,mean,2080,4.5,rio mamore
clim_down;mean;2080;6,13294,-9738,clim_down,mean,2080,6,rio mamore
clim_down;mean;2080;8.5,23365,-17031,clim_down,mean,2080,8.5,rio mamore
clim_down;min;2030;4.5,32301,-4594,clim_down,min,2030,4.5,rio mamore
clim_down;min;2030;6,26593,-5039,clim_down,min,2030,6,rio mamore
clim_down;min;2030;8.5,26795,-4551,clim_down,min,2030,8.5,rio mamore
clim_down;min;2050;2.6,41043,-5557,clim_down,min,2050,2.6,rio mamore
clim_down;min;2050;4.5,35171,-5731,clim_down,min,2050,4.5,rio mamore
clim_down;min;2050;6,26091,-5220,clim_down,min,2050,6,rio mamore
clim_down;min;2050;8.5,54403,-7551,clim_down,min,2050,8.5,rio mamore
clim_down;min;2070;2.6,35448,-5972,clim_down,min,2070,2.6,rio mamore
clim_down;min;2070;8.5,75172,-18785,clim_down,min,2070,8.5,rio mamore
clim_down;min;2080;2.6,47619,-6124,clim_down,min,2080,2.6,rio mamore
clim_down;min;2080;4.5,39356,-4406,clim_down,min,2080,4.5,rio mamore
clim_down;min;2080;6,38189,-8981,clim_down,min,2080,6,rio mamore
clim_down;min;2080;8.5,60271,-11793,clim_down,min,2080,8.5,rio mamore
clim_up;max;2030;4.5,51761,4351,clim_up,max,2030,4.5,rio mamore
clim_up;max;2030;6,49798,4340,clim_up,max,2030,6,rio mamore
clim_up;max;2030;8.5,51906,4110,clim_up,max,2030,8.5,rio mamore
clim_up;max;2050;2.6,41602,3957,clim_up,max,2050,2.6,rio mamore
clim_up;max;2050;4.5,51543,4352,clim_up,max,2050,4.5,rio mamore
clim_up;max;2050;6,47138,4207,clim_up,max,2050,6,rio mamore
clim_up;max;2050;8.5,33937,3592,clim_up,max,2050,8.5,rio mamore
clim_up;max;2070;2.6,50896,4294,clim_up,max,2070,2.6,rio mamore
clim_up;max;2070;8.5,29476,2560,clim_up,max,2070,8.5,rio mamore
clim_up;max;2080;2.6,39437,4015,clim_up,max,2080,2.6,rio mamore
clim_up;max;2080;4.5,45773,4006,clim_up,max,2080,4.5,rio mamore
clim_up;max;2080;6,52735,4160,clim_up,max,2080,6,rio mamore
clim_up;max;2080;8.5,37909,3216,clim_up,max,2080,8.5,rio mamore
clim_up;mean;2030;4.5,85629,3754,clim_up,mean,2030,4.5,rio mamore
clim_up;mean;2030;6,84065,3906,clim_up,mean,2030,6,rio mamore
clim_up;mean;2030;8.5,88164,4003,clim_up,mean,2030,8.5,rio mamore
clim_up;mean;2050;2.6,70570,3252,clim_up,mean,2050,2.6,rio mamore
clim_up;mean;2050;4.5,87089,3703,clim_up,mean,2050,4.5,rio mamore
clim_up;mean;2050;6,82489,3904,clim_up,mean,2050,6,rio mamore
clim_up;mean;2050;8.5,60816,3495,clim_up,mean,2050,8.5,rio mamore
clim_up;mean;2070;2.6,84640,3379,clim_up,mean,2070,2.6,rio mamore
clim_up;mean;2070;8.5,56472,3088,clim_up,mean,2070,8.5,rio mamore
clim_up;mean;2080;2.6,73503,3674,clim_up,mean,2080,2.6,rio mamore
clim_up;mean;2080;4.5,81779,3749,clim_up,mean,2080,4.5,rio mamore
clim_up;mean;2080;6,90914,3862,clim_up,mean,2080,6,rio mamore
clim_up;mean;2080;8.5,69150,3447,clim_up,mean,2080,8.5,rio mamore
clim_up;min;2030;4.5,303043,16214,clim_up,min,2030,4.5,rio mamore
clim_up;min;2030;6,303245,16096,clim_up,min,2030,6,rio mamore
clim_up;min;2030;8.5,307045,16165,clim_up,min,2030,8.5,rio mamore
clim_up;min;2050;2.6,287735,15985,clim_up,min,2050,2.6,rio mamore
clim_up;min;2050;4.5,295583,16271,clim_up,min,2050,4.5,rio mamore
clim_up;min;2050;6,311498,16730,clim_up,min,2050,6,rio mamore
clim_up;min;2050;8.5,266007,15035,clim_up,min,2050,8.5,rio mamore
clim_up;min;2070;2.6,298231,15360,clim_up,min,2070,2.6,rio mamore
clim_up;min;2070;8.5,231003,16362,clim_up,min,2070,8.5,rio mamore
clim_up;min;2080;2.6,295582,16731,clim_up,min,2080,2.6,rio mamore
clim_up;min;2080;4.5,307007,16974,clim_up,min,2080,4.5,rio mamore
clim_up;min;2080;6,306521,16187,clim_up,min,2080,6,rio mamore
clim_up;min;2080;8.5,270323,14851,clim_up,min,2080,8.5,rio mamore
dummy;max;2030;4.5,77857,-702,dummy,max,2030,4.5,rio mamore
dummy;max;2030;6,77360,-1199,dummy,max,2030,6,rio mamore
dummy;max;2030;8.5,77502,-1057,dummy,max,2030,8.5,rio mamore
dummy;max;2050;2.6,74458,-4101,dummy,max,2050,2.6,rio mamore
dummy;max;2050;4.5,77550,-1009,dummy,max,2050,4.5,rio mamore
dummy;max;2050;6,78010,-549,dummy,max,2050,6,rio mamore
dummy;max;2050;8.5,72360,-6199,dummy,max,2050,8.5,rio mamore
dummy;max;2070;2.6,77369,-1190,dummy,max,2070,2.6,rio mamore
dummy;max;2070;8.5,55381,-23178,dummy,max,2070,8.5,rio mamore
dummy;max;2080;2.6,72872,-5687,dummy,max,2080,2.6,rio mamore
dummy;max;2080;4.5,76175,-2384,dummy,max,2080,4.5,rio mamore
dummy;max;2080;6,74055,-4504,dummy,max,2080,6,rio mamore
dummy;max;2080;8.5,64510,-14049,dummy,max,2080,8.5,rio mamore
dummy;mean;2030;4.5,122342,-4529,dummy,mean,2030,4.5,rio mamore
dummy;mean;2030;6,125266,-1605,dummy,mean,2030,6,rio mamore
dummy;mean;2030;8.5,124878,-1993,dummy,mean,2030,8.5,rio mamore
dummy;mean;2050;2.6,117480,-9391,dummy,mean,2050,2.6,rio mamore
dummy;mean;2050;4.5,121307,-5564,dummy,mean,2050,4.5,rio mamore
dummy;mean;2050;6,124835,-2036,dummy,mean,2050,6,rio mamore
dummy;mean;2050;8.5,119061,-7786,dummy,mean,2050,8.5,rio mamore
dummy;mean;2070;2.6,120488,-6383,dummy,mean,2070,2.6,rio mamore
dummy;mean;2070;8.5,99881,-25693,dummy,mean,2070,8.5,rio mamore
dummy;mean;2080;2.6,120204,-6667,dummy,mean,2080,2.6,rio mamore
dummy;mean;2080;4.5,123176,-3695,dummy,mean,2080,4.5,rio mamore
dummy;mean;2080;6,120739,-6132,dummy,mean,2080,6,rio mamore
dummy;mean;2080;8.5,112684,-14187,dummy,mean,2080,8.5,rio mamore
dummy;min;2030;4.5,404744,10620,dummy,min,2030,4.5,rio mamore
dummy;min;2030;6,404105,9984,dummy,min,2030,6,rio mamore
dummy;min;2030;8.5,404786,10669,dummy,min,2030,8.5,rio mamore
dummy;min;2050;2.6,399888,5879,dummy,min,2050,2.6,rio mamore
dummy;min;2050;4.5,402821,9217,dummy,min,2050,4.5,rio mamore
dummy;min;2050;6,405030,10963,dummy,min,2050,6,rio mamore
dummy;min;2050;8.5,400600,6844,dummy,min,2050,8.5,rio mamore
dummy;min;2070;2.6,400553,6475,dummy,min,2070,2.6,rio mamore
dummy;min;2070;8.5,376210,-6077,dummy,min,2070,8.5,rio mamore
dummy;min;2080;2.6,402413,8815,dummy,min,2080,2.6,rio mamore
dummy;min;2080;4.5,405456,11390,dummy,min,2080,4.5,rio mamore
dummy;min;2080;6,397990,4194,dummy,min,2080,6,rio mamore
dummy;min;2080;8.5,392145,-507,dummy,min,2080,8.5,rio mamore
lu_down;max;2030;4.5,9047,-157,lu_down,max,2030,4.5,rio mamore
lu_down;max;2030;6,19507,125,lu_down,max,2030,6,rio mamore
lu_down;max;2030;8.5,17244,-203,lu_down,max,2030,8.5,rio mamore
lu_down;max;2050;2.6,28557,-1512,lu_down,max,2050,2.6,rio mamore
lu_down;max;2050;4.5,24920,-177,lu_down,max,2050,4.5,rio mamore
lu_down;max;2050;6,26728,-322,lu_down,max,2050,6,rio mamore
lu_down;max;2050;8.5,33838,-2376,lu_down,max,2050,8.5,rio mamore
lu_down;max;2070;2.6,37711,-513,lu_down,max,2070,2.6,rio mamore
lu_down;max;2070;8.5,38007,-6270,lu_down,max,2070,8.5,rio mamore
lu_down;max;2080;2.6,37909,-2152,lu_down,max,2080,2.6,rio mamore
lu_down;max;2080;4.5,32726,1080,lu_down,max,2080,4.5,rio mamore
lu_down;max;2080;6,33220,-1355,lu_down,max,2080,6,rio mamore
lu_down;max;2080;8.5,34415,-11701,lu_down,max,2080,8.5,rio mamore
lu_down;mean;2030;4.5,15868,-623,lu_down,mean,2030,4.5,rio mamore
lu_down;mean;2030;6,35486,237,lu_down,mean,2030,6,rio mamore
lu_down;mean;2030;8.5,27975,-245,lu_down,mean,2030,8.5,rio mamore
lu_down;mean;2050;2.6,46182,-3880,lu_down,mean,2050,2.6,rio mamore
lu_down;mean;2050;4.5,42429,-2711,lu_down,mean,2050,4.5,rio mamore
lu_down;mean;2050;6,45159,-689,lu_down,mean,2050,6,rio mamore
