year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,4375,-21,clim_down,max,2030,2.6,rio mearim
clim_down;max;2030;6,8379,-3998,clim_down,max,2030,6,rio mearim
clim_down;max;2030;8.5,63167,-2348,clim_down,max,2030,8.5,rio mearim
clim_down;max;2050;2.6,16085,-823,clim_down,max,2050,2.6,rio mearim
clim_down;max;2050;4.5,24029,-8300,clim_down,max,2050,4.5,rio mearim
clim_down;max;2050;6,4293,-4148,clim_down,max,2050,6,rio mearim
clim_down;max;2050;8.5,596,-7,clim_down,max,2050,8.5,rio mearim
clim_down;max;2070;2.6,12802,-282,clim_down,max,2070,2.6,rio mearim
clim_down;max;2070;4.5,14556,-3168,clim_down,max,2070,4.5,rio mearim
clim_down;max;2070;6,16608,-21218,clim_down,max,2070,6,rio mearim
clim_down;max;2070;8.5,19482,-426,clim_down,max,2070,8.5,rio mearim
clim_down;max;2080;2.6,48395,-3727,clim_down,max,2080,2.6,rio mearim
clim_down;max;2080;4.5,9904,-725,clim_down,max,2080,4.5,rio mearim
clim_down;max;2080;6,10725,-18554,clim_down,max,2080,6,rio mearim
clim_down;max;2080;8.5,12420,-336,clim_down,max,2080,8.5,rio mearim
clim_down;mean;2030;2.6,7327,-13,clim_down,mean,2030,2.6,rio mearim
clim_down;mean;2030;6,11855,-3572,clim_down,mean,2030,6,rio mearim
clim_down;mean;2030;8.5,80971,-5965,clim_down,mean,2030,8.5,rio mearim
clim_down;mean;2050;2.6,23679,-466,clim_down,mean,2050,2.6,rio mearim
clim_down;mean;2050;4.5,36693,-7724,clim_down,mean,2050,4.5,rio mearim
clim_down;mean;2050;6,7981,-6479,clim_down,mean,2050,6,rio mearim
clim_down;mean;2050;8.5,1147,-34,clim_down,mean,2050,8.5,rio mearim
clim_down;mean;2070;2.6,17096,-67,clim_down,mean,2070,2.6,rio mearim
clim_down;mean;2070;4.5,21361,-3625,clim_down,mean,2070,4.5,rio mearim
clim_down;mean;2070;6,29398,-16320,clim_down,mean,2070,6,rio mearim
clim_down;mean;2070;8.5,32270,-2171,clim_down,mean,2070,8.5,rio mearim
clim_down;mean;2080;2.6,56379,-1190,clim_down,mean,2080,2.6,rio mearim
clim_down;mean;2080;4.5,13908,-461,clim_down,mean,2080,4.5,rio mearim
clim_down;mean;2080;6,20558,-20768,clim_down,mean,2080,6,rio mearim
clim_down;mean;2080;8.5,22652,-3024,clim_down,mean,2080,8.5,rio mearim
clim_down;min;2030;2.6,9026,-1,clim_down,min,2030,2.6,rio mearim
clim_down;min;2030;6,26807,-301,clim_down,min,2030,6,rio mearim
clim_down;min;2030;8.5,112750,-14927,clim_down,min,2030,8.5,rio mearim
clim_down;min;2050;2.6,38607,-97,clim_down,min,2050,2.6,rio mearim
clim_down;min;2050;4.5,59209,-521,clim_down,min,2050,4.5,rio mearim
clim_down;min;2050;6,28623,-362,clim_down,min,2050,6,rio mearim
clim_down;min;2050;8.5,5965,-14,clim_down,min,2050,8.5,rio mearim
clim_down;min;2070;2.6,23165,-418,clim_down,min,2070,2.6,rio mearim
clim_down;min;2070;4.5,39201,-601,clim_down,min,2070,4.5,rio mearim
clim_down;min;2070;6,49239,-3816,clim_down,min,2070,6,rio mearim
clim_down;min;2070;8.5,61987,-5582,clim_down,min,2070,8.5,rio mearim
