year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,4809,-12333,clim_down,max,2030,2.6,ross river
clim_down;max;2030;4.5,4559,-9119,clim_down,max,2030,4.5,ross river
clim_down;max;2030;6,2298,-14422,clim_down,max,2030,6,ross river
clim_down;max;2030;8.5,4913,-9971,clim_down,max,2030,8.5,ross river
clim_down;max;2050;2.6,4293,-2754,clim_down,max,2050,2.6,ross river
clim_down;max;2050;4.5,5867,-10646,clim_down,max,2050,4.5,ross river
clim_down;max;2050;6,856,-7066,clim_down,max,2050,6,ross river
clim_down;max;2050;8.5,3611,-10146,clim_down,max,2050,8.5,ross river
clim_down;max;2070;2.6,2972,-5662,clim_down,max,2070,2.6,ross river
clim_down;max;2070;4.5,5275,-5766,clim_down,max,2070,4.5,ross river
clim_down;max;2070;6,473,-5535,clim_down,max,2070,6,ross river
clim_down;max;2070;8.5,3713,-15643,clim_down,max,2070,8.5,ross river
clim_down;max;2080;2.6,2137,-8746,clim_down,max,2080,2.6,ross river
clim_down;max;2080;4.5,5097,-12134,clim_down,max,2080,4.5,ross river
clim_down;max;2080;6,1601,-15578,clim_down,max,2080,6,ross river
clim_down;max;2080;8.5,1544,-11911,clim_down,max,2080,8.5,ross river
clim_down;mean;2030;2.6,10584,-25508,clim_down,mean,2030,2.6,ross river
clim_down;mean;2030;4.5,9147,-19898,clim_down,mean,2030,4.5,ross river
clim_down;mean;2030;6,4285,-28818,clim_down,mean,2030,6,ross river
clim_down;mean;2030;8.5,11782,-17202,clim_down,mean,2030,8.5,ross river
clim_down;mean;2050;2.6,6072,-5079,clim_down,mean,2050,2.6,ross river
clim_down;mean;2050;4.5,14262,-20038,clim_down,mean,2050,4.5,ross river
clim_down;mean;2050;6,1908,-14758,clim_down,mean,2050,6,ross river
clim_down;mean;2050;8.5,5675,-22884,clim_down,mean,2050,8.5,ross river
clim_down;mean;2070;2.6,6488,-8868,clim_down,mean,2070,2.6,ross river
clim_down;mean;2070;4.5,9192,-10429,clim_down,mean,2070,4.5,ross river
clim_down;mean;2070;6,1354,-10779,clim_down,mean,2070,6,ross river
clim_down;mean;2070;8.5,8750,-27755,clim_down,mean,2070,8.5,ross river
clim_down;mean;2080;2.6,5303,-16997,clim_down,mean,2080,2.6,ross river
clim_down;mean;2080;4.5,12960,-19376,clim_down,mean,2080,4.5,ross river
clim_down;mean;2080;6,3760,-26849,clim_down,mean,2080,6,ross river
clim_down;mean;2080;8.5,7836,-22212,clim_down,mean,2080,8.5,ross river
clim_down;min;2030;2.6,35613,-16201,clim_down,min,2030,2.6,ross river
clim_down;min;2030;4.5,22695,-23601,clim_down,min,2030,4.5,ross river
clim_down;min;2030;6,21879,-25352,clim_down,min,2030,6,ross river
clim_down;min;2030;8.5,32426,-11144,clim_down,min,2030,8.5,ross river
clim_down;min;2050;2.6,10564,-5949,clim_down,min,2050,2.6,ross river
clim_down;min;2050;4.5,37754,-16045,clim_down,min,2050,4.5,ross river
clim_down;min;2050;6,7055,-22043,clim_down,min,2050,6,ross river
clim_down;min;2050;8.5,16253,-26908,clim_down,min,2050,8.5,ross river
clim_down;min;2070;2.6,14289,-8987,clim_down,min,2070,2.6,ross river
clim_down;min;2070;4.5,18400,-9306,clim_down,min,2070,4.5,ross river
clim_down;min;2070;6,6461,-19512,clim_down,min,2070,6,ross river
clim_down;min;2070;8.5,31332,-25258,clim_down,min,2070,8.5,ross river
clim_down;min;2080;2.6,21368,-12050,clim_down,min,2080,2.6,ross river
clim_down;min;2080;4.5,33853,-15283,clim_down,min,2080,4.5,ross river
clim_down;min;2080;6,12540,-25744,clim_down,min,2080,6,ross river
clim_down;min;2080;8.5,26803,-20920,clim_down,min,2080,8.5,ross river
clim_up;max;2030;2.6,2878,-375,clim_up,max,2030,2.6,ross river
clim_up;max;2030;4.5,1831,5,clim_up,max,2030,4.5,ross river
clim_up;max;2030;6,946,-1789,clim_up,max,2030,6,ross river
clim_up;max;2030;8.5,2066,-182,clim_up,max,2030,8.5,ross river
clim_up;max;2050;2.6,3007,-613,clim_up,max,2050,2.6,ross river
clim_up;max;2050;4.5,2046,-67,clim_up,max,2050,4.5,ross river
clim_up;max;2050;6,8001,-3439,clim_up,max,2050,6,ross river
clim_up;max;2050;8.5,1108,-169,clim_up,max,2050,8.5,ross river
