year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,154261,-13673,clim_down,max,2030,2.6,sars coronavirus
clim_down;max;2030;4.5,169780,-8056,clim_down,max,2030,4.5,sars coronavirus
clim_down;max;2030;6,167793,-26174,clim_down,max,2030,6,sars coronavirus
clim_down;max;2030;8.5,36825,0,clim_down,max,2030,8.5,sars coronavirus
clim_down;max;2050;2.6,153451,-8333,clim_down,max,2050,2.6,sars coronavirus
clim_down;max;2050;4.5,65530,0,clim_down,max,2050,4.5,sars coronavirus
clim_down;max;2050;6,18301,0,clim_down,max,2050,6,sars coronavirus
clim_down;max;2050;8.5,116638,-10608,clim_down,max,2050,8.5,sars coronavirus
clim_down;max;2070;2.6,24196,-13,clim_down,max,2070,2.6,sars coronavirus
clim_down;max;2070;4.5,11063,0,clim_down,max,2070,4.5,sars coronavirus
clim_down;max;2070;6,58484,-11,clim_down,max,2070,6,sars coronavirus
clim_down;max;2070;8.5,88227,-11338,clim_down,max,2070,8.5,sars coronavirus
clim_down;max;2080;2.6,62795,0,clim_down,max,2080,2.6,sars coronavirus
clim_down;max;2080;4.5,9954,0,clim_down,max,2080,4.5,sars coronavirus
clim_down;max;2080;6,51312,0,clim_down,max,2080,6,sars coronavirus
clim_down;max;2080;8.5,11338,0,clim_down,max,2080,8.5,sars coronavirus
clim_down;mean;2030;2.6,156750,-11184,clim_down,mean,2030,2.6,sars coronavirus
clim_down;mean;2030;4.5,173482,-4354,clim_down,mean,2030,4.5,sars coronavirus
clim_down;mean;2030;6,172987,-20980,clim_down,mean,2030,6,sars coronavirus
clim_down;mean;2030;8.5,36825,0,clim_down,mean,2030,8.5,sars coronavirus
clim_down;mean;2050;2.6,156127,-5657,clim_down,mean,2050,2.6,sars coronavirus
clim_down;mean;2050;4.5,65530,0,clim_down,mean,2050,4.5,sars coronavirus
clim_down;mean;2050;6,18301,0,clim_down,mean,2050,6,sars coronavirus
clim_down;mean;2050;8.5,120280,-6966,clim_down,mean,2050,8.5,sars coronavirus
clim_down;mean;2070;2.6,24209,0,clim_down,mean,2070,2.6,sars coronavirus
clim_down;mean;2070;4.5,11063,0,clim_down,mean,2070,4.5,sars coronavirus
clim_down;mean;2070;6,58495,0,clim_down,mean,2070,6,sars coronavirus
clim_down;mean;2070;8.5,92314,-7251,clim_down,mean,2070,8.5,sars coronavirus
clim_down;mean;2080;2.6,62795,0,clim_down,mean,2080,2.6,sars coronavirus
clim_down;mean;2080;4.5,9954,0,clim_down,mean,2080,4.5,sars coronavirus
clim_down;mean;2080;6,51312,0,clim_down,mean,2080,6,sars coronavirus
clim_down;mean;2080;8.5,11338,0,clim_down,mean,2080,8.5,sars coronavirus
clim_down;min;2030;2.6,157924,-10010,clim_down,min,2030,2.6,sars coronavirus
clim_down;min;2030;4.5,175046,-2790,clim_down,min,2030,4.5,sars coronavirus
clim_down;min;2030;6,175354,-18613,clim_down,min,2030,6,sars coronavirus
clim_down;min;2030;8.5,36825,0,clim_down,min,2030,8.5,sars coronavirus
clim_down;min;2050;2.6,157121,-4663,clim_down,min,2050,2.6,sars coronavirus
clim_down;min;2050;4.5,65530,0,clim_down,min,2050,4.5,sars coronavirus
clim_down;min;2050;6,18301,0,clim_down,min,2050,6,sars coronavirus
clim_down;min;2050;8.5,121673,-5573,clim_down,min,2050,8.5,sars coronavirus
clim_down;min;2070;2.6,24209,0,clim_down,min,2070,2.6,sars coronavirus
clim_down;min;2070;4.5,11063,0,clim_down,min,2070,4.5,sars coronavirus
clim_down;min;2070;6,58495,0,clim_down,min,2070,6,sars coronavirus
clim_down;min;2070;8.5,93446,-6119,clim_down,min,2070,8.5,sars coronavirus
clim_down;min;2080;2.6,62795,0,clim_down,min,2080,2.6,sars coronavirus
clim_down;min;2080;4.5,9954,0,clim_down,min,2080,4.5,sars coronavirus
clim_down;min;2080;6,51312,0,clim_down,min,2080,6,sars coronavirus
clim_down;min;2080;8.5,11338,0,clim_down,min,2080,8.5,sars coronavirus
clim_up;max;2030;2.6,132226,1432,clim_up,max,2030,2.6,sars coronavirus
clim_up;max;2030;4.5,116589,366,clim_up,max,2030,4.5,sars coronavirus
clim_up;max;2030;6,40900,0,clim_up,max,2030,6,sars coronavirus
clim_up;max;2030;8.5,198533,1562,clim_up,max,2030,8.5,sars coronavirus
clim_up;max;2050;2.6,110759,233,clim_up,max,2050,2.6,sars coronavirus
clim_up;max;2050;4.5,111045,85,clim_up,max,2050,4.5,sars coronavirus
clim_up;max;2050;6,221292,1248,clim_up,max,2050,6,sars coronavirus
clim_up;max;2050;8.5,90462,584,clim_up,max,2050,8.5,sars coronavirus
clim_up;max;2070;2.6,184782,1419,clim_up,max,2070,2.6,sars coronavirus
clim_up;max;2070;4.5,253231,1551,clim_up,max,2070,4.5,sars coronavirus
clim_up;max;2070;6,139114,53,clim_up,max,2070,6,sars coronavirus
clim_up;max;2070;8.5,142459,845,clim_up,max,2070,8.5,sars coronavirus
clim_up;max;2080;2.6,232329,1556,clim_up,max,2080,2.6,sars coronavirus
clim_up;max;2080;4.5,195036,1236,clim_up,max,2080,4.5,sars coronavirus
clim_up;max;2080;6,250592,3147,clim_up,max,2080,6,sars coronavirus
clim_up;max;2080;8.5,292449,3478,clim_up,max,2080,8.5,sars coronavirus
clim_up;mean;2030;2.6,140610,2138,clim_up,mean,2030,2.6,sars coronavirus
clim_up;mean;2030;4.5,120695,946,clim_up,mean,2030,4.5,sars coronavirus
clim_up;mean;2030;6,40900,0,clim_up,mean,2030,6,sars coronavirus
clim_up;mean;2030;8.5,202710,1809,clim_up,mean,2030,8.5,sars coronavirus
clim_up;mean;2050;2.6,113726,136,clim_up,mean,2050,2.6,sars coronavirus
clim_up;mean;2050;4.5,111224,1,clim_up,mean,2050,4.5,sars coronavirus
clim_up;mean;2050;6,223926,1287,clim_up,mean,2050,6,sars coronavirus
clim_up;mean;2050;8.5,90474,173,clim_up,mean,2050,8.5,sars coronavirus
clim_up;mean;2070;2.6,185041,358,clim_up,mean,2070,2.6,sars coronavirus
clim_up;mean;2070;4.5,256476,509,clim_up,mean,2070,4.5,sars coronavirus
clim_up;mean;2070;6,140556,26,clim_up,mean,2070,6,sars coronavirus
clim_up;mean;2070;8.5,145903,376,clim_up,mean,2070,8.5,sars coronavirus
clim_up;mean;2080;2.6,237364,1018,clim_up,mean,2080,2.6,sars coronavirus
clim_up;mean;2080;4.5,195116,417,clim_up,mean,2080,4.5,sars coronavirus
clim_up;mean;2080;6,266778,5036,clim_up,mean,2080,6,sars coronavirus
clim_up;mean;2080;8.5,301854,2892,clim_up,mean,2080,8.5,sars coronavirus
clim_up;min;2030;2.6,142135,914,clim_up,min,2030,2.6,sars coronavirus
clim_up;min;2030;4.5,121107,367,clim_up,min,2030,4.5,sars coronavirus
clim_up;min;2030;6,40900,0,clim_up,min,2030,6,sars coronavirus
clim_up;min;2030;8.5,203303,873,clim_up,min,2030,8.5,sars coronavirus
clim_up;min;2050;2.6,114176,26,clim_up,min,2050,2.6,sars coronavirus
clim_up;min;2050;4.5,111887,0,clim_up,min,2050,4.5,sars coronavirus
clim_up;min;2050;6,224382,545,clim_up,min,2050,6,sars coronavirus
clim_up;min;2050;8.5,90693,91,clim_up,min,2050,8.5,sars coronavirus
clim_up;min;2070;2.6,185464,130,clim_up,min,2070,2.6,sars coronavirus
clim_up;min;2070;4.5,257955,281,clim_up,min,2070,4.5,sars coronavirus
clim_up;min;2070;6,141381,5,clim_up,min,2070,6,sars coronavirus
clim_up;min;2070;8.5,146623,206,clim_up,min,2070,8.5,sars coronavirus
clim_up;min;2080;2.6,240080,435,clim_up,min,2080,2.6,sars coronavirus
clim_up;min;2080;4.5,195249,241,clim_up,min,2080,4.5,sars coronavirus
clim_up;min;2080;6,270430,2275,clim_up,min,2080,6,sars coronavirus
clim_up;min;2080;8.5,305028,1783,clim_up,min,2080,8.5,sars coronavirus
dummy;max;2030;2.6,513256,-33507,dummy,max,2030,2.6,sars coronavirus
dummy;max;2030;4.5,510271,-34782,dummy,max,2030,4.5,sars coronavirus
dummy;max;2030;6,318626,-58453,dummy,max,2030,6,sars coronavirus
dummy;max;2030;8.5,538549,-8294,dummy,max,2030,8.5,sars coronavirus
dummy;max;2050;2.6,517275,-29107,dummy,max,2050,2.6,sars coronavirus
dummy;max;2050;4.5,545098,-1790,dummy,max,2050,4.5,sars coronavirus
dummy;max;2050;6,546629,-259,dummy,max,2050,6,sars coronavirus
dummy;max;2050;8.5,528485,-18403,dummy,max,2050,8.5,sars coronavirus
dummy;max;2070;2.6,548170,1282,dummy,max,2070,2.6,sars coronavirus
dummy;max;2070;4.5,548854,1966,dummy,max,2070,4.5,sars coronavirus
dummy;max;2070;6,542034,-4854,dummy,max,2070,6,sars coronavirus
dummy;max;2070;8.5,518955,-27933,dummy,max,2070,8.5,sars coronavirus
dummy;max;2080;2.6,544788,-2100,dummy,max,2080,2.6,sars coronavirus
dummy;max;2080;4.5,541862,-5026,dummy,max,2080,4.5,sars coronavirus
dummy;max;2080;6,549142,2254,dummy,max,2080,6,sars coronavirus
dummy;max;2080;8.5,550792,3904,dummy,max,2080,8.5,sars coronavirus
dummy;mean;2030;2.6,557348,-31409,dummy,mean,2030,2.6,sars coronavirus
dummy;mean;2030;4.5,547915,-35423,dummy,mean,2030,4.5,sars coronavirus
dummy;mean;2030;6,325692,-52624,dummy,mean,2030,6,sars coronavirus
dummy;mean;2030;8.5,574126,-17711,dummy,mean,2030,8.5,sars coronavirus
dummy;mean;2050;2.6,558906,-33784,dummy,mean,2050,2.6,sars coronavirus
dummy;mean;2050;4.5,618577,17279,dummy,mean,2050,4.5,sars coronavirus
dummy;mean;2050;6,610562,9264,dummy,mean,2050,6,sars coronavirus
dummy;mean;2050;8.5,611828,10530,dummy,mean,2050,8.5,sars coronavirus
dummy;mean;2070;2.6,622220,20922,dummy,mean,2070,2.6,sars coronavirus
dummy;mean;2070;4.5,615991,14693,dummy,mean,2070,4.5,sars coronavirus
dummy;mean;2070;6,605369,4071,dummy,mean,2070,6,sars coronavirus
dummy;mean;2070;8.5,601677,379,dummy,mean,2070,8.5,sars coronavirus
dummy;mean;2080;2.6,614129,12831,dummy,mean,2080,2.6,sars coronavirus
dummy;mean;2080;4.5,610922,9624,dummy,mean,2080,4.5,sars coronavirus
dummy;mean;2080;6,621590,20292,dummy,mean,2080,6,sars coronavirus
dummy;mean;2080;8.5,625157,23859,dummy,mean,2080,8.5,sars coronavirus
dummy;min;2030;2.6,576840,-33046,dummy,min,2030,2.6,sars coronavirus
dummy;min;2030;4.5,565126,-36477,dummy,min,2030,4.5,sars coronavirus
dummy;min;2030;6,329340,-49169,dummy,min,2030,6,sars coronavirus
dummy;min;2030;8.5,591128,-21363,dummy,min,2030,8.5,sars coronavirus
dummy;min;2050;2.6,577077,-37139,dummy,min,2050,2.6,sars coronavirus
dummy;min;2050;4.5,639696,15547,dummy,min,2050,4.5,sars coronavirus
dummy;min;2050;6,631017,6868,dummy,min,2050,6,sars coronavirus
dummy;min;2050;8.5,634393,10244,dummy,min,2050,8.5,sars coronavirus
dummy;min;2070;2.6,643444,19295,dummy,min,2070,2.6,sars coronavirus
dummy;min;2070;4.5,640701,16552,dummy,min,2070,4.5,sars coronavirus
dummy;min;2070;6,631601,7452,dummy,min,2070,6,sars coronavirus
dummy;min;2070;8.5,623013,-1136,dummy,min,2070,8.5,sars coronavirus
dummy;min;2080;2.6,637468,13319,dummy,min,2080,2.6,sars coronavirus
dummy;min;2080;4.5,635184,11035,dummy,min,2080,4.5,sars coronavirus
dummy;min;2080;6,642923,18774,dummy,min,2080,6,sars coronavirus
dummy;min;2080;8.5,643741,19592,dummy,min,2080,8.5,sars coronavirus
lu_down;max;2030;2.6,129378,-4472,lu_down,max,2030,2.6,sars coronavirus
lu_down;max;2030;4.5,156969,-7367,lu_down,max,2030,4.5,sars coronavirus
lu_down;max;2030;6,87936,-11672,lu_down,max,2030,6,sars coronavirus
lu_down;max;2030;8.5,101172,6,lu_down,max,2030,8.5,sars coronavirus
lu_down;max;2050;2.6,231441,-8070,lu_down,max,2050,2.6,sars coronavirus
lu_down;max;2050;4.5,283141,-1120,lu_down,max,2050,4.5,sars coronavirus
