year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP
clim_down;max;2030;2.6,1632,-3933,clim_down,max,2030,2.6
clim_down;max;2030;4.5,939,-4333,clim_down,max,2030,4.5
clim_down;max;2030;6,1535,-5546,clim_down,max,2030,6
clim_down;max;2030;8.5,1580,-4768,clim_down,max,2030,8.5
clim_down;max;2050;2.6,1183,-4184,clim_down,max,2050,2.6
clim_down;max;2050;4.5,1220,-4015,clim_down,max,2050,4.5
clim_down;max;2050;6,1719,-3113,clim_down,max,2050,6
clim_down;max;2050;8.5,1813,-4820,clim_down,max,2050,8.5
clim_down;max;2070;2.6,1051,-3111,clim_down,max,2070,2.6
clim_down;max;2070;4.5,1786,-5752,clim_down,max,2070,4.5
clim_down;max;2070;6,2343,-6413,clim_down,max,2070,6
clim_down;max;2070;8.5,2863,-5722,clim_down,max,2070,8.5
clim_down;max;2080;2.6,1218,-4378,clim_down,max,2080,2.6
clim_down;max;2080;4.5,1824,-4292,clim_down,max,2080,4.5
clim_down;max;2080;6,2501,-4662,clim_down,max,2080,6
clim_down;max;2080;8.5,1250,-9025,clim_down,max,2080,8.5
clim_down;mean;2030;2.6,64364,-1483,clim_down,mean,2030,2.6
clim_down;mean;2030;4.5,66496,-8882,clim_down,mean,2030,4.5
clim_down;mean;2030;6,79626,-64438,clim_down,mean,2030,6
clim_down;mean;2030;8.5,81937,-58005,clim_down,mean,2030,8.5
clim_down;mean;2050;2.6,63466,-20764,clim_down,mean,2050,2.6
clim_down;mean;2050;4.5,59519,-1959,clim_down,mean,2050,4.5
clim_down;mean;2050;6,46109,-10775,clim_down,mean,2050,6
clim_down;mean;2050;8.5,72195,-13392,clim_down,mean,2050,8.5
clim_down;mean;2070;2.6,53551,-3484,clim_down,mean,2070,2.6
clim_down;mean;2070;4.5,80213,-57971,clim_down,mean,2070,4.5
clim_down;mean;2070;6,77898,-43846,clim_down,mean,2070,6
clim_down;mean;2070;8.5,70612,-20404,clim_down,mean,2070,8.5
clim_down;mean;2080;2.6,65918,-8443,clim_down,mean,2080,2.6
clim_down;mean;2080;4.5,60359,-16500,clim_down,mean,2080,4.5
clim_down;mean;2080;6,54865,-7885,clim_down,mean,2080,6
clim_down;mean;2080;8.5,81750,-26315,clim_down,mean,2080,8.5
clim_down;min;2030;2.6,70061,-71,clim_down,min,2030,2.6
clim_down;min;2030;4.5,81523,-2178,clim_down,min,2030,4.5
clim_down;min;2030;6,121170,-45595,clim_down,min,2030,6
clim_down;min;2030;8.5,122161,-39590,clim_down,min,2030,8.5
clim_down;min;2050;2.6,86490,-6027,clim_down,min,2050,2.6
clim_down;min;2050;4.5,69350,-595,clim_down,min,2050,4.5
clim_down;min;2050;6,59508,-2695,clim_down,min,2050,6
clim_down;min;2050;8.5,92211,-1964,clim_down,min,2050,8.5
clim_down;min;2070;2.6,62777,-350,clim_down,min,2070,2.6
clim_down;min;2070;4.5,116949,-44218,clim_down,min,2070,4.5
clim_down;min;2070;6,118242,-22536,clim_down,min,2070,6
clim_down;min;2070;8.5,96729,-6016,clim_down,min,2070,8.5
clim_down;min;2080;2.6,80155,-418,clim_down,min,2080,2.6
clim_down;min;2080;4.5,84025,-4130,clim_down,min,2080,4.5
clim_down;min;2080;6,68115,-3318,clim_down,min,2080,6
clim_down;min;2080;8.5,110310,-9402,clim_down,min,2080,8.5
clim_up;max;2030;2.6,1446,28,clim_up,max,2030,2.6
clim_up;max;2030;4.5,1117,27,clim_up,max,2030,4.5
clim_up;max;2030;6,746,9,clim_up,max,2030,6
clim_up;max;2030;8.5,720,46,clim_up,max,2030,8.5
clim_up;max;2050;2.6,1589,165,clim_up,max,2050,2.6
clim_up;max;2050;4.5,1455,32,clim_up,max,2050,4.5
clim_up;max;2050;6,1662,109,clim_up,max,2050,6
clim_up;max;2050;8.5,865,21,clim_up,max,2050,8.5
clim_up;max;2070;2.6,2028,35,clim_up,max,2070,2.6
clim_up;max;2070;4.5,193,7,clim_up,max,2070,4.5
clim_up;max;2070;6,35,8,clim_up,max,2070,6
clim_up;max;2070;8.5,638,10,clim_up,max,2070,8.5
clim_up;max;2080;2.6,919,16,clim_up,max,2080,2.6
clim_up;max;2080;4.5,1009,19,clim_up,max,2080,4.5
clim_up;max;2080;6,1443,79,clim_up,max,2080,6
clim_up;max;2080;8.5,12,4,clim_up,max,2080,8.5
clim_up;mean;2030;2.6,22814,326,clim_up,mean,2030,2.6
clim_up;mean;2030;4.5,14252,7,clim_up,mean,2030,4.5
clim_up;mean;2030;6,21421,381,clim_up,mean,2030,6
clim_up;mean;2030;8.5,12014,279,clim_up,mean,2030,8.5
clim_up;mean;2050;2.6,23214,296,clim_up,mean,2050,2.6
clim_up;mean;2050;4.5,25310,53,clim_up,mean,2050,4.5
clim_up;mean;2050;6,42426,53,clim_up,mean,2050,6
clim_up;mean;2050;8.5,17367,8,clim_up,mean,2050,8.5
clim_up;mean;2070;2.6,35722,456,clim_up,mean,2070,2.6
clim_up;mean;2070;4.5,10663,37,clim_up,mean,2070,4.5
clim_up;mean;2070;6,20184,398,clim_up,mean,2070,6
clim_up;mean;2070;8.5,27595,38,clim_up,mean,2070,8.5
clim_up;mean;2080;2.6,18164,11,clim_up,mean,2080,2.6
clim_up;mean;2080;4.5,25096,16,clim_up,mean,2080,4.5
clim_up;mean;2080;6,37262,20,clim_up,mean,2080,6
clim_up;mean;2080;8.5,24930,86,clim_up,mean,2080,8.5
clim_up;min;2030;2.6,28078,2172,clim_up,min,2030,2.6
clim_up;min;2030;4.5,15423,339,clim_up,min,2030,4.5
clim_up;min;2030;6,21874,44,clim_up,min,2030,6
clim_up;min;2030;8.5,12319,226,clim_up,min,2030,8.5
clim_up;min;2050;2.6,27958,758,clim_up,min,2050,2.6
clim_up;min;2050;4.5,27193,517,clim_up,min,2050,4.5
clim_up;min;2050;6,48671,101,clim_up,min,2050,6
clim_up;min;2050;8.5,19286,182,clim_up,min,2050,8.5
clim_up;min;2070;2.6,38705,474,clim_up,min,2070,2.6
clim_up;min;2070;4.5,15110,45,clim_up,min,2070,4.5
clim_up;min;2070;6,23762,397,clim_up,min,2070,6
clim_up;min;2070;8.5,34123,144,clim_up,min,2070,8.5
clim_up;min;2080;2.6,18899,236,clim_up,min,2080,2.6
clim_up;min;2080;4.5,30242,130,clim_up,min,2080,4.5
clim_up;min;2080;6,44415,436,clim_up,min,2080,6
clim_up;min;2080;8.5,32579,154,clim_up,min,2080,8.5
dummy;max;2030;2.6,6744,-4498,dummy,max,2030,2.6
dummy;max;2030;4.5,6575,-4667,dummy,max,2030,4.5
dummy;max;2030;6,5331,-5911,dummy,max,2030,6
dummy;max;2030;8.5,5837,-5405,dummy,max,2030,8.5
dummy;max;2050;2.6,7246,-3996,dummy,max,2050,2.6
dummy;max;2050;4.5,6727,-4515,dummy,max,2050,4.5
dummy;max;2050;6,7223,-4019,dummy,max,2050,6
dummy;max;2050;8.5,6222,-5020,dummy,max,2050,8.5
dummy;max;2070;2.6,7346,-3896,dummy,max,2070,2.6
dummy;max;2070;4.5,4813,-6429,dummy,max,2070,4.5
dummy;max;2070;6,4530,-6712,dummy,max,2070,6
dummy;max;2070;8.5,5355,-5887,dummy,max,2070,8.5
dummy;max;2080;2.6,6515,-4727,dummy,max,2080,2.6
dummy;max;2080;4.5,6302,-4940,dummy,max,2080,4.5
dummy;max;2080;6,6399,-4843,dummy,max,2080,6
dummy;max;2080;8.5,1485,-9757,dummy,max,2080,8.5
dummy;mean;2030;2.6,236237,-11259,dummy,mean,2030,2.6
dummy;mean;2030;4.5,204312,-42913,dummy,mean,2030,4.5
dummy;mean;2030;6,143394,-80326,dummy,mean,2030,6
dummy;mean;2030;8.5,149672,-74675,dummy,mean,2030,8.5
dummy;mean;2050;2.6,199276,-45739,dummy,mean,2050,2.6
dummy;mean;2050;4.5,222940,-22360,dummy,mean,2050,4.5
dummy;mean;2050;6,207848,-38872,dummy,mean,2050,6
dummy;mean;2050;8.5,202502,-45921,dummy,mean,2050,8.5
dummy;mean;2070;2.6,228035,-17275,dummy,mean,2070,2.6
dummy;mean;2070;4.5,149072,-75934,dummy,mean,2070,4.5
dummy;mean;2070;6,160166,-67897,dummy,mean,2070,6
dummy;mean;2070;8.5,199200,-45904,dummy,mean,2070,8.5
dummy;mean;2080;2.6,216097,-32011,dummy,mean,2080,2.6
dummy;mean;2080;4.5,195528,-49968,dummy,mean,2080,4.5
dummy;mean;2080;6,214112,-31006,dummy,mean,2080,6
dummy;mean;2080;8.5,197472,-50489,dummy,mean,2080,8.5
dummy;min;2030;2.6,288624,2850,dummy,min,2030,2.6
dummy;min;2030;4.5,282203,-3121,dummy,min,2030,4.5
dummy;min;2030;6,211516,-49278,dummy,min,2030,6
dummy;min;2030;8.5,214865,-45280,dummy,min,2030,8.5
dummy;min;2050;2.6,278963,-5137,dummy,min,2050,2.6
dummy;min;2050;4.5,285048,-778,dummy,min,2050,4.5
dummy;min;2050;6,280966,-4859,dummy,min,2050,6
dummy;min;2050;8.5,283527,-2365,dummy,min,2050,8.5
dummy;min;2070;2.6,286629,2088,dummy,min,2070,2.6
dummy;min;2070;4.5,216646,-46934,dummy,min,2070,4.5
dummy;min;2070;6,243571,-24782,dummy,min,2070,6
dummy;min;2070;8.5,275751,-8834,dummy,min,2070,8.5
dummy;min;2080;2.6,286797,1576,dummy,min,2080,2.6
dummy;min;2080;4.5,278225,-6701,dummy,min,2080,4.5
dummy;min;2080;6,279663,-5676,dummy,min,2080,6
dummy;min;2080;8.5,275226,-10691,dummy,min,2080,8.5
lu_down;max;2030;2.6,417,-895,lu_down,max,2030,2.6
lu_down;max;2030;4.5,128,-30,lu_down,max,2030,4.5
lu_down;max;2030;6,406,-105,lu_down,max,2030,6
lu_down;max;2030;8.5,109,-16,lu_down,max,2030,8.5
lu_down;max;2050;2.6,180,-1078,lu_down,max,2050,2.6
lu_down;max;2050;4.5,150,-34,lu_down,max,2050,4.5
lu_down;max;2050;6,692,-184,lu_down,max,2050,6
lu_down;max;2050;8.5,461,-74,lu_down,max,2050,8.5
lu_down;max;2070;2.6,482,-1211,lu_down,max,2070,2.6
lu_down;max;2070;4.5,117,-47,lu_down,max,2070,4.5
lu_down;max;2070;6,619,-299,lu_down,max,2070,6
lu_down;max;2070;8.5,543,-378,lu_down,max,2070,8.5
lu_down;max;2080;2.6,311,-1343,lu_down,max,2080,2.6
lu_down;max;2080;4.5,126,-38,lu_down,max,2080,4.5
lu_down;max;2080;6,887,-384,lu_down,max,2080,6
lu_down;max;2080;8.5,77,-930,lu_down,max,2080,8.5
lu_down;mean;2030;2.6,9950,-735,lu_down,mean,2030,2.6
lu_down;mean;2030;4.5,1538,-425,lu_down,mean,2030,4.5
lu_down;mean;2030;6,2456,-2294,lu_down,mean,2030,6
lu_down;mean;2030;8.5,1509,-711,lu_down,mean,2030,8.5
lu_down;mean;2050;2.6,11721,-909,lu_down,mean,2050,2.6
lu_down;mean;2050;4.5,1324,-436,lu_down,mean,2050,4.5
lu_down;mean;2050;6,5110,-1094,lu_down,mean,2050,6
lu_down;mean;2050;8.5,4977,-1391,lu_down,mean,2050,8.5
lu_down;mean;2070;2.6,15460,-482,lu_down,mean,2070,2.6
lu_down;mean;2070;4.5,970,-1042,lu_down,mean,2070,4.5
lu_down;mean;2070;6,3220,-2150,lu_down,mean,2070,6
lu_down;mean;2070;8.5,7628,-4762,lu_down,mean,2070,8.5
lu_down;mean;2080;2.6,15420,-737,lu_down,mean,2080,2.6
lu_down;mean;2080;4.5,1001,-69,lu_down,mean,2080,4.5
lu_down;mean;2080;6,6950,-1237,lu_down,mean,2080,6
lu_down;mean;2080;8.5,8291,-5981,lu_down,mean,2080,8.5
lu_down;min;2030;2.6,10711,-3,lu_down,min,2030,2.6
lu_down;min;2030;4.5,2007,-2,lu_down,min,2030,4.5
lu_down;min;2030;6,4201,-887,lu_down,min,2030,6
lu_down;min;2030;8.5,1934,-460,lu_down,min,2030,8.5
lu_down;min;2050;2.6,12727,-32,lu_down,min,2050,2.6
lu_down;min;2050;4.5,1833,-1,lu_down,min,2050,4.5
lu_down;min;2050;6,6416,-3,lu_down,min,2050,6
lu_down;min;2050;8.5,6475,-27,lu_down,min,2050,8.5
lu_down;min;2070;2.6,15964,-4,lu_down,min,2070,2.6
lu_down;min;2070;4.5,1289,-764,lu_down,min,2070,4.5
lu_down;min;2070;6,5093,-592,lu_down,min,2070,6
lu_down;min;2070;8.5,12558,-155,lu_down,min,2070,8.5
lu_down;min;2080;2.6,16191,-3,lu_down,min,2080,2.6
lu_down;min;2080;4.5,1115,-38,lu_down,min,2080,4.5
lu_down;min;2080;6,8406,-5,lu_down,min,2080,6
lu_down;min;2080;8.5,13536,-1016,lu_down,min,2080,8.5
lu_up;max;2030;2.6,38,-10,lu_up,max,2030,2.6
lu_up;max;2030;4.5,13,-190,lu_up,max,2030,4.5
lu_up;max;2030;6,5,-72,lu_up,max,2030,6
lu_up;max;2030;8.5,175,-575,lu_up,max,2030,8.5
lu_up;max;2050;2.6,195,-7,lu_up,max,2050,2.6
lu_up;max;2050;4.5,33,-226,lu_up,max,2050,4.5
lu_up;max;2050;6,8,-107,lu_up,max,2050,6
lu_up;max;2050;8.5,224,-486,lu_up,max,2050,8.5
lu_up;max;2070;2.6,181,-11,lu_up,max,2070,2.6
lu_up;max;2070;4.5,52,-577,lu_up,max,2070,4.5
lu_up;max;2070;6,12,-241,lu_up,max,2070,6
lu_up;max;2070;8.5,157,-733,lu_up,max,2070,8.5
lu_up;max;2080;2.6,174,-91,lu_up,max,2080,2.6
lu_up;max;2080;4.5,83,-470,lu_up,max,2080,4.5
lu_up;max;2080;6,21,-239,lu_up,max,2080,6
lu_up;max;2080;8.5,18,-860,lu_up,max,2080,8.5
lu_up;mean;2030;2.6,11268,-602,lu_up,mean,2030,2.6
lu_up;mean;2030;4.5,8878,-1599,lu_up,mean,2030,4.5
lu_up;mean;2030;6,5528,-2643,lu_up,mean,2030,6
lu_up;mean;2030;8.5,11298,-4141,lu_up,mean,2030,8.5
lu_up;mean;2050;2.6,21797,-6702,lu_up,mean,2050,2.6
lu_up;mean;2050;4.5,13380,-839,lu_up,mean,2050,4.5
lu_up;mean;2050;6,14536,-2159,lu_up,mean,2050,6
