year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,11306,-7014,clim_down,max,2030,2.6,schistosoma japonicum
clim_down;max;2030;4.5,7304,-3181,clim_down,max,2030,4.5,schistosoma japonicum
clim_down;max;2030;6,8098,-5336,clim_down,max,2030,6,schistosoma japonicum
clim_down;max;2030;8.5,3727,-1609,clim_down,max,2030,8.5,schistosoma japonicum
clim_down;max;2050;2.6,5241,-1885,clim_down,max,2050,2.6,schistosoma japonicum
clim_down;max;2050;4.5,2691,-1066,clim_down,max,2050,4.5,schistosoma japonicum
clim_down;max;2050;6,4949,-3479,clim_down,max,2050,6,schistosoma japonicum
clim_down;max;2050;8.5,3547,-2168,clim_down,max,2050,8.5,schistosoma japonicum
clim_down;max;2070;2.6,2910,-1648,clim_down,max,2070,2.6,schistosoma japonicum
clim_down;max;2070;4.5,1530,-305,clim_down,max,2070,4.5,schistosoma japonicum
clim_down;max;2070;6,6745,-4774,clim_down,max,2070,6,schistosoma japonicum
clim_down;max;2070;8.5,4119,-2375,clim_down,max,2070,8.5,schistosoma japonicum
clim_down;max;2080;2.6,9036,-4624,clim_down,max,2080,2.6,schistosoma japonicum
clim_down;max;2080;4.5,3496,-4264,clim_down,max,2080,4.5,schistosoma japonicum
clim_down;max;2080;6,3904,-2732,clim_down,max,2080,6,schistosoma japonicum
clim_down;mean;2030;2.6,23730,-9613,clim_down,mean,2030,2.6,schistosoma japonicum
clim_down;mean;2030;4.5,15241,-7364,clim_down,mean,2030,4.5,schistosoma japonicum
clim_down;mean;2030;6,17792,-8000,clim_down,mean,2030,6,schistosoma japonicum
clim_down;mean;2030;8.5,9567,-6818,clim_down,mean,2030,8.5,schistosoma japonicum
clim_down;mean;2050;2.6,11433,-7133,clim_down,mean,2050,2.6,schistosoma japonicum
clim_down;mean;2050;4.5,6075,-4072,clim_down,mean,2050,4.5,schistosoma japonicum
clim_down;mean;2050;6,10961,-7691,clim_down,mean,2050,6,schistosoma japonicum
clim_down;mean;2050;8.5,8969,-5070,clim_down,mean,2050,8.5,schistosoma japonicum
clim_down;mean;2070;2.6,8190,-5365,clim_down,mean,2070,2.6,schistosoma japonicum
clim_down;mean;2070;4.5,3465,-2950,clim_down,mean,2070,4.5,schistosoma japonicum
clim_down;mean;2070;6,15168,-7998,clim_down,mean,2070,6,schistosoma japonicum
clim_down;mean;2070;8.5,10010,-4780,clim_down,mean,2070,8.5,schistosoma japonicum
clim_down;mean;2080;2.6,19156,-9535,clim_down,mean,2080,2.6,schistosoma japonicum
clim_down;mean;2080;4.5,10219,-6462,clim_down,mean,2080,4.5,schistosoma japonicum
clim_down;mean;2080;6,9335,-5934,clim_down,mean,2080,6,schistosoma japonicum
clim_down;min;2030;2.6,80539,-5366,clim_down,min,2030,2.6,schistosoma japonicum
clim_down;min;2030;4.5,62287,-6536,clim_down,min,2030,4.5,schistosoma japonicum
clim_down;min;2030;6,63915,-4997,clim_down,min,2030,6,schistosoma japonicum
clim_down;min;2030;8.5,60195,-6433,clim_down,min,2030,8.5,schistosoma japonicum
clim_down;min;2050;2.6,62852,-6821,clim_down,min,2050,2.6,schistosoma japonicum
clim_down;min;2050;4.5,45125,-4447,clim_down,min,2050,4.5,schistosoma japonicum
clim_down;min;2050;6,51626,-6263,clim_down,min,2050,6,schistosoma japonicum
clim_down;min;2050;8.5,51200,-4603,clim_down,min,2050,8.5,schistosoma japonicum
clim_down;min;2070;2.6,50983,-8038,clim_down,min,2070,2.6,schistosoma japonicum
clim_down;min;2070;4.5,36709,-4247,clim_down,min,2070,4.5,schistosoma japonicum
clim_down;min;2070;6,62722,-7298,clim_down,min,2070,6,schistosoma japonicum
clim_down;min;2070;8.5,45156,-5325,clim_down,min,2070,8.5,schistosoma japonicum
clim_down;min;2080;2.6,70840,-9058,clim_down,min,2080,2.6,schistosoma japonicum
clim_down;min;2080;4.5,52601,-6140,clim_down,min,2080,4.5,schistosoma japonicum
clim_down;min;2080;6,47469,-4468,clim_down,min,2080,6,schistosoma japonicum
clim_up;max;2030;2.6,58644,2229,clim_up,max,2030,2.6,schistosoma japonicum
clim_up;max;2030;4.5,66715,2464,clim_up,max,2030,4.5,schistosoma japonicum
clim_up;max;2030;6,68833,2334,clim_up,max,2030,6,schistosoma japonicum
clim_up;max;2030;8.5,80386,2731,clim_up,max,2030,8.5,schistosoma japonicum
clim_up;max;2050;2.6,69532,2237,clim_up,max,2050,2.6,schistosoma japonicum
clim_up;max;2050;4.5,92567,3008,clim_up,max,2050,4.5,schistosoma japonicum
clim_up;max;2050;6,78817,2836,clim_up,max,2050,6,schistosoma japonicum
clim_up;max;2050;8.5,80081,2449,clim_up,max,2050,8.5,schistosoma japonicum
clim_up;max;2070;2.6,77875,2283,clim_up,max,2070,2.6,schistosoma japonicum
clim_up;max;2070;4.5,95024,2972,clim_up,max,2070,4.5,schistosoma japonicum
clim_up;max;2070;6,63166,2527,clim_up,max,2070,6,schistosoma japonicum
clim_up;max;2070;8.5,76560,2446,clim_up,max,2070,8.5,schistosoma japonicum
