year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,718,-1571,clim_down,max,2030,2.6,schistosoma malayensis
clim_down;max;2030;4.5,765,-1973,clim_down,max,2030,4.5,schistosoma malayensis
clim_down;max;2030;6,663,-2359,clim_down,max,2030,6,schistosoma malayensis
clim_down;max;2030;8.5,497,-2282,clim_down,max,2030,8.5,schistosoma malayensis
clim_down;max;2050;2.6,410,-1688,clim_down,max,2050,2.6,schistosoma malayensis
clim_down;max;2050;4.5,678,-1125,clim_down,max,2050,4.5,schistosoma malayensis
clim_down;max;2050;6,644,-1849,clim_down,max,2050,6,schistosoma malayensis
clim_down;max;2050;8.5,187,-2520,clim_down,max,2050,8.5,schistosoma malayensis
clim_down;max;2070;2.6,143,-2767,clim_down,max,2070,2.6,schistosoma malayensis
clim_down;max;2070;4.5,108,-3220,clim_down,max,2070,4.5,schistosoma malayensis
clim_down;max;2070;6,26,-3461,clim_down,max,2070,6,schistosoma malayensis
clim_down;max;2070;8.5,239,-1449,clim_down,max,2070,8.5,schistosoma malayensis
clim_down;max;2080;2.6,142,-2358,clim_down,max,2080,2.6,schistosoma malayensis
clim_down;max;2080;4.5,103,-2805,clim_down,max,2080,4.5,schistosoma malayensis
clim_down;max;2080;6,206,-1314,clim_down,max,2080,6,schistosoma malayensis
clim_down;max;2080;8.5,46,-3042,clim_down,max,2080,8.5,schistosoma malayensis
clim_down;mean;2030;2.6,1568,-1909,clim_down,mean,2030,2.6,schistosoma malayensis
clim_down;mean;2030;4.5,2171,-1986,clim_down,mean,2030,4.5,schistosoma malayensis
clim_down;mean;2030;6,1814,-2843,clim_down,mean,2030,6,schistosoma malayensis
clim_down;mean;2030;8.5,1746,-2625,clim_down,mean,2030,8.5,schistosoma malayensis
clim_down;mean;2050;2.6,1435,-1650,clim_down,mean,2050,2.6,schistosoma malayensis
clim_down;mean;2050;4.5,1716,-779,clim_down,mean,2050,4.5,schistosoma malayensis
clim_down;mean;2050;6,1519,-2379,clim_down,mean,2050,6,schistosoma malayensis
clim_down;mean;2050;8.5,1504,-2656,clim_down,mean,2050,8.5,schistosoma malayensis
clim_down;mean;2070;2.6,987,-3459,clim_down,mean,2070,2.6,schistosoma malayensis
clim_down;mean;2070;4.5,1032,-4049,clim_down,mean,2070,4.5,schistosoma malayensis
clim_down;mean;2070;6,273,-5022,clim_down,mean,2070,6,schistosoma malayensis
clim_down;mean;2070;8.5,632,-2286,clim_down,mean,2070,8.5,schistosoma malayensis
clim_down;mean;2080;2.6,809,-3178,clim_down,mean,2080,2.6,schistosoma malayensis
clim_down;mean;2080;4.5,1194,-2931,clim_down,mean,2080,4.5,schistosoma malayensis
clim_down;mean;2080;6,438,-2222,clim_down,mean,2080,6,schistosoma malayensis
clim_down;mean;2080;8.5,896,-3891,clim_down,mean,2080,8.5,schistosoma malayensis
