year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,101524,-46195,clim_down,max,2030,2.6,schistosoma mansoni
clim_down;max;2030;4.5,87798,-35846,clim_down,max,2030,4.5,schistosoma mansoni
clim_down;max;2030;8.5,112501,-82582,clim_down,max,2030,8.5,schistosoma mansoni
clim_down;max;2050;4.5,85284,-157243,clim_down,max,2050,4.5,schistosoma mansoni
clim_down;max;2050;6,106036,-79208,clim_down,max,2050,6,schistosoma mansoni
clim_down;max;2050;8.5,115990,-117412,clim_down,max,2050,8.5,schistosoma mansoni
clim_down;max;2070;2.6,80701,-85695,clim_down,max,2070,2.6,schistosoma mansoni
clim_down;max;2070;4.5,102512,-133805,clim_down,max,2070,4.5,schistosoma mansoni
clim_down;max;2070;6,89507,-143960,clim_down,max,2070,6,schistosoma mansoni
clim_down;max;2070;8.5,86008,-188651,clim_down,max,2070,8.5,schistosoma mansoni
clim_down;max;2080;2.6,110462,-98061,clim_down,max,2080,2.6,schistosoma mansoni
clim_down;max;2080;4.5,112413,-91988,clim_down,max,2080,4.5,schistosoma mansoni
clim_down;max;2080;6,99695,-141867,clim_down,max,2080,6,schistosoma mansoni
clim_down;max;2080;8.5,64834,-220321,clim_down,max,2080,8.5,schistosoma mansoni
clim_down;mean;2030;2.6,183795,-1116,clim_down,mean,2030,2.6,schistosoma mansoni
clim_down;mean;2030;4.5,175480,-4323,clim_down,mean,2030,4.5,schistosoma mansoni
clim_down;mean;2030;8.5,272824,-3279,clim_down,mean,2030,8.5,schistosoma mansoni
clim_down;mean;2050;4.5,384222,-14883,clim_down,mean,2050,4.5,schistosoma mansoni
clim_down;mean;2050;6,258304,-5081,clim_down,mean,2050,6,schistosoma mansoni
clim_down;mean;2050;8.5,341510,-8513,clim_down,mean,2050,8.5,schistosoma mansoni
clim_down;mean;2070;2.6,260202,-4327,clim_down,mean,2070,2.6,schistosoma mansoni
clim_down;mean;2070;4.5,350629,-4414,clim_down,mean,2070,4.5,schistosoma mansoni
clim_down;mean;2070;6,366222,-17771,clim_down,mean,2070,6,schistosoma mansoni
clim_down;mean;2070;8.5,455203,-22823,clim_down,mean,2070,8.5,schistosoma mansoni
clim_down;mean;2080;2.6,276959,-1118,clim_down,mean,2080,2.6,schistosoma mansoni
clim_down;mean;2080;4.5,284428,-10526,clim_down,mean,2080,4.5,schistosoma mansoni
clim_down;mean;2080;6,368946,-14923,clim_down,mean,2080,6,schistosoma mansoni
clim_down;mean;2080;8.5,486889,-44506,clim_down,mean,2080,8.5,schistosoma mansoni
clim_down;min;2030;2.6,185666,-101,clim_down,min,2030,2.6,schistosoma mansoni
clim_down;min;2030;4.5,180909,-23,clim_down,min,2030,4.5,schistosoma mansoni
clim_down;min;2030;8.5,277661,-20,clim_down,min,2030,8.5,schistosoma mansoni
clim_down;min;2050;4.5,402165,-939,clim_down,min,2050,4.5,schistosoma mansoni
clim_down;min;2050;6,264458,-70,clim_down,min,2050,6,schistosoma mansoni
clim_down;min;2050;8.5,352144,-396,clim_down,min,2050,8.5,schistosoma mansoni
clim_down;min;2070;2.6,265779,-119,clim_down,min,2070,2.6,schistosoma mansoni
clim_down;min;2070;4.5,356971,-458,clim_down,min,2070,4.5,schistosoma mansoni
clim_down;min;2070;6,386009,-684,clim_down,min,2070,6,schistosoma mansoni
clim_down;min;2070;8.5,481063,-1996,clim_down,min,2070,8.5,schistosoma mansoni
clim_down;min;2080;2.6,278753,-3,clim_down,min,2080,2.6,schistosoma mansoni
clim_down;min;2080;4.5,296097,-701,clim_down,min,2080,4.5,schistosoma mansoni
clim_down;min;2080;6,385841,-968,clim_down,min,2080,6,schistosoma mansoni
clim_down;min;2080;8.5,539733,-3246,clim_down,min,2080,8.5,schistosoma mansoni
clim_up;max;2030;2.6,19065,1573,clim_up,max,2030,2.6,schistosoma mansoni
clim_up;max;2030;4.5,25589,1398,clim_up,max,2030,4.5,schistosoma mansoni
clim_up;max;2030;8.5,9675,975,clim_up,max,2030,8.5,schistosoma mansoni
clim_up;max;2050;4.5,3477,390,clim_up,max,2050,4.5,schistosoma mansoni
clim_up;max;2050;6,11409,509,clim_up,max,2050,6,schistosoma mansoni
clim_up;max;2050;8.5,4867,292,clim_up,max,2050,8.5,schistosoma mansoni
clim_up;max;2070;2.6,24200,1281,clim_up,max,2070,2.6,schistosoma mansoni
clim_up;max;2070;4.5,7520,502,clim_up,max,2070,4.5,schistosoma mansoni
clim_up;max;2070;6,7934,441,clim_up,max,2070,6,schistosoma mansoni
clim_up;max;2070;8.5,2425,189,clim_up,max,2070,8.5,schistosoma mansoni
clim_up;max;2080;2.6,9640,661,clim_up,max,2080,2.6,schistosoma mansoni
clim_up;max;2080;4.5,11103,584,clim_up,max,2080,4.5,schistosoma mansoni
clim_up;max;2080;6,6150,381,clim_up,max,2080,6,schistosoma mansoni
clim_up;max;2080;8.5,1682,95,clim_up,max,2080,8.5,schistosoma mansoni
clim_up;mean;2030;2.6,392635,62116,clim_up,mean,2030,2.6,schistosoma mansoni
