year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;4.5,1435,-16500,clim_down,max,2030,4.5,sindbis
clim_down;max;2030;6,1567,-16516,clim_down,max,2030,6,sindbis
clim_down;max;2030;8.5,1532,-16097,clim_down,max,2030,8.5,sindbis
clim_down;max;2050;2.6,1443,-17810,clim_down,max,2050,2.6,sindbis
clim_down;max;2050;4.5,1275,-24942,clim_down,max,2050,4.5,sindbis
clim_down;max;2070;4.5,296,-30193,clim_down,max,2070,4.5,sindbis
clim_down;max;2070;6,109,-32349,clim_down,max,2070,6,sindbis
clim_down;max;2080;2.6,1091,-12312,clim_down,max,2080,2.6,sindbis
clim_down;max;2080;4.5,237,-29619,clim_down,max,2080,4.5,sindbis
clim_down;max;2080;6,6,-30977,clim_down,max,2080,6,sindbis
clim_down;max;2080;8.5,3,-31314,clim_down,max,2080,8.5,sindbis
clim_down;mean;2030;4.5,1553,-17608,clim_down,mean,2030,4.5,sindbis
clim_down;mean;2030;6,1752,-17614,clim_down,mean,2030,6,sindbis
clim_down;mean;2030;8.5,1789,-17062,clim_down,mean,2030,8.5,sindbis
clim_down;mean;2050;2.6,1640,-18946,clim_down,mean,2050,2.6,sindbis
clim_down;mean;2050;4.5,1344,-26236,clim_down,mean,2050,4.5,sindbis
clim_down;mean;2070;4.5,420,-31454,clim_down,mean,2070,4.5,sindbis
clim_down;mean;2070;6,266,-33754,clim_down,mean,2070,6,sindbis
clim_down;mean;2080;2.6,1277,-12903,clim_down,mean,2080,2.6,sindbis
clim_down;mean;2080;4.5,348,-30912,clim_down,mean,2080,4.5,sindbis
clim_down;mean;2080;6,7,-32396,clim_down,mean,2080,6,sindbis
clim_down;mean;2080;8.5,4,-32753,clim_down,mean,2080,8.5,sindbis
clim_down;min;2030;4.5,32757,-25616,clim_down,min,2030,4.5,sindbis
clim_down;min;2030;6,32438,-24424,clim_down,min,2030,6,sindbis
clim_down;min;2030;8.5,28379,-22241,clim_down,min,2030,8.5,sindbis
clim_down;min;2050;2.6,32634,-28619,clim_down,min,2050,2.6,sindbis
clim_down;min;2050;4.5,32787,-39829,clim_down,min,2050,4.5,sindbis
clim_down;min;2070;4.5,31528,-50027,clim_down,min,2070,4.5,sindbis
clim_down;min;2070;6,34271,-61834,clim_down,min,2070,6,sindbis
clim_down;min;2080;2.6,21750,-10038,clim_down,min,2080,2.6,sindbis
clim_down;min;2080;4.5,28726,-60121,clim_down,min,2080,4.5,sindbis
clim_down;min;2080;6,18592,-67954,clim_down,min,2080,6,sindbis
clim_down;min;2080;8.5,13458,-83239,clim_down,min,2080,8.5,sindbis
clim_up;max;2030;4.5,117,0,clim_up,max,2030,4.5,sindbis
clim_up;max;2030;6,120,0,clim_up,max,2030,6,sindbis
clim_up;max;2030;8.5,436,0,clim_up,max,2030,8.5,sindbis
clim_up;max;2050;2.6,6,3,clim_up,max,2050,2.6,sindbis
clim_up;max;2050;4.5,405,1,clim_up,max,2050,4.5,sindbis
clim_up;max;2070;4.5,361,0,clim_up,max,2070,4.5,sindbis
clim_up;max;2080;2.6,2456,51,clim_up,max,2080,2.6,sindbis
clim_up;max;2080;4.5,200,0,clim_up,max,2080,4.5,sindbis
clim_up;max;2080;6,330,0,clim_up,max,2080,6,sindbis
clim_up;max;2080;8.5,4,0,clim_up,max,2080,8.5,sindbis
clim_up;mean;2030;4.5,118,1,clim_up,mean,2030,4.5,sindbis
clim_up;mean;2030;6,121,1,clim_up,mean,2030,6,sindbis
clim_up;mean;2030;8.5,437,1,clim_up,mean,2030,8.5,sindbis
clim_up;mean;2050;2.6,11,8,clim_up,mean,2050,2.6,sindbis
clim_up;mean;2050;4.5,425,2,clim_up,mean,2050,4.5,sindbis
clim_up;mean;2070;4.5,362,1,clim_up,mean,2070,4.5,sindbis
clim_up;mean;2080;2.6,2580,58,clim_up,mean,2080,2.6,sindbis
clim_up;mean;2080;4.5,201,1,clim_up,mean,2080,4.5,sindbis
clim_up;mean;2080;6,331,1,clim_up,mean,2080,6,sindbis
clim_up;mean;2080;8.5,4,0,clim_up,mean,2080,8.5,sindbis
clim_up;min;2030;4.5,6030,289,clim_up,min,2030,4.5,sindbis
clim_up;min;2030;6,5724,152,clim_up,min,2030,6,sindbis
clim_up;min;2030;8.5,11177,422,clim_up,min,2030,8.5,sindbis
clim_up;min;2050;2.6,3579,120,clim_up,min,2050,2.6,sindbis
clim_up;min;2050;4.5,8336,352,clim_up,min,2050,4.5,sindbis
clim_up;min;2070;4.5,7419,374,clim_up,min,2070,4.5,sindbis
clim_up;min;2070;6,866,56,clim_up,min,2070,6,sindbis
clim_up;min;2080;2.6,23619,747,clim_up,min,2080,2.6,sindbis
clim_up;min;2080;4.5,5744,356,clim_up,min,2080,4.5,sindbis
clim_up;min;2080;6,6690,500,clim_up,min,2080,6,sindbis
clim_up;min;2080;8.5,2292,78,clim_up,min,2080,8.5,sindbis
dummy;max;2030;4.5,13587,-19317,dummy,max,2030,4.5,sindbis
dummy;max;2030;6,13875,-19029,dummy,max,2030,6,sindbis
dummy;max;2030;8.5,13449,-19455,dummy,max,2030,8.5,sindbis
