year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,4805,-59059,clim_down,max,2030,2.6,spondweni
clim_down;max;2030;4.5,21248,-37630,clim_down,max,2030,4.5,spondweni
clim_down;max;2030;6,17845,-29766,clim_down,max,2030,6,spondweni
clim_down;max;2030;8.5,15447,-39614,clim_down,max,2030,8.5,spondweni
clim_down;max;2050;2.6,20994,-34644,clim_down,max,2050,2.6,spondweni
clim_down;max;2050;4.5,19631,-40870,clim_down,max,2050,4.5,spondweni
clim_down;max;2050;6,15817,-35635,clim_down,max,2050,6,spondweni
clim_down;max;2050;8.5,10685,-51328,clim_down,max,2050,8.5,spondweni
clim_down;max;2070;2.6,19954,-38490,clim_down,max,2070,2.6,spondweni
clim_down;max;2070;4.5,16750,-42662,clim_down,max,2070,4.5,spondweni
clim_down;max;2070;6,15896,-45916,clim_down,max,2070,6,spondweni
clim_down;max;2070;8.5,8743,-63617,clim_down,max,2070,8.5,spondweni
clim_down;max;2080;2.6,20925,-37133,clim_down,max,2080,2.6,spondweni
clim_down;max;2080;4.5,12163,-49870,clim_down,max,2080,4.5,spondweni
clim_down;max;2080;6,22968,-66028,clim_down,max,2080,6,spondweni
clim_down;max;2080;8.5,5287,-60992,clim_down,max,2080,8.5,spondweni
clim_down;mean;2030;2.6,37146,-217116,clim_down,mean,2030,2.6,spondweni
clim_down;mean;2030;4.5,153178,-34303,clim_down,mean,2030,4.5,spondweni
clim_down;mean;2030;6,142093,-11484,clim_down,mean,2030,6,spondweni
clim_down;mean;2030;8.5,134527,-36479,clim_down,mean,2030,8.5,spondweni
clim_down;mean;2050;2.6,148609,-29873,clim_down,mean,2050,2.6,spondweni
clim_down;mean;2050;4.5,150275,-26496,clim_down,mean,2050,4.5,spondweni
clim_down;mean;2050;6,134155,-32734,clim_down,mean,2050,6,spondweni
clim_down;mean;2050;8.5,139583,-31793,clim_down,mean,2050,8.5,spondweni
clim_down;mean;2070;2.6,152383,-36418,clim_down,mean,2070,2.6,spondweni
clim_down;mean;2070;4.5,147566,-27879,clim_down,mean,2070,4.5,spondweni
clim_down;mean;2070;6,143983,-36792,clim_down,mean,2070,6,spondweni
clim_down;mean;2070;8.5,130274,-27304,clim_down,mean,2070,8.5,spondweni
clim_down;mean;2080;2.6,146551,-30596,clim_down,mean,2080,2.6,spondweni
clim_down;mean;2080;4.5,138099,-31261,clim_down,mean,2080,4.5,spondweni
clim_down;mean;2080;6,189838,-27989,clim_down,mean,2080,6,spondweni
clim_down;mean;2080;8.5,126489,-32994,clim_down,mean,2080,8.5,spondweni
clim_down;min;2030;2.6,219277,-85582,clim_down,min,2030,2.6,spondweni
clim_down;min;2030;4.5,204204,-1163,clim_down,min,2030,4.5,spondweni
clim_down;min;2030;6,169323,-505,clim_down,min,2030,6,spondweni
clim_down;min;2030;8.5,177878,-1002,clim_down,min,2030,8.5,spondweni
clim_down;min;2050;2.6,196303,-1547,clim_down,min,2050,2.6,spondweni
clim_down;min;2050;4.5,186434,-752,clim_down,min,2050,4.5,spondweni
clim_down;min;2050;6,180210,-1221,clim_down,min,2050,6,spondweni
clim_down;min;2050;8.5,178604,-949,clim_down,min,2050,8.5,spondweni
clim_down;min;2070;2.6,211120,-1960,clim_down,min,2070,2.6,spondweni
clim_down;min;2070;4.5,188519,-853,clim_down,min,2070,4.5,spondweni
clim_down;min;2070;6,191712,-977,clim_down,min,2070,6,spondweni
clim_down;min;2070;8.5,164001,-947,clim_down,min,2070,8.5,spondweni
clim_down;min;2080;2.6,193626,-1376,clim_down,min,2080,2.6,spondweni
clim_down;min;2080;4.5,178301,-960,clim_down,min,2080,4.5,spondweni
clim_down;min;2080;6,234073,-1823,clim_down,min,2080,6,spondweni
clim_down;min;2080;8.5,164126,-1139,clim_down,min,2080,8.5,spondweni
clim_up;max;2030;2.6,47,0,clim_up,max,2030,2.6,spondweni
clim_up;max;2030;4.5,10599,397,clim_up,max,2030,4.5,spondweni
clim_up;max;2030;6,23242,398,clim_up,max,2030,6,spondweni
clim_up;max;2030;8.5,11215,353,clim_up,max,2030,8.5,spondweni
clim_up;max;2050;2.6,9863,287,clim_up,max,2050,2.6,spondweni
clim_up;max;2050;4.5,21562,484,clim_up,max,2050,4.5,spondweni
clim_up;max;2050;6,46834,741,clim_up,max,2050,6,spondweni
clim_up;max;2050;8.5,17433,442,clim_up,max,2050,8.5,spondweni
clim_up;max;2070;2.6,12383,376,clim_up,max,2070,2.6,spondweni
clim_up;max;2070;4.5,16018,487,clim_up,max,2070,4.5,spondweni
clim_up;max;2070;6,25431,641,clim_up,max,2070,6,spondweni
clim_up;max;2070;8.5,6132,195,clim_up,max,2070,8.5,spondweni
clim_up;max;2080;2.6,7852,335,clim_up,max,2080,2.6,spondweni
clim_up;max;2080;4.5,15005,461,clim_up,max,2080,4.5,spondweni
clim_up;max;2080;6,1179,201,clim_up,max,2080,6,spondweni
clim_up;max;2080;8.5,27340,601,clim_up,max,2080,8.5,spondweni
clim_up;mean;2030;2.6,1669,33,clim_up,mean,2030,2.6,spondweni
clim_up;mean;2030;4.5,128037,3461,clim_up,mean,2030,4.5,spondweni
clim_up;mean;2030;6,151872,4557,clim_up,mean,2030,6,spondweni
clim_up;mean;2030;8.5,147077,4715,clim_up,mean,2030,8.5,spondweni
clim_up;mean;2050;2.6,134441,4545,clim_up,mean,2050,2.6,spondweni
clim_up;mean;2050;4.5,173709,5172,clim_up,mean,2050,4.5,spondweni
clim_up;mean;2050;6,227930,4804,clim_up,mean,2050,6,spondweni
clim_up;mean;2050;8.5,187788,5297,clim_up,mean,2050,8.5,spondweni
clim_up;mean;2070;2.6,122452,3845,clim_up,mean,2070,2.6,spondweni
clim_up;mean;2070;4.5,179842,5043,clim_up,mean,2070,4.5,spondweni
clim_up;mean;2070;6,187518,4872,clim_up,mean,2070,6,spondweni
clim_up;mean;2070;8.5,184389,5761,clim_up,mean,2070,8.5,spondweni
