year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,26131,-7343,clim_down,max,2030,2.6,tamiami
clim_down;max;2030;4.5,8614,-3155,clim_down,max,2030,4.5,tamiami
clim_down;max;2030;6,3752,-1428,clim_down,max,2030,6,tamiami
clim_down;max;2030;8.5,1206,-966,clim_down,max,2030,8.5,tamiami
clim_down;max;2050;2.6,10717,-2944,clim_down,max,2050,2.6,tamiami
clim_down;max;2050;4.5,202,-163,clim_down,max,2050,4.5,tamiami
clim_down;max;2050;6,4838,-1036,clim_down,max,2050,6,tamiami
clim_down;max;2050;8.5,4750,-2756,clim_down,max,2050,8.5,tamiami
clim_down;max;2070;2.6,1744,-971,clim_down,max,2070,2.6,tamiami
clim_down;max;2070;4.5,1436,-1234,clim_down,max,2070,4.5,tamiami
clim_down;max;2070;6,4368,-2174,clim_down,max,2070,6,tamiami
clim_down;max;2070;8.5,1896,-956,clim_down,max,2070,8.5,tamiami
clim_down;max;2080;2.6,18172,-9483,clim_down,max,2080,2.6,tamiami
clim_down;max;2080;4.5,2093,-1018,clim_down,max,2080,4.5,tamiami
clim_down;max;2080;6,1371,-754,clim_down,max,2080,6,tamiami
clim_down;max;2080;8.5,2172,-1506,clim_down,max,2080,8.5,tamiami
clim_down;mean;2030;2.6,47462,-15615,clim_down,mean,2030,2.6,tamiami
clim_down;mean;2030;4.5,17592,-2904,clim_down,mean,2030,4.5,tamiami
clim_down;mean;2030;6,11578,-2308,clim_down,mean,2030,6,tamiami
clim_down;mean;2030;8.5,6692,-879,clim_down,mean,2030,8.5,tamiami
clim_down;mean;2050;2.6,19319,-1670,clim_down,mean,2050,2.6,tamiami
clim_down;mean;2050;4.5,3302,-1029,clim_down,mean,2050,4.5,tamiami
clim_down;mean;2050;6,10212,-675,clim_down,mean,2050,6,tamiami
clim_down;mean;2050;8.5,9193,-327,clim_down,mean,2050,8.5,tamiami
clim_down;mean;2070;2.6,4926,-418,clim_down,mean,2070,2.6,tamiami
clim_down;mean;2070;4.5,5450,-729,clim_down,mean,2070,4.5,tamiami
clim_down;mean;2070;6,11447,-2622,clim_down,mean,2070,6,tamiami
clim_down;mean;2070;8.5,4456,-418,clim_down,mean,2070,8.5,tamiami
clim_down;mean;2080;2.6,45381,-21709,clim_down,mean,2080,2.6,tamiami
clim_down;mean;2080;4.5,4704,-330,clim_down,mean,2080,4.5,tamiami
clim_down;mean;2080;6,3574,-502,clim_down,mean,2080,6,tamiami
clim_down;mean;2080;8.5,5521,-510,clim_down,mean,2080,8.5,tamiami
clim_down;min;2030;2.6,61838,-10096,clim_down,min,2030,2.6,tamiami
clim_down;min;2030;4.5,21836,-498,clim_down,min,2030,4.5,tamiami
clim_down;min;2030;6,14610,-169,clim_down,min,2030,6,tamiami
clim_down;min;2030;8.5,8023,-8,clim_down,min,2030,8.5,tamiami
clim_down;min;2050;2.6,21569,-95,clim_down,min,2050,2.6,tamiami
clim_down;min;2050;4.5,4685,-310,clim_down,min,2050,4.5,tamiami
clim_down;min;2050;6,11117,-4,clim_down,min,2050,6,tamiami
clim_down;min;2050;8.5,9549,-4,clim_down,min,2050,8.5,tamiami
clim_down;min;2070;2.6,5573,-3,clim_down,min,2070,2.6,tamiami
clim_down;min;2070;4.5,6249,0,clim_down,min,2070,4.5,tamiami
clim_down;min;2070;6,14659,-523,clim_down,min,2070,6,tamiami
clim_down;min;2070;8.5,4907,-12,clim_down,min,2070,8.5,tamiami
clim_down;min;2080;2.6,64442,-14744,clim_down,min,2080,2.6,tamiami
clim_down;min;2080;4.5,5082,0,clim_down,min,2080,4.5,tamiami
clim_down;min;2080;6,4264,-29,clim_down,min,2080,6,tamiami
clim_down;min;2080;8.5,6034,-46,clim_down,min,2080,8.5,tamiami
clim_up;max;2030;2.6,59851,717,clim_up,max,2030,2.6,tamiami
clim_up;max;2030;4.5,122939,2035,clim_up,max,2030,4.5,tamiami
clim_up;max;2030;6,153815,1834,clim_up,max,2030,6,tamiami
clim_up;max;2030;8.5,152699,2504,clim_up,max,2030,8.5,tamiami
clim_up;max;2050;2.6,119449,1943,clim_up,max,2050,2.6,tamiami
clim_up;max;2050;4.5,167968,2905,clim_up,max,2050,4.5,tamiami
clim_up;max;2050;6,146524,2162,clim_up,max,2050,6,tamiami
clim_up;max;2050;8.5,155506,3057,clim_up,max,2050,8.5,tamiami
clim_up;max;2070;2.6,153040,2534,clim_up,max,2070,2.6,tamiami
clim_up;max;2070;4.5,163643,3277,clim_up,max,2070,4.5,tamiami
clim_up;max;2070;6,163025,2882,clim_up,max,2070,6,tamiami
clim_up;max;2070;8.5,167108,3242,clim_up,max,2070,8.5,tamiami
clim_up;max;2080;2.6,60650,385,clim_up,max,2080,2.6,tamiami
clim_up;max;2080;4.5,163539,3103,clim_up,max,2080,4.5,tamiami
clim_up;max;2080;6,171014,3174,clim_up,max,2080,6,tamiami
clim_up;max;2080;8.5,167568,3269,clim_up,max,2080,8.5,tamiami
clim_up;mean;2030;2.6,78622,621,clim_up,mean,2030,2.6,tamiami
clim_up;mean;2030;4.5,174057,2459,clim_up,mean,2030,4.5,tamiami
clim_up;mean;2030;6,207547,2223,clim_up,mean,2030,6,tamiami
clim_up;mean;2030;8.5,211314,3342,clim_up,mean,2030,8.5,tamiami
clim_up;mean;2050;2.6,175731,2755,clim_up,mean,2050,2.6,tamiami
clim_up;mean;2050;4.5,235032,4641,clim_up,mean,2050,4.5,tamiami
clim_up;mean;2050;6,208868,3355,clim_up,mean,2050,6,tamiami
clim_up;mean;2050;8.5,229653,5579,clim_up,mean,2050,8.5,tamiami
clim_up;mean;2070;2.6,220645,4638,clim_up,mean,2070,2.6,tamiami
clim_up;mean;2070;4.5,233125,4986,clim_up,mean,2070,4.5,tamiami
clim_up;mean;2070;6,225968,4599,clim_up,mean,2070,6,tamiami
