year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,4698,-1335,clim_down,max,2030,2.6,tensaw
clim_down;max;2030;4.5,8577,-3496,clim_down,max,2030,4.5,tensaw
clim_down;max;2030;6,11686,-589,clim_down,max,2030,6,tensaw
clim_down;max;2030;8.5,9857,-4982,clim_down,max,2030,8.5,tensaw
clim_down;max;2050;2.6,2996,-479,clim_down,max,2050,2.6,tensaw
clim_down;max;2050;4.5,12118,-7130,clim_down,max,2050,4.5,tensaw
clim_down;max;2050;6,10273,-1319,clim_down,max,2050,6,tensaw
clim_down;max;2050;8.5,13935,-3153,clim_down,max,2050,8.5,tensaw
clim_down;max;2070;2.6,25764,-14365,clim_down,max,2070,2.6,tensaw
clim_down;max;2070;4.5,11488,-3423,clim_down,max,2070,4.5,tensaw
clim_down;max;2070;6,10568,-1658,clim_down,max,2070,6,tensaw
clim_down;max;2070;8.5,10626,-5467,clim_down,max,2070,8.5,tensaw
clim_down;max;2080;2.6,12313,-4646,clim_down,max,2080,2.6,tensaw
clim_down;max;2080;4.5,15411,-3204,clim_down,max,2080,4.5,tensaw
clim_down;max;2080;6,8833,-2559,clim_down,max,2080,6,tensaw
clim_down;max;2080;8.5,22516,-17035,clim_down,max,2080,8.5,tensaw
clim_down;mean;2030;2.6,19255,-20272,clim_down,mean,2030,2.6,tensaw
clim_down;mean;2030;4.5,29823,-11867,clim_down,mean,2030,4.5,tensaw
clim_down;mean;2030;6,22922,-14802,clim_down,mean,2030,6,tensaw
clim_down;mean;2030;8.5,35178,-14529,clim_down,mean,2030,8.5,tensaw
clim_down;mean;2050;2.6,18940,-18869,clim_down,mean,2050,2.6,tensaw
clim_down;mean;2050;4.5,35027,-12707,clim_down,mean,2050,4.5,tensaw
clim_down;mean;2050;6,24098,-12679,clim_down,mean,2050,6,tensaw
clim_down;mean;2050;8.5,27550,-12159,clim_down,mean,2050,8.5,tensaw
clim_down;mean;2070;2.6,66737,-22366,clim_down,mean,2070,2.6,tensaw
clim_down;mean;2070;4.5,31838,-9145,clim_down,mean,2070,4.5,tensaw
clim_down;mean;2070;6,22334,-16957,clim_down,mean,2070,6,tensaw
clim_down;mean;2070;8.5,36168,-21927,clim_down,mean,2070,8.5,tensaw
clim_down;mean;2080;2.6,38604,-13176,clim_down,mean,2080,2.6,tensaw
clim_down;mean;2080;4.5,33551,-12778,clim_down,mean,2080,4.5,tensaw
clim_down;mean;2080;6,23440,-15462,clim_down,mean,2080,6,tensaw
clim_down;mean;2080;8.5,63887,-26302,clim_down,mean,2080,8.5,tensaw
clim_down;min;2030;2.6,33934,-15233,clim_down,min,2030,2.6,tensaw
clim_down;min;2030;4.5,40176,-8107,clim_down,min,2030,4.5,tensaw
clim_down;min;2030;6,33818,-11829,clim_down,min,2030,6,tensaw
clim_down;min;2030;8.5,47632,-9258,clim_down,min,2030,8.5,tensaw
clim_down;min;2050;2.6,34525,-13397,clim_down,min,2050,2.6,tensaw
clim_down;min;2050;4.5,46316,-8683,clim_down,min,2050,4.5,tensaw
clim_down;min;2050;6,35150,-9000,clim_down,min,2050,6,tensaw
clim_down;min;2050;8.5,36847,-9605,clim_down,min,2050,8.5,tensaw
clim_down;min;2070;2.6,85746,-9892,clim_down,min,2070,2.6,tensaw
clim_down;min;2070;4.5,39737,-6763,clim_down,min,2070,4.5,tensaw
clim_down;min;2070;6,32957,-14503,clim_down,min,2070,6,tensaw
clim_down;min;2070;8.5,49052,-16453,clim_down,min,2070,8.5,tensaw
clim_down;min;2080;2.6,50287,-9063,clim_down,min,2080,2.6,tensaw
clim_down;min;2080;4.5,43794,-8754,clim_down,min,2080,4.5,tensaw
clim_down;min;2080;6,34839,-11221,clim_down,min,2080,6,tensaw
clim_down;min;2080;8.5,82903,-14150,clim_down,min,2080,8.5,tensaw
clim_up;max;2030;2.6,75933,4967,clim_up,max,2030,2.6,tensaw
clim_up;max;2030;4.5,72094,5191,clim_up,max,2030,4.5,tensaw
clim_up;max;2030;6,59445,5346,clim_up,max,2030,6,tensaw
clim_up;max;2030;8.5,76648,4814,clim_up,max,2030,8.5,tensaw
clim_up;max;2050;2.6,91077,4776,clim_up,max,2050,2.6,tensaw
clim_up;max;2050;4.5,73282,4138,clim_up,max,2050,4.5,tensaw
clim_up;max;2050;6,66711,4592,clim_up,max,2050,6,tensaw
clim_up;max;2050;8.5,71387,4817,clim_up,max,2050,8.5,tensaw
clim_up;max;2070;2.6,47757,4058,clim_up,max,2070,2.6,tensaw
clim_up;max;2070;4.5,79428,4973,clim_up,max,2070,4.5,tensaw
clim_up;max;2070;6,64250,5369,clim_up,max,2070,6,tensaw
clim_up;max;2070;8.5,77765,4933,clim_up,max,2070,8.5,tensaw
clim_up;max;2080;2.6,67919,4388,clim_up,max,2080,2.6,tensaw
clim_up;max;2080;4.5,71266,4441,clim_up,max,2080,4.5,tensaw
clim_up;max;2080;6,82137,5180,clim_up,max,2080,6,tensaw
clim_up;max;2080;8.5,47373,3880,clim_up,max,2080,8.5,tensaw
clim_up;mean;2030;2.6,238667,9521,clim_up,mean,2030,2.6,tensaw
clim_up;mean;2030;4.5,237806,10457,clim_up,mean,2030,4.5,tensaw
clim_up;mean;2030;6,232736,9917,clim_up,mean,2030,6,tensaw
clim_up;mean;2030;8.5,233366,9391,clim_up,mean,2030,8.5,tensaw
clim_up;mean;2050;2.6,258183,8807,clim_up,mean,2050,2.6,tensaw
clim_up;mean;2050;4.5,232355,8823,clim_up,mean,2050,4.5,tensaw
clim_up;mean;2050;6,227638,10113,clim_up,mean,2050,6,tensaw
clim_up;mean;2050;8.5,249529,11617,clim_up,mean,2050,8.5,tensaw
clim_up;mean;2070;2.6,201269,9524,clim_up,mean,2070,2.6,tensaw
clim_up;mean;2070;4.5,256798,10308,clim_up,mean,2070,4.5,tensaw
clim_up;mean;2070;6,247869,10565,clim_up,mean,2070,6,tensaw
clim_up;mean;2070;8.5,239800,10217,clim_up,mean,2070,8.5,tensaw
clim_up;mean;2080;2.6,215711,9270,clim_up,mean,2080,2.6,tensaw
clim_up;mean;2080;4.5,241364,11015,clim_up,mean,2080,4.5,tensaw
clim_up;mean;2080;6,253486,10560,clim_up,mean,2080,6,tensaw
clim_up;mean;2080;8.5,209564,10206,clim_up,mean,2080,8.5,tensaw
clim_up;min;2030;2.6,285042,4978,clim_up,min,2030,2.6,tensaw
clim_up;min;2030;4.5,292919,6096,clim_up,min,2030,4.5,tensaw
clim_up;min;2030;6,285193,5353,clim_up,min,2030,6,tensaw
clim_up;min;2030;8.5,288709,6359,clim_up,min,2030,8.5,tensaw
clim_up;min;2050;2.6,305095,4938,clim_up,min,2050,2.6,tensaw
clim_up;min;2050;4.5,286860,6139,clim_up,min,2050,4.5,tensaw
clim_up;min;2050;6,279987,5343,clim_up,min,2050,6,tensaw
clim_up;min;2050;8.5,304205,6043,clim_up,min,2050,8.5,tensaw
clim_up;min;2070;2.6,256448,5494,clim_up,min,2070,2.6,tensaw
clim_up;min;2070;4.5,315167,6920,clim_up,min,2070,4.5,tensaw
clim_up;min;2070;6,302813,6317,clim_up,min,2070,6,tensaw
clim_up;min;2070;8.5,297778,7364,clim_up,min,2070,8.5,tensaw
clim_up;min;2080;2.6,266720,4724,clim_up,min,2080,2.6,tensaw
clim_up;min;2080;4.5,297483,6747,clim_up,min,2080,4.5,tensaw
clim_up;min;2080;6,308604,6156,clim_up,min,2080,6,tensaw
clim_up;min;2080;8.5,268575,7689,clim_up,min,2080,8.5,tensaw
dummy;max;2030;2.6,127360,3222,dummy,max,2030,2.6,tensaw
dummy;max;2030;4.5,125237,1099,dummy,max,2030,4.5,tensaw
dummy;max;2030;6,128510,4372,dummy,max,2030,6,tensaw
dummy;max;2030;8.5,123417,-721,dummy,max,2030,8.5,tensaw
dummy;max;2050;2.6,128098,3960,dummy,max,2050,2.6,tensaw
dummy;max;2050;4.5,120296,-3842,dummy,max,2050,4.5,tensaw
dummy;max;2050;6,127572,3434,dummy,max,2050,6,tensaw
dummy;max;2050;8.5,125538,1400,dummy,max,2050,8.5,tensaw
dummy;max;2070;2.6,112228,-11910,dummy,max,2070,2.6,tensaw
dummy;max;2070;4.5,124922,784,dummy,max,2070,4.5,tensaw
dummy;max;2070;6,127092,2954,dummy,max,2070,6,tensaw
dummy;max;2070;8.5,122739,-1399,dummy,max,2070,8.5,tensaw
dummy;max;2080;2.6,123136,-1002,dummy,max,2080,2.6,tensaw
dummy;max;2080;4.5,124253,115,dummy,max,2080,4.5,tensaw
dummy;max;2080;6,126594,2456,dummy,max,2080,6,tensaw
dummy;max;2080;8.5,109442,-14696,dummy,max,2080,8.5,tensaw
dummy;mean;2030;2.6,348236,-11618,dummy,mean,2030,2.6,tensaw
dummy;mean;2030;4.5,357724,-2130,dummy,mean,2030,4.5,tensaw
dummy;mean;2030;6,353619,-6235,dummy,mean,2030,6,tensaw
dummy;mean;2030;8.5,353819,-6035,dummy,mean,2030,8.5,tensaw
dummy;mean;2050;2.6,349057,-10797,dummy,mean,2050,2.6,tensaw
dummy;mean;2050;4.5,355139,-4715,dummy,mean,2050,4.5,tensaw
dummy;mean;2050;6,355923,-3931,dummy,mean,2050,6,tensaw
dummy;mean;2050;8.5,358496,-1358,dummy,mean,2050,8.5,tensaw
dummy;mean;2070;2.6,346454,-13399,dummy,mean,2070,2.6,tensaw
