year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,468,-12,clim_down,max,2030,2.6,thailand
clim_down;max;2030;4.5,2,0,clim_down,max,2030,4.5,thailand
clim_down;max;2030;6,138,-54,clim_down,max,2030,6,thailand
clim_down;max;2050;2.6,2458,-735,clim_down,max,2050,2.6,thailand
clim_down;max;2050;4.5,1,0,clim_down,max,2050,4.5,thailand
clim_down;max;2070;4.5,9,-41,clim_down,max,2070,4.5,thailand
clim_down;max;2070;6,13,-41,clim_down,max,2070,6,thailand
clim_down;max;2080;2.6,1243,-131,clim_down,max,2080,2.6,thailand
clim_down;mean;2030;2.6,541,-21,clim_down,mean,2030,2.6,thailand
clim_down;mean;2030;4.5,19,-9,clim_down,mean,2030,4.5,thailand
clim_down;mean;2030;6,170,-176,clim_down,mean,2030,6,thailand
clim_down;mean;2030;8.5,6,-5025,clim_down,mean,2030,8.5,thailand
clim_down;mean;2050;2.6,3937,-1440,clim_down,mean,2050,2.6,thailand
clim_down;mean;2050;4.5,6,0,clim_down,mean,2050,4.5,thailand
clim_down;mean;2070;2.6,143,-6,clim_down,mean,2070,2.6,thailand
clim_down;mean;2070;4.5,21,-64,clim_down,mean,2070,4.5,thailand
clim_down;mean;2070;6,31,-25,clim_down,mean,2070,6,thailand
clim_down;mean;2080;2.6,1688,-589,clim_down,mean,2080,2.6,thailand
clim_down;mean;2080;4.5,6,-5,clim_down,mean,2080,4.5,thailand
clim_down;min;2030;2.6,764,-2,clim_down,min,2030,2.6,thailand
clim_down;min;2030;4.5,104,-30,clim_down,min,2030,4.5,thailand
clim_down;min;2030;6,264,-227,clim_down,min,2030,6,thailand
clim_down;min;2030;8.5,3564,-2684,clim_down,min,2030,8.5,thailand
clim_down;min;2050;2.6,6992,-116,clim_down,min,2050,2.6,thailand
clim_down;min;2050;4.5,56,-20,clim_down,min,2050,4.5,thailand
clim_down;min;2050;8.5,1,-262,clim_down,min,2050,8.5,thailand
clim_down;min;2070;2.6,259,0,clim_down,min,2070,2.6,thailand
clim_down;min;2070;4.5,152,-22,clim_down,min,2070,4.5,thailand
clim_down;min;2070;6,50,-7,clim_down,min,2070,6,thailand
clim_down;min;2080;2.6,3006,-24,clim_down,min,2080,2.6,thailand
clim_down;min;2080;4.5,38,-6,clim_down,min,2080,4.5,thailand
clim_down;min;2080;6,92,-927,clim_down,min,2080,6,thailand
clim_up;max;2030;2.6,702,14,clim_up,max,2030,2.6,thailand
clim_up;max;2030;4.5,4720,74,clim_up,max,2030,4.5,thailand
