year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,1367,-133,clim_down,max,2030,2.6,thottapalayam
clim_down;max;2030;4.5,491,-120,clim_down,max,2030,4.5,thottapalayam
clim_down;max;2030;6,282,-123,clim_down,max,2030,6,thottapalayam
clim_down;max;2030;8.5,1256,-52,clim_down,max,2030,8.5,thottapalayam
clim_down;max;2050;2.6,908,-170,clim_down,max,2050,2.6,thottapalayam
clim_down;max;2050;4.5,574,-200,clim_down,max,2050,4.5,thottapalayam
clim_down;max;2050;6,428,-58,clim_down,max,2050,6,thottapalayam
clim_down;max;2050;8.5,562,-41,clim_down,max,2050,8.5,thottapalayam
clim_down;max;2070;2.6,2928,-100,clim_down,max,2070,2.6,thottapalayam
clim_down;max;2070;4.5,1629,-503,clim_down,max,2070,4.5,thottapalayam
clim_down;max;2070;6,147,-101,clim_down,max,2070,6,thottapalayam
clim_down;max;2070;8.5,156,-1,clim_down,max,2070,8.5,thottapalayam
clim_down;max;2080;2.6,779,-52,clim_down,max,2080,2.6,thottapalayam
clim_down;max;2080;4.5,215,-66,clim_down,max,2080,4.5,thottapalayam
clim_down;max;2080;6,176,-69,clim_down,max,2080,6,thottapalayam
clim_down;max;2080;8.5,90,0,clim_down,max,2080,8.5,thottapalayam
clim_down;mean;2030;2.6,3834,-227,clim_down,mean,2030,2.6,thottapalayam
clim_down;mean;2030;4.5,1835,-4634,clim_down,mean,2030,4.5,thottapalayam
clim_down;mean;2030;6,3067,-19,clim_down,mean,2030,6,thottapalayam
clim_down;mean;2030;8.5,1730,-8,clim_down,mean,2030,8.5,thottapalayam
clim_down;mean;2050;2.6,2140,-260,clim_down,mean,2050,2.6,thottapalayam
clim_down;mean;2050;4.5,881,-224,clim_down,mean,2050,4.5,thottapalayam
clim_down;mean;2050;6,612,-4,clim_down,mean,2050,6,thottapalayam
clim_down;mean;2050;8.5,1059,-13,clim_down,mean,2050,8.5,thottapalayam
clim_down;mean;2070;2.6,4812,-2575,clim_down,mean,2070,2.6,thottapalayam
clim_down;mean;2070;4.5,2158,-263,clim_down,mean,2070,4.5,thottapalayam
clim_down;mean;2070;6,433,-10,clim_down,mean,2070,6,thottapalayam
clim_down;mean;2070;8.5,164,0,clim_down,mean,2070,8.5,thottapalayam
clim_down;mean;2080;2.6,1170,-27,clim_down,mean,2080,2.6,thottapalayam
clim_down;mean;2080;4.5,310,-28,clim_down,mean,2080,4.5,thottapalayam
clim_down;mean;2080;6,329,-3,clim_down,mean,2080,6,thottapalayam
clim_down;mean;2080;8.5,91,0,clim_down,mean,2080,8.5,thottapalayam
clim_down;min;2030;2.6,4455,-65,clim_down,min,2030,2.6,thottapalayam
clim_down;min;2030;4.5,6970,-1,clim_down,min,2030,4.5,thottapalayam
clim_down;min;2030;6,3097,-1,clim_down,min,2030,6,thottapalayam
clim_down;min;2030;8.5,1850,0,clim_down,min,2030,8.5,thottapalayam
clim_down;min;2050;2.6,2549,-168,clim_down,min,2050,2.6,thottapalayam
clim_down;min;2050;4.5,1150,-6,clim_down,min,2050,4.5,thottapalayam
clim_down;min;2050;6,617,0,clim_down,min,2050,6,thottapalayam
clim_down;min;2050;8.5,1087,-2,clim_down,min,2050,8.5,thottapalayam
clim_down;min;2070;2.6,7621,-280,clim_down,min,2070,2.6,thottapalayam
clim_down;min;2070;4.5,2446,-31,clim_down,min,2070,4.5,thottapalayam
clim_down;min;2070;6,470,-3,clim_down,min,2070,6,thottapalayam
clim_down;min;2070;8.5,164,0,clim_down,min,2070,8.5,thottapalayam
clim_down;min;2080;2.6,1216,-138,clim_down,min,2080,2.6,thottapalayam
clim_down;min;2080;4.5,358,-5,clim_down,min,2080,4.5,thottapalayam
clim_down;min;2080;6,354,-20,clim_down,min,2080,6,thottapalayam
clim_down;min;2080;8.5,91,0,clim_down,min,2080,8.5,thottapalayam
clim_up;max;2030;2.6,72199,1072,clim_up,max,2030,2.6,thottapalayam
clim_up;max;2030;4.5,74859,813,clim_up,max,2030,4.5,thottapalayam
clim_up;max;2030;6,95517,1108,clim_up,max,2030,6,thottapalayam
clim_up;max;2030;8.5,84248,738,clim_up,max,2030,8.5,thottapalayam
clim_up;max;2050;2.6,67628,400,clim_up,max,2050,2.6,thottapalayam
clim_up;max;2050;4.5,75440,-190,clim_up,max,2050,4.5,thottapalayam
clim_up;max;2050;6,98726,1236,clim_up,max,2050,6,thottapalayam
clim_up;max;2050;8.5,93772,1249,clim_up,max,2050,8.5,thottapalayam
clim_up;max;2070;2.6,55219,-1099,clim_up,max,2070,2.6,thottapalayam
clim_up;max;2070;4.5,74719,-168,clim_up,max,2070,4.5,thottapalayam
clim_up;max;2070;6,97995,1205,clim_up,max,2070,6,thottapalayam
clim_up;max;2070;8.5,100736,1399,clim_up,max,2070,8.5,thottapalayam
clim_up;max;2080;2.6,80343,601,clim_up,max,2080,2.6,thottapalayam
clim_up;max;2080;4.5,89564,-317,clim_up,max,2080,4.5,thottapalayam
