year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,26217,-42163,clim_down,max,2030,2.6,tick borne encephalitis
clim_down;max;2030;4.5,16652,-39523,clim_down,max,2030,4.5,tick borne encephalitis
clim_down;max;2030;6,20796,-35337,clim_down,max,2030,6,tick borne encephalitis
clim_down;max;2030;8.5,21149,-52855,clim_down,max,2030,8.5,tick borne encephalitis
clim_down;max;2050;2.6,29475,-35797,clim_down,max,2050,2.6,tick borne encephalitis
clim_down;max;2050;4.5,25184,-49786,clim_down,max,2050,4.5,tick borne encephalitis
clim_down;max;2050;6,17140,-40697,clim_down,max,2050,6,tick borne encephalitis
clim_down;max;2050;8.5,18975,-55622,clim_down,max,2050,8.5,tick borne encephalitis
clim_down;max;2070;2.6,23903,-36657,clim_down,max,2070,2.6,tick borne encephalitis
clim_down;max;2070;4.5,21837,-54684,clim_down,max,2070,4.5,tick borne encephalitis
clim_down;max;2070;6,26416,-59584,clim_down,max,2070,6,tick borne encephalitis
clim_down;max;2070;8.5,27908,-60372,clim_down,max,2070,8.5,tick borne encephalitis
clim_down;max;2080;2.6,37363,-42859,clim_down,max,2080,2.6,tick borne encephalitis
clim_down;max;2080;4.5,17602,-52000,clim_down,max,2080,4.5,tick borne encephalitis
clim_down;max;2080;6,27730,-66391,clim_down,max,2080,6,tick borne encephalitis
clim_down;max;2080;8.5,36501,-73696,clim_down,max,2080,8.5,tick borne encephalitis
clim_down;mean;2030;2.6,39639,-46411,clim_down,mean,2030,2.6,tick borne encephalitis
clim_down;mean;2030;4.5,29560,-40254,clim_down,mean,2030,4.5,tick borne encephalitis
clim_down;mean;2030;6,33210,-37567,clim_down,mean,2030,6,tick borne encephalitis
clim_down;mean;2030;8.5,35188,-55203,clim_down,mean,2030,8.5,tick borne encephalitis
clim_down;mean;2050;2.6,44609,-35897,clim_down,mean,2050,2.6,tick borne encephalitis
clim_down;mean;2050;4.5,41072,-48833,clim_down,mean,2050,4.5,tick borne encephalitis
clim_down;mean;2050;6,28146,-43214,clim_down,mean,2050,6,tick borne encephalitis
clim_down;mean;2050;8.5,25311,-66940,clim_down,mean,2050,8.5,tick borne encephalitis
