year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,539128,-145892,clim_down,max,2030,2.6,topografov
clim_down;max;2030;4.5,574276,-187228,clim_down,max,2030,4.5,topografov
clim_down;max;2030;6,526847,-130988,clim_down,max,2030,6,topografov
clim_down;max;2030;8.5,558507,-172040,clim_down,max,2030,8.5,topografov
clim_down;max;2050;2.6,567269,-231221,clim_down,max,2050,2.6,topografov
clim_down;max;2050;4.5,531562,-305076,clim_down,max,2050,4.5,topografov
clim_down;max;2050;6,512657,-111447,clim_down,max,2050,6,topografov
clim_down;max;2050;8.5,560657,-267431,clim_down,max,2050,8.5,topografov
clim_down;max;2070;2.6,562414,-166218,clim_down,max,2070,2.6,topografov
clim_down;max;2070;4.5,550469,-292642,clim_down,max,2070,4.5,topografov
clim_down;max;2070;6,514586,-338543,clim_down,max,2070,6,topografov
clim_down;max;2070;8.5,434504,-421959,clim_down,max,2070,8.5,topografov
clim_down;max;2080;2.6,582746,-182689,clim_down,max,2080,2.6,topografov
clim_down;max;2080;4.5,524375,-321092,clim_down,max,2080,4.5,topografov
clim_down;max;2080;6,511325,-341891,clim_down,max,2080,6,topografov
clim_down;max;2080;8.5,418576,-440662,clim_down,max,2080,8.5,topografov
clim_down;mean;2030;2.6,664377,-24462,clim_down,mean,2030,2.6,topografov
clim_down;mean;2030;4.5,717985,-47355,clim_down,mean,2030,4.5,topografov
clim_down;mean;2030;6,645916,-15649,clim_down,mean,2030,6,topografov
clim_down;mean;2030;8.5,690461,-43956,clim_down,mean,2030,8.5,topografov
clim_down;mean;2050;2.6,726092,-76500,clim_down,mean,2050,2.6,topografov
clim_down;mean;2050;4.5,699625,-147945,clim_down,mean,2050,4.5,topografov
clim_down;mean;2050;6,616459,-11300,clim_down,mean,2050,6,topografov
clim_down;mean;2050;8.5,720460,-112499,clim_down,mean,2050,8.5,topografov
clim_down;mean;2070;2.6,694662,-37839,clim_down,mean,2070,2.6,topografov
clim_down;mean;2070;4.5,728104,-120736,clim_down,mean,2070,4.5,topografov
clim_down;mean;2070;6,685962,-182618,clim_down,mean,2070,6,topografov
clim_down;mean;2070;8.5,560080,-363154,clim_down,mean,2070,8.5,topografov
clim_down;mean;2080;2.6,723626,-45715,clim_down,mean,2080,2.6,topografov
clim_down;mean;2080;4.5,685324,-174474,clim_down,mean,2080,4.5,topografov
clim_down;mean;2080;6,669781,-201258,clim_down,mean,2080,6,topografov
clim_down;mean;2080;8.5,543430,-391015,clim_down,mean,2080,8.5,topografov
clim_down;min;2030;2.6,690305,-357,clim_down,min,2030,2.6,topografov
clim_down;min;2030;4.5,763342,-4469,clim_down,min,2030,4.5,topografov
clim_down;min;2030;6,663129,-208,clim_down,min,2030,6,topografov
clim_down;min;2030;8.5,733690,-3024,clim_down,min,2030,8.5,topografov
clim_down;min;2050;2.6,788367,-20940,clim_down,min,2050,2.6,topografov
clim_down;min;2050;4.5,783199,-92533,clim_down,min,2050,4.5,topografov
clim_down;min;2050;6,629520,-8,clim_down,min,2050,6,topografov
clim_down;min;2050;8.5,797887,-53787,clim_down,min,2050,8.5,topografov
clim_down;min;2070;2.6,732181,-2706,clim_down,min,2070,2.6,topografov
clim_down;min;2070;4.5,806969,-61932,clim_down,min,2070,4.5,topografov
clim_down;min;2070;6,788774,-113819,clim_down,min,2070,6,topografov
