year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,9759,-8477,clim_down,max,2030,2.6,trypanosoma brucei rhodesiense
clim_down;max;2030;4.5,10004,-8234,clim_down,max,2030,4.5,trypanosoma brucei rhodesiense
clim_down;max;2030;6,10298,-7930,clim_down,max,2030,6,trypanosoma brucei rhodesiense
clim_down;max;2050;2.6,11026,-6074,clim_down,max,2050,2.6,trypanosoma brucei rhodesiense
clim_down;max;2050;4.5,10349,-5378,clim_down,max,2050,4.5,trypanosoma brucei rhodesiense
clim_down;max;2050;6,12775,-14648,clim_down,max,2050,6,trypanosoma brucei rhodesiense
clim_down;max;2050;8.5,12548,-18183,clim_down,max,2050,8.5,trypanosoma brucei rhodesiense
clim_down;max;2070;2.6,11469,-11972,clim_down,max,2070,2.6,trypanosoma brucei rhodesiense
clim_down;max;2070;4.5,12493,-18846,clim_down,max,2070,4.5,trypanosoma brucei rhodesiense
clim_down;max;2070;6,13871,-16502,clim_down,max,2070,6,trypanosoma brucei rhodesiense
clim_down;max;2070;8.5,9579,-33369,clim_down,max,2070,8.5,trypanosoma brucei rhodesiense
clim_down;max;2080;2.6,12065,-13077,clim_down,max,2080,2.6,trypanosoma brucei rhodesiense
clim_down;max;2080;4.5,13271,-14106,clim_down,max,2080,4.5,trypanosoma brucei rhodesiense
clim_down;max;2080;6,10842,-23844,clim_down,max,2080,6,trypanosoma brucei rhodesiense
clim_down;max;2080;8.5,8053,-37890,clim_down,max,2080,8.5,trypanosoma brucei rhodesiense
clim_down;mean;2030;2.6,19000,-4903,clim_down,mean,2030,2.6,trypanosoma brucei rhodesiense
clim_down;mean;2030;4.5,19219,-3886,clim_down,mean,2030,4.5,trypanosoma brucei rhodesiense
clim_down;mean;2030;6,19474,-5191,clim_down,mean,2030,6,trypanosoma brucei rhodesiense
clim_down;mean;2050;2.6,17976,-4563,clim_down,mean,2050,2.6,trypanosoma brucei rhodesiense
clim_down;mean;2050;4.5,17258,-2862,clim_down,mean,2050,4.5,trypanosoma brucei rhodesiense
clim_down;mean;2050;6,27288,-7403,clim_down,mean,2050,6,trypanosoma brucei rhodesiense
clim_down;mean;2050;8.5,27928,-9737,clim_down,mean,2050,8.5,trypanosoma brucei rhodesiense
clim_down;mean;2070;2.6,25006,-6508,clim_down,mean,2070,2.6,trypanosoma brucei rhodesiense
clim_down;mean;2070;4.5,27844,-10169,clim_down,mean,2070,4.5,trypanosoma brucei rhodesiense
clim_down;mean;2070;6,27823,-9781,clim_down,mean,2070,6,trypanosoma brucei rhodesiense
clim_down;mean;2070;8.5,32424,-23946,clim_down,mean,2070,8.5,trypanosoma brucei rhodesiense
clim_down;mean;2080;2.6,25060,-11138,clim_down,mean,2080,2.6,trypanosoma brucei rhodesiense
clim_down;mean;2080;4.5,25925,-7570,clim_down,mean,2080,4.5,trypanosoma brucei rhodesiense
clim_down;mean;2080;6,28441,-16171,clim_down,mean,2080,6,trypanosoma brucei rhodesiense
