year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,1376,-32079,clim_down,max,2030,2.6,trypanosoma cruzi
clim_down;max;2030;4.5,2545,-20796,clim_down,max,2030,4.5,trypanosoma cruzi
clim_down;max;2030;6,1493,-31230,clim_down,max,2030,6,trypanosoma cruzi
clim_down;max;2030;8.5,1124,-31599,clim_down,max,2030,8.5,trypanosoma cruzi
clim_down;max;2050;2.6,1910,-31174,clim_down,max,2050,2.6,trypanosoma cruzi
clim_down;max;2050;4.5,3329,-21080,clim_down,max,2050,4.5,trypanosoma cruzi
clim_down;max;2050;6,3023,-21052,clim_down,max,2050,6,trypanosoma cruzi
clim_down;max;2050;8.5,3291,-20298,clim_down,max,2050,8.5,trypanosoma cruzi
clim_down;max;2070;2.6,1411,-30679,clim_down,max,2070,2.6,trypanosoma cruzi
clim_down;max;2070;4.5,3306,-21341,clim_down,max,2070,4.5,trypanosoma cruzi
clim_down;max;2070;6,3011,-20304,clim_down,max,2070,6,trypanosoma cruzi
clim_down;max;2070;8.5,3249,-22261,clim_down,max,2070,8.5,trypanosoma cruzi
clim_down;max;2080;2.6,3209,-19856,clim_down,max,2080,2.6,trypanosoma cruzi
clim_down;max;2080;4.5,3149,-20932,clim_down,max,2080,4.5,trypanosoma cruzi
clim_down;max;2080;6,1769,-31099,clim_down,max,2080,6,trypanosoma cruzi
clim_down;max;2080;8.5,3178,-19348,clim_down,max,2080,8.5,trypanosoma cruzi
clim_down;mean;2030;2.6,6216,-69846,clim_down,mean,2030,2.6,trypanosoma cruzi
clim_down;mean;2030;4.5,4637,-61959,clim_down,mean,2030,4.5,trypanosoma cruzi
clim_down;mean;2030;6,5324,-69044,clim_down,mean,2030,6,trypanosoma cruzi
clim_down;mean;2030;8.5,5457,-68258,clim_down,mean,2030,8.5,trypanosoma cruzi
clim_down;mean;2050;2.6,6756,-68339,clim_down,mean,2050,2.6,trypanosoma cruzi
clim_down;mean;2050;4.5,5437,-62660,clim_down,mean,2050,4.5,trypanosoma cruzi
clim_down;mean;2050;6,5409,-62165,clim_down,mean,2050,6,trypanosoma cruzi
clim_down;mean;2050;8.5,5224,-61546,clim_down,mean,2050,8.5,trypanosoma cruzi
clim_down;mean;2070;2.6,5637,-63226,clim_down,mean,2070,2.6,trypanosoma cruzi
clim_down;mean;2070;4.5,5933,-62296,clim_down,mean,2070,4.5,trypanosoma cruzi
clim_down;mean;2070;6,5287,-60396,clim_down,mean,2070,6,trypanosoma cruzi
clim_down;mean;2070;8.5,6296,-61927,clim_down,mean,2070,8.5,trypanosoma cruzi
clim_down;mean;2080;2.6,5095,-61120,clim_down,mean,2080,2.6,trypanosoma cruzi
clim_down;mean;2080;4.5,5273,-61825,clim_down,mean,2080,4.5,trypanosoma cruzi
clim_down;mean;2080;6,6668,-68091,clim_down,mean,2080,6,trypanosoma cruzi
clim_down;mean;2080;8.5,4734,-60397,clim_down,mean,2080,8.5,trypanosoma cruzi
clim_down;min;2030;2.6,217271,-7060,clim_down,min,2030,2.6,trypanosoma cruzi
clim_down;min;2030;4.5,256312,-31488,clim_down,min,2030,4.5,trypanosoma cruzi
clim_down;min;2030;6,204756,-5873,clim_down,min,2030,6,trypanosoma cruzi
clim_down;min;2030;8.5,210572,-5449,clim_down,min,2030,8.5,trypanosoma cruzi
clim_down;min;2050;2.6,201039,-5621,clim_down,min,2050,2.6,trypanosoma cruzi
clim_down;min;2050;4.5,269940,-31394,clim_down,min,2050,4.5,trypanosoma cruzi
clim_down;min;2050;6,255463,-31872,clim_down,min,2050,6,trypanosoma cruzi
clim_down;min;2050;8.5,250593,-23611,clim_down,min,2050,8.5,trypanosoma cruzi
clim_down;min;2070;2.6,195830,-5076,clim_down,min,2070,2.6,trypanosoma cruzi
clim_down;min;2070;4.5,254855,-25608,clim_down,min,2070,4.5,trypanosoma cruzi
clim_down;min;2070;6,244484,-28931,clim_down,min,2070,6,trypanosoma cruzi
clim_down;min;2070;8.5,246191,-22463,clim_down,min,2070,8.5,trypanosoma cruzi
clim_down;min;2080;2.6,243621,-29971,clim_down,min,2080,2.6,trypanosoma cruzi
clim_down;min;2080;4.5,254282,-25225,clim_down,min,2080,4.5,trypanosoma cruzi
clim_down;min;2080;6,204039,-6076,clim_down,min,2080,6,trypanosoma cruzi
clim_down;min;2080;8.5,247171,-21741,clim_down,min,2080,8.5,trypanosoma cruzi
clim_up;max;2030;2.6,133,51,clim_up,max,2030,2.6,trypanosoma cruzi
clim_up;max;2030;4.5,7859,823,clim_up,max,2030,4.5,trypanosoma cruzi
clim_up;max;2030;6,294,135,clim_up,max,2030,6,trypanosoma cruzi
clim_up;max;2030;8.5,166,74,clim_up,max,2030,8.5,trypanosoma cruzi
clim_up;max;2050;2.6,231,142,clim_up,max,2050,2.6,trypanosoma cruzi
clim_up;max;2050;4.5,6296,770,clim_up,max,2050,4.5,trypanosoma cruzi
clim_up;max;2050;6,6399,910,clim_up,max,2050,6,trypanosoma cruzi
clim_up;max;2050;8.5,7178,1011,clim_up,max,2050,8.5,trypanosoma cruzi
clim_up;max;2070;2.6,335,140,clim_up,max,2070,2.6,trypanosoma cruzi
clim_up;max;2070;4.5,6010,801,clim_up,max,2070,4.5,trypanosoma cruzi
clim_up;max;2070;6,7048,982,clim_up,max,2070,6,trypanosoma cruzi
clim_up;max;2070;8.5,5394,752,clim_up,max,2070,8.5,trypanosoma cruzi
clim_up;max;2080;2.6,7524,988,clim_up,max,2080,2.6,trypanosoma cruzi
clim_up;max;2080;4.5,6595,915,clim_up,max,2080,4.5,trypanosoma cruzi
clim_up;max;2080;6,174,83,clim_up,max,2080,6,trypanosoma cruzi
clim_up;max;2080;8.5,7659,975,clim_up,max,2080,8.5,trypanosoma cruzi
clim_up;mean;2030;2.6,891,241,clim_up,mean,2030,2.6,trypanosoma cruzi
clim_up;mean;2030;4.5,12464,1103,clim_up,mean,2030,4.5,trypanosoma cruzi
clim_up;mean;2030;6,1555,451,clim_up,mean,2030,6,trypanosoma cruzi
clim_up;mean;2030;8.5,1357,451,clim_up,mean,2030,8.5,trypanosoma cruzi
clim_up;mean;2050;2.6,953,361,clim_up,mean,2050,2.6,trypanosoma cruzi
clim_up;mean;2050;4.5,10320,952,clim_up,mean,2050,4.5,trypanosoma cruzi
clim_up;mean;2050;6,10590,1130,clim_up,mean,2050,6,trypanosoma cruzi
clim_up;mean;2050;8.5,11915,1352,clim_up,mean,2050,8.5,trypanosoma cruzi
clim_up;mean;2070;2.6,2272,612,clim_up,mean,2070,2.6,trypanosoma cruzi
clim_up;mean;2070;4.5,10195,1134,clim_up,mean,2070,4.5,trypanosoma cruzi
clim_up;mean;2070;6,12221,1409,clim_up,mean,2070,6,trypanosoma cruzi
clim_up;mean;2070;8.5,9715,1311,clim_up,mean,2070,8.5,trypanosoma cruzi
clim_up;mean;2080;2.6,12245,1233,clim_up,mean,2080,2.6,trypanosoma cruzi
clim_up;mean;2080;4.5,10824,1000,clim_up,mean,2080,4.5,trypanosoma cruzi
clim_up;mean;2080;6,1169,550,clim_up,mean,2080,6,trypanosoma cruzi
clim_up;mean;2080;8.5,12515,1421,clim_up,mean,2080,8.5,trypanosoma cruzi
clim_up;min;2030;2.6,564385,32858,clim_up,min,2030,2.6,trypanosoma cruzi
clim_up;min;2030;4.5,520264,32472,clim_up,min,2030,4.5,trypanosoma cruzi
clim_up;min;2030;6,578768,32990,clim_up,min,2030,6,trypanosoma cruzi
clim_up;min;2030;8.5,571653,33005,clim_up,min,2030,8.5,trypanosoma cruzi
clim_up;min;2050;2.6,579195,32909,clim_up,min,2050,2.6,trypanosoma cruzi
clim_up;min;2050;4.5,494695,32317,clim_up,min,2050,4.5,trypanosoma cruzi
clim_up;min;2050;6,516328,32409,clim_up,min,2050,6,trypanosoma cruzi
clim_up;min;2050;8.5,533674,32445,clim_up,min,2050,8.5,trypanosoma cruzi
clim_up;min;2070;2.6,594099,32954,clim_up,min,2070,2.6,trypanosoma cruzi
clim_up;min;2070;4.5,531382,32491,clim_up,min,2070,4.5,trypanosoma cruzi
clim_up;min;2070;6,530044,32374,clim_up,min,2070,6,trypanosoma cruzi
clim_up;min;2070;8.5,541480,32472,clim_up,min,2070,8.5,trypanosoma cruzi
clim_up;min;2080;2.6,525827,32361,clim_up,min,2080,2.6,trypanosoma cruzi
clim_up;min;2080;4.5,521277,32509,clim_up,min,2080,4.5,trypanosoma cruzi
clim_up;min;2080;6,586397,32967,clim_up,min,2080,6,trypanosoma cruzi
clim_up;min;2080;8.5,533820,32609,clim_up,min,2080,8.5,trypanosoma cruzi
dummy;max;2030;2.6,2085,-32726,dummy,max,2030,2.6,trypanosoma cruzi
dummy;max;2030;4.5,14488,-20323,dummy,max,2030,4.5,trypanosoma cruzi
dummy;max;2030;6,2597,-32214,dummy,max,2030,6,trypanosoma cruzi
dummy;max;2030;8.5,1831,-32980,dummy,max,2030,8.5,trypanosoma cruzi
dummy;max;2050;2.6,2991,-31820,dummy,max,2050,2.6,trypanosoma cruzi
dummy;max;2050;4.5,13746,-21065,dummy,max,2050,4.5,trypanosoma cruzi
dummy;max;2050;6,14212,-20599,dummy,max,2050,6,trypanosoma cruzi
dummy;max;2050;8.5,14965,-19846,dummy,max,2050,8.5,trypanosoma cruzi
dummy;max;2070;2.6,2998,-31813,dummy,max,2070,2.6,trypanosoma cruzi
dummy;max;2070;4.5,13666,-21145,dummy,max,2070,4.5,trypanosoma cruzi
dummy;max;2070;6,14835,-19976,dummy,max,2070,6,trypanosoma cruzi
dummy;max;2070;8.5,12553,-22258,dummy,max,2070,8.5,trypanosoma cruzi
dummy;max;2080;2.6,15551,-19260,dummy,max,2080,2.6,trypanosoma cruzi
dummy;max;2080;4.5,14269,-20542,dummy,max,2080,4.5,trypanosoma cruzi
dummy;max;2080;6,2646,-32165,dummy,max,2080,6,trypanosoma cruzi
dummy;max;2080;8.5,15524,-19287,dummy,max,2080,8.5,trypanosoma cruzi
dummy;mean;2030;2.6,10540,-74159,dummy,mean,2030,2.6,trypanosoma cruzi
dummy;mean;2030;4.5,23069,-61630,dummy,mean,2030,4.5,trypanosoma cruzi
dummy;mean;2030;6,11797,-72902,dummy,mean,2030,6,trypanosoma cruzi
dummy;mean;2030;8.5,12130,-72569,dummy,mean,2030,8.5,trypanosoma cruzi
dummy;mean;2050;2.6,11689,-73010,dummy,mean,2050,2.6,trypanosoma cruzi
dummy;mean;2050;4.5,22135,-62564,dummy,mean,2050,4.5,trypanosoma cruzi
dummy;mean;2050;6,22870,-61829,dummy,mean,2050,6,trypanosoma cruzi
dummy;mean;2050;8.5,23621,-61078,dummy,mean,2050,8.5,trypanosoma cruzi
dummy;mean;2070;2.6,16162,-68537,dummy,mean,2070,2.6,trypanosoma cruzi
dummy;mean;2070;4.5,22636,-62063,dummy,mean,2070,4.5,trypanosoma cruzi
dummy;mean;2070;6,24595,-60104,dummy,mean,2070,6,trypanosoma cruzi
dummy;mean;2070;8.5,23093,-61606,dummy,mean,2070,8.5,trypanosoma cruzi
dummy;mean;2080;2.6,23965,-60734,dummy,mean,2080,2.6,trypanosoma cruzi
dummy;mean;2080;4.5,22758,-61941,dummy,mean,2080,4.5,trypanosoma cruzi
dummy;mean;2080;6,12999,-71700,dummy,mean,2080,6,trypanosoma cruzi
dummy;mean;2080;8.5,24723,-59976,dummy,mean,2080,8.5,trypanosoma cruzi
