year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,186272,-155470,clim_down,max,2030,2.6,una
clim_down;max;2030;4.5,141866,-99350,clim_down,max,2030,4.5,una
clim_down;max;2030;6,181871,-95949,clim_down,max,2030,6,una
clim_down;max;2030;8.5,165608,-139842,clim_down,max,2030,8.5,una
clim_down;max;2050;2.6,189342,-176558,clim_down,max,2050,2.6,una
clim_down;max;2050;4.5,167503,-122915,clim_down,max,2050,4.5,una
clim_down;max;2050;6,156262,-149887,clim_down,max,2050,6,una
clim_down;max;2050;8.5,133468,-126740,clim_down,max,2050,8.5,una
clim_down;max;2070;2.6,153839,-105106,clim_down,max,2070,2.6,una
clim_down;max;2070;4.5,214194,-116415,clim_down,max,2070,4.5,una
clim_down;max;2070;6,212843,-151856,clim_down,max,2070,6,una
clim_down;max;2070;8.5,236014,-161337,clim_down,max,2070,8.5,una
clim_down;max;2080;4.5,224251,-138989,clim_down,max,2080,4.5,una
clim_down;max;2080;6,110567,-235489,clim_down,max,2080,6,una
clim_down;max;2080;8.5,208375,-157539,clim_down,max,2080,8.5,una
clim_down;mean;2030;2.6,232810,-133084,clim_down,mean,2030,2.6,una
clim_down;mean;2030;4.5,177748,-84322,clim_down,mean,2030,4.5,una
clim_down;mean;2030;6,221590,-76729,clim_down,mean,2030,6,una
clim_down;mean;2030;8.5,201292,-129207,clim_down,mean,2030,8.5,una
clim_down;mean;2050;2.6,241105,-150090,clim_down,mean,2050,2.6,una
clim_down;mean;2050;4.5,211809,-101535,clim_down,mean,2050,4.5,una
clim_down;mean;2050;6,210710,-120110,clim_down,mean,2050,6,una
clim_down;mean;2050;8.5,154986,-129395,clim_down,mean,2050,8.5,una
clim_down;mean;2070;2.6,195109,-85407,clim_down,mean,2070,2.6,una
clim_down;mean;2070;4.5,258773,-95568,clim_down,mean,2070,4.5,una
clim_down;mean;2070;6,259782,-127123,clim_down,mean,2070,6,una
clim_down;mean;2070;8.5,275500,-144626,clim_down,mean,2070,8.5,una
clim_down;mean;2080;4.5,270668,-116249,clim_down,mean,2080,4.5,una
clim_down;mean;2080;6,151785,-220626,clim_down,mean,2080,6,una
clim_down;mean;2080;8.5,237479,-152169,clim_down,mean,2080,8.5,una
clim_down;min;2030;2.6,302610,-77833,clim_down,min,2030,2.6,una
clim_down;min;2030;4.5,225189,-49188,clim_down,min,2030,4.5,una
clim_down;min;2030;6,263230,-47088,clim_down,min,2030,6,una
clim_down;min;2030;8.5,258105,-89930,clim_down,min,2030,8.5,una
clim_down;min;2050;2.6,316000,-91281,clim_down,min,2050,2.6,una
clim_down;min;2050;4.5,265812,-61443,clim_down,min,2050,4.5,una
clim_down;min;2050;6,265428,-80730,clim_down,min,2050,6,una
clim_down;min;2050;8.5,208401,-92516,clim_down,min,2050,8.5,una
clim_down;min;2070;2.6,244888,-47896,clim_down,min,2070,2.6,una
clim_down;min;2070;4.5,310638,-59430,clim_down,min,2070,4.5,una
clim_down;min;2070;6,316483,-85155,clim_down,min,2070,6,una
clim_down;min;2070;8.5,333314,-101284,clim_down,min,2070,8.5,una
clim_down;min;2080;4.5,328718,-73423,clim_down,min,2080,4.5,una
clim_down;min;2080;6,221477,-167760,clim_down,min,2080,6,una
clim_down;min;2080;8.5,294570,-111231,clim_down,min,2080,8.5,una
clim_up;max;2030;2.6,102947,1539,clim_up,max,2030,2.6,una
clim_up;max;2030;4.5,238042,6888,clim_up,max,2030,4.5,una
clim_up;max;2030;6,212064,5174,clim_up,max,2030,6,una
clim_up;max;2030;8.5,161124,5353,clim_up,max,2030,8.5,una
clim_up;max;2050;2.6,75190,-432,clim_up,max,2050,2.6,una
clim_up;max;2050;4.5,155413,1126,clim_up,max,2050,4.5,una
clim_up;max;2050;6,154212,3384,clim_up,max,2050,6,una
clim_up;max;2050;8.5,214698,7192,clim_up,max,2050,8.5,una
clim_up;max;2070;2.6,255455,4015,clim_up,max,2070,2.6,una
clim_up;max;2070;4.5,126451,1902,clim_up,max,2070,4.5,una
clim_up;max;2070;6,105136,2266,clim_up,max,2070,6,una
clim_up;max;2070;8.5,107337,5008,clim_up,max,2070,8.5,una
clim_up;max;2080;4.5,77481,236,clim_up,max,2080,4.5,una
clim_up;max;2080;6,112765,-1396,clim_up,max,2080,6,una
clim_up;max;2080;8.5,133470,5942,clim_up,max,2080,8.5,una
clim_up;mean;2030;2.6,107794,2165,clim_up,mean,2030,2.6,una
clim_up;mean;2030;4.5,243063,5412,clim_up,mean,2030,4.5,una
clim_up;mean;2030;6,216419,4453,clim_up,mean,2030,6,una
clim_up;mean;2030;8.5,163802,3752,clim_up,mean,2030,8.5,una
clim_up;mean;2050;2.6,78911,-374,clim_up,mean,2050,2.6,una
clim_up;mean;2050;4.5,159663,442,clim_up,mean,2050,4.5,una
clim_up;mean;2050;6,158491,3074,clim_up,mean,2050,6,una
clim_up;mean;2050;8.5,218127,4839,clim_up,mean,2050,8.5,una
clim_up;mean;2070;2.6,260286,2245,clim_up,mean,2070,2.6,una
clim_up;mean;2070;4.5,131398,978,clim_up,mean,2070,4.5,una
clim_up;mean;2070;6,109447,1351,clim_up,mean,2070,6,una
clim_up;mean;2070;8.5,112467,4514,clim_up,mean,2070,8.5,una
clim_up;mean;2080;4.5,81220,-136,clim_up,mean,2080,4.5,una
clim_up;mean;2080;6,117181,-614,clim_up,mean,2080,6,una
clim_up;mean;2080;8.5,137852,4237,clim_up,mean,2080,8.5,una
clim_up;min;2030;2.6,116767,789,clim_up,min,2030,2.6,una
clim_up;min;2030;4.5,254408,2136,clim_up,min,2030,4.5,una
clim_up;min;2030;6,225661,1759,clim_up,min,2030,6,una
clim_up;min;2030;8.5,171987,1477,clim_up,min,2030,8.5,una
clim_up;min;2050;2.6,85573,-2747,clim_up,min,2050,2.6,una
clim_up;min;2050;4.5,169129,-1827,clim_up,min,2050,4.5,una
clim_up;min;2050;6,168401,1074,clim_up,min,2050,6,una
clim_up;min;2050;8.5,226393,1786,clim_up,min,2050,8.5,una
clim_up;min;2070;2.6,268230,-2675,clim_up,min,2070,2.6,una
clim_up;min;2070;4.5,140067,-2147,clim_up,min,2070,4.5,una
clim_up;min;2070;6,119413,-154,clim_up,min,2070,6,una
clim_up;min;2070;8.5,122286,1862,clim_up,min,2070,8.5,una
clim_up;min;2080;4.5,88536,-3140,clim_up,min,2080,4.5,una
clim_up;min;2080;6,126744,-1667,clim_up,min,2080,6,una
clim_up;min;2080;8.5,147390,1329,clim_up,min,2080,8.5,una
dummy;max;2030;2.6,563896,-172633,dummy,max,2030,2.6,una
